month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,63.90769835305238,3.9599462365591394,0,0.0,0.0,0.0,,ATL,80C,80.0
2,56.67180179888624,7.944130757800891,0,0.0,0.0,0.0,,ATL,80C,80.0
3,54.96386683431447,13.76406460296097,9,102151.75723617282,32346.059727832944,5.0,2.771170855982099,ATL,80C,80.0
4,61.47848629467588,17.209444444444443,45,360259.84464320866,112255.05517211846,22.0,2.8155687614919667,ATL,80C,80.0
5,66.88530562590236,20.833467741935486,124,1313606.3096379347,400019.2424465932,62.0,2.8561571488355035,ATL,80C,80.0
6,62.744809115561594,24.795555555555556,332,4585907.202663133,1300703.7277014279,166.0,3.0256624844815643,ATL,80C,80.0
7,71.18767023131251,26.061021505376345,469,7387100.2667125175,2043923.6719299336,235.0,3.1038825283754385,ATL,80C,80.0
8,72.50171207625775,26.55013440860215,540,7973062.1153550465,2189369.6179581946,270.0,3.1326970540650456,ATL,80C,80.0
9,71.81672274925671,22.529166666666665,317,3467032.4031986543,999258.9344312926,158.0,2.987232191974939,ATL,80C,80.0
10,74.06794076009152,16.031182795698925,81,730125.4848193611,219097.50495164472,41.0,2.9199333789426754,ATL,80C,80.0
11,62.67295689474394,11.945833333333333,26,200904.3420791742,62919.33780806564,13.0,2.799141041929905,ATL,80C,80.0
12,63.37706588866944,7.694220430107527,3,24173.757776360915,7669.1822461286065,1.0,2.7703407887207256,ATL,80C,80.0
