month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,70.62610974286045,-4.646908602150538,0,0.0,0.0,0.0,,CHI,60C,60.0
2,65.83803383524234,-2.5251114413075784,0,0.0,0.0,0.0,,CHI,60C,60.0
3,70.1423823634028,3.829878869448183,0,0.0,0.0,0.0,,CHI,60C,60.0
4,68.87044411615675,9.938611111111111,51,769127.4467042139,153665.96307949926,17.0,4.337590064101665,CHI,60C,60.0
5,62.657508272805515,15.297177419354838,41,360616.93917044473,76172.67496228131,14.0,4.165909685569013,CHI,60C,60.0
6,61.880198204430194,21.11,155,1874349.2132023652,362125.26557229034,52.0,4.473193989010815,CHI,60C,60.0
7,73.33494289840384,24.12956989247312,388,4204190.582821528,748161.7458797607,129.0,4.748953280662983,CHI,60C,60.0
8,73.79650197921215,21.780376344086022,279,2231684.5579693103,423244.8194393981,93.0,4.489212632043934,CHI,60C,60.0
9,74.22207378493212,18.142083333333332,116,1038266.8811535571,213840.71985808565,39.0,4.249144161507868,CHI,60C,60.0
10,68.10821405873749,10.983198924731182,1,0.0,0.0,0.0,,CHI,60C,60.0
11,74.38707397723385,4.739305555555556,14,73888.63072434513,16046.23898178075,4.0,4.037613389984109,CHI,60C,60.0
12,74.58115160526508,-3.673790322580645,0,0.0,0.0,0.0,,CHI,60C,60.0
