month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,63.90769835305238,3.9599462365591394,0,0.0,0.0,0.0,,ATL,60C,60.0
2,56.67180179888624,7.944130757800891,0,0.0,0.0,0.0,,ATL,60C,60.0
3,54.96386683431447,13.76406460296097,9,76758.52004977557,16845.253275198927,3.0,3.996162771229308,ATL,60C,60.0
4,61.47848629467588,17.209444444444443,45,317319.85600368376,67697.97973500681,15.0,4.115636815178447,ATL,60C,60.0
5,66.88530562590236,20.833467741935486,124,1130209.12200941,233594.76712539472,42.0,4.206999417717014,ATL,60C,60.0
6,62.744809115561594,24.795555555555556,332,3934061.4158829306,727955.6280626839,110.0,4.618674395165324,ATL,60C,60.0
7,71.18767023131251,26.061021505376345,469,6347827.920892977,1126804.821803529,157.0,4.811144451272025,ATL,60C,60.0
8,72.50171207625775,26.55013440860215,540,6846360.953295529,1199730.7262547382,180.0,4.883144333017151,ATL,60C,60.0
9,71.81672274925671,22.529166666666665,317,2964689.9401943376,560841.1999551071,105.0,4.5238756224564804,ATL,60C,60.0
10,74.06794076009152,16.031182795698925,81,619084.7920516145,124552.88554022966,27.0,4.363731571119909,ATL,60C,60.0
11,62.67295689474394,11.945833333333333,26,175811.5826945363,37816.645215812205,9.0,4.072398512367062,ATL,60C,60.0
12,63.37706588866944,7.694220430107527,3,0.0,0.0,0.0,,ATL,60C,60.0
1,63.90769835305238,3.9599462365591394,0,0.0,0.0,0.0,,ATL,80C,80.0
2,56.67180179888624,7.944130757800891,0,0.0,0.0,0.0,,ATL,80C,80.0
3,54.96386683431447,13.76406460296097,9,102151.75723617282,32346.059727832944,5.0,2.771170855982099,ATL,80C,80.0
4,61.47848629467588,17.209444444444443,45,360259.84464320866,112255.05517211846,22.0,2.8155687614919667,ATL,80C,80.0
5,66.88530562590236,20.833467741935486,124,1313606.3096379347,400019.2424465932,62.0,2.8561571488355035,ATL,80C,80.0
6,62.744809115561594,24.795555555555556,332,4585907.202663133,1300703.7277014279,166.0,3.0256624844815643,ATL,80C,80.0
7,71.18767023131251,26.061021505376345,469,7387100.2667125175,2043923.6719299336,235.0,3.1038825283754385,ATL,80C,80.0
8,72.50171207625775,26.55013440860215,540,7973062.1153550465,2189369.6179581946,270.0,3.1326970540650456,ATL,80C,80.0
9,71.81672274925671,22.529166666666665,317,3467032.4031986543,999258.9344312926,158.0,2.987232191974939,ATL,80C,80.0
10,74.06794076009152,16.031182795698925,81,730125.4848193611,219097.50495164472,41.0,2.9199333789426754,ATL,80C,80.0
11,62.67295689474394,11.945833333333333,26,200904.3420791742,62919.33780806564,13.0,2.799141041929905,ATL,80C,80.0
12,63.37706588866944,7.694220430107527,3,24173.757776360915,7669.1822461286065,1.0,2.7703407887207256,ATL,80C,80.0
1,70.56521275852604,19.42513440860215,174,1218329.3904969865,242953.21395100336,58.0,4.396026486457663,MI,60C,60.0
2,66.5515198552886,20.862109955423477,148,959013.6015580505,185787.91815562453,50.0,4.426420490287576,MI,60C,60.0
3,68.1338356849262,21.568236877523553,192,1329987.342993148,254833.76524541812,64.0,4.545084292607046,MI,60C,60.0
4,67.07553088925727,24.112083333333334,217,1906567.5796013284,351711.3945401413,72.0,4.61935252519945,MI,60C,60.0
5,71.73906804910918,26.409005376344084,461,5849110.1895258045,1009420.5977629068,154.0,4.948376919826111,MI,60C,60.0
6,74.74276811180368,27.683194444444446,571,9525538.938361134,1549963.7604179406,190.0,5.300256643057534,MI,60C,60.0
7,73.61359658525963,28.125672043010752,619,11130061.241930926,1796311.185543675,206.0,5.374473308003025,MI,60C,60.0
8,75.15947717419874,27.975,615,11091595.621272482,1787280.2386348643,205.0,5.381909153563788,MI,60C,60.0
9,75.22145422359935,27.49263888888889,546,8629950.539096534,1411597.5818604422,182.0,5.252210190001415,MI,60C,60.0
10,73.82988974137072,26.351478494623656,473,6073259.909045607,1025372.8500336711,158.0,5.0534071322393315,MI,60C,60.0
11,74.20197977927236,23.585694444444446,337,3610869.10207624,630446.0270462233,112.0,4.842442581050593,MI,60C,60.0
12,76.27373492255583,20.29717741935484,232,1389510.6742177836,265247.70137901156,77.0,4.533532724924517,MI,60C,60.0
1,70.56521275852604,19.42513440860215,174,1426128.4611016023,425587.23844391207,87.0,2.9357338787492453,MI,80C,80.0
