month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,45.115531554636405,0.7705645161290323,0,0.0,0.0,0.0,,DEN,80C,80.0
2,53.174333910777605,-0.0637444279346211,0,0.0,0.0,0.0,,DEN,80C,80.0
3,38.98967200426838,6.125437415881561,0,0.0,0.0,0.0,,DEN,80C,80.0
4,60.68721591983632,5.830972222222223,0,0.0,0.0,0.0,,DEN,80C,80.0
5,52.02127444369556,15.471908602150538,2,0.0,0.0,1.0,2.642717435222088,DEN,80C,80.0
6,41.72182241632325,23.085555555555555,88,263378.86960023607,82132.87985032493,44.0,2.7596253181788777,DEN,80C,80.0
7,49.93886595015964,22.268010752688173,83,344616.4450528068,106997.69283783155,42.0,2.817791343160048,DEN,80C,80.0
8,44.44281253233816,22.620026881720428,71,365715.7020950478,112293.73745457715,35.0,2.8370319971043276,DEN,80C,80.0
9,40.38911460529516,19.158194444444444,22,0.0,0.0,11.0,2.7413700736081226,DEN,80C,80.0
10,60.52047415042887,10.070833333333333,0,0.0,0.0,0.0,,DEN,80C,80.0
11,50.97649204347899,2.8926388888888885,0,0.0,0.0,0.0,,DEN,80C,80.0
12,47.43772064715284,1.464247311827957,0,0.0,0.0,0.0,,DEN,80C,80.0
