month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,70.56521275852604,19.42513440860215,174,1218329.3904969865,242953.21395100336,58,4.396026486457663,MI,60C,60.0
2,66.5515198552886,20.862109955423477,148,959013.6015580505,185787.91815562453,50,4.426420490287576,MI,60C,60.0
3,68.1338356849262,21.568236877523553,192,1329987.342993148,254833.76524541812,64,4.545084292607046,MI,60C,60.0
4,67.07553088925727,24.112083333333334,217,1906567.5796013284,351711.3945401413,72,4.61935252519945,MI,60C,60.0
5,71.73906804910918,26.409005376344084,461,5849110.1895258045,1009420.5977629068,154,4.948376919826111,MI,60C,60.0
6,74.74276811180368,27.683194444444446,571,9525538.938361134,1549963.7604179406,190,5.300256643057534,MI,60C,60.0
7,73.61359658525963,28.125672043010752,619,11130061.241930926,1796311.185543675,206,5.374473308003025,MI,60C,60.0
8,75.15947717419874,27.975,615,11091595.621272482,1787280.2386348643,205,5.381909153563788,MI,60C,60.0
9,75.22145422359935,27.49263888888889,546,8629950.539096534,1411597.5818604422,182,5.252210190001415,MI,60C,60.0
10,73.82988974137072,26.351478494623656,473,6073259.909045607,1025372.8500336711,158,5.0534071322393315,MI,60C,60.0
11,74.20197977927236,23.585694444444446,337,3610869.10207624,630446.0270462233,112,4.842442581050593,MI,60C,60.0
12,76.27373492255583,20.29717741935484,232,1389510.6742177836,265247.70137901156,77,4.533532724924517,MI,60C,60.0
