month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,65.196816173998,-11.376209677419354,0,0.0,0.0,0.0,,MSP,60C,60.0
2,62.79845419144799,-4.851857355126301,0,0.0,0.0,0.0,,MSP,60C,60.0
3,62.3670590751901,2.0403768506056528,0,0.0,0.0,0.0,,MSP,60C,60.0
4,63.762717130341386,7.5320833333333335,17,272586.5078375208,53389.57984846081,6.0,4.420204009998621,MSP,60C,60.0
5,59.052571210091365,16.498521505376342,74,745208.4380443011,145922.85448044885,25.0,4.377544992400348,MSP,60C,60.0
6,59.178335110164255,20.355277777777776,105,1091990.8113259834,217182.69675552385,35.0,4.305578798297953,MSP,60C,60.0
7,65.99331653184721,23.77298387096774,299,3751711.1161619355,655603.3437193036,99.0,4.853792264798666,MSP,60C,60.0
8,71.00120300805314,20.64462365591398,238,2268721.8984563816,424254.1257461661,80.0,4.538330951443242,MSP,60C,60.0
9,68.85850718322177,15.832916666666668,70,485960.38882707973,97208.38810087733,22.0,4.339680641581089,MSP,60C,60.0
10,71.47462356922654,8.213037634408602,0,0.0,0.0,0.0,,MSP,60C,60.0
11,68.34844831381504,0.3084722222222222,0,0.0,0.0,0.0,,MSP,60C,60.0
12,66.01810410847472,-6.971102150537634,0,0.0,0.0,0.0,,MSP,60C,60.0
