month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,36.16203843032799,13.009811827956987,0,0.0,0.0,0.0,,PHX,80C,80.0
2,51.01260911015349,15.660772659732542,12,0.0,0.0,6.0,2.805685671221211,PHX,80C,80.0
3,41.27286266744278,17.344952893674293,1,0.0,0.0,1.0,2.7030460194559156,PHX,80C,80.0
4,21.70453131023178,23.637777777777778,96,0.0,0.0,48.0,2.7549987921096117,PHX,80C,80.0
5,23.915413736578166,27.286424731182795,199,153783.57344950337,46671.68436722704,99.0,2.809395923187312,PHX,80C,80.0
6,18.565539438005793,33.985416666666666,373,714520.1934071196,210847.2265742962,187.0,2.9270088248737385,PHX,80C,80.0
7,29.113292591857174,35.5630376344086,403,4156402.7646462773,1138809.775715116,201.0,3.146742995482365,PHX,80C,80.0
8,30.83564849247827,33.82029569892473,443,5095973.402400744,1407476.362954363,222.0,3.1181257954517325,PHX,80C,80.0
9,28.78487642620554,30.389305555555556,207,387347.15274021635,114478.32148630067,103.0,2.9215739459371206,PHX,80C,80.0
10,33.94154164135202,24.81827956989247,154,795045.4436918722,238062.7952154798,77.0,2.893522004923261,PHX,80C,80.0
11,37.205520576390576,17.962777777777777,5,15953.36417780797,5081.255227176729,2.0,2.7595860641008723,PHX,80C,80.0
12,49.85765488828133,11.71518817204301,0,0.0,0.0,0.0,,PHX,80C,80.0
