month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
1,70.14977699566236,14.014112903225806,0,0.0,0.0,0.0,,SD,60C,60.0
2,73.84643539687333,15.011589895988111,0,0.0,0.0,0.0,,SD,60C,60.0
3,70.02076749232016,15.40942126514132,0,0.0,0.0,0.0,,SD,60C,60.0
4,67.67983807062264,17.15,9,54214.069651449274,12094.82014258938,3.0,3.936516573955385,SD,60C,60.0
5,73.0324366865542,17.204704301075267,40,236977.864690169,52617.54252200713,14.0,3.944124821555575,SD,60C,60.0
6,72.81899049333755,19.48111111111111,131,619607.7395603859,134476.21379720516,43.0,4.013798871439096,SD,60C,60.0
7,78.1509188075694,20.543413978494623,307,1840118.5825933777,390326.4424663747,103.0,4.115192514554064,SD,60C,60.0
8,73.78351115796069,22.13279569892473,351,2085378.5508248303,433814.3344359322,117.0,4.2203054907047655,SD,60C,60.0
9,74.6411491358724,21.619722222222222,348,2034400.432527723,426026.79837285145,116.0,4.189037330012218,SD,60C,60.0
10,71.94658722227885,18.60967741935484,94,500554.50299037993,108362.6330852734,31.0,4.039133607100714,SD,60C,60.0
11,59.14621242349399,16.960833333333333,15,67977.10490819998,15057.798328354053,5.0,3.963177711416183,SD,60C,60.0
12,54.25015476426494,14.213844086021506,1,0.0,0.0,0.0,,SD,60C,60.0
