Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,42724454829250.875,40544157939496.15,40544157939496.15,40544157939496.15,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,40543960207336.15,40543960207336.15,40543960207336.15,12904670476800.0,12904670476800.0,12904670476800.0,23953475166232.895,23953475166232.895,23953475166232.895,3685814564303.2905,3685814564303.2905,3685814564303.2905,39276987955152.27,36274845154764.61,36274845154764.61,0.0,0.0,0.0,0.0,36274845154764.61,36274845154764.61,36274845154764.61,36274845154764.61,42724454829250.875,42724454829250.875,42724454829250.875,42724454829250.875,0.0,0.0,0.0,0.0,42724454829250.875,42724454829250.875,42724454829250.875,42724454829250.875,922098233395.6998,922098233395.6998,922098233395.6998,922098233395.6998,922098233395.6998,1937351916350.6343,1937351916350.6343,1937351916350.6343,242944973403.9984,242936332796.12155,242936332796.12155,2080044566992.0615,918554117097.9692,1161490449894.0913,1161490449894.0913,8640607.8767617,8640607.8767617,0.0,0.0 
February,38991309416525.414,36494993351400.34,36494993351400.34,36494993351400.34,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,36494813817960.34,36494813817960.34,36494813817960.34,11655831398400.0,11655831398400.0,11655831398400.0,21521272072473.062,21521272072473.062,21521272072473.062,3317710347087.307,3317710347087.307,3317710347087.307,41931689315035.68,32694032414884.25,32694032414884.25,0.0,0.0,0.0,0.0,32694032414884.25,32694032414884.25,32694032414884.25,32694032414884.25,38991309416525.414,38991309416525.414,38991309416525.414,38991309416525.414,0.0,0.0,0.0,0.0,38991309416525.414,38991309416525.414,38991309416525.414,38991309416525.414,2836545383758.1475,2836545383758.1475,2836545383758.1475,2836545383758.1475,2836545383758.1475,1742495646015.2803,1742495646015.2803,1742495646015.2803,753820419109.7573,753800959329.8596,753800959329.8596,6401111516393.253,2823655278531.6987,3577456237861.5586,3577456237861.5586,19459779.89763282,19459779.89763282,0.0,0.0 
March,43744427158368.945,39866325690740.516,39866325690740.516,39866325690740.516,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,39866120699540.516,39866120699540.516,39866120699540.516,12904670476800.0,12904670476800.0,12904670476800.0,23337257431873.18,23337257431873.18,23337257431873.18,3624192790867.3184,3624192790867.3184,3624192790867.3184,60300952573804.09,36244603478903.766,36244603478903.766,0.0,0.0,0.0,0.0,36244603478903.766,36244603478903.766,36244603478903.766,36244603478903.766,43744427158368.945,43744427158368.945,43744427158368.945,43744427158368.945,0.0,0.0,0.0,0.0,43744427158368.945,43744427158368.945,43744427158368.945,43744427158368.945,7378429391411.634,7378429391411.634,7378429391411.634,7378429391411.634,7378429391411.634,1918208886169.905,1918208886169.905,1918208886169.905,1959892581458.5588,1959825612788.1338,1959825612788.1338,16677919703488.764,7359047045350.311,9318872658138.447,9318872658138.447,66968670.42324069,66968670.42324069,0.0,0.0 
April,44439640603736.914,38104939510924.984,38104939510924.984,38104939510924.984,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,38104757523724.984,38104757523724.984,38104757523724.984,12488390784000.0,12488390784000.0,12488390784000.0,22152297873931.785,22152297873931.785,22152297873931.785,3464068865793.179,3464068865793.179,3464068865793.179,89901933433036.4,35128358237392.89,35128358237392.89,0.0,0.0,0.0,0.0,35128358237392.89,35128358237392.89,35128358237392.89,35128358237392.89,44439640603736.92,44439640603736.92,44439640603736.92,44439640603736.92,0.0,0.0,0.0,0.0,44439640603736.92,44439640603736.92,44439640603736.92,44439640603736.92,16791659889218.092,16791659889218.092,16791659889218.092,16791659889218.092,16791659889218.092,1845719577482.9626,1845719577482.9626,1845719577482.9626,4488981515329.001,4488810093284.902,4488810093284.902,37981915306425.3,16746552606570.18,21235362699855.105,21235362699855.105,171422044.09365675,171422044.09365675,0.0,0.0 
May,48895058095795.92,38802478021747.97,38802478021747.97,38802478021747.97,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,38802273030547.97,38802273030547.97,38802273030547.97,12904670476800.0,12904670476800.0,12904670476800.0,22370123187334.49,22370123187334.49,22370123187334.49,3527479366413.449,3527479366413.449,3527479366413.449,136975694968705.94,36463856084462.055,36463856084462.055,0.0,0.0,0.0,0.0,36463856084462.055,36463856084462.055,36463856084462.055,36463856084462.055,48895058095795.92,48895058095795.92,48895058095795.92,48895058095795.92,0.0,0.0,0.0,0.0,48895058095795.92,48895058095795.92,48895058095795.92,48895058095795.92,30830464206361.094,30830464206361.094,30830464206361.094,30830464206361.094,30830464206361.094,1899051881123.1753,1899051881123.1753,1899051881123.1753,8193528192924.729,8193236203968.376,8193236203968.376,69681374677882.58,30744069236957.156,38937305440925.56,38937305440925.56,291988956.35022336,291988956.35022336,0.0,0.0 
June,48303025808087.36,36970811718145.49,36970811718145.49,36970811718145.49,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,36970615212865.49,36970615212865.49,36970615212865.49,12488390784000.0,12488390784000.0,12488390784000.0,21121259409514.1,21121259409514.1,21121259409514.1,3360965019351.41,3360965019351.41,3360965019351.41,147911810767486.28,35383261570281.72,35383261570281.72,0.0,0.0,0.0,0.0,35383261570281.72,35383261570281.72,35383261570281.72,35383261570281.72,48303025808087.36,48303025808087.36,48303025808087.36,48303025808087.36,0.0,0.0,0.0,0.0,48303025808087.36,48303025808087.36,48303025808087.36,48303025808087.36,34394756117341.44,34394756117341.44,34394756117341.44,34394756117341.44,34394756117341.44,1840662930060.7036,1840662930060.7036,1840662930060.7036,9491551159881.129,9491104799100.72,9491104799100.72,78133793079863.22,34321344140381.21,43812448939481.96,43812448939481.96,446360780.4219408,446360780.4219408,0.0,0.0 
July,50492289723169.9,37858073701479.016,37858073701479.016,37858073701479.016,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,37857883228359.016,37857883228359.016,37857883228359.016,12904670476800.0,12904670476800.0,12904670476800.0,21511587003526.363,21511587003526.363,21511587003526.363,3441625748032.639,3441625748032.639,3441625748032.639,162304559383770.13,36645117814765.64,36645117814765.64,0.0,0.0,0.0,0.0,36645117814765.64,36645117814765.64,36645117814765.64,36645117814765.64,50492289723169.91,50492289723169.91,50492289723169.91,50492289723169.91,0.0,0.0,0.0,0.0,50492289723169.91,50492289723169.91,50492289723169.91,50492289723169.91,38359407603719.28,38359407603719.28,38359407603719.28,38359407603719.28,38359407603719.28,1903258727857.9824,1903258727857.9824,1903258727857.9824,10730957293832.951,10730408805553.965,10730408805553.965,87300033965285.31,38284812579865.61,49015221385419.62,49015221385419.62,548488278.9942068,548488278.9942068,0.0,0.0 
August,50433467659413.93,37843872560396.71,37843872560396.71,37843872560396.71,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,37843667569196.71,37843667569196.71,37843667569196.71,12904670476800.0,12904670476800.0,12904670476800.0,21498663677015.21,21498663677015.21,21498663677015.21,3440333415381.517,3440333415381.517,3440333415381.517,162182563170534.03,36629340015936.66,36629340015936.66,0.0,0.0,0.0,0.0,36629340015936.66,36629340015936.66,36629340015936.66,36629340015936.66,50433467659413.92,50433467659413.92,50433467659413.92,50433467659413.92,0.0,0.0,0.0,0.0,50433467659413.92,50433467659413.92,50433467659413.92,50433467659413.92,38342255818198.734,38342255818198.734,38342255818198.734,38342255818198.734,38342255818198.734,1903262072375.0886,1903262072375.0886,1903262072375.0886,10686333026642.115,10685808916188.0,10685808916188.0,87210967336398.56,38262579210105.27,48948388126293.28,48948388126293.28,524110454.11214066,524110454.11214066,0.0,0.0 
September,47279854966817.69,36968267644590.46,36968267644590.46,36968267644590.46,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,36968078398350.46,36968078398350.46,36968078398350.46,12488390784000.0,12488390784000.0,12488390784000.0,21118953214500.402,21118953214500.402,21118953214500.402,3360734399850.0454,3360734399850.0454,3360734399850.0454,138224877886025.95,35331363745548.83,35331363745548.83,0.0,0.0,0.0,0.0,35331363745548.83,35331363745548.83,35331363745548.83,35331363745548.83,47279854966817.69,47279854966817.69,47279854966817.69,47279854966817.69,0.0,0.0,0.0,0.0,47279854966817.69,47279854966817.69,47279854966817.69,47279854966817.69,31528589714399.996,31528589714399.996,31528589714399.996,31528589714399.996,31528589714399.996,1837718250861.3171,1837718250861.3171,1837718250861.3171,8473869071365.994,8473527814547.905,8473527814547.905,71364924426077.17,31445698305764.637,39919226120312.516,39919226120312.516,341256818.0941064,341256818.0941064,0.0,0.0 
October,44719022121568.73,38665850217426.445,38665850217426.445,38665850217426.445,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,38665652485266.445,38665652485266.445,38665652485266.445,12904670476800.0,12904670476800.0,12904670476800.0,22245922691624.035,22245922691624.035,22245922691624.035,3515059316842.405,3515059316842.405,3515059316842.405,87288069204521.1,36262014979426.15,36262014979426.15,0.0,0.0,0.0,0.0,36262014979426.15,36262014979426.15,36262014979426.15,36262014979426.15,44719022121568.73,44719022121568.73,44719022121568.73,44719022121568.73,0.0,0.0,0.0,0.0,44719022121568.73,44719022121568.73,44719022121568.73,44719022121568.73,15650901082805.879,15650901082805.879,15650901082805.879,15650901082805.879,15650901082805.879,1894914040392.888,1894914040392.888,1894914040392.888,4158257863749.413,4158100255850.714,4158100255850.714,35375153142289.02,15608526443219.15,19766626699069.883,19766626699069.883,157607898.70378113,157607898.70378113,0.0,0.0 
