Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.860829E+03,1.732426E+07,1.759636E+07,0.000000E+00,0.000000E+00,2.483802E+03,2.392274E+07,2.429847E+07
02:00:00,0.000000E+00,0.000000E+00,1.848693E+03,1.599866E+07,1.624993E+07,0.000000E+00,0.000000E+00,2.483375E+03,2.391863E+07,2.429430E+07
03:00:00,0.000000E+00,0.000000E+00,1.851933E+03,1.602669E+07,1.627841E+07,0.000000E+00,0.000000E+00,2.483040E+03,2.391540E+07,2.429102E+07
04:00:00,0.000000E+00,0.000000E+00,1.849616E+03,1.600664E+07,1.625804E+07,0.000000E+00,0.000000E+00,2.482766E+03,2.391276E+07,2.428834E+07
05:00:00,0.000000E+00,0.000000E+00,1.849127E+03,1.600241E+07,1.625375E+07,0.000000E+00,0.000000E+00,2.482540E+03,2.391059E+07,2.428613E+07
06:00:00,0.000000E+00,0.000000E+00,1.848819E+03,1.599974E+07,1.625104E+07,0.000000E+00,0.000000E+00,2.482404E+03,2.390927E+07,2.428480E+07
07:00:00,0.000000E+00,0.000000E+00,2.081530E+03,1.801363E+07,1.829655E+07,0.000000E+00,0.000000E+00,2.483913E+03,2.392381E+07,2.429956E+07
08:00:00,0.000000E+00,0.000000E+00,2.090886E+03,1.927236E+07,1.957506E+07,0.000000E+00,0.000000E+00,2.487819E+03,2.396143E+07,2.433777E+07
09:00:00,0.000000E+00,0.000000E+00,2.334622E+03,2.151896E+07,2.185694E+07,0.000000E+00,0.000000E+00,2.492307E+03,2.400466E+07,2.438168E+07
10:00:00,0.000000E+00,0.000000E+00,2.342998E+03,2.256658E+07,2.292102E+07,0.000000E+00,0.000000E+00,2.496441E+03,2.404448E+07,2.442212E+07
11:00:00,0.000000E+00,0.000000E+00,2.341525E+03,2.255240E+07,2.290661E+07,0.000000E+00,0.000000E+00,2.499826E+03,2.407707E+07,2.445523E+07
12:00:00,0.000000E+00,0.000000E+00,2.343004E+03,2.256665E+07,2.292108E+07,0.000000E+00,0.000000E+00,2.502308E+03,2.410098E+07,2.447952E+07
13:00:00,0.000000E+00,0.000000E+00,2.343397E+03,2.257043E+07,2.292493E+07,0.000000E+00,0.000000E+00,2.503912E+03,2.411643E+07,2.449520E+07
14:00:00,0.000000E+00,0.000000E+00,2.343650E+03,2.257287E+07,2.292740E+07,0.000000E+00,0.000000E+00,2.504700E+03,2.412402E+07,2.450291E+07
15:00:00,0.000000E+00,0.000000E+00,2.343828E+03,2.257458E+07,2.292914E+07,0.000000E+00,0.000000E+00,2.504721E+03,2.412422E+07,2.450312E+07
16:00:00,0.000000E+00,0.000000E+00,2.343954E+03,2.257579E+07,2.293037E+07,0.000000E+00,0.000000E+00,2.503877E+03,2.411609E+07,2.449486E+07
17:00:00,0.000000E+00,0.000000E+00,2.344038E+03,2.257660E+07,2.293119E+07,0.000000E+00,0.000000E+00,2.502015E+03,2.409816E+07,2.447665E+07
18:00:00,0.000000E+00,0.000000E+00,2.344082E+03,2.257703E+07,2.293163E+07,0.000000E+00,0.000000E+00,2.499057E+03,2.406967E+07,2.444771E+07
19:00:00,0.000000E+00,0.000000E+00,2.146505E+03,2.067407E+07,2.099878E+07,0.000000E+00,0.000000E+00,2.495081E+03,2.403138E+07,2.440882E+07
20:00:00,0.000000E+00,0.000000E+00,2.141114E+03,1.993370E+07,2.024678E+07,0.000000E+00,0.000000E+00,2.490729E+03,2.398945E+07,2.436624E+07
21:00:00,0.000000E+00,0.000000E+00,2.142595E+03,1.994748E+07,2.026078E+07,0.000000E+00,0.000000E+00,2.487647E+03,2.395977E+07,2.433609E+07
22:00:00,0.000000E+00,0.000000E+00,2.141581E+03,1.993804E+07,2.025119E+07,0.000000E+00,0.000000E+00,2.485990E+03,2.394381E+07,2.431988E+07
23:00:00,0.000000E+00,0.000000E+00,2.141377E+03,1.993615E+07,2.024927E+07,0.000000E+00,0.000000E+00,2.485030E+03,2.393456E+07,2.431048E+07
24:00:00,0.000000E+00,0.000000E+00,2.141250E+03,1.993496E+07,2.024806E+07,0.000000E+00,0.000000E+00,2.484345E+03,2.392797E+07,2.430379E+07
Coinc Peak   ,0.000000E+00,2.504721E+03,0.000000E+00,2.412422E+07
NonCoinc Peak,0.000000E+00,2.504721E+03,0.000000E+00,2.412422E+07
