Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,30053952640340.71,28282126443778.49,28282126443778.49,28282126443778.49,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,28281928711618.49,28281928711618.49,28281928711618.49,12904670476800.0,12904670476800.0,12904670476800.0,12806173806489.564,12806173806489.564,12806173806489.564,2571084428328.9546,2571084428328.9546,2571084428328.9546,27790875968165.777,27790875968165.777,27299379962562.445,404521899567.1432,0.0,404521899567.1432,0.0,27386354068598.637,27299379962562.445,27386354068598.637,27299379962562.445,491496005603.30884,404521899567.1432,404521899567.1432,86974106036.16547,86974106036.16547,30053952640340.71,30053952640340.71,30053952640340.71,30053952640340.71,0.0,0.0,0.0,0.0,30053952640340.71,30053952640340.71,30053952640340.71,30053952640340.71,0.0,0.0,0.0,0.0,0.0,1768527714562.2478,1748808422083.3599,1748808422083.3599,19719292478.88793,19719292478.88793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3298482000.0,0.0,0.0,0.0,0.0,3298482000.0,0.0,3298482000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,27558677329920.1,25742173806402.1,25742173806402.1,25742173806402.1,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,25741994272962.1,25741994272962.1,25741994272962.1,11655831398400.0,11655831398400.0,11655831398400.0,11745981577020.09,11745981577020.09,11745981577020.09,2340181297542.0063,2340181297542.0063,2340181297542.0063,25359688231570.13,25359688231570.13,24963231606803.84,327746214241.7429,0.0,327746214241.7429,0.0,25031942017328.367,24963231606803.84,25031942017328.367,24963231606803.84,396456624766.2959,327746214241.7429,327746214241.7429,68710410524.55305,68710410524.55305,27558677329920.1,27558677329920.1,27558677329920.1,27558677329920.1,0.0,0.0,0.0,0.0,27558677329920.1,27558677329920.1,27558677329920.1,27558677329920.1,0.0,0.0,0.0,0.0,0.0,1814546725517.9736,1624396405185.8386,1624396405185.8386,190150320332.1336,190150320332.1336,473.66307753409444,473.66307753409444,473.66307753409444,473.66307753409444,473.66307753409444,473.66307753409444,473.66307753409444,473.66307753409444,1956798000.0,0.0,0.0,0.0,0.0,1956798000.0,0.0,1956798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
March,33395802854586.98,30986879102901.19,30986879102901.19,30986879102901.19,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30986674111701.19,30986674111701.19,30986674111701.19,12904670476800.0,12904670476800.0,12904670476800.0,15265033261110.219,15265033261110.219,15265033261110.219,2816970373791.02,2816970373791.02,2816970373791.02,31482287787679.547,30601423719245.105,30224566917098.137,331114014314.1284,0.0,331114014314.1284,0.0,30270309704930.97,30224566917098.137,30270309704930.97,30224566917098.137,376856802146.97046,331114014314.1284,331114014314.1284,45742787832.84198,45742787832.84198,33395802854586.98,33395802854586.98,33395802854586.98,33395802854586.98,0.0,0.0,0.0,0.0,33395802854586.98,33395802854586.98,33395802854586.98,33395802854586.98,285107168038.5256,285107168038.5256,285107168038.5256,285107168038.5256,285107168038.5256,2375183282458.3784,1870225302909.712,1870225302909.712,537623370280.74005,537623370280.74005,1280.7853335956722,1167.028415436929,1167.028415436929,1167.028415436929,1280.7853335956722,1167.028415436929,1167.028415436929,1167.028415436929,33740469227.38974,595756900395.9244,281545754831.9256,314211145563.99896,314211145563.99896,1028339623.0540587,980873623.0540587,47466000.0,113.75691815874373,113.75691815874373,113.75691815874373,113.75691815874373,113.75691815874373,113.75691815874373,46738872.262346186,46738872.262346186,0.0,0.0 
April,34199855382301.527,31173182767581.766,31173182767581.766,31173182767581.766,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,31173000780381.766,31173000780381.766,31173000780381.766,12488390784000.0,12488390784000.0,12488390784000.0,15850700834528.887,15850700834528.887,15850700834528.887,2833909161852.89,2833909161852.89,2833909161852.89,33558160184743.316,31043947250448.19,30419578714961.062,417388359510.0337,0.0,417388359510.0337,0.0,30626558890938.14,30419578714961.062,30626558890938.14,30419578714961.062,624368535487.1097,417388359510.0337,417388359510.0337,206980175977.07623,206980175977.07623,34199855382301.516,34199855382301.516,34199855382301.516,34199855382301.516,0.0,0.0,0.0,0.0,34199855382301.516,34199855382301.516,34199855382301.516,34199855382301.516,808266475540.3853,808266475540.3853,808266475540.3853,808266475540.3853,808266475540.3853,2929961150717.4976,1846800701270.0093,1846800701270.0093,1176828397061.371,1176828397061.371,4124.782013029973,3697.2253496216895,3697.2253496216895,3697.2253496216895,4124.782013029973,3697.2253496216895,3697.2253496216895,3697.2253496216895,96711464002.2697,1705946458754.734,806139255570.4227,899807203184.3114,899807203184.3114,2908598032.2499537,2842502032.2499537,66096000.0,427.55666340828367,427.55666340828367,427.55666340828367,427.55666340828367,427.55666340828367,427.55666340828367,134918356.13151497,134918356.13151497,0.0,0.0 
May,40308085842999.94,36131855224532.9,36131855224532.9,36131855224532.9,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,36131650233332.9,36131650233332.9,36131650233332.9,12904670476800.0,12904670476800.0,12904670476800.0,19942284280775.367,19942284280775.367,19942284280775.367,3284695475757.5317,3284695475757.5317,3284695475757.5317,45857668045722.18,36604443785381.95,35147353000407.16,873911987169.4655,0.0,873911987169.4655,0.0,35730531798212.48,35147353000407.16,35730531798212.48,35147353000407.16,1457090784974.7974,873911987169.4655,873911987169.4655,583178797805.3314,583178797805.3314,40308085842999.94,40308085842999.94,40308085842999.94,40308085842999.94,0.0,0.0,0.0,0.0,40308085842999.94,40308085842999.94,40308085842999.94,40308085842999.94,2999131012077.972,2999131012077.972,2999131012077.972,2999131012077.972,2999131012077.972,3817478901762.188,2039197084433.8782,2039197084433.8782,2121300966865.756,2121300966865.756,8215.033189906297,6511.0294827527405,6511.0294827527405,6511.0294827527405,8215.033189906297,6511.0294827527405,6511.0294827527405,6511.0294827527405,358751716704.8777,6254093248262.321,2955537049362.4214,3298556198899.902,3298556198899.902,15307342939.175255,15307342939.175255,0.0,1704.00370715355,1704.00370715355,1704.00370715355,1704.00370715355,1704.00370715355,1704.00370715355,425224228.2197627,425224228.2197627,0.0,0.0 
June,35539273973499.78,30263868848310.695,30263868848310.695,30263868848310.695,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,30263672343030.695,30263672343030.695,30263672343030.695,12488390784000.0,12488390784000.0,12488390784000.0,15024038618755.164,15024038618755.164,15024038618755.164,2751242940275.5137,2751242940275.5137,2751242940275.5137,64038817517435.266,30627811741538.914,29918910485796.687,43553258249.36819,0.0,43553258249.36819,0.0,30584258483289.55,29918910485796.687,30584258483289.55,29918910485796.687,708901255742.2494,43553258249.36819,43553258249.36819,665347997492.881,665347997492.881,35539273973499.77,35539273973499.77,35539273973499.77,35539273973499.77,0.0,0.0,0.0,0.0,35539273973499.77,35539273973499.77,35539273973499.77,35539273973499.77,10875309046806.215,10875309046806.215,10875309046806.215,10875309046806.215,10875309046806.215,3977949073255.888,1782732328088.2595,1782732328088.2595,3445092086817.5176,3445092086817.5176,14135.618282908938,8394.928750347033,8394.928750347033,8394.928750347033,14135.618282908938,8394.928750347033,8394.928750347033,8394.928750347033,1297456051933.1992,22535696729090.074,10642910693720.082,11892786035369.967,11892786035369.967,46452811275.68189,46452811275.68189,0.0,5740.689532561898,5740.689532561898,5740.689532561898,5740.689532561898,5740.689532561898,5740.689532561898,1127899007.6336782,1127899007.6336782,0.0,0.0 
July,38897613183926.6,32835390713059.54,32835390713059.54,32835390713059.54,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,32835200239939.54,32835200239939.54,32835200239939.54,12904670476800.0,12904670476800.0,12904670476800.0,16945511559508.662,16945511559508.662,16945511559508.662,2985018203630.8643,2985018203630.8643,2985018203630.8643,86634012263870.05,33516578782696.84,32463192117236.77,139429742429.887,0.0,139429742429.887,0.0,33377149040266.953,32463192117236.77,33377149040266.953,32463192117236.77,1053386665460.0269,139429742429.887,139429742429.887,913956923030.1399,913956923030.1399,38897613183926.59,38897613183926.59,38897613183926.59,38897613183926.59,0.0,0.0,0.0,0.0,38897613183926.59,38897613183926.59,38897613183926.59,38897613183926.59,17161881640788.918,17161881640788.918,17161881640788.918,17161881640788.918,17161881640788.918,4004998243416.5464,1885840546381.7598,1885840546381.7598,4106909859033.7603,4106909859033.7603,17229.636827124545,8185.723066166876,8185.723066166876,8185.723066166876,17229.636827124545,8185.723066166876,8185.723066166876,8185.723066166876,2057224227450.559,35955551840384.32,16983899839192.687,18971652001191.64,18971652001191.64,67856106384.406235,67856106384.406235,0.0,9043.913760957692,9043.913760957692,9043.913760957692,9043.913760957692,9043.913760957692,9043.913760957692,1615959067.18408,1615959067.18408,0.0,0.0 
August,38700623411342.91,32204450790257.035,32204450790257.035,32204450790257.035,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,32204245799057.035,32204245799057.035,32204245799057.035,12904670476800.0,12904670476800.0,12904670476800.0,16371916613251.83,16371916613251.83,16371916613251.83,2927658709005.1836,2927658709005.1836,2927658709005.1836,90376537493457.67,32782837178285.438,31938584382158.0,12118285682.129614,0.0,12118285682.129614,0.0,32770718892603.31,31938584382158.0,32770718892603.31,31938584382158.0,844252796127.4965,12118285682.129614,12118285682.129614,832134510445.3671,832134510445.3671,38700623411342.91,38700623411342.91,38700623411342.91,38700623411342.91,0.0,0.0,0.0,0.0,38700623411342.91,38700623411342.91,38700623411342.91,38700623411342.91,18581844565429.95,18581844565429.95,18581844565429.95,18581844565429.95,18581844565429.95,4284695673120.9185,1853554702652.3054,1853554702652.3054,4573891874241.293,4573891874241.293,18589.552403574762,8983.069374495142,8983.069374495142,8983.069374495142,18589.552403574762,8983.069374495142,8983.069374495142,8983.069374495142,2211476947964.997,39011855749742.4,18434552422984.867,20577303326757.51,20577303326757.51,66927422972.94158,66927422972.94158,0.0,9606.483029079582,9606.483029079582,9606.483029079582,9606.483029079582,9606.483029079582,9606.483029079582,1798621219.3859334,1798621219.3859334,0.0,0.0 
September,36219487204868.5,31273565186474.31,31273565186474.31,31273565186474.31,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,31273375940234.31,31273375940234.31,31273375940234.31,12488390784000.0,12488390784000.0,12488390784000.0,15941950979849.354,15941950979849.354,15941950979849.354,2843034176384.935,2843034176384.935,2843034176384.935,56205873191723.6,31596730779434.992,30752802724615.016,182447909967.35474,0.0,182447909967.35474,0.0,31414282869467.63,30752802724615.016,31414282869467.63,30752802724615.016,843928054819.9559,182447909967.35474,182447909967.35474,661480144852.6012,661480144852.6012,36219487204868.5,36219487204868.5,36219487204868.5,36219487204868.5,0.0,0.0,0.0,0.0,36219487204868.5,36219487204868.5,36219487204868.5,36219487204868.5,7924150856343.332,7924150856343.332,7924150856343.332,7924150856343.332,7924150856343.332,3993669110171.7163,1804791573015.1494,1804791573015.1494,3110616059192.147,3110616059192.147,11451.555901371457,7411.915010749767,7411.915010749767,7411.915010749767,11451.555901371457,7411.915010749767,7411.915010749767,7411.915010749767,952252908222.5265,16684991555945.258,7881626516954.836,8803365038990.424,8803365038990.424,29470798502.53235,29470798502.53235,0.0,4039.6408906216884,4039.6408906216884,4039.6408906216884,4039.6408906216884,4039.6408906216884,4039.6408906216884,1043587684.41906,1043587684.41906,0.0,0.0 
October,38596605485052.375,35498597216361.46,35498597216361.46,35498597216361.46,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,35498399484201.46,35498399484201.46,35498399484201.46,12904670476800.0,12904670476800.0,12904670476800.0,19366601781564.95,19366601781564.95,19366601781564.95,3227127225836.4937,3227127225836.4937,3227127225836.4937,40452804134537.68,35341449736217.055,34578874432123.742,483932737719.85645,0.0,483932737719.85645,0.0,34857516998497.17,34578874432123.742,34857516998497.17,34578874432123.742,762575304093.286,483932737719.85645,483932737719.85645,278642566373.4295,278642566373.4295,38596605485052.375,38596605485052.375,38596605485052.375,38596605485052.375,0.0,0.0,0.0,0.0,38596605485052.375,38596605485052.375,38596605485052.375,38596605485052.375,1643359047192.0667,1643359047192.0667,1643359047192.0667,1643359047192.0667,1643359047192.0667,2902555048388.843,1931368769803.6057,1931368769803.6057,1161095813977.0596,1161095813977.0596,3690.405939117694,2916.6591976157156,2916.6591976157156,2916.6591976157156,3690.405939117694,2916.6591976157156,2916.6591976157156,2916.6591976157156,195453220302.0918,3467995351128.6133,1639042907868.391,1828952443260.222,1828952443260.222,5277519968.923935,5260347968.923935,17172000.0,773.7467415019777,773.7467415019777,773.7467415019777,773.7467415019777,773.7467415019777,773.7467415019777,266164941.335857,266164941.335857,0.0,0.0 
