Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.783045E+03,2.336075E+07,2.019866E+07,0.000000E+00,0.000000E+00,3.216667E+03,2.802491E+07,2.438622E+07
02:00:00,0.000000E+00,0.000000E+00,2.770597E+03,2.141041E+07,1.823346E+07,0.000000E+00,0.000000E+00,3.216001E+03,2.801910E+07,2.438117E+07
03:00:00,0.000000E+00,0.000000E+00,2.772330E+03,2.142380E+07,1.824487E+07,0.000000E+00,0.000000E+00,3.215522E+03,2.801493E+07,2.437754E+07
04:00:00,0.000000E+00,0.000000E+00,2.769788E+03,2.140416E+07,1.822814E+07,0.000000E+00,0.000000E+00,3.215143E+03,2.801163E+07,2.437466E+07
05:00:00,0.000000E+00,0.000000E+00,2.769216E+03,2.139974E+07,1.822438E+07,0.000000E+00,0.000000E+00,3.214838E+03,2.800897E+07,2.437235E+07
06:00:00,0.000000E+00,0.000000E+00,2.768951E+03,2.139769E+07,1.822263E+07,0.000000E+00,0.000000E+00,3.214652E+03,2.800735E+07,2.437094E+07
07:00:00,0.000000E+00,0.000000E+00,2.933001E+03,2.266542E+07,1.930226E+07,0.000000E+00,0.000000E+00,3.216382E+03,2.802243E+07,2.438406E+07
08:00:00,0.000000E+00,0.000000E+00,2.942708E+03,2.442806E+07,2.108027E+07,0.000000E+00,0.000000E+00,3.221038E+03,2.806299E+07,2.441936E+07
09:00:00,0.000000E+00,0.000000E+00,3.144816E+03,2.610581E+07,2.252809E+07,0.000000E+00,0.000000E+00,3.226077E+03,2.810689E+07,2.445756E+07
10:00:00,0.000000E+00,0.000000E+00,3.153526E+03,2.747480E+07,2.390753E+07,0.000000E+00,0.000000E+00,3.228578E+03,2.812868E+07,2.447651E+07
11:00:00,0.000000E+00,0.000000E+00,3.153040E+03,2.747056E+07,2.390385E+07,0.000000E+00,0.000000E+00,3.233073E+03,2.816784E+07,2.451060E+07
12:00:00,0.000000E+00,0.000000E+00,3.154625E+03,2.748437E+07,2.391587E+07,0.000000E+00,0.000000E+00,3.237944E+03,2.821028E+07,2.454752E+07
13:00:00,0.000000E+00,0.000000E+00,3.155028E+03,2.748788E+07,2.391892E+07,0.000000E+00,0.000000E+00,3.241979E+03,2.824543E+07,2.457811E+07
14:00:00,0.000000E+00,0.000000E+00,3.155214E+03,2.748950E+07,2.392033E+07,0.000000E+00,0.000000E+00,3.244187E+03,2.826467E+07,2.459485E+07
15:00:00,0.000000E+00,0.000000E+00,3.155321E+03,2.749043E+07,2.392114E+07,0.000000E+00,0.000000E+00,3.244563E+03,2.826795E+07,2.459770E+07
16:00:00,0.000000E+00,0.000000E+00,3.155389E+03,2.749103E+07,2.392166E+07,0.000000E+00,0.000000E+00,3.243148E+03,2.825562E+07,2.458697E+07
17:00:00,0.000000E+00,0.000000E+00,3.155428E+03,2.749137E+07,2.392196E+07,0.000000E+00,0.000000E+00,3.240158E+03,2.822957E+07,2.456431E+07
18:00:00,0.000000E+00,0.000000E+00,3.155439E+03,2.749146E+07,2.392203E+07,0.000000E+00,0.000000E+00,3.235926E+03,2.819270E+07,2.453222E+07
19:00:00,0.000000E+00,0.000000E+00,2.990594E+03,2.605527E+07,2.267231E+07,0.000000E+00,0.000000E+00,3.231026E+03,2.815001E+07,2.449508E+07
20:00:00,0.000000E+00,0.000000E+00,2.985175E+03,2.505743E+07,2.166567E+07,0.000000E+00,0.000000E+00,3.227105E+03,2.811584E+07,2.446535E+07
21:00:00,0.000000E+00,0.000000E+00,2.985958E+03,2.506400E+07,2.167135E+07,0.000000E+00,0.000000E+00,3.225107E+03,2.809844E+07,2.445021E+07
22:00:00,0.000000E+00,0.000000E+00,2.984859E+03,2.505477E+07,2.166337E+07,0.000000E+00,0.000000E+00,3.221202E+03,2.806442E+07,2.442060E+07
23:00:00,0.000000E+00,0.000000E+00,2.984618E+03,2.505275E+07,2.166163E+07,0.000000E+00,0.000000E+00,3.218998E+03,2.804521E+07,2.440389E+07
24:00:00,0.000000E+00,0.000000E+00,2.984512E+03,2.505186E+07,2.166085E+07,0.000000E+00,0.000000E+00,3.217602E+03,2.803305E+07,2.439331E+07
Coinc Peak   ,0.000000E+00,3.244563E+03,0.000000E+00,2.826795E+07
NonCoinc Peak,0.000000E+00,3.244563E+03,0.000000E+00,2.826795E+07
