Time,HYBRID ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],HYBRID ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],HYBRID ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],HYBRID ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],HYBRID ZONE::Des Latent Heat Load [W],HYBRID ZONE::Des Latent Cool Load [W],HYBRID ZONE::Des Latent Heat Mass Flow [kg/s],HYBRID ZONE::Des Latent Cool Mass Flow [kg/s],HYBRID ZONE::Des Heat Load No DOAS [W],HYBRID ZONE::Des Sens Cool Load No DOAS [W],HYBRID ZONE::Des Latent Heat Load No DOAS [W],HYBRID ZONE::Des Latent Cool Load No DOAS [W],HYBRID ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],HYBRID ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],HYBRID ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],HYBRID ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,2.189621E+07,0.000000E+00,2.474359E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.725337E+01,3.659645E+01,2.757028E+01,3.592384E+01
02:00:00,0.000000E+00,2.189167E+07,0.000000E+00,2.473847E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
03:00:00,0.000000E+00,2.188842E+07,0.000000E+00,2.473479E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
04:00:00,0.000000E+00,2.188583E+07,0.000000E+00,2.473187E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
05:00:00,0.000000E+00,2.188375E+07,0.000000E+00,2.472952E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
06:00:00,0.000000E+00,2.188249E+07,0.000000E+00,2.472809E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
07:00:00,0.000000E+00,2.189427E+07,0.000000E+00,2.474140E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.659036E+01,3.805011E+01,2.757028E+01,3.592384E+01
08:00:00,0.000000E+00,2.192596E+07,0.000000E+00,2.477722E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.716108E+01,3.679499E+01,2.757028E+01,3.592384E+01
09:00:00,0.000000E+00,2.196026E+07,0.000000E+00,2.481598E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.716108E+01,3.679499E+01,2.757028E+01,3.592384E+01
10:00:00,0.000000E+00,2.197729E+07,0.000000E+00,2.483521E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.757028E+01,3.592384E+01,2.757028E+01,3.592384E+01
11:00:00,0.000000E+00,2.200789E+07,0.000000E+00,2.486979E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.757028E+01,3.592384E+01,2.757028E+01,3.592384E+01
