Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,25636352161822.047,24107756122642.695,24107756122642.695,24107756122642.695,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,24107558390482.695,24107558390482.695,24107558390482.695,12904670476800.0,12904670476800.0,12904670476800.0,9011291696366.09,9011291696366.09,9011291696366.09,2191596217316.6062,2191596217316.6062,2191596217316.6062,27893614918585.004,23509924147603.64,23297315765249.5,58611085675.13681,0.0,58611085675.13681,0.0,23451313061928.5,23297315765249.5,23451313061928.5,23297315765249.5,212608382354.1337,58611085675.13681,58611085675.13681,153997296678.9972,153997296678.9972,25636352161822.047,25636352161822.047,25636352161822.047,25636352161822.047,0.0,0.0,0.0,0.0,25636352161822.047,25636352161822.047,25636352161822.047,25636352161822.047,1407137811957.5532,1407137811957.5532,1407137811957.5532,1407137811957.5532,1407137811957.5532,1352245461573.146,1352245461573.146,1352245461573.146,176350577606.252,163677080497.37387,163677080497.37387,2976552959023.8096,1406437939263.2175,1570115019760.5906,1570115019760.5906,11664122480.4324,8401280480.432399,3262842000.0,720.2386023697786,720.2386023697786,720.2386023697786,720.2386023697786,720.2386023697786,720.2386023697786,720.2386023697786,720.2386023697786,1009374628.4458559,1009374628.4458559,0.0,0.0 
February,23909287659571.01,22236370522772.457,22236370522772.457,22236370522772.457,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,22236190989332.457,22236190989332.457,22236190989332.457,11655831398400.0,11655831398400.0,11655831398400.0,8558887682811.306,8558887682811.306,8558887682811.306,2021471908121.1296,2021471908121.1296,2021471908121.1296,32641100161862.78,21722888956022.504,21537638409374.15,63547039366.014725,0.0,63547039366.014725,0.0,21659341916656.523,21537638409374.15,21659341916656.523,21537638409374.15,185250546648.38306,63547039366.014725,63547039366.014725,121703507282.36809,121703507282.36809,23909287659571.008,23909287659571.008,23909287659571.008,23909287659571.008,0.0,0.0,0.0,0.0,23909287659571.008,23909287659571.008,23909287659571.008,23909287659571.008,3507828485576.549,3507828485576.549,3507828485576.549,3507828485576.549,3507828485576.549,1232477389703.5837,1232477389703.5837,1232477389703.5837,440439747094.9823,403317099907.2392,403317099907.2392,7410382720263.707,3503532810178.236,3906849910085.474,3906849910085.474,35983697632.24499,34046987632.245003,1936710000.0,2383.932669313173,2383.932669313173,2383.932669313173,2383.932669313173,2383.932669313173,2383.932669313173,2383.932669313173,2383.932669313173,1138949555.4979055,1138949555.4979055,0.0,0.0 
March,28819281567773.598,26447023106676.33,26447023106676.33,26447023106676.33,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,26446818115476.33,26446818115476.33,26446818115476.33,12904670476800.0,12904670476800.0,12904670476800.0,11137891446360.271,11137891446360.271,11137891446360.271,2404256192316.028,2404256192316.028,2404256192316.028,50266899875186.17,26014363313478.78,25824447850021.687,51671835595.27405,0.0,51671835595.27405,0.0,25962691477883.496,25824447850021.687,25962691477883.496,25824447850021.687,189915463457.0885,51671835595.27405,51671835595.27405,138243627861.8144,138243627861.8144,28819281567773.598,28819281567773.598,28819281567773.598,28819281567773.598,0.0,0.0,0.0,0.0,28819281567773.598,28819281567773.598,28819281567773.598,28819281567773.598,7791105945647.71,7791105945647.71,7791105945647.71,7791105945647.71,7791105945647.71,1414528436930.5647,1414528436930.5647,1414528436930.5647,957730024166.7263,896981194486.2266,896981194486.2266,16461430616059.678,7782224710786.734,8679205905272.952,8679205905272.952,59259598147.84698,59212132147.84698,47466000.0,4645.374159352763,4645.374159352763,4645.374159352763,4645.374159352763,4645.374159352763,4645.374159352763,4645.374159352763,4645.374159352763,1489231532.6531556,1489231532.6531556,0.0,0.0 
April,31979897853328.98,28739690843866.11,28739690843866.11,28739690843866.11,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,28739508856666.11,28739508856666.11,28739508856666.11,12488390784000.0,12488390784000.0,12488390784000.0,13638435449332.838,13638435449332.838,13638435449332.838,2612682623333.2827,2612682623333.2827,2612682623333.2827,73509839652078.14,28334769384046.535,28198404704185.195,60643301106.71173,0.0,60643301106.71173,0.0,28274126082939.816,28198404704185.195,28274126082939.816,28198404704185.195,136364679861.3272,60643301106.71173,60643301106.71173,75721378754.61552,75721378754.61552,31979897853328.98,31979897853328.98,31979897853328.98,31979897853328.98,0.0,0.0,0.0,0.0,31979897853328.98,31979897853328.98,31979897853328.98,31979897853328.98,14522857607730.418,14522857607730.418,14522857607730.418,14522857607730.418,14522857607730.418,1470570499442.2886,1470570499442.2886,1470570499442.2886,1769636510020.584,1643644722320.4338,1643644722320.4338,30652212660301.164,14504283968990.383,16147928691310.814,16147928691310.814,124384933708.75143,124318837708.75143,66096000.0,8120.801907666131,8120.801907666131,8120.801907666131,8120.801907666131,8120.801907666131,8120.801907666131,8120.801907666131,8120.801907666131,1606853991.3970988,1606853991.3970988,0.0,0.0 
May,37163431764187.69,32225267337623.91,32225267337623.91,32225267337623.91,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,32225062346423.91,32225062346423.91,32225062346423.91,12904670476800.0,12904670476800.0,12904670476800.0,16390840747221.7,16390840747221.7,16390840747221.7,2929551122402.1704,2929551122402.1704,2929551122402.1704,117699299067920.22,31911424776994.582,31768660165473.902,35359414951.43183,0.0,35359414951.43183,0.0,31876065362043.152,31768660165473.902,31876065362043.152,31768660165473.902,142764611520.6976,35359414951.43183,35359414951.43183,107405196569.26563,107405196569.26563,37163431764187.69,37163431764187.69,37163431764187.69,37163431764187.69,0.0,0.0,0.0,0.0,37163431764187.69,37163431764187.69,37163431764187.69,37163431764187.69,27594300828822.41,27594300828822.41,27594300828822.41,27594300828822.41,27594300828822.41,1628023785556.2236,1628023785556.2236,1628023785556.2236,3310140641007.568,3110214426697.4263,3110214426697.4263,58193573462103.2,27541679517702.95,30651893944400.38,30651893944400.38,197967276126.87802,197967276126.87802,0.0,13543.2457098818,13543.2457098818,13543.2457098818,13543.2457098818,13543.2457098818,13543.2457098818,13543.2457098818,13543.2457098818,1958938183.2613616,1958938183.2613616,0.0,0.0 
June,40321359545934.89,34606741772164.703,34606741772164.703,34606741772164.703,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,34606545266884.703,34606545266884.703,34606545266884.703,12488390784000.0,12488390784000.0,12488390784000.0,18972104913167.95,18972104913167.95,18972104913167.95,3146049569716.791,3146049569716.791,3146049569716.791,139213894690110.72,34323069409840.516,34200798060412.51,28283801711.298817,0.0,28283801711.298817,0.0,34294785608129.242,34200798060412.51,34294785608129.242,34200798060412.51,122271349428.00325,28283801711.298817,28283801711.298817,93987547716.70447,93987547716.70447,40321359545934.89,40321359545934.89,40321359545934.89,40321359545934.89,0.0,0.0,0.0,0.0,40321359545934.89,40321359545934.89,40321359545934.89,40321359545934.89,33779399365923.074,33779399365923.074,33779399365923.074,33779399365923.074,33779399365923.074,1772406994833.3782,1772406994833.3782,1772406994833.3782,3942210778936.803,3743430055779.105,3743430055779.105,71111425914347.22,33683997929284.05,37427427985063.18,37427427985063.18,196878500967.0005,196878500967.0005,0.0,16883.200062814394,16883.200062814394,16883.200062814394,16883.200062814394,16883.200062814394,16883.200062814394,16883.200062814394,16883.200062814394,1902222190.6984122,1902222190.6984122,0.0,0.0 
July,44947776779342.62,38297795559162.44,38297795559162.44,38297795559162.44,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,38297605086042.44,38297605086042.44,38297605086042.44,12904670476800.0,12904670476800.0,12904670476800.0,21911334146874.953,21911334146874.953,21911334146874.953,3481600462367.491,3481600462367.491,3481600462367.491,162743760717371.16,37982324654813.98,37874929550820.23,28712118340.14078,0.0,28712118340.14078,0.0,37953612536473.85,37874929550820.23,37953612536473.85,37874929550820.23,107395103993.75464,28712118340.14078,28712118340.14078,78682985653.61383,78682985653.61383,44947776779342.62,44947776779342.62,44947776779342.62,44947776779342.62,0.0,0.0,0.0,0.0,44947776779342.62,44947776779342.62,44947776779342.62,44947776779342.62,40192451703927.734,40192451703927.734,40192451703927.734,40192451703927.734,40192451703927.734,2007531680587.253,2007531680587.253,2007531680587.253,4642449539592.956,4449182865959.032,4449182865959.032,84568984358629.27,40059900746335.19,44509083612294.234,44509083612294.234,191262477243.47714,191262477243.47714,0.0,18690.460109855616,18690.460109855616,18690.460109855616,18690.460109855616,18690.460109855616,18690.460109855616,18690.460109855616,18690.460109855616,2004196390.4464047,2004196390.4464047,0.0,0.0 
August,45240511178815.03,38566194522645.29,38566194522645.29,38566194522645.29,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,38565989531445.29,38565989531445.29,38565989531445.29,12904670476800.0,12904670476800.0,12904670476800.0,22155320006332.06,22155320006332.06,22155320006332.06,3505999048313.202,3505999048313.202,3505999048313.202,163791026776154.5,38222023065785.03,38124318396573.65,32567938570.394062,0.0,32567938570.394062,0.0,38189455127214.64,38124318396573.65,38189455127214.64,38124318396573.65,97704669211.38618,32567938570.394062,32567938570.394062,65136730640.99214,65136730640.99214,45240511178815.02,45240511178815.02,45240511178815.02,45240511178815.02,0.0,0.0,0.0,0.0,45240511178815.02,45240511178815.02,45240511178815.02,45240511178815.02,40453900234802.63,40453900234802.63,40453900234802.63,40453900234802.63,40453900234802.63,2016753010298.5469,2016753010298.5469,2016753010298.5469,4657563645871.217,4475387660231.314,4475387660231.314,85115103475566.92,40319857907667.79,44795245567899.14,44795245567899.14,180174959055.5118,180174959055.5118,0.0,18687.44153541974,18687.44153541974,18687.44153541974,18687.44153541974,18687.44153541974,18687.44153541974,18687.44153541974,18687.44153541974,2001026584.384457,2001026584.384457,0.0,0.0 
September,40665454829283.016,35193712721310.21,35193712721310.21,35193712721310.21,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,35193523475070.21,35193523475070.21,35193523475070.21,12488390784000.0,12488390784000.0,12488390784000.0,19505721466063.883,19505721466063.883,19505721466063.883,3199411225006.391,3199411225006.391,3199411225006.391,132517635783049.94,34796691279081.574,34692583825345.656,41330738925.34263,0.0,41330738925.34263,0.0,34755360540156.25,34692583825345.656,34755360540156.25,34692583825345.656,104107453735.91115,41330738925.34263,41330738925.34263,62776714810.56865,62776714810.56865,40665454829283.016,40665454829283.016,40665454829283.016,40665454829283.016,0.0,0.0,0.0,0.0,40665454829283.016,40665454829283.016,40665454829283.016,40665454829283.016,31462576840355.29,31462576840355.29,31462576840355.29,31462576840355.29,31462576840355.29,1784415493974.1333,1784415493974.1333,1784415493974.1333,3687326613998.6816,3496637129293.2393,3496637129293.2393,66258367663613.04,31380865267159.953,34877502396453.187,34877502396453.187,188863467859.96634,188863467859.96634,0.0,14626.390197872828,14626.390197872828,14626.390197872828,14626.390197872828,14626.390197872828,14626.390197872828,14626.390197872828,14626.390197872828,1826016845.4721174,1826016845.4721174,0.0,0.0 
October,35826190212764.38,32487617236933.086,32487617236933.086,32487617236933.086,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,32487419504773.086,32487419504773.086,32487419504773.086,12904670476800.0,12904670476800.0,12904670476800.0,16629347254811.906,16629347254811.906,16629347254811.906,2953401773161.1914,2953401773161.1914,2953401773161.1914,76286958669953.34,32045682273882.35,31906287423439.336,45124904473.49715,0.0,45124904473.49715,0.0,32000557369408.85,31906287423439.336,32000557369408.85,31906287423439.336,139394850443.00684,45124904473.49715,45124904473.49715,94269945969.50961,94269945969.50961,35826190212764.38,35826190212764.38,35826190212764.38,35826190212764.38,0.0,0.0,0.0,0.0,35826190212764.38,35826190212764.38,35826190212764.38,35826190212764.38,14232275730064.252,14232275730064.252,14232275730064.252,14232275730064.252,14232275730064.252,1628984200654.4167,1628984200654.4167,1628984200654.4167,1709588775176.8828,1597635919006.3584,1597635919006.3584,30009000666006.758,14205682373500.205,15803318292506.563,15803318292506.563,110541016149.58936,110523844149.58936,17172000.0,6914.437769817054,6914.437769817054,6914.437769817054,6914.437769817054,6914.437769817054,6914.437769817054,6914.437769817054,6914.437769817054,1411840020.933819,1411840020.933819,0.0,0.0 
