Time,ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE:ATLANTA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:ATLANTA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.667878E+07,0.000000E+00,1.925941E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.816495E+01,3.469904E+01,2.848493E+01,3.405957E+01
02:00:00,0.000000E+00,1.667443E+07,0.000000E+00,1.925438E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
03:00:00,0.000000E+00,1.667127E+07,0.000000E+00,1.925074E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
04:00:00,0.000000E+00,1.666877E+07,0.000000E+00,1.924785E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
05:00:00,0.000000E+00,1.666681E+07,0.000000E+00,1.924559E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
06:00:00,0.000000E+00,1.666560E+07,0.000000E+00,1.924418E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
07:00:00,0.000000E+00,1.667796E+07,0.000000E+00,1.925846E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.751219E+01,3.604608E+01,2.848493E+01,3.405957E+01
08:00:00,0.000000E+00,1.671125E+07,0.000000E+00,1.929691E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.807275E+01,3.488581E+01,2.848493E+01,3.405957E+01
09:00:00,0.000000E+00,1.674908E+07,0.000000E+00,1.934059E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.807275E+01,3.488581E+01,2.848493E+01,3.405957E+01
10:00:00,0.000000E+00,1.677467E+07,0.000000E+00,1.937014E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848493E+01,3.405957E+01,2.848493E+01,3.405957E+01
