Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.963962E+03,1.828442E+07,1.857160E+07,0.000000E+00,0.000000E+00,2.503723E+03,2.411461E+07,2.449336E+07
02:00:00,0.000000E+00,0.000000E+00,1.951385E+03,1.688735E+07,1.715259E+07,0.000000E+00,0.000000E+00,2.503070E+03,2.410832E+07,2.448697E+07
03:00:00,0.000000E+00,0.000000E+00,1.953049E+03,1.690176E+07,1.716722E+07,0.000000E+00,0.000000E+00,2.502596E+03,2.410375E+07,2.448233E+07
04:00:00,0.000000E+00,0.000000E+00,1.950480E+03,1.687952E+07,1.714463E+07,0.000000E+00,0.000000E+00,2.502221E+03,2.410014E+07,2.447866E+07
05:00:00,0.000000E+00,0.000000E+00,1.949902E+03,1.687452E+07,1.713956E+07,0.000000E+00,0.000000E+00,2.501927E+03,2.409731E+07,2.447579E+07
06:00:00,0.000000E+00,0.000000E+00,1.949636E+03,1.687222E+07,1.713722E+07,0.000000E+00,0.000000E+00,2.501744E+03,2.409555E+07,2.447399E+07
07:00:00,0.000000E+00,0.000000E+00,2.178040E+03,1.884883E+07,1.914487E+07,0.000000E+00,0.000000E+00,2.503600E+03,2.411342E+07,2.449215E+07
08:00:00,0.000000E+00,0.000000E+00,2.187829E+03,2.016592E+07,2.048265E+07,0.000000E+00,0.000000E+00,2.508598E+03,2.416156E+07,2.454105E+07
09:00:00,0.000000E+00,0.000000E+00,2.429930E+03,2.239744E+07,2.274922E+07,0.000000E+00,0.000000E+00,2.514276E+03,2.421625E+07,2.459660E+07
10:00:00,0.000000E+00,0.000000E+00,2.438869E+03,2.348996E+07,2.385890E+07,0.000000E+00,0.000000E+00,2.518118E+03,2.425325E+07,2.463418E+07
11:00:00,0.000000E+00,0.000000E+00,2.438401E+03,2.348546E+07,2.385432E+07,0.000000E+00,0.000000E+00,2.521510E+03,2.428592E+07,2.466736E+07
12:00:00,0.000000E+00,0.000000E+00,2.440030E+03,2.350115E+07,2.387026E+07,0.000000E+00,0.000000E+00,2.525293E+03,2.432236E+07,2.470437E+07
13:00:00,0.000000E+00,0.000000E+00,2.440442E+03,2.350512E+07,2.387429E+07,0.000000E+00,0.000000E+00,2.529047E+03,2.435852E+07,2.474109E+07
14:00:00,0.000000E+00,0.000000E+00,2.440631E+03,2.350694E+07,2.387614E+07,0.000000E+00,0.000000E+00,2.531455E+03,2.438171E+07,2.476466E+07
15:00:00,0.000000E+00,0.000000E+00,2.440739E+03,2.350798E+07,2.387720E+07,0.000000E+00,0.000000E+00,2.531980E+03,2.438676E+07,2.476979E+07
16:00:00,0.000000E+00,0.000000E+00,2.440809E+03,2.350865E+07,2.387788E+07,0.000000E+00,0.000000E+00,2.530696E+03,2.437440E+07,2.475723E+07
17:00:00,0.000000E+00,0.000000E+00,2.440848E+03,2.350903E+07,2.387827E+07,0.000000E+00,0.000000E+00,2.527851E+03,2.434700E+07,2.472940E+07
18:00:00,0.000000E+00,0.000000E+00,2.440858E+03,2.350913E+07,2.387837E+07,0.000000E+00,0.000000E+00,2.523852E+03,2.430848E+07,2.469028E+07
19:00:00,0.000000E+00,0.000000E+00,2.245528E+03,2.162780E+07,2.196749E+07,0.000000E+00,0.000000E+00,2.519626E+03,2.426778E+07,2.464893E+07
20:00:00,0.000000E+00,0.000000E+00,2.239914E+03,2.085353E+07,2.118106E+07,0.000000E+00,0.000000E+00,2.516323E+03,2.423597E+07,2.461662E+07
21:00:00,0.000000E+00,0.000000E+00,2.240688E+03,2.086073E+07,2.118837E+07,0.000000E+00,0.000000E+00,2.512228E+03,2.419653E+07,2.457656E+07
22:00:00,0.000000E+00,0.000000E+00,2.239549E+03,2.085012E+07,2.117760E+07,0.000000E+00,0.000000E+00,2.508218E+03,2.415790E+07,2.453733E+07
23:00:00,0.000000E+00,0.000000E+00,2.239300E+03,2.084781E+07,2.117525E+07,0.000000E+00,0.000000E+00,2.506015E+03,2.413668E+07,2.451578E+07
24:00:00,0.000000E+00,0.000000E+00,2.239190E+03,2.084679E+07,2.117421E+07,0.000000E+00,0.000000E+00,2.504647E+03,2.412351E+07,2.450240E+07
Coinc Peak   ,0.000000E+00,2.531980E+03,0.000000E+00,2.438676E+07
NonCoinc Peak,0.000000E+00,2.531980E+03,0.000000E+00,2.438676E+07
