Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,25146517175192.176,23857206665910.965,23857206665910.965,23857206665910.965,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,23857008933750.965,23857008933750.965,23857008933750.965,12904670476800.0,12904670476800.0,12904670476800.0,8783519462973.596,8783519462973.596,8783519462973.596,2168818993977.358,2168818993977.358,2168818993977.358,19984450136484.258,19920648432728.6,19920648432728.6,0.0,0.0,0.0,0.0,19920648432728.6,19920648432728.6,19920648432728.6,19920648432728.6,25146517175192.176,25146517175192.176,25146517175192.176,25146517175192.176,0.0,0.0,0.0,0.0,25146517175192.176,25146517175192.176,25146517175192.176,25146517175192.176,19048302921.183205,19048302921.183205,19048302921.183205,19048302921.183205,19048302921.183205,1283754509370.8223,1283754509370.8223,1283754509370.8223,5555999910.385569,5555495115.883453,5555495115.883453,44753400834.46447,19598952859.290504,25154447975.173954,25154447975.173954,504794.5021073551,504794.5021073551,0.0,0.0 
February,22823829034261.617,21628263303183.746,21628263303183.746,21628263303183.746,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,21628083769743.746,21628083769743.746,21628083769743.746,11655831398400.0,11655831398400.0,11655831398400.0,8006062937730.681,8006062937730.681,8006062937730.681,1966189433613.0693,1966189433613.0693,1966189433613.0693,18328336759715.93,17912312377156.8,17912312377156.8,0.0,0.0,0.0,0.0,17912312377156.8,17912312377156.8,17912312377156.8,17912312377156.8,22823829034261.617,22823829034261.617,22823829034261.617,22823829034261.617,0.0,0.0,0.0,0.0,22823829034261.617,22823829034261.617,22823829034261.617,22823829034261.617,127080476337.3604,127080476337.3604,127080476337.3604,127080476337.3604,127080476337.3604,1159416618764.5742,1159416618764.5742,1159416618764.5742,36149112313.251335,36145305827.72415,36145305827.72415,288943906221.76044,126399300197.01816,162544606024.7423,162544606024.7423,3806485.5272016884,3806485.5272016884,0.0,0.0 
March,25777346203855.492,24297999826923.66,24297999826923.66,24297999826923.66,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,24297794835723.66,24297794835723.66,24297794835723.66,12904670476800.0,12904670476800.0,12904670476800.0,9184233919312.436,9184233919312.436,9184233919312.436,2208890439611.243,2208890439611.243,2208890439611.243,22729358185187.7,20624301143432.637,20624301143432.637,0.0,0.0,0.0,0.0,20624301143432.637,20624301143432.637,20624301143432.637,20624301143432.637,25777346203855.492,25777346203855.492,25777346203855.492,25777346203855.492,0.0,0.0,0.0,0.0,25777346203855.492,25777346203855.492,25777346203855.492,25777346203855.492,640850217528.6803,640850217528.6803,640850217528.6803,640850217528.6803,640850217528.6803,1295550888375.3977,1295550888375.3977,1295550888375.3977,183795488556.41116,183767803221.2463,183767803221.2463,1464206824226.371,640219510502.5625,823987313723.8096,823987313723.8096,27685335.164812982,27685335.164812982,0.0,0.0 
April,29175432404901.65,26446622154186.594,26446622154186.594,26446622154186.594,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,26446440166986.594,26446440166986.594,26446440166986.594,12488390784000.0,12488390784000.0,12488390784000.0,11553827549624.186,11553827549624.186,11553827549624.186,2404221833362.4155,2404221833362.4155,2404221833362.4155,39562975381975.766,23438268523475.633,23438268523475.633,0.0,0.0,0.0,0.0,23438268523475.633,23438268523475.633,23438268523475.633,23438268523475.633,29175432404901.645,29175432404901.645,29175432404901.645,29175432404901.645,0.0,0.0,0.0,0.0,29175432404901.645,29175432404901.645,29175432404901.645,29175432404901.645,4894563406849.658,4894563406849.658,4894563406849.658,4894563406849.658,4894563406849.658,1324701066760.1348,1324701066760.1348,1324701066760.1348,1404109183954.891,1403971382907.9949,1403971382907.9949,11230143451650.41,4913086034371.209,6317057417279.199,6317057417279.199,137801046.89769977,137801046.89769977,0.0,0.0 
May,33401922000997.64,29196673323921.867,29196673323921.867,29196673323921.867,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,29196468332721.867,29196468332721.867,29196468332721.867,12904670476800.0,12904670476800.0,12904670476800.0,13637573462038.06,13637573462038.06,13637573462038.06,2654224393883.8022,2654224393883.8022,2654224393883.8022,59378186138674.32,27103946589840.63,27103946589840.63,0.0,0.0,0.0,0.0,27103946589840.63,27103946589840.63,27103946589840.63,27103946589840.63,33401922000997.645,33401922000997.645,33401922000997.645,33401922000997.645,0.0,0.0,0.0,0.0,33401922000997.645,33401922000997.645,33401922000997.645,33401922000997.645,9801275816111.445,9801275816111.445,9801275816111.445,9801275816111.445,9801275816111.445,1438732476093.003,1438732476093.003,1438732476093.003,2766516200982.7783,2766287517118.712,2766287517118.712,22472963732722.223,9853338107801.746,12619625624920.463,12619625624920.463,228683864.06509826,228683864.06509826,0.0,0.0 
June,34981423838099.86,27869702016547.027,27869702016547.027,27869702016547.027,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,27869505511267.027,27869505511267.027,27869505511267.027,12488390784000.0,12488390784000.0,12488390784000.0,12847523317151.85,12847523317151.85,12847523317151.85,2533591410115.184,2533591410115.184,2533591410115.184,93148596172919.8,26821386218348.33,26821386218348.33,0.0,0.0,0.0,0.0,26821386218348.33,26821386218348.33,26821386218348.33,26821386218348.33,34981423838099.855,34981423838099.855,34981423838099.855,34981423838099.855,0.0,0.0,0.0,0.0,34981423838099.855,34981423838099.855,34981423838099.855,34981423838099.855,20158762363680.793,20158762363680.793,20158762363680.793,20158762363680.793,20158762363680.793,1397251281308.409,1397251281308.409,1397251281308.409,5714470540244.428,5714022019991.99,5714022019991.99,46168447590890.72,20227212785449.38,25941234805441.336,25941234805441.336,448520252.43843925,448520252.43843925,0.0,0.0 
July,38500285960082.805,28977785175748.43,28977785175748.43,28977785175748.43,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,28977594702628.43,28977594702628.43,28977594702628.43,12904670476800.0,12904670476800.0,12904670476800.0,13438597434680.373,13438597434680.373,13438597434680.373,2634326791148.0386,2634326791148.0386,2634326791148.0386,122249165697314.5,28399666487792.18,28399666487792.18,0.0,0.0,0.0,0.0,28399666487792.18,28399666487792.18,28399666487792.18,28399666487792.18,38500285960082.805,38500285960082.805,38500285960082.805,38500285960082.805,0.0,0.0,0.0,0.0,38500285960082.805,38500285960082.805,38500285960082.805,38500285960082.805,28566742629335.1,28566742629335.1,28566742629335.1,28566742629335.1,28566742629335.1,1459154446549.4504,1459154446549.4504,1459154446549.4504,8063346337784.94,8062780884998.493,8062780884998.493,65282756580187.25,28609987847594.4,36672768732592.9,36672768732592.9,565452786.451289,565452786.451289,0.0,0.0 
August,37568914126026.375,28874585371578.223,28874585371578.223,28874585371578.223,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,28874380380378.223,28874380380378.223,28874380380378.223,12904670476800.0,12904670476800.0,12904670476800.0,13344766232634.746,13344766232634.746,13344766232634.746,2624943670943.4717,2624943670943.4717,2624943670943.4717,113274161742821.34,28438358768883.563,28438358768883.563,0.0,0.0,0.0,0.0,28438358768883.563,28438358768883.563,28438358768883.563,28438358768883.563,37568914126026.375,37568914126026.375,37568914126026.375,37568914126026.375,0.0,0.0,0.0,0.0,37568914126026.375,37568914126026.375,37568914126026.375,37568914126026.375,25750321655737.406,25750321655737.406,25750321655737.406,25750321655737.406,25750321655737.406,1458203327222.1536,1458203327222.1536,1458203327222.1536,7236125427225.915,7235606235040.258,7235606235040.258,59085481318200.445,25924937541580.11,33160543776620.336,33160543776620.336,519192185.6637031,519192185.6637031,0.0,0.0 
September,34313759303913.043,28202267510100.58,28202267510100.58,28202267510100.58,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,28202078263860.58,28202078263860.58,28202078263860.58,12488390784000.0,12488390784000.0,12488390784000.0,13149862183145.996,13149862183145.996,13149862183145.996,2563825296714.5967,2563825296714.5967,2563825296714.5967,82741398910110.98,27240319370476.574,27240319370476.574,0.0,0.0,0.0,0.0,27240319370476.574,27240319370476.574,27240319370476.574,27240319370476.574,34313759303913.043,34313759303913.043,34313759303913.043,34313759303913.043,0.0,0.0,0.0,0.0,34313759303913.043,34313759303913.043,34313759303913.043,34313759303913.043,16840140525092.73,16840140525092.73,16840140525092.73,16840140525092.73,16840140525092.73,1409955162742.715,1409955162742.715,1409955162742.715,4701536631069.761,4701199732724.85,4701199732724.85,38660939014541.6,16979869640908.393,21681069373633.25,21681069373633.25,336898344.91215783,336898344.91215783,0.0,0.0 
October,31771421388950.813,29700761167396.125,29700761167396.125,29700761167396.125,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,29700563435236.125,29700563435236.125,29700563435236.125,12904670476800.0,12904670476800.0,12904670476800.0,14095841737050.977,14095841737050.977,14095841737050.977,2700051221385.099,2700051221385.099,2700051221385.099,34915287724888.047,27639392575193.465,27639392575193.465,0.0,0.0,0.0,0.0,27639392575193.465,27639392575193.465,27639392575193.465,27639392575193.465,31771421388950.813,31771421388950.813,31771421388950.813,31771421388950.813,0.0,0.0,0.0,0.0,31771421388950.813,31771421388950.813,31771421388950.813,31771421388950.813,2209658173977.667,2209658173977.667,2209658173977.667,2209658173977.667,2209658173977.667,1456250561713.1868,1456250561713.1868,1456250561713.1868,614409659841.5538,614362611549.7994,614362611549.7994,5066236975716.899,2225937182083.549,2840299793633.3437,2840299793633.3437,47048291.75496981,47048291.75496981,0.0,0.0 
