Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.742233E+03,1.608329E+07,1.633590E+07,0.000000E+00,0.000000E+00,2.479855E+03,2.367985E+07,2.405177E+07
02:00:00,0.000000E+00,0.000000E+00,1.729624E+03,1.484676E+07,1.507995E+07,0.000000E+00,0.000000E+00,2.479497E+03,2.367643E+07,2.404829E+07
03:00:00,0.000000E+00,0.000000E+00,1.732320E+03,1.486990E+07,1.510345E+07,0.000000E+00,0.000000E+00,2.479210E+03,2.367369E+07,2.404551E+07
04:00:00,0.000000E+00,0.000000E+00,1.729869E+03,1.484887E+07,1.508209E+07,0.000000E+00,0.000000E+00,2.478967E+03,2.367137E+07,2.404315E+07
05:00:00,0.000000E+00,0.000000E+00,1.729322E+03,1.484417E+07,1.507732E+07,0.000000E+00,0.000000E+00,2.478764E+03,2.366943E+07,2.404119E+07
06:00:00,0.000000E+00,0.000000E+00,1.728978E+03,1.484122E+07,1.507432E+07,0.000000E+00,0.000000E+00,2.480063E+03,2.368183E+07,2.405378E+07
07:00:00,0.000000E+00,0.000000E+00,1.972439E+03,1.693104E+07,1.719697E+07,0.000000E+00,0.000000E+00,2.483333E+03,2.371305E+07,2.408549E+07
08:00:00,0.000000E+00,0.000000E+00,1.982204E+03,1.811726E+07,1.840181E+07,0.000000E+00,0.000000E+00,2.487522E+03,2.375306E+07,2.412613E+07
09:00:00,0.000000E+00,0.000000E+00,2.234355E+03,2.042190E+07,2.074265E+07,0.000000E+00,0.000000E+00,2.491718E+03,2.379313E+07,2.416683E+07
10:00:00,0.000000E+00,0.000000E+00,2.243108E+03,2.141918E+07,2.175559E+07,0.000000E+00,0.000000E+00,2.495428E+03,2.382855E+07,2.420280E+07
11:00:00,0.000000E+00,0.000000E+00,2.241964E+03,2.140825E+07,2.174449E+07,0.000000E+00,0.000000E+00,2.498388E+03,2.385681E+07,2.423151E+07
12:00:00,0.000000E+00,0.000000E+00,2.243538E+03,2.142328E+07,2.175976E+07,0.000000E+00,0.000000E+00,2.500448E+03,2.387649E+07,2.425149E+07
13:00:00,0.000000E+00,0.000000E+00,2.243977E+03,2.142747E+07,2.176402E+07,0.000000E+00,0.000000E+00,2.501566E+03,2.388716E+07,2.426234E+07
14:00:00,0.000000E+00,0.000000E+00,2.244259E+03,2.143017E+07,2.176675E+07,0.000000E+00,0.000000E+00,2.501717E+03,2.388861E+07,2.426381E+07
15:00:00,0.000000E+00,0.000000E+00,2.244456E+03,2.143205E+07,2.176867E+07,0.000000E+00,0.000000E+00,2.500864E+03,2.388046E+07,2.425553E+07
16:00:00,0.000000E+00,0.000000E+00,2.244594E+03,2.143337E+07,2.177001E+07,0.000000E+00,0.000000E+00,2.498972E+03,2.386239E+07,2.423718E+07
17:00:00,0.000000E+00,0.000000E+00,2.244686E+03,2.143424E+07,2.177089E+07,0.000000E+00,0.000000E+00,2.496126E+03,2.383522E+07,2.420958E+07
18:00:00,0.000000E+00,0.000000E+00,2.244735E+03,2.143471E+07,2.177137E+07,0.000000E+00,0.000000E+00,2.492467E+03,2.380027E+07,2.417409E+07
19:00:00,0.000000E+00,0.000000E+00,2.040944E+03,1.948874E+07,1.979483E+07,0.000000E+00,0.000000E+00,2.488314E+03,2.376062E+07,2.413381E+07
20:00:00,0.000000E+00,0.000000E+00,2.035343E+03,1.878912E+07,1.908422E+07,0.000000E+00,0.000000E+00,2.484699E+03,2.372610E+07,2.409874E+07
21:00:00,0.000000E+00,0.000000E+00,2.036593E+03,1.880066E+07,1.909594E+07,0.000000E+00,0.000000E+00,2.482641E+03,2.370645E+07,2.407878E+07
22:00:00,0.000000E+00,0.000000E+00,2.035523E+03,1.879078E+07,1.908591E+07,0.000000E+00,0.000000E+00,2.481563E+03,2.369616E+07,2.406833E+07
23:00:00,0.000000E+00,0.000000E+00,2.035295E+03,1.878868E+07,1.908378E+07,0.000000E+00,0.000000E+00,2.480858E+03,2.368942E+07,2.406149E+07
24:00:00,0.000000E+00,0.000000E+00,2.035153E+03,1.878736E+07,1.908244E+07,0.000000E+00,0.000000E+00,2.480309E+03,2.368418E+07,2.405617E+07
Coinc Peak   ,0.000000E+00,2.501717E+03,0.000000E+00,2.388861E+07
NonCoinc Peak,0.000000E+00,2.501717E+03,0.000000E+00,2.388861E+07
