Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,24327419822770.246,22540203959575.3,22540203959575.3,22540203959575.3,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,22540006227415.3,22540006227415.3,22540006227415.3,12904670476800.0,12904670476800.0,12904670476800.0,7586244275395.738,7586244275395.738,7586244275395.738,2049091475219.5725,2049091475219.5725,2049091475219.5725,22217316671311.875,22217316671311.875,21343278310997.477,874038360314.4043,0.0,874038360314.4043,0.0,21343278310997.477,21343278310997.477,21343278310997.477,21343278310997.477,874038360314.4043,874038360314.4043,874038360314.4043,0.0,0.0,24327419822770.246,24327419822770.246,24327419822770.246,24327419822770.246,0.0,0.0,0.0,0.0,24327419822770.246,24327419822770.246,24327419822770.246,24327419822770.246,0.0,0.0,0.0,0.0,0.0,1775912799194.967,1775912799194.967,1775912799194.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11303064000.0,0.0,0.0,0.0,0.0,11303064000.0,0.0,11303064000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,21874291003662.395,20259857974690.46,20259857974690.46,20259857974690.46,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,20259678441250.46,20259678441250.46,20259678441250.46,11655831398400.0,11655831398400.0,11655831398400.0,6762058093645.874,6762058093645.874,6762058093645.874,1841788949204.5884,1841788949204.5884,1841788949204.5884,20101143473065.17,20101143473065.17,19193434846285.207,907708626779.9674,0.0,907708626779.9674,0.0,19193434846285.207,19193434846285.207,19193434846285.207,19193434846285.207,907708626779.9674,907708626779.9674,907708626779.9674,0.0,0.0,21874291003662.395,21874291003662.395,21874291003662.395,21874291003662.395,0.0,0.0,0.0,0.0,21874291003662.395,21874291003662.395,21874291003662.395,21874291003662.395,0.0,0.0,0.0,0.0,0.0,1606273736971.9224,1606273736971.9224,1606273736971.9224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8159292000.0,0.0,0.0,0.0,0.0,8159292000.0,0.0,8159292000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
March,25476141418768.742,23660164848641.496,23660164848641.496,23660164848641.496,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,23659959857441.496,23659959857441.496,23659959857441.496,12904670476800.0,12904670476800.0,12904670476800.0,8604383939055.89,8604383939055.89,8604383939055.89,2150905441585.5896,2150905441585.5896,2150905441585.5896,23468043341427.85,23468043341427.85,22591553969211.746,875956726261.0186,0.0,875956726261.0186,0.0,22592086615166.84,22591553969211.746,22592086615166.84,22591553969211.746,876489372216.12,875956726261.0186,875956726261.0186,532645955.1014833,532645955.1014833,25476141418768.742,25476141418768.742,25476141418768.742,25476141418768.742,0.0,0.0,0.0,0.0,25476141418768.742,25476141418768.742,25476141418768.742,25476141418768.742,0.0,0.0,0.0,0.0,0.0,1813135414127.297,1801132726315.8284,1801132726315.8284,12002687811.468975,12002687811.468975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841156000.0,0.0,0.0,0.0,0.0,2841156000.0,0.0,2841156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
April,28187296810183.246,25743706341696.08,25743706341696.08,25743706341696.08,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,25743524354496.08,25743524354496.08,25743524354496.08,12488390784000.0,12488390784000.0,12488390784000.0,10914813174632.799,10914813174632.799,10914813174632.799,2340320395863.279,2340320395863.279,2340320395863.279,32115816457231.117,25554024732933.902,24847383409421.676,689718103569.5349,0.0,689718103569.5349,0.0,24864306629364.41,24847383409421.676,24864306629364.41,24847383409421.676,706641323512.271,689718103569.5349,689718103569.5349,16923219942.736122,16923219942.736122,28187296810183.246,28187296810183.246,28187296810183.246,28187296810183.246,0.0,0.0,0.0,0.0,28187296810183.246,28187296810183.246,28187296810183.246,28187296810183.246,2112589867833.2024,2112589867833.2024,2112589867833.2024,2112589867833.2024,2112589867833.2024,2189030020522.048,1806438946531.4766,1806438946531.4766,624509768275.813,624509768275.813,2519.5902616486883,1375.0917474628793,1375.0917474628793,1375.0917474628793,2519.5902616486883,1375.0917474628793,1375.0917474628793,1375.0917474628793,254560447965.11978,4449201856464.018,2103641581089.3882,2345560275374.629,2345560275374.629,12439697518.311447,11507873518.311447,931824000.0,1144.498514185809,1144.498514185809,1144.498514185809,1144.498514185809,1144.498514185809,1144.498514185809,202056161.56885532,202056161.56885532,0.0,0.0 
May,33147631815887.54,30235010167754.547,30235010167754.547,30235010167754.547,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30234805176554.547,30234805176554.547,30234805176554.547,12904670476800.0,12904670476800.0,12904670476800.0,14581516047340.514,14581516047340.514,14581516047340.514,2748618652414.052,2748618652414.052,2748618652414.052,33462011976641.78,29986139542329.316,29510286699306.535,403367037702.81305,0.0,403367037702.81305,0.0,29582772504626.516,29510286699306.535,29582772504626.516,29510286699306.535,475852843022.78436,403367037702.81305,403367037702.81305,72485805319.97139,72485805319.97139,33147631815887.54,33147631815887.54,33147631815887.54,33147631815887.54,0.0,0.0,0.0,0.0,33147631815887.54,33147631815887.54,33147631815887.54,33147631815887.54,1136629562630.8826,1136629562630.8826,1136629562630.8826,1136629562630.8826,1136629562630.8826,2775752767710.1094,1955063048600.9119,1955063048600.9119,948937744687.3544,948937744687.3544,3559.6847476191488,2876.614841780891,2876.614841780891,2876.614841780891,3559.6847476191488,2876.614841780891,2876.614841780891,2876.614841780891,136868880422.85504,2339242871681.581,1105497423051.7092,1233745448629.8716,1233745448629.8716,8478346564.009291,8457448564.009291,20898000.0,683.069905838259,683.069905838259,683.069905838259,683.069905838259,683.069905838259,683.069905838259,142508280.68320337,142508280.68320337,0.0,0.0 
June,35615864412346.06,31340232101714.246,31340232101714.246,31340232101714.246,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,31340035596434.246,31340035596434.246,31340035596434.246,12488390784000.0,12488390784000.0,12488390784000.0,16002550667303.912,16002550667303.912,16002550667303.912,2849094145130.3887,2849094145130.3887,2849094145130.3887,47443809191231.34,31325582503897.67,30728376911837.8,299031175508.2595,0.0,299031175508.2595,0.0,31026551328389.406,30728376911837.8,31026551328389.406,30728376911837.8,597205592059.8427,299031175508.2595,299031175508.2595,298174416551.583,298174416551.583,35615864412346.06,35615864412346.06,35615864412346.06,35615864412346.06,0.0,0.0,0.0,0.0,35615864412346.06,35615864412346.06,35615864412346.06,35615864412346.06,5203188689306.824,5203188689306.824,5203188689306.824,5203188689306.824,5203188689306.824,3648310161646.471,1929650136641.7546,1929650136641.7546,2318243139572.422,2318243139572.422,8991.957586479524,6050.304844406546,6050.304844406546,6050.304844406546,8991.957586479524,6050.304844406546,6050.304844406546,6050.304844406546,627322148985.3125,10915037998026.896,5157727441729.586,5757310556297.31,5757310556297.31,27179954980.239677,27179954980.239677,0.0,2941.6527420729744,2941.6527420729744,2941.6527420729744,2941.6527420729744,2941.6527420729744,2941.6527420729744,559079437.3516214,559079437.3516214,0.0,0.0 
July,38582824333148.44,32845293636376.55,32845293636376.55,32845293636376.55,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,32845103163256.55,32845103163256.55,32845103163256.55,12904670476800.0,12904670476800.0,12904670476800.0,16954514217069.637,16954514217069.637,16954514217069.637,2985918469386.9604,2985918469386.9604,2985918469386.9604,68557917982189.0,33166310657025.824,32255214412151.383,292601850083.52277,0.0,292601850083.52277,0.0,32873708806942.312,32255214412151.383,32873708806942.312,32255214412151.383,911096244874.4839,292601850083.52277,292601850083.52277,618494394790.9603,618494394790.9603,38582824333148.44,38582824333148.44,38582824333148.44,38582824333148.44,0.0,0.0,0.0,0.0,38582824333148.44,38582824333148.44,38582824333148.44,38582824333148.44,11373808430254.355,11373808430254.355,11373808430254.355,11373808430254.355,11373808430254.355,4363146787095.7197,1993326800318.8154,1993326800318.8154,3706884806211.5493,3706884806211.5493,14082.247847877734,8227.977311887504,8227.977311887504,8227.977311887504,14082.247847877734,8227.977311887504,8227.977311887504,8227.977311887504,1374383909676.118,24017798894908.85,11340367037737.086,12677431857171.736,12677431857171.736,35931672791.326416,35931672791.326416,0.0,5854.270535990235,5854.270535990235,5854.270535990235,5854.270535990235,5854.270535990235,5854.270535990235,1387417450.1338067,1387417450.1338067,0.0,0.0 
August,38015352258646.04,33097197609280.695,33097197609280.695,33097197609280.695,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,33096992618080.695,33096992618080.695,33096992618080.695,12904670476800.0,12904670476800.0,12904670476800.0,17183504630546.111,17183504630546.111,17183504630546.111,3008817510734.607,3008817510734.607,3008817510734.607,52315290329371.95,33555950021622.6,32517317000713.98,276542597983.72174,0.0,276542597983.72174,0.0,33279407423638.875,32517317000713.98,33279407423638.875,32517317000713.98,1038633020908.5822,276542597983.72174,276542597983.72174,762090422924.8605,762090422924.8605,38015352258646.04,38015352258646.04,38015352258646.04,38015352258646.04,0.0,0.0,0.0,0.0,38015352258646.04,38015352258646.04,38015352258646.04,38015352258646.04,6029648046446.396,6029648046446.396,6029648046446.396,6029648046446.396,6029648046446.396,4197790206067.9727,1956256181276.1392,1956256181276.1392,2943374838328.682,2943374838328.682,10159.578073837685,7073.284215217478,7073.284215217478,7073.284215217478,10159.578073837685,7073.284215217478,7073.284215217478,7073.284215217478,720364443297.3486,12729692261302.969,6013925723883.063,6715766537419.921,6715766537419.921,17529830702.680687,17529830702.680687,0.0,3086.293858620209,3086.293858620209,3086.293858620209,3086.293858620209,3086.293858620209,3086.293858620209,993799057.8027635,993799057.8027635,0.0,0.0 
September,37121475689572.836,33496637540564.598,33496637540564.598,33496637540564.598,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,33496448294324.598,33496448294324.598,33496448294324.598,12488390784000.0,12488390784000.0,12488390784000.0,17962925847204.176,17962925847204.176,17962925847204.176,3045131663120.422,3045131663120.422,3045131663120.422,42041075312748.13,33571866732153.38,32707899526867.34,523908200837.51996,0.0,523908200837.51996,0.0,33047958531315.86,32707899526867.34,33047958531315.86,32707899526867.34,863967205286.0337,523908200837.51996,523908200837.51996,340059004448.513,340059004448.513,37121475689572.83,37121475689572.83,37121475689572.83,37121475689572.83,0.0,0.0,0.0,0.0,37121475689572.83,37121475689572.83,37121475689572.83,37121475689572.83,2721368749955.354,2721368749955.354,2721368749955.354,2721368749955.354,2721368749955.354,3299134905145.4805,1997580917589.3174,1997580917589.3174,1615985032738.0894,1615985032738.0894,4735.8211086138635,3359.574197288505,3359.574197288505,3359.574197288505,4735.8211086138635,3359.574197288505,3359.574197288505,3359.574197288505,325703243862.7417,5747839830639.414,2716704392728.7446,3031135437910.67,3031135437910.67,10847143641.718805,10847143641.718805,0.0,1376.246911325357,1376.246911325357,1376.246911325357,1376.246911325357,1376.246911325357,1376.246911325357,425055039.09613836,425055039.09613836,0.0,0.0 
October,32185660852701.98,30086644814234.168,30086644814234.168,30086644814234.168,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,30086447082074.168,30086447082074.168,30086447082074.168,12904670476800.0,12904670476800.0,12904670476800.0,14446645052358.348,14446645052358.348,14446645052358.348,2735131552915.836,2735131552915.836,2735131552915.836,29692155156523.445,29611619905336.336,29303287427824.363,258372225735.9574,0.0,258372225735.9574,0.0,29353247679600.363,29303287427824.363,29353247679600.363,29303287427824.363,308332477511.94806,258372225735.9574,258372225735.9574,49960251775.99088,49960251775.99088,32185660852701.977,32185660852701.977,32185660852701.977,32185660852701.977,0.0,0.0,0.0,0.0,32185660852701.977,32185660852701.977,32185660852701.977,32185660852701.977,24879678349.32434,24879678349.32434,24879678349.32434,24879678349.32434,24879678349.32434,2095607332165.7117,1912566019040.81,1912566019040.81,186096688807.26245,186096688807.26245,439.986929724501,425.50097389506715,425.50097389506715,425.50097389506715,439.986929724501,425.50097389506715,425.50097389506715,425.50097389506715,3408706302.0355535,55655572837.781586,26300098577.710506,29355474260.071083,29355474260.071083,350110410.60367393,109054410.6036739,241056000.0,14.485955829433882,14.485955829433882,14.485955829433882,14.485955829433882,14.485955829433882,14.485955829433882,3220209.0713032614,3220209.0713032614,0.0,0.0 
