Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,3.027887E+03,2.517087E+07,2.172673E+07,0.000000E+00,0.000000E+00,3.474992E+03,2.998024E+07,2.604469E+07
02:00:00,0.000000E+00,0.000000E+00,3.014767E+03,2.307873E+07,1.961838E+07,0.000000E+00,0.000000E+00,3.474529E+03,2.997624E+07,2.604122E+07
03:00:00,0.000000E+00,0.000000E+00,3.015947E+03,2.308776E+07,1.962605E+07,0.000000E+00,0.000000E+00,3.474167E+03,2.997312E+07,2.603851E+07
04:00:00,0.000000E+00,0.000000E+00,3.013303E+03,2.306752E+07,1.960884E+07,0.000000E+00,0.000000E+00,3.473877E+03,2.997062E+07,2.603634E+07
05:00:00,0.000000E+00,0.000000E+00,3.012720E+03,2.306306E+07,1.960505E+07,0.000000E+00,0.000000E+00,3.473634E+03,2.996852E+07,2.603452E+07
06:00:00,0.000000E+00,0.000000E+00,3.012460E+03,2.306107E+07,1.960336E+07,0.000000E+00,0.000000E+00,3.475102E+03,2.998119E+07,2.604552E+07
07:00:00,0.000000E+00,0.000000E+00,3.162774E+03,2.421176E+07,2.058152E+07,0.000000E+00,0.000000E+00,3.479025E+03,3.001503E+07,2.607492E+07
08:00:00,0.000000E+00,0.000000E+00,3.173061E+03,2.608718E+07,2.247335E+07,0.000000E+00,0.000000E+00,3.484153E+03,3.005927E+07,2.611335E+07
09:00:00,0.000000E+00,0.000000E+00,3.367883E+03,2.768890E+07,2.385318E+07,0.000000E+00,0.000000E+00,3.489167E+03,3.010253E+07,2.615093E+07
10:00:00,0.000000E+00,0.000000E+00,3.377054E+03,2.913529E+07,2.531066E+07,0.000000E+00,0.000000E+00,3.493025E+03,3.013581E+07,2.617985E+07
11:00:00,0.000000E+00,0.000000E+00,3.376868E+03,2.913368E+07,2.530927E+07,0.000000E+00,0.000000E+00,3.494988E+03,3.015275E+07,2.619456E+07
12:00:00,0.000000E+00,0.000000E+00,3.378501E+03,2.914777E+07,2.532150E+07,0.000000E+00,0.000000E+00,3.497802E+03,3.017703E+07,2.621566E+07
13:00:00,0.000000E+00,0.000000E+00,3.378902E+03,2.915123E+07,2.532451E+07,0.000000E+00,0.000000E+00,3.499669E+03,3.019314E+07,2.622965E+07
14:00:00,0.000000E+00,0.000000E+00,3.379081E+03,2.915277E+07,2.532585E+07,0.000000E+00,0.000000E+00,3.500441E+03,3.019980E+07,2.623543E+07
15:00:00,0.000000E+00,0.000000E+00,3.379182E+03,2.915365E+07,2.532661E+07,0.000000E+00,0.000000E+00,3.500110E+03,3.019694E+07,2.623295E+07
16:00:00,0.000000E+00,0.000000E+00,3.379248E+03,2.915421E+07,2.532710E+07,0.000000E+00,0.000000E+00,3.498686E+03,3.018466E+07,2.622228E+07
17:00:00,0.000000E+00,0.000000E+00,3.379285E+03,2.915453E+07,2.532738E+07,0.000000E+00,0.000000E+00,3.496288E+03,3.016397E+07,2.620431E+07
18:00:00,0.000000E+00,0.000000E+00,3.379293E+03,2.915460E+07,2.532744E+07,0.000000E+00,0.000000E+00,3.493224E+03,3.013754E+07,2.618134E+07
19:00:00,0.000000E+00,0.000000E+00,3.220308E+03,2.778297E+07,2.413586E+07,0.000000E+00,0.000000E+00,3.490452E+03,3.011362E+07,2.616057E+07
20:00:00,0.000000E+00,0.000000E+00,3.214588E+03,2.672291E+07,2.306641E+07,0.000000E+00,0.000000E+00,3.483424E+03,3.005299E+07,2.610789E+07
21:00:00,0.000000E+00,0.000000E+00,3.215127E+03,2.672740E+07,2.307028E+07,0.000000E+00,0.000000E+00,3.479718E+03,3.002102E+07,2.608012E+07
22:00:00,0.000000E+00,0.000000E+00,3.213984E+03,2.671790E+07,2.306208E+07,0.000000E+00,0.000000E+00,3.477652E+03,3.000319E+07,2.606464E+07
23:00:00,0.000000E+00,0.000000E+00,3.213741E+03,2.671587E+07,2.306033E+07,0.000000E+00,0.000000E+00,3.476426E+03,2.999261E+07,2.605545E+07
24:00:00,0.000000E+00,0.000000E+00,3.213637E+03,2.671501E+07,2.305959E+07,0.000000E+00,0.000000E+00,3.475600E+03,2.998548E+07,2.604925E+07
Coinc Peak   ,0.000000E+00,3.500441E+03,0.000000E+00,3.019980E+07
NonCoinc Peak,0.000000E+00,3.500441E+03,0.000000E+00,3.019980E+07
