Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,23162128999187.473,21822165898860.98,21822165898860.98,21822165898860.98,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,21821968166700.98,21821968166700.98,21821968166700.98,12904670476800.0,12904670476800.0,12904670476800.0,6933482402019.061,6933482402019.061,6933482402019.061,1983815287881.9043,1983815287881.9043,1983815287881.9043,21630401511619.816,21283531592705.37,20555998502753.734,727533089951.6337,0.0,727533089951.6337,0.0,20555998502753.734,20555998502753.734,20555998502753.734,20555998502753.734,727533089951.6337,727533089951.6337,727533089951.6337,0.0,0.0,23162128999187.477,23162128999187.477,23162128999187.477,23162128999187.477,0.0,0.0,0.0,0.0,23162128999187.477,23162128999187.477,23162128999187.477,23162128999187.477,111315488750.73312,111315488750.73312,111315488750.73312,111315488750.73312,111315488750.73312,1314358767691.0344,1314358767691.0344,1314358767691.0344,25604332635.47831,13257007347.379148,13257007347.379148,235554430163.69565,111148711408.1583,124405718755.53749,124405718755.53749,11259040802.75964,364802.75964070775,11258676000.0,22.225072633197662,22.225072633197662,22.225072633197662,22.225072633197662,22.225072633197662,22.225072633197662,22.225072633197662,22.225072633197662,1088284485.3395247,1088284485.3395247,0.0,0.0 
February,20800287095857.445,19571805088432.047,19571805088432.047,19571805088432.047,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,19571625554992.047,19571625554992.047,19571625554992.047,11655831398400.0,11655831398400.0,11655831398400.0,6136555469774.576,6136555469774.576,6136555469774.576,1779238686817.4573,1779238686817.4573,1779238686817.4573,20013468221508.48,19201839283568.207,18436231195428.688,765608088139.5474,0.0,765608088139.5474,0.0,18436231195428.688,18436231195428.688,18436231195428.688,18436231195428.688,765608088139.5474,765608088139.5474,765608088139.5474,0.0,0.0,20800287095857.445,20800287095857.445,20800287095857.445,20800287095857.445,0.0,0.0,0.0,0.0,20800287095857.445,20800287095857.445,20800287095857.445,20800287095857.445,260278711757.54178,260278711757.54178,260278711757.54178,260278711757.54178,260278711757.54178,1188140402106.3728,1188140402106.3728,1188140402106.3728,40341605319.047905,31080165909.842983,31080165909.842983,551350226182.7314,260135030136.44403,291215196046.28723,291215196046.28723,8200254158.322201,108840158.32220055,8091414000.0,122.45889063011242,122.45889063011242,122.45889063011242,122.45889063011242,122.45889063011242,122.45889063011242,122.45889063011242,122.45889063011242,1061185250.8827581,1061185250.8827581,0.0,0.0 
March,23415872486834.805,21989606209000.98,21989606209000.98,21989606209000.98,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,21989401217800.98,21989401217800.98,21989401217800.98,12904670476800.0,12904670476800.0,12904670476800.0,7085694266655.459,7085694266655.459,7085694266655.459,1999036474345.547,1999036474345.547,1999036474345.547,24249901780950.684,21472485153318.57,20875614686955.38,596870466363.2097,0.0,596870466363.2097,0.0,20875614686955.38,20875614686955.38,20875614686955.38,20875614686955.38,596870466363.2097,596870466363.2097,596870466363.2097,0.0,0.0,23415872486834.805,23415872486834.805,23415872486834.805,23415872486834.805,0.0,0.0,0.0,0.0,23415872486834.805,23415872486834.805,23415872486834.805,23415872486834.805,891047623952.7234,891047623952.7234,891047623952.7234,891047623952.7234,891047623952.7234,1312702443268.3013,1312702443268.3013,1312702443268.3013,113563834565.52423,105453167455.50941,105453167455.50941,1886369003679.3613,890457918111.9265,995911085567.4354,995911085567.4354,6916073628.859843,4104725628.859844,2811348000.0,523.3362964721365,523.3362964721365,523.3362964721365,523.3362964721365,523.3362964721365,523.3362964721365,523.3362964721365,523.3362964721365,1194593481.154892,1194593481.154892,0.0,0.0 
April,24555821094898.875,22557711769195.035,22557711769195.035,22557711769195.035,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,22557529781995.035,22557529781995.035,22557529781995.035,12488390784000.0,12488390784000.0,12488390784000.0,8018454472359.131,8018454472359.131,8018454472359.131,2050684525635.911,2050684525635.911,2050684525635.911,39873164589240.96,21982519080360.797,21683069313749.13,275156259582.8169,0.0,275156259582.8169,0.0,21707362820777.945,21683069313749.13,21707362820777.945,21683069313749.13,299449766611.624,275156259582.8169,275156259582.8169,24293507028.80721,24293507028.80721,24555821094898.875,24555821094898.875,24555821094898.875,24555821094898.875,0.0,0.0,0.0,0.0,24555821094898.875,24555821094898.875,24555821094898.875,24555821094898.875,5740665141672.629,5740665141672.629,5740665141672.629,5740665141672.629,5740665141672.629,1287829008007.2212,1287829008007.2212,1287829008007.2212,710280317696.5962,675316862306.1791,675316862306.1791,12149980367207.607,5737331752450.71,6412648614756.89,6412648614756.89,33494054000.917465,32580374000.91747,913680000.0,3237.996763818206,3237.996763818206,3237.996763818206,3237.996763818206,3237.996763818206,3237.996763818206,3237.996763818206,3237.996763818206,1469401389.499999,1469401389.499999,0.0,0.0 
May,29606629582763.78,26786977590291.793,26786977590291.793,26786977590291.793,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,26786772599091.793,26786772599091.793,26786772599091.793,12904670476800.0,12904670476800.0,12904670476800.0,11446940976919.8,11446940976919.8,11446940976919.8,2435161145371.9785,2435161145371.9785,2435161145371.9785,61800233113208.93,26355396862484.832,26174386743390.043,98124841660.35252,0.0,98124841660.35252,0.0,26257272020824.496,26174386743390.043,26257272020824.496,26174386743390.043,181010119094.83032,98124841660.35252,98124841660.35252,82885277434.47769,82885277434.47769,29606629582763.79,29606629582763.79,29606629582763.79,29606629582763.79,0.0,0.0,0.0,0.0,29606629582763.79,29606629582763.79,29606629582763.79,29606629582763.79,11388619665207.66,11388619665207.66,11388619665207.66,11388619665207.66,11388619665207.66,1419085268734.6042,1419085268734.6042,1419085268734.6042,1400566723737.3855,1305789870846.1858,1305789870846.1858,24056216585516.46,11375213357335.135,12681003228181.309,12681003228181.309,93105228360.9771,93084492360.9771,20736000.0,6762.335581761655,6762.335581761655,6762.335581761655,6762.335581761655,6762.335581761655,6762.335581761655,6762.335581761655,6762.335581761655,1671624530.2234116,1671624530.2234116,0.0,0.0 
June,34645002010993.96,30396680527472.03,30396680527472.03,30396680527472.03,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,30396484022192.03,30396484022192.03,30396484022192.03,12488390784000.0,12488390784000.0,12488390784000.0,15144776508901.857,15144776508901.857,15144776508901.857,2763316729290.183,2763316729290.183,2763316729290.183,99775978097577.62,30064504536575.22,29934405803661.7,41635301698.71533,0.0,41635301698.71533,0.0,30022869234876.492,29934405803661.7,30022869234876.492,29934405803661.7,130098732913.55316,41635301698.71533,41635301698.71533,88463431214.83778,88463431214.83778,34645002010993.96,34645002010993.96,34645002010993.96,34645002010993.96,0.0,0.0,0.0,0.0,34645002010993.96,34645002010993.96,34645002010993.96,34645002010993.96,22407313867530.332,22407313867530.332,22407313867530.332,22407313867530.332,22407313867530.332,1533097154997.7048,1533097154997.7048,1533097154997.7048,2715224328524.1367,2558984025799.9307,2558984025799.9307,47304159693472.02,22372587833836.01,24931571859635.945,24931571859635.945,154420784829.01358,154420784829.01358,0.0,11681.947270818302,11681.947270818302,11681.947270818302,11681.947270818302,11681.947270818302,11681.947270818302,11681.947270818302,11681.947270818302,1819517895.1936722,1819517895.1936722,0.0,0.0 
July,40453093846447.7,34594827535049.01,34594827535049.01,34594827535049.01,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,34594637061929.01,34594637061929.01,34594637061929.01,12904670476800.0,12904670476800.0,12904670476800.0,18544999579499.12,18544999579499.12,18544999579499.12,3144967005629.9067,3144967005629.9067,3144967005629.9067,142371406996946.44,34288643091596.11,34161656305960.027,31027516071.20371,0.0,31027516071.20371,0.0,34257615575524.94,34161656305960.027,34257615575524.94,34161656305960.027,126986785636.10995,31027516071.20371,31027516071.20371,95959269564.90614,95959269564.90614,40453093846447.7,40453093846447.7,40453093846447.7,40453093846447.7,0.0,0.0,0.0,0.0,40453093846447.7,40453093846447.7,40453093846447.7,40453093846447.7,34765859768917.367,34765859768917.367,34765859768917.367,34765859768917.367,34765859768917.367,1746265114366.6255,1746265114366.6255,1746265114366.6255,4112001197032.0728,3931527675658.917,3931527675658.917,73316904136433.03,34692688230387.066,38624215906045.94,38624215906045.94,178351092359.44894,178351092359.44894,0.0,16011.34504794524,16011.34504794524,16011.34504794524,16011.34504794524,16011.34504794524,16011.34504794524,16011.34504794524,16011.34504794524,2122429013.7040598,2122429013.7040598,0.0,0.0 
August,41459054422494.36,35892551759671.61,35892551759671.61,35892551759671.61,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35892346768471.61,35892346768471.61,35892346768471.61,12904670476800.0,12904670476800.0,12904670476800.0,19724735676356.016,19724735676356.016,19724735676356.016,3262940615315.604,3262940615315.604,3262940615315.604,134284317306136.14,35525255358831.27,35413693344660.375,31062219024.175243,0.0,31062219024.175243,0.0,35494193139807.08,35413693344660.375,35494193139807.08,35413693344660.375,111562014170.87949,31062219024.175243,31062219024.175243,80499795146.7041,80499795146.7041,41459054422494.36,41459054422494.36,41459054422494.36,41459054422494.36,0.0,0.0,0.0,0.0,41459054422494.36,41459054422494.36,41459054422494.36,41459054422494.36,31785061417581.277,31785061417581.277,31785061417581.277,31785061417581.277,31785061417581.277,1814900129026.0393,1814900129026.0393,1814900129026.0393,3751602533796.7056,3550718729092.3096,3550718729092.3096,66974000529723.6,31711640900315.625,35262359629407.96,35262359629407.96,198958210892.10962,198958210892.10962,0.0,14531.578558168314,14531.578558168314,14531.578558168314,14531.578558168314,14531.578558168314,14531.578558168314,14531.578558168314,14531.578558168314,1925593812.293152,1925593812.293152,0.0,0.0 
September,35447543807835.625,31605816170531.824,31605816170531.824,31605816170531.824,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,31605626924291.824,31605626924291.824,31605626924291.824,12488390784000.0,12488390784000.0,12488390784000.0,16243997328992.586,16243997328992.586,16243997328992.586,2873238811299.257,2873238811299.257,2873238811299.257,89769703972075.78,31203932127792.555,31075573007345.33,45517448183.401146,0.0,45517448183.401146,0.0,31158414679609.21,31075573007345.33,31158414679609.21,31075573007345.33,128359120447.22426,45517448183.401146,45517448183.401146,82841672263.82315,82841672263.82315,35447543807835.625,35447543807835.625,35447543807835.625,35447543807835.625,0.0,0.0,0.0,0.0,35447543807835.625,35447543807835.625,35447543807835.625,35447543807835.625,18837759750922.887,18837759750922.887,18837759750922.887,18837759750922.887,18837759750922.887,1576040880978.2444,1576040880978.2444,1576040880978.2444,2265686756325.5415,2122007339692.385,2122007339692.385,39728012093360.234,18803002376833.957,20925009716526.38,20925009716526.38,142098823949.26614,142098823949.26614,0.0,9065.731740476698,9065.731740476698,9065.731740476698,9065.731740476698,9065.731740476698,9065.731740476698,9065.731740476698,9065.731740476698,1580592683.8896945,1580592683.8896945,0.0,0.0 
October,28554648001020.727,26780069113268.02,26780069113268.02,26780069113268.02,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,26779871381108.02,26779871381108.02,26779871381108.02,12904670476800.0,12904670476800.0,12904670476800.0,11440667142389.115,11440667142389.115,11440667142389.115,2434533761918.914,2434533761918.914,2434533761918.914,35504860801323.97,26274329839017.336,26085051334215.793,64895602315.12828,0.0,64895602315.12828,0.0,26209434236702.207,26085051334215.793,26209434236702.207,26085051334215.793,189278504801.54395,64895602315.12828,64895602315.12828,124382902486.41556,124382902486.41556,28554648001020.727,28554648001020.727,28554648001020.727,28554648001020.727,0.0,0.0,0.0,0.0,28554648001020.727,28554648001020.727,28554648001020.727,28554648001020.727,2964145484187.382,2964145484187.382,2964145484187.382,2964145484187.382,2964145484187.382,1410797180265.1758,1410797180265.1758,1410797180265.1758,363781707487.5183,341292399239.719,341292399239.719,6266385478119.243,2962546539439.7617,3303838938679.481,3303838938679.481,21302966903.27051,21066608903.27051,236358000.0,1851.6176571336246,1851.6176571336246,1851.6176571336246,1851.6176571336246,1851.6176571336246,1851.6176571336246,1851.6176571336246,1851.6176571336246,1186341344.5289717,1186341344.5289717,0.0,0.0 
