Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.932431E+03,1.783909E+07,1.811928E+07,0.000000E+00,0.000000E+00,2.517506E+03,2.403937E+07,2.441694E+07
02:00:00,0.000000E+00,0.000000E+00,1.919190E+03,1.647396E+07,1.673270E+07,0.000000E+00,0.000000E+00,2.517047E+03,2.403499E+07,2.441249E+07
03:00:00,0.000000E+00,0.000000E+00,1.920317E+03,1.648363E+07,1.674253E+07,0.000000E+00,0.000000E+00,2.516698E+03,2.403166E+07,2.440910E+07
04:00:00,0.000000E+00,0.000000E+00,1.917650E+03,1.646074E+07,1.671928E+07,0.000000E+00,0.000000E+00,2.516405E+03,2.402886E+07,2.440626E+07
05:00:00,0.000000E+00,0.000000E+00,1.917063E+03,1.645571E+07,1.671416E+07,0.000000E+00,0.000000E+00,2.516157E+03,2.402649E+07,2.440385E+07
06:00:00,0.000000E+00,0.000000E+00,1.916803E+03,1.645347E+07,1.671189E+07,0.000000E+00,0.000000E+00,2.517704E+03,2.404126E+07,2.441886E+07
07:00:00,0.000000E+00,0.000000E+00,2.150438E+03,1.845895E+07,1.874887E+07,0.000000E+00,0.000000E+00,2.521819E+03,2.408055E+07,2.445877E+07
08:00:00,0.000000E+00,0.000000E+00,2.160795E+03,1.974957E+07,2.005976E+07,0.000000E+00,0.000000E+00,2.527222E+03,2.413215E+07,2.451117E+07
09:00:00,0.000000E+00,0.000000E+00,2.407711E+03,2.200637E+07,2.235201E+07,0.000000E+00,0.000000E+00,2.532594E+03,2.418345E+07,2.456328E+07
10:00:00,0.000000E+00,0.000000E+00,2.417110E+03,2.308070E+07,2.344321E+07,0.000000E+00,0.000000E+00,2.537066E+03,2.422615E+07,2.460665E+07
11:00:00,0.000000E+00,0.000000E+00,2.416939E+03,2.307907E+07,2.344156E+07,0.000000E+00,0.000000E+00,2.539325E+03,2.424772E+07,2.462856E+07
12:00:00,0.000000E+00,0.000000E+00,2.418615E+03,2.309507E+07,2.345780E+07,0.000000E+00,0.000000E+00,2.541792E+03,2.427127E+07,2.465248E+07
13:00:00,0.000000E+00,0.000000E+00,2.419024E+03,2.309898E+07,2.346178E+07,0.000000E+00,0.000000E+00,2.543621E+03,2.428874E+07,2.467022E+07
14:00:00,0.000000E+00,0.000000E+00,2.419207E+03,2.310072E+07,2.346355E+07,0.000000E+00,0.000000E+00,2.544407E+03,2.429624E+07,2.467785E+07
15:00:00,0.000000E+00,0.000000E+00,2.419310E+03,2.310171E+07,2.346455E+07,0.000000E+00,0.000000E+00,2.544061E+03,2.429294E+07,2.467449E+07
16:00:00,0.000000E+00,0.000000E+00,2.419368E+03,2.310226E+07,2.346511E+07,0.000000E+00,0.000000E+00,2.542597E+03,2.427896E+07,2.466029E+07
17:00:00,0.000000E+00,0.000000E+00,2.419407E+03,2.310263E+07,2.346548E+07,0.000000E+00,0.000000E+00,2.540201E+03,2.425609E+07,2.463706E+07
18:00:00,0.000000E+00,0.000000E+00,2.419418E+03,2.310274E+07,2.346559E+07,0.000000E+00,0.000000E+00,2.537400E+03,2.422933E+07,2.460988E+07
19:00:00,0.000000E+00,0.000000E+00,2.220666E+03,2.120488E+07,2.153793E+07,0.000000E+00,0.000000E+00,2.531861E+03,2.417644E+07,2.455616E+07
20:00:00,0.000000E+00,0.000000E+00,2.214750E+03,2.044530E+07,2.076642E+07,0.000000E+00,0.000000E+00,2.525919E+03,2.411971E+07,2.449854E+07
21:00:00,0.000000E+00,0.000000E+00,2.215281E+03,2.045020E+07,2.077140E+07,0.000000E+00,0.000000E+00,2.522153E+03,2.408374E+07,2.446201E+07
22:00:00,0.000000E+00,0.000000E+00,2.214100E+03,2.043930E+07,2.076033E+07,0.000000E+00,0.000000E+00,2.520112E+03,2.406425E+07,2.444221E+07
23:00:00,0.000000E+00,0.000000E+00,2.213849E+03,2.043698E+07,2.075797E+07,0.000000E+00,0.000000E+00,2.518914E+03,2.405281E+07,2.443059E+07
24:00:00,0.000000E+00,0.000000E+00,2.213742E+03,2.043600E+07,2.075697E+07,0.000000E+00,0.000000E+00,2.518105E+03,2.404509E+07,2.442275E+07
Coinc Peak   ,0.000000E+00,2.544407E+03,0.000000E+00,2.429624E+07
NonCoinc Peak,0.000000E+00,2.544407E+03,0.000000E+00,2.429624E+07
