Time,ZONE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.660809E+07,0.000000E+00,1.936543E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.808679E+01,3.508747E+01,2.840271E+01,3.444858E+01
02:00:00,0.000000E+00,1.660507E+07,0.000000E+00,1.936190E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
03:00:00,0.000000E+00,1.660276E+07,0.000000E+00,1.935922E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
04:00:00,0.000000E+00,1.660083E+07,0.000000E+00,1.935696E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
05:00:00,0.000000E+00,1.659919E+07,0.000000E+00,1.935505E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
06:00:00,0.000000E+00,1.660940E+07,0.000000E+00,1.936695E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
07:00:00,0.000000E+00,1.663654E+07,0.000000E+00,1.939861E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.744231E+01,3.643275E+01,2.840271E+01,3.444858E+01
08:00:00,0.000000E+00,1.667219E+07,0.000000E+00,1.944017E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.799576E+01,3.527404E+01,2.840271E+01,3.444858E+01
09:00:00,0.000000E+00,1.670763E+07,0.000000E+00,1.948149E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.799576E+01,3.527404E+01,2.840271E+01,3.444858E+01
10:00:00,0.000000E+00,1.673713E+07,0.000000E+00,1.951590E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.840271E+01,3.444858E+01,2.840271E+01,3.444858E+01
11:00:00,0.000000E+00,1.675204E+07,0.000000E+00,1.953327E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.840271E+01,3.444858E+01,2.840271E+01,3.444858E+01
12:00:00,0.000000E+00,1.676831E+07,0.000000E+00,1.955224E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.840271E+01,3.444858E+01,2.840271E+01,3.444858E+01
13:00:00,0.000000E+00,1.678037E+07,0.000000E+00,1.956631E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.840271E+01,3.444858E+01,2.840271E+01,3.444858E+01
