Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,41635050178013.06,39794703733127.12,39794703733127.12,39794703733127.12,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,39794506000967.12,39794506000967.12,39794506000967.12,12904670476800.0,12904670476800.0,12904670476800.0,23272153160442.85,23272153160442.85,23272153160442.85,3617682363724.285,3617682363724.285,3617682363724.285,33045435996302.87,33045258094926.926,33045258094926.926,0.0,0.0,0.0,0.0,33045258094926.926,33045258094926.926,33045258094926.926,33045258094926.926,41635050178013.06,41635050178013.06,41635050178013.06,41635050178013.06,0.0,0.0,0.0,0.0,41635050178013.06,41635050178013.06,41635050178013.06,41635050178013.06,97888748.57961142,97888748.57961142,97888748.57961142,97888748.57961142,97888748.57961142,1840335929778.6948,1840335929778.6948,1840335929778.6948,10515107.257628093,10514688.75737671,10514688.75737671,80012627.30094402,34748969.27178362,45263658.02916034,45263658.02916034,418.500251379262,418.500251379262,0.0,0.0 
February,37367504469390.86,35708869340332.87,35708869340332.87,35708869340332.87,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,35708689806892.87,35708689806892.87,35708689806892.87,11655831398400.0,11655831398400.0,11655831398400.0,20806613880593.508,20806613880593.508,20806613880593.508,3246244527899.354,3246244527899.354,3246244527899.354,29862758410905.164,29862558688538.465,29862558688538.465,0.0,0.0,0.0,0.0,29862558688538.465,29862558688538.465,29862558688538.465,29862558688538.465,37367504469390.86,37367504469390.86,37367504469390.86,37367504469390.86,0.0,0.0,0.0,0.0,37367504469390.86,37367504469390.86,37367504469390.86,37367504469390.86,107851290.79060717,107851290.79060717,107851290.79060717,107851290.79060717,107851290.79060717,1658622999024.8394,1658622999024.8394,1658622999024.8394,12130033.127112417,12129564.647198923,12129564.647198923,91871075.93852709,39870755.64566414,52000320.29286307,52000320.29286307,468.47991349004934,468.47991349004934,0.0,0.0 
March,40842873310092.06,38808348457902.65,38808348457902.65,38808348457902.65,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,38808143466702.65,38808143466702.65,38808143466702.65,12904670476800.0,12904670476800.0,12904670476800.0,22375459947475.17,22375459947475.17,22375459947475.17,3528013042427.52,3528013042427.52,3528013042427.52,35631175470219.46,33197789945519.184,33197789945519.184,0.0,0.0,0.0,0.0,33197789945519.184,33197789945519.184,33197789945519.184,33197789945519.184,40842873310092.07,40842873310092.07,40842873310092.07,40842873310092.07,0.0,0.0,0.0,0.0,40842873310092.07,40842873310092.07,40842873310092.07,40842873310092.07,747431762717.5021,747431762717.5021,747431762717.5021,747431762717.5021,747431762717.5021,1831427939544.9226,1831427939544.9226,1831427939544.9226,203096912644.46014,203092808417.22272,203092808417.22272,1685953761982.7498,741430476782.7643,944523285199.9863,944523285199.9863,4104227.237513978,4104227.237513978,0.0,0.0 
April,38978684407270.805,36764889518148.25,36764889518148.25,36764889518148.25,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,36764707530948.25,36764707530948.25,36764707530948.25,12488390784000.0,12488390784000.0,12488390784000.0,20934070607771.15,20934070607771.15,20934070607771.15,3342246139177.1143,3342246139177.1143,3342246139177.1143,37718949307727.13,32296766332677.734,32296766332677.734,0.0,0.0,0.0,0.0,32296766332677.734,32296766332677.734,32296766332677.734,32296766332677.734,38978684407270.805,38978684407270.805,38978684407270.805,38978684407270.805,0.0,0.0,0.0,0.0,38978684407270.805,38978684407270.805,38978684407270.805,38978684407270.805,1661838216724.0725,1661838216724.0725,1661838216724.0725,1661838216724.0725,1661838216724.0725,1764897164973.1968,1764897164973.1968,1764897164973.1968,448897724149.40674,448888163422.5318,448888163422.5318,3760344758325.3394,1655728297451.405,2104616460873.9358,2104616460873.9358,9560726.874716813,9560726.874716813,0.0,0.0 
May,41846051940539.2,36954910820071.25,36954910820071.25,36954910820071.25,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,36954705828871.25,36954705828871.25,36954705828871.25,12904670476800.0,12904670476800.0,12904670476800.0,20690516640355.65,20690516640355.65,20690516640355.65,3359518711715.5645,3359518711715.5645,3359518711715.5645,71127732937648.33,33664545512839.3,33664545512839.3,0.0,0.0,0.0,0.0,33664545512839.3,33664545512839.3,33664545512839.3,33664545512839.3,41846051940539.2,41846051940539.2,41846051940539.2,41846051940539.2,0.0,0.0,0.0,0.0,41846051940539.2,41846051940539.2,41846051940539.2,41846051940539.2,11483243648267.566,11483243648267.566,11483243648267.566,11483243648267.566,11483243648267.566,1813217346190.4739,1813217346190.4739,1813217346190.4739,3077923774277.5474,3077820357202.0195,3077820357202.0195,25979943776541.48,11451061709669.723,14528882066871.73,14528882066871.73,103417075.52975073,103417075.52975073,0.0,0.0 
June,43498786123551.23,34974118390714.656,34974118390714.656,34974118390714.656,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,34973921885434.656,34973921885434.656,34973921885434.656,12488390784000.0,12488390784000.0,12488390784000.0,19306083657304.254,19306083657304.254,19306083657304.254,3179447444130.425,3179447444130.425,3179447444130.425,115201066607228.66,32763519516971.285,32763519516971.285,0.0,0.0,0.0,0.0,32763519516971.285,32763519516971.285,32763519516971.285,32763519516971.285,43498786123551.23,43498786123551.23,43498786123551.23,43498786123551.23,0.0,0.0,0.0,0.0,43498786123551.23,43498786123551.23,43498786123551.23,43498786123551.23,25272821515984.832,25272821515984.832,25272821515984.832,25272821515984.832,25272821515984.832,1745353420643.18,1745353420643.18,1745353420643.18,6779314312193.366,6779093805851.4375,6779093805851.4375,57164725574272.41,25192815884210.516,31971909690061.95,31971909690061.95,220506341.92243704,220506341.92243704,0.0,0.0 
July,44039436321300.95,35612938909304.99,35612938909304.99,35612938909304.99,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,35612748436184.99,35612748436184.99,35612748436184.99,12904670476800.0,12904670476800.0,12904670476800.0,19470555374277.277,19470555374277.277,19470555374277.277,3237522585107.7227,3237522585107.7227,3237522585107.7227,114014454515578.81,33971038985971.91,33971038985971.91,0.0,0.0,0.0,0.0,33971038985971.91,33971038985971.91,33971038985971.91,33971038985971.91,44039436321300.95,44039436321300.95,44039436321300.95,44039436321300.95,0.0,0.0,0.0,0.0,44039436321300.95,44039436321300.95,44039436321300.95,44039436321300.95,24512484322915.3,24512484322915.3,24512484322915.3,24512484322915.3,24512484322915.3,1796981438263.0544,1796981438263.0544,1796981438263.0544,6629515973732.961,6629258427504.273,6629258427504.273,55530931206691.586,24450836389593.687,31080094817097.914,31080094817097.914,257546228.6891672,257546228.6891672,0.0,0.0 
August,44339069247197.55,35505910891040.61,35505910891040.61,35505910891040.61,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35505705899840.61,35505705899840.61,35505705899840.61,12904670476800.0,12904670476800.0,12904670476800.0,19373243977600.51,19373243977600.51,19373243977600.51,3227791445440.0557,3227791445440.0557,3227791445440.0557,119465201578555.94,33864815833999.047,33864815833999.047,0.0,0.0,0.0,0.0,33864815833999.047,33864815833999.047,33864815833999.047,33864815833999.047,44339069247197.55,44339069247197.55,44339069247197.55,44339069247197.55,0.0,0.0,0.0,0.0,44339069247197.55,44339069247197.55,44339069247197.55,44339069247197.55,26236062175866.77,26236062175866.77,26236062175866.77,26236062175866.77,26236062175866.77,1793326872607.7002,1793326872607.7002,1793326872607.7002,7039831483549.255,7039576306459.263,7039576306459.263,59364323568689.99,26162373631115.34,33201949937574.613,33201949937574.613,255177089.99508503,255177089.99508503,0.0,0.0 
September,41307135797399.27,34823422421416.316,34823422421416.316,34823422421416.316,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,34823233175176.316,34823233175176.316,34823233175176.316,12488390784000.0,12488390784000.0,12488390784000.0,19169093920705.723,19169093920705.723,19169093920705.723,3165748470470.5723,3165748470470.5723,3165748470470.5723,90244311858024.17,32386368944384.65,32386368944384.65,0.0,0.0,0.0,0.0,32386368944384.65,32386368944384.65,32386368944384.65,32386368944384.65,41307135797399.27,41307135797399.27,41307135797399.27,41307135797399.27,0.0,0.0,0.0,0.0,41307135797399.27,41307135797399.27,41307135797399.27,41307135797399.27,17740538532673.652,17740538532673.652,17740538532673.652,17740538532673.652,17740538532673.652,1733179449935.187,1733179449935.187,1733179449935.187,4750533926047.811,4750376653955.216,4750376653955.216,40117404380965.914,17683513863505.332,22433890517460.563,22433890517460.563,157272092.59309018,157272092.59309018,0.0,0.0 
October,39545621991445.49,36730011244023.63,36730011244023.63,36730011244023.63,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,36729813511863.63,36729813511863.63,36729813511863.63,12904670476800.0,12904670476800.0,12904670476800.0,20486069079439.637,20486069079439.637,20486069079439.637,3339073955623.9673,3339073955623.9673,3339073955623.9673,45579997126337.23,32983968522645.41,32983968522645.41,0.0,0.0,0.0,0.0,32983968522645.41,32983968522645.41,32983968522645.41,32983968522645.41,39545621991445.5,39545621991445.5,39545621991445.5,39545621991445.5,0.0,0.0,0.0,0.0,39545621991445.5,39545621991445.5,39545621991445.5,39545621991445.5,3864463486466.1665,3864463486466.1665,3864463486466.1665,3864463486466.1665,3864463486466.1665,1786040048475.2595,1786040048475.2595,1786040048475.2595,1029570698946.6277,1029543891858.7289,1029543891858.7289,8731565117225.558,3851010612683.418,4880554504542.146,4880554504542.146,26807087.898024134,26807087.898024134,0.0,0.0 
November,38115148588820.08,36331839696572.055,36331839696572.055,36331839696572.055,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,36331643191292.055,36331643191292.055,36331643191292.055,12488390784000.0,12488390784000.0,12488390784000.0,20540375753538.23,20540375753538.23,20540375753538.23,3302876653753.824,3302876653753.824,3302876653753.824,32156370857987.508,31470932832167.83,31470932832167.83,0.0,0.0,0.0,0.0,31470932832167.83,31470932832167.83,31470932832167.83,31470932832167.83,38115148588820.08,38115148588820.08,38115148588820.08,38115148588820.08,0.0,0.0,0.0,0.0,38115148588820.08,38115148588820.08,38115148588820.08,38115148588820.08,210378113615.88315,210378113615.88315,210378113615.88315,210378113615.88315,210378113615.88315,1726751399017.8157,1726751399017.8157,1726751399017.8157,56557493230.20426,56556267891.01683,56556267891.01683,475059912203.76935,209251822156.37622,265808090047.39285,265808090047.39285,1225339.1874850264,1225339.1874850264,0.0,0.0 
