Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.504589E+03,1.565467E+07,1.590054E+07,0.000000E+00,0.000000E+00,2.151354E+03,2.319797E+07,2.356232E+07
02:00:00,0.000000E+00,0.000000E+00,1.493350E+03,1.438511E+07,1.461104E+07,0.000000E+00,0.000000E+00,2.150936E+03,2.319346E+07,2.355774E+07
03:00:00,0.000000E+00,0.000000E+00,1.495064E+03,1.440162E+07,1.462781E+07,0.000000E+00,0.000000E+00,2.150608E+03,2.318993E+07,2.355416E+07
04:00:00,0.000000E+00,0.000000E+00,1.492706E+03,1.437891E+07,1.460475E+07,0.000000E+00,0.000000E+00,2.150330E+03,2.318693E+07,2.355111E+07
05:00:00,0.000000E+00,0.000000E+00,1.492117E+03,1.437323E+07,1.459898E+07,0.000000E+00,0.000000E+00,2.150098E+03,2.318443E+07,2.354857E+07
06:00:00,0.000000E+00,0.000000E+00,1.491753E+03,1.436973E+07,1.459542E+07,0.000000E+00,0.000000E+00,2.151300E+03,2.319739E+07,2.356173E+07
07:00:00,0.000000E+00,0.000000E+00,1.699235E+03,1.636835E+07,1.662543E+07,0.000000E+00,0.000000E+00,2.154976E+03,2.323703E+07,2.360199E+07
08:00:00,0.000000E+00,0.000000E+00,1.707846E+03,1.758329E+07,1.785946E+07,0.000000E+00,0.000000E+00,2.159578E+03,2.328665E+07,2.365239E+07
09:00:00,0.000000E+00,0.000000E+00,1.924387E+03,1.981271E+07,2.012389E+07,0.000000E+00,0.000000E+00,2.164071E+03,2.333509E+07,2.370160E+07
10:00:00,0.000000E+00,0.000000E+00,1.932248E+03,2.083535E+07,2.116260E+07,0.000000E+00,0.000000E+00,2.167986E+03,2.337731E+07,2.374448E+07
11:00:00,0.000000E+00,0.000000E+00,1.931680E+03,2.082923E+07,2.115638E+07,0.000000E+00,0.000000E+00,2.171103E+03,2.341092E+07,2.377862E+07
12:00:00,0.000000E+00,0.000000E+00,1.933208E+03,2.084571E+07,2.117311E+07,0.000000E+00,0.000000E+00,2.173289E+03,2.343449E+07,2.380256E+07
13:00:00,0.000000E+00,0.000000E+00,1.933674E+03,2.085073E+07,2.117822E+07,0.000000E+00,0.000000E+00,2.174526E+03,2.344784E+07,2.381611E+07
14:00:00,0.000000E+00,0.000000E+00,1.933974E+03,2.085397E+07,2.118150E+07,0.000000E+00,0.000000E+00,2.174797E+03,2.345075E+07,2.381907E+07
15:00:00,0.000000E+00,0.000000E+00,1.934183E+03,2.085622E+07,2.118379E+07,0.000000E+00,0.000000E+00,2.174051E+03,2.344272E+07,2.381091E+07
16:00:00,0.000000E+00,0.000000E+00,1.934329E+03,2.085780E+07,2.118539E+07,0.000000E+00,0.000000E+00,2.172237E+03,2.342315E+07,2.379104E+07
17:00:00,0.000000E+00,0.000000E+00,1.934426E+03,2.085884E+07,2.118645E+07,0.000000E+00,0.000000E+00,2.169414E+03,2.339271E+07,2.376012E+07
18:00:00,0.000000E+00,0.000000E+00,1.934480E+03,2.085943E+07,2.118705E+07,0.000000E+00,0.000000E+00,2.165658E+03,2.335221E+07,2.371899E+07
19:00:00,0.000000E+00,0.000000E+00,1.759850E+03,1.897640E+07,1.927445E+07,0.000000E+00,0.000000E+00,2.161146E+03,2.330356E+07,2.366957E+07
20:00:00,0.000000E+00,0.000000E+00,1.754887E+03,1.825892E+07,1.854569E+07,0.000000E+00,0.000000E+00,2.156973E+03,2.325857E+07,2.362387E+07
21:00:00,0.000000E+00,0.000000E+00,1.755687E+03,1.826725E+07,1.855415E+07,0.000000E+00,0.000000E+00,2.154559E+03,2.323253E+07,2.359743E+07
22:00:00,0.000000E+00,0.000000E+00,1.754664E+03,1.825660E+07,1.854334E+07,0.000000E+00,0.000000E+00,2.153314E+03,2.321910E+07,2.358379E+07
23:00:00,0.000000E+00,0.000000E+00,1.754422E+03,1.825408E+07,1.854078E+07,0.000000E+00,0.000000E+00,2.152507E+03,2.321040E+07,2.357495E+07
24:00:00,0.000000E+00,0.000000E+00,1.754270E+03,1.825250E+07,1.853918E+07,0.000000E+00,0.000000E+00,2.151877E+03,2.320361E+07,2.356805E+07
Coinc Peak   ,0.000000E+00,2.174797E+03,0.000000E+00,2.345075E+07
NonCoinc Peak,0.000000E+00,2.174797E+03,0.000000E+00,2.345075E+07
