Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,24290844568985.063,22917210227607.293,22917210227607.293,22917210227607.293,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,22917012495447.293,22917012495447.293,22917012495447.293,12904670476800.0,12904670476800.0,12904670476800.0,7928977246333.898,7928977246333.898,7928977246333.898,2083364772313.3887,2083364772313.3887,2083364772313.3887,22487678768152.184,22487678768152.184,21544664261820.645,943014506331.5078,0.0,943014506331.5078,0.0,21544664261820.645,21544664261820.645,21544664261820.645,21544664261820.645,943014506331.5078,943014506331.5078,943014506331.5078,0.0,0.0,24290844568985.063,24290844568985.063,24290844568985.063,24290844568985.063,0.0,0.0,0.0,0.0,24290844568985.063,24290844568985.063,24290844568985.063,24290844568985.063,0.0,0.0,0.0,0.0,0.0,1367483039377.8062,1367483039377.8062,1367483039377.8062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6151302000.0,0.0,0.0,0.0,0.0,6151302000.0,0.0,6151302000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,22036214526615.258,20795792437913.12,20795792437913.12,20795792437913.12,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,20795612904473.12,20795612904473.12,20795612904473.12,11655831398400.0,11655831398400.0,11655831398400.0,7249271242030.097,7249271242030.097,7249271242030.097,1890510264043.008,1890510264043.008,1890510264043.008,20329008150864.184,20329008150864.184,19596321633927.656,732546267062.8414,0.0,732546267062.8414,0.0,19596461883801.332,19596321633927.656,19596461883801.332,19596321633927.656,732686516936.5161,732546267062.8414,732546267062.8414,140249873.67465645,140249873.67465645,22036214526615.258,22036214526615.258,22036214526615.258,22036214526615.258,0.0,0.0,0.0,0.0,22036214526615.258,22036214526615.258,22036214526615.258,22036214526615.258,0.0,0.0,0.0,0.0,0.0,1234168564702.1665,1234168564702.1665,1234168564702.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6253524000.0,0.0,0.0,0.0,0.0,6253524000.0,0.0,6253524000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
March,26771577495631.387,25268761930021.645,25268761930021.645,25268761930021.645,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,25268556938821.645,25268556938821.645,25268556938821.645,12904670476800.0,12904670476800.0,12904670476800.0,10066744922128.756,10066744922128.756,10066744922128.756,2297141539892.8755,2297141539892.8755,2297141539892.8755,24881742556449.723,24881742556449.723,24120800494760.793,746989347239.2391,0.0,746989347239.2391,0.0,24134753209210.496,24120800494760.793,24134753209210.496,24120800494760.793,760942061688.9465,746989347239.2391,746989347239.2391,13952714449.707403,13952714449.707403,26771577495631.395,26771577495631.395,26771577495631.395,26771577495631.395,0.0,0.0,0.0,0.0,26771577495631.395,26771577495631.395,26771577495631.395,26771577495631.395,0.0,0.0,0.0,0.0,0.0,1500529097609.7568,1456128754657.29,1456128754657.29,44400342952.46709,44400342952.46709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2286468000.0,0.0,0.0,0.0,0.0,2286468000.0,0.0,2286468000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
April,27787428870351.785,26231462853340.32,26231462853340.32,26231462853340.32,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,26231280866140.32,26231280866140.32,26231280866140.32,12488390784000.0,12488390784000.0,12488390784000.0,11358228185218.488,11358228185218.488,11358228185218.488,2384661896921.85,2384661896921.85,2384661896921.85,25760330500160.844,25760330500160.844,25232313944527.863,477694515948.73975,0.0,477694515948.73975,0.0,25282635984212.113,25232313944527.863,25282635984212.113,25232313944527.863,528016555632.99744,477694515948.73975,477694515948.73975,50322039684.25763,50322039684.25763,27787428870351.785,27787428870351.785,27787428870351.785,27787428870351.785,0.0,0.0,0.0,0.0,27787428870351.785,27787428870351.785,27787428870351.785,27787428870351.785,0.0,0.0,0.0,0.0,0.0,1553418405011.5037,1467947744828.0044,1467947744828.0044,85470660183.49911,85470660183.49911,94.77117298826477,94.77117298826477,94.77117298826477,94.77117298826477,94.77117298826477,94.77117298826477,94.77117298826477,94.77117298826477,2547612000.0,0.0,0.0,0.0,0.0,2547612000.0,0.0,2547612000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
May,32459609528718.6,30062102683370.234,30062102683370.234,30062102683370.234,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30061897692170.234,30061897692170.234,30061897692170.234,12904670476800.0,12904670476800.0,12904670476800.0,14424327425172.928,14424327425172.928,14424327425172.928,2732899790197.295,2732899790197.295,2732899790197.295,30441400604986.77,29818439690926.55,29314401797935.098,330145303272.97266,0.0,330145303272.97266,0.0,29488294387653.535,29314401797935.098,29488294387653.535,29314401797935.098,504037892991.39874,330145303272.97266,330145303272.97266,173892589718.42642,173892589718.42642,32459609528718.598,32459609528718.598,32459609528718.598,32459609528718.598,0.0,0.0,0.0,0.0,32459609528718.598,32459609528718.598,32459609528718.598,32459609528718.598,202571873538.72034,202571873538.72034,202571873538.72034,202571873538.72034,202571873538.72034,2373613560776.223,1705941243628.5012,1705941243628.5012,689906801532.2695,689906801532.2695,2969.288188648453,2889.0011341335603,2889.0011341335603,2889.0011341335603,2969.288188648453,2889.0011341335603,2889.0011341335603,2889.0011341335603,23893284572.142536,420389040521.5083,199077278068.4816,221311762453.02676,221311762453.02676,1648449635.9241695,1520793635.9241695,127656000.0,80.2870545148918,80.2870545148918,80.2870545148918,80.2870545148918,80.2870545148918,80.2870545148918,10350551.673205094,10350551.673205094,0.0,0.0 
June,32818203966347.266,29592717273292.582,29592717273292.582,29592717273292.582,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,29592520768012.582,29592520768012.582,29592520768012.582,12488390784000.0,12488390784000.0,12488390784000.0,14413900823284.158,14413900823284.158,14413900823284.158,2690229160728.4136,2690229160728.4136,2690229160728.4136,41253117289791.93,29680307976700.438,28947717364752.098,212512204440.55316,0.0,212512204440.55316,0.0,29467795772259.895,28947717364752.098,29467795772259.895,28947717364752.098,732590611948.3568,212512204440.55316,212512204440.55316,520078407507.8042,520078407507.8042,32818203966347.266,32818203966347.266,32818203966347.266,32818203966347.266,0.0,0.0,0.0,0.0,32818203966347.266,32818203966347.266,32818203966347.266,32818203966347.266,3727868344285.286,3727868344285.286,3727868344285.286,3727868344285.286,3727868344285.286,2761807178056.584,1576856933512.615,1576856933512.615,1604453771833.0842,1604453771833.0842,10630.519979496581,7500.248659292251,7500.248659292251,7500.248659292251,10630.519979496581,7500.248659292251,7500.248659292251,7500.248659292251,463679514998.139,7844940968806.193,3712718720758.5337,4132222248047.6587,4132222248047.6587,43944953831.702515,43944953831.702515,0.0,3130.2713202043324,3130.2713202043324,3130.2713202043324,3130.2713202043324,3130.2713202043324,3130.2713202043324,231033877.31102198,231033877.31102198,0.0,0.0 
July,34027318587264.395,30621926363366.773,30621926363366.773,30621926363366.773,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,30621735890246.773,30621735890246.773,30621735890246.773,12904670476800.0,12904670476800.0,12904670476800.0,14933271241606.123,14933271241606.123,14933271241606.123,2783794171840.6143,2783794171840.6143,2783794171840.6143,43492809684036.58,30868499837066.383,30175348619131.574,54219420013.12387,0.0,54219420013.12387,0.0,30814280417053.258,30175348619131.574,30814280417053.258,30175348619131.574,693151217934.7916,54219420013.12387,54219420013.12387,638931797921.6675,638931797921.6675,34027318587264.4,34027318587264.4,34027318587264.4,34027318587264.4,0.0,0.0,0.0,0.0,34027318587264.4,34027318587264.4,34027318587264.4,34027318587264.4,4067579735368.552,4067579735368.552,4067579735368.552,4067579735368.552,4067579735368.552,2900299767165.166,1679834000259.231,1679834000259.231,1680949898014.1477,1680949898014.1477,9966.502527763718,6970.964027843091,6970.964027843091,6970.964027843091,9966.502527763718,6970.964027843091,6970.964027843091,6970.964027843091,505092456732.48706,8556730111601.675,4048122990246.7295,4508607121354.943,4508607121354.943,44391002817.642075,44391002817.642075,0.0,2995.5384999206362,2995.5384999206362,2995.5384999206362,2995.5384999206362,2995.5384999206362,2995.5384999206362,217322806.6285772,217322806.6285772,0.0,0.0 
August,33786820509613.73,30367414931400.324,30367414931400.324,30367414931400.324,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30367209940200.324,30367209940200.324,30367209940200.324,12904670476800.0,12904670476800.0,12904670476800.0,14701884014291.184,14701884014291.184,14701884014291.184,2760655449109.119,2760655449109.119,2760655449109.119,39461999705236.53,30670606568806.09,29855114132560.766,62808458958.00289,0.0,62808458958.00289,0.0,30607798109848.1,29855114132560.766,30607798109848.1,29855114132560.766,815492436245.3427,62808458958.00289,62808458958.00289,752683977287.3394,752683977287.3394,33786820509613.73,33786820509613.73,33786820509613.73,33786820509613.73,0.0,0.0,0.0,0.0,33786820509613.73,33786820509613.73,33786820509613.73,33786820509613.73,2830871546072.2036,2830871546072.2036,2830871546072.2036,2830871546072.2036,2830871546072.2036,3067978151241.8623,1644935063615.2954,1644935063615.2954,1745821529140.1846,1745821529140.1846,9128.750238552286,7071.014969610988,7071.014969610988,7071.014969610988,9128.750238552286,7071.014969610988,7071.014969610988,7071.014969610988,351427426971.5437,5960521590358.211,2818871574422.2925,3141650015935.9185,3141650015935.9185,28464470312.00013,28464470312.00013,0.0,2057.735268941303,2057.735268941303,2057.735268941303,2057.735268941303,2057.735268941303,2057.735268941303,184515145.91790235,184515145.91790235,0.0,0.0 
September,31629287810138.836,28939777258019.96,28939777258019.96,28939777258019.96,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,28939588011779.96,28939588011779.96,28939588011779.96,12488390784000.0,12488390784000.0,12488390784000.0,13820325590345.387,13820325590345.387,13820325590345.387,2630871637434.539,2630871637434.539,2630871637434.539,32203334969885.72,28832407168755.336,28317047280253.457,149668350361.0472,0.0,149668350361.0472,0.0,28682738818394.305,28317047280253.457,28682738818394.305,28317047280253.457,515359888501.8987,149668350361.0472,149668350361.0472,365691538140.85175,365691538140.85175,31629287810138.836,31629287810138.836,31629287810138.836,31629287810138.836,0.0,0.0,0.0,0.0,31629287810138.836,31629287810138.836,31629287810138.836,31629287810138.836,1088510405293.8086,1088510405293.8086,1088510405293.8086,1088510405293.8086,1088510405293.8086,2551104905695.706,1636451144874.889,1636451144874.889,1038505210949.8955,1038505210949.8955,6177.129442767107,5289.412349688029,5289.412349688029,5289.412349688029,6177.129442767107,5289.412349688029,5289.412349688029,5289.412349688029,138405646423.1916,2282417395836.5796,1079282972853.7529,1203134422982.8267,1203134422982.8267,14495132094.032387,14493998094.032387,1133999.9999999998,887.7170930790776,887.7170930790776,887.7170930790776,887.7170930790776,887.7170930790776,887.7170930790776,59064200.08566554,59064200.08566554,0.0,0.0 
October,30682040046772.9,28878112485159.563,28878112485159.563,28878112485159.563,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,28877914752999.562,28877914752999.562,28877914752999.562,12904670476800.0,12904670476800.0,12904670476800.0,13347979298654.143,13347979298654.143,13347979298654.143,2625264977545.412,2625264977545.412,2625264977545.412,28408727773783.82,28408727773783.82,27960925174269.62,354737418230.48956,0.0,354737418230.48956,0.0,28053990355553.277,27960925174269.62,28053990355553.277,27960925174269.62,447802599514.1382,354737418230.48956,354737418230.48956,93065181283.64845,93065181283.64845,30682040046772.9,30682040046772.9,30682040046772.9,30682040046772.9,0.0,0.0,0.0,0.0,30682040046772.9,30682040046772.9,30682040046772.9,30682040046772.9,0.0,0.0,0.0,0.0,0.0,1803365907613.342,1564158843956.9258,1564158843956.9258,239207063656.41647,239207063656.41647,1061.1917839553553,1061.1917839553553,1061.1917839553553,1061.1917839553553,1061.1917839553553,1061.1917839553553,1061.1917839553553,1061.1917839553553,561654000.0,0.0,0.0,0.0,0.0,561654000.0,0.0,561654000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
