Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.652087E+03,1.573127E+07,1.388344E+07,0.000000E+00,0.000000E+00,2.145432E+03,2.123287E+07,1.884587E+07
02:00:00,0.000000E+00,0.000000E+00,1.640069E+03,1.433109E+07,1.247651E+07,0.000000E+00,0.000000E+00,2.144917E+03,2.122777E+07,1.884134E+07
03:00:00,0.000000E+00,0.000000E+00,1.640300E+03,1.433311E+07,1.247826E+07,0.000000E+00,0.000000E+00,2.144516E+03,2.122380E+07,1.883782E+07
04:00:00,0.000000E+00,0.000000E+00,1.637732E+03,1.431067E+07,1.245873E+07,0.000000E+00,0.000000E+00,2.144181E+03,2.122048E+07,1.883487E+07
05:00:00,0.000000E+00,0.000000E+00,1.637130E+03,1.430541E+07,1.245415E+07,0.000000E+00,0.000000E+00,2.143909E+03,2.121780E+07,1.883249E+07
06:00:00,0.000000E+00,0.000000E+00,1.636864E+03,1.430308E+07,1.245212E+07,0.000000E+00,0.000000E+00,2.145290E+03,2.123146E+07,1.884462E+07
07:00:00,0.000000E+00,0.000000E+00,1.830155E+03,1.599208E+07,1.392255E+07,0.000000E+00,0.000000E+00,2.149716E+03,2.127527E+07,1.888350E+07
08:00:00,0.000000E+00,0.000000E+00,1.839529E+03,1.731537E+07,1.525474E+07,0.000000E+00,0.000000E+00,2.155404E+03,2.133155E+07,1.893346E+07
09:00:00,0.000000E+00,0.000000E+00,2.048899E+03,1.928615E+07,1.699099E+07,0.000000E+00,0.000000E+00,2.160891E+03,2.138586E+07,1.898166E+07
10:00:00,0.000000E+00,0.000000E+00,2.057379E+03,2.036142E+07,1.807239E+07,0.000000E+00,0.000000E+00,2.165246E+03,2.142896E+07,1.901992E+07
11:00:00,0.000000E+00,0.000000E+00,2.057716E+03,2.036476E+07,1.807535E+07,0.000000E+00,0.000000E+00,2.167232E+03,2.144861E+07,1.903736E+07
12:00:00,0.000000E+00,0.000000E+00,2.059302E+03,2.038045E+07,1.808928E+07,0.000000E+00,0.000000E+00,2.170124E+03,2.147724E+07,1.906277E+07
13:00:00,0.000000E+00,0.000000E+00,2.059715E+03,2.038454E+07,1.809291E+07,0.000000E+00,0.000000E+00,2.172077E+03,2.149657E+07,1.907992E+07
14:00:00,0.000000E+00,0.000000E+00,2.059899E+03,2.038636E+07,1.809453E+07,0.000000E+00,0.000000E+00,2.172966E+03,2.150537E+07,1.908773E+07
15:00:00,0.000000E+00,0.000000E+00,2.060002E+03,2.038739E+07,1.809544E+07,0.000000E+00,0.000000E+00,2.172741E+03,2.150314E+07,1.908575E+07
16:00:00,0.000000E+00,0.000000E+00,2.060069E+03,2.038805E+07,1.809602E+07,0.000000E+00,0.000000E+00,2.171390E+03,2.148977E+07,1.907389E+07
17:00:00,0.000000E+00,0.000000E+00,2.060107E+03,2.038842E+07,1.809636E+07,0.000000E+00,0.000000E+00,2.169028E+03,2.146639E+07,1.905313E+07
18:00:00,0.000000E+00,0.000000E+00,2.060118E+03,2.038853E+07,1.809645E+07,0.000000E+00,0.000000E+00,2.165935E+03,2.143578E+07,1.902597E+07
19:00:00,0.000000E+00,0.000000E+00,1.891840E+03,1.872312E+07,1.661827E+07,0.000000E+00,0.000000E+00,2.162158E+03,2.139840E+07,1.899279E+07
20:00:00,0.000000E+00,0.000000E+00,1.886625E+03,1.796455E+07,1.585439E+07,0.000000E+00,0.000000E+00,2.155013E+03,2.132769E+07,1.893003E+07
21:00:00,0.000000E+00,0.000000E+00,1.886738E+03,1.796563E+07,1.585534E+07,0.000000E+00,0.000000E+00,2.150714E+03,2.128514E+07,1.889226E+07
22:00:00,0.000000E+00,0.000000E+00,1.885633E+03,1.795511E+07,1.584606E+07,0.000000E+00,0.000000E+00,2.148393E+03,2.126217E+07,1.887188E+07
23:00:00,0.000000E+00,0.000000E+00,1.885384E+03,1.795274E+07,1.584397E+07,0.000000E+00,0.000000E+00,2.147028E+03,2.124866E+07,1.885988E+07
24:00:00,0.000000E+00,0.000000E+00,1.885279E+03,1.795173E+07,1.584308E+07,0.000000E+00,0.000000E+00,2.146116E+03,2.123963E+07,1.885187E+07
Coinc Peak   ,0.000000E+00,2.172966E+03,0.000000E+00,2.150537E+07
NonCoinc Peak,0.000000E+00,2.172966E+03,0.000000E+00,2.150537E+07
