Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,23633912483381.84,22165982355913.797,22165982355913.797,22165982355913.797,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,22165784623753.797,22165784623753.797,22165784623753.797,12904670476800.0,12904670476800.0,12904670476800.0,7246042817521.633,7246042817521.633,7246042817521.633,2015071329432.1619,2015071329432.1619,2015071329432.1619,23659105067490.57,21636694332017.62,20816450197978.977,820244134038.6476,0.0,820244134038.6476,0.0,20816450197978.977,20816450197978.977,20816450197978.977,20816450197978.977,820244134038.6476,820244134038.6476,820244134038.6476,0.0,0.0,23633912483381.836,23633912483381.836,23633912483381.836,23633912483381.836,0.0,0.0,0.0,0.0,23633912483381.836,23633912483381.836,23633912483381.836,23633912483381.836,649052222888.4747,649052222888.4747,649052222888.4747,649052222888.4747,649052222888.4747,1384256777381.4353,1384256777381.4353,1384256777381.4353,83673350086.63026,76515754900.88638,76515754900.88638,1373358512584.452,648421378841.7842,724937133742.6705,724937133742.6705,6041376548.511276,2502548.511276256,6038874000.0,443.08787247115924,443.08787247115924,443.08787247115924,443.08787247115924,443.08787247115924,443.08787247115924,443.08787247115924,443.08787247115924,1116218637.2326357,1116218637.2326357,0.0,0.0 
February,21400942508347.96,20084363012513.16,20084363012513.16,20084363012513.16,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,20084183479073.16,20084183479073.16,20084183479073.16,11655831398400.0,11655831398400.0,11655831398400.0,6602517218939.24,6602517218939.24,6602517218939.24,1825834861733.9238,1825834861733.9238,1825834861733.9238,21279035947456.023,19524803363461.92,18902059163958.727,622744199503.2299,0.0,622744199503.2299,0.0,18902059163958.727,18902059163958.727,18902059163958.727,18902059163958.727,622744199503.2299,622744199503.2299,622744199503.2299,0.0,0.0,21400942508347.96,21400942508347.96,21400942508347.96,21400942508347.96,0.0,0.0,0.0,0.0,21400942508347.96,21400942508347.96,21400942508347.96,21400942508347.96,562849889150.5011,562849889150.5011,562849889150.5011,562849889150.5011,562849889150.5011,1243018940923.8938,1243018940923.8938,1243018940923.8938,73560554910.91695,66346963332.03628,66346963332.03628,1191382694843.5962,562517865755.7799,628864829087.8159,628864829087.8159,6208454796.939122,3368796.939121434,6205086000.0,363.752605355508,363.752605355508,363.752605355508,363.752605355508,363.752605355508,363.752605355508,363.752605355508,363.752605355508,1005136781.9415438,1005136781.9415438,0.0,0.0 
March,24223746258207.574,22574244987055.855,22574244987055.855,22574244987055.855,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,22574039995855.855,22574039995855.855,22574039995855.855,12904670476800.0,12904670476800.0,12904670476800.0,7617184064887.101,7617184064887.101,7617184064887.101,2052185454168.7122,2052185454168.7122,2052185454168.7122,28803302732045.74,21831009031887.793,21455470607719.9,361093878770.6949,0.0,361093878770.6949,0.0,21469915153117.086,21455470607719.9,21469915153117.086,21455470607719.9,375538424167.8769,361093878770.6949,361093878770.6949,14444545397.181923,14444545397.181923,24223746258207.574,24223746258207.574,24223746258207.574,24223746258207.574,0.0,0.0,0.0,0.0,24223746258207.574,24223746258207.574,24223746258207.574,24223746258207.574,2238522907817.1523,2238522907817.1523,2238522907817.1523,2238522907817.1523,2238522907817.1523,1369431429960.9111,1369431429960.9111,1369431429960.9111,280069841190.8837,259571082463.05023,259571082463.05023,4733770792340.816,2237099854938.885,2496670937401.933,2496670937401.933,19221656649.89193,16966940649.89193,2254716000.0,1738.8967650601082,1738.8967650601082,1738.8967650601082,1738.8967650601082,1738.8967650601082,1738.8967650601082,1738.8967650601082,1738.8967650601082,1277102077.9417944,1277102077.9417944,0.0,0.0 
April,24187416360846.133,22526942674040.266,22526942674040.266,22526942674040.266,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,22526760686840.266,22526760686840.266,22526760686840.266,12488390784000.0,12488390784000.0,12488390784000.0,7990482567672.983,7990482567672.983,7990482567672.983,2047887335167.2986,2047887335167.2986,2047887335167.2986,29808638178741.824,21796887796651.93,21578010512778.99,118054106820.3511,0.0,118054106820.3511,0.0,21678833689831.57,21578010512778.99,21678833689831.57,21578010512778.99,218877283872.9161,118054106820.3511,118054106820.3511,100823177052.56483,100823177052.56483,24187416360846.133,24187416360846.133,24187416360846.133,24187416360846.133,0.0,0.0,0.0,0.0,24187416360846.133,24187416360846.133,24187416360846.133,24187416360846.133,2574137392577.8384,2574137392577.8384,2574137392577.8384,2574137392577.8384,2574137392577.8384,1332478326654.7415,1332478326654.7415,1332478326654.7415,327995360151.145,294991029613.072,294991029613.072,5437612989512.059,2571310979949.4907,2866302009562.5645,2866302009562.5645,31752602384.39513,29260394384.39513,2492208000.0,2130.660200771286,2130.660200771286,2130.660200771286,2130.660200771286,2130.660200771286,2130.660200771286,2130.660200771286,2130.660200771286,1251728153.6782568,1251728153.6782568,0.0,0.0 
May,29808598382905.063,26960075599923.477,26960075599923.477,26960075599923.477,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,26959870608723.477,26959870608723.477,26959870608723.477,12904670476800.0,12904670476800.0,12904670476800.0,11604302803857.713,11604302803857.713,11604302803857.713,2450897328065.773,2450897328065.773,2450897328065.773,60128223779743.805,26488266681159.273,26291879587693.086,57071716399.69429,0.0,57071716399.69429,0.0,26431194964759.613,26291879587693.086,26431194964759.613,26291879587693.086,196387093466.2393,57071716399.69429,57071716399.69429,139315377066.54483,139315377066.54483,29808598382905.063,29808598382905.063,29808598382905.063,29808598382905.063,0.0,0.0,0.0,0.0,29808598382905.063,29808598382905.063,29808598382905.063,29808598382905.063,10820698537961.656,10820698537961.656,10820698537961.656,10820698537961.656,10820698537961.656,1473543928043.6196,1473543928043.6196,1473543928043.6196,1374978854937.9897,1208999226216.6333,1208999226216.6333,22819258560622.77,10805129667203.068,12014128893419.713,12014128893419.713,164450978326.95383,164323484326.95383,127494000.0,8847.808005097633,8847.808005097633,8847.808005097633,8847.808005097633,8847.808005097633,8847.808005097633,8847.808005097633,8847.808005097633,1528650394.4021537,1528650394.4021537,0.0,0.0 
June,34815085462834.008,30295455823109.5,30295455823109.5,30295455823109.5,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,30295259317829.5,30295259317829.5,30295259317829.5,12488390784000.0,12488390784000.0,12488390784000.0,15052754050390.475,15052754050390.475,15052754050390.475,2754114483439.047,2754114483439.047,2754114483439.047,104053617403580.98,29958656371285.266,29797393035945.945,38637272101.56545,0.0,38637272101.56545,0.0,29920019099183.72,29797393035945.945,29920019099183.72,29797393035945.945,161263335339.31033,38637272101.56545,38637272101.56545,122626063237.74506,122626063237.74506,34815085462834.008,34815085462834.008,34815085462834.008,34815085462834.008,0.0,0.0,0.0,0.0,34815085462834.008,34815085462834.008,34815085462834.008,34815085462834.008,23856173519250.266,23856173519250.266,23856173519250.266,23856173519250.266,23856173519250.266,1588001188661.928,1588001188661.928,1588001188661.928,2931628451062.5757,2639826276704.4976,2639826276704.4976,50238787513045.49,23799480618170.492,26439306894874.996,26439306894874.996,290055013651.2499,290055013651.2499,0.0,17749.541651141568,17749.541651141568,17749.541651141568,17749.541651141568,17749.541651141568,17749.541651141568,17749.541651141568,17749.541651141568,1747160706.8264456,1747160706.8264456,0.0,0.0 
July,39730846118491.03,34817744225896.223,34817744225896.223,34817744225896.223,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,34817553752776.223,34817553752776.223,34817553752776.223,12904670476800.0,12904670476800.0,12904670476800.0,18747651116632.937,18747651116632.937,18747651116632.937,3165232159343.2905,3165232159343.2905,3165232159343.2905,113066516398962.62,34440415993290.234,34300009502250.15,33180447253.883717,0.0,33180447253.883717,0.0,34407235546036.332,34300009502250.15,34407235546036.332,34300009502250.15,140406491040.0885,33180447253.883717,33180447253.883717,107226043786.20471,107226043786.20471,39730846118491.04,39730846118491.04,39730846118491.04,39730846118491.04,0.0,0.0,0.0,0.0,39730846118491.04,39730846118491.04,39730846118491.04,39730846118491.04,25308708790492.715,25308708790492.715,25308708790492.715,25308708790492.715,25308708790492.715,1827162414584.9949,1827162414584.9949,1827162414584.9949,3085939478009.862,2812454684882.8955,2812454684882.8955,53317391615179.68,25252468465148.4,28064923150031.285,28064923150031.285,271799643081.48666,271799643081.48666,0.0,16636.605688033367,16636.605688033367,16636.605688033367,16636.605688033367,16636.605688033367,16636.605688033367,16636.605688033367,16636.605688033367,1685150045.4807956,1685150045.4807956,0.0,0.0 
August,40338911910653.02,35137043079205.613,35137043079205.613,35137043079205.613,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35136838088005.613,35136838088005.613,35136838088005.613,12904670476800.0,12904670476800.0,12904670476800.0,19037909603205.074,19037909603205.074,19037909603205.074,3194258008000.5083,3194258008000.5083,3194258008000.5083,119415925997273.58,34709526536190.203,34584502854045.332,37647903163.68145,0.0,37647903163.68145,0.0,34671878633026.54,34584502854045.332,34671878633026.54,34584502854045.332,125023682144.85571,37647903163.68145,37647903163.68145,87375778981.17436,87375778981.17436,40338911910653.03,40338911910653.03,40338911910653.03,40338911910653.03,0.0,0.0,0.0,0.0,40338911910653.03,40338911910653.03,40338911910653.03,40338911910653.03,27267846884949.355,27267846884949.355,27267846884949.355,27267846884949.355,27267846884949.355,1840614036040.6392,1840614036040.6392,1840614036040.6392,3361254795406.7065,3041642980935.7217,3041642980935.7217,57438552576134.09,27198454797599.195,30240097778534.96,30240097778534.96,317906247510.9357,317906247510.9357,0.0,18225.8070862231,18225.8070862231,18225.8070862231,18225.8070862231,18225.8070862231,18225.8070862231,18225.8070862231,18225.8070862231,1705566960.0509396,1705566960.0509396,0.0,0.0 
September,33412740947595.48,29753210534554.605,29753210534554.605,29753210534554.605,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,29753021288314.605,29753021288314.605,29753021288314.605,12488390784000.0,12488390784000.0,12488390784000.0,14559810387195.09,14559810387195.09,14559810387195.09,2704820117119.5156,2704820117119.5156,2704820117119.5156,80921377729254.34,29302592742816.664,29144538237594.434,57200414812.30953,0.0,57200414812.30953,0.0,29245392328004.367,29144538237594.434,29245392328004.367,29144538237594.434,158054505222.2616,57200414812.30953,57200414812.30953,100854090409.95198,100854090409.95198,33412740947595.48,33412740947595.48,33412740947595.48,33412740947595.48,0.0,0.0,0.0,0.0,33412740947595.48,33412740947595.48,33412740947595.48,33412740947595.48,16618597280068.295,16618597280068.295,16618597280068.295,16618597280068.295,16618597280068.295,1555718444743.601,1555718444743.601,1555718444743.601,2103811968297.2854,1838615022772.9812,1838615022772.9812,35000187706369.406,16580786341798.209,18419401364571.2,18419401364571.2,263639014252.20663,263637880252.20663,1133999.9999999998,13692.335329735635,13692.335329735635,13692.335329735635,13692.335329735635,13692.335329735635,13692.335329735635,13692.335329735635,13692.335329735635,1557931272.097733,1557931272.097733,0.0,0.0 
October,26849839166591.164,24833356939940.145,24833356939940.145,24833356939940.145,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,24833159207780.145,24833159207780.145,24833159207780.145,12904670476800.0,12904670476800.0,12904670476800.0,9670928803000.135,9670928803000.135,9670928803000.135,2257559927980.012,2257559927980.012,2257559927980.012,38996985873424.95,24222789321742.582,23989824750634.14,70983528846.22119,0.0,70983528846.22119,0.0,24151805792896.4,23989824750634.14,24151805792896.4,23989824750634.14,232964571108.49036,70983528846.22119,70983528846.22119,161981042262.26913,161981042262.26913,26849839166591.164,26849839166591.164,26849839166591.164,26849839166591.164,0.0,0.0,0.0,0.0,26849839166591.164,26849839166591.164,26849839166591.164,26849839166591.164,4748548494752.528,4748548494752.528,4748548494752.528,4748548494752.528,4748548494752.528,1410346388796.6804,1410346388796.6804,1410346388796.6804,606135837854.3197,537658856559.6727,537658856559.6727,10025648056929.799,4743994600185.058,5281653456744.728,5281653456744.728,67161498628.32761,66611346628.32761,550152000.0,4094.393648993259,4094.393648993259,4094.393648993259,4094.393648993259,4094.393648993259,4094.393648993259,4094.393648993259,4094.393648993259,1315482666.3189225,1315482666.3189225,0.0,0.0 
