Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.688704E+03,1.757031E+07,1.784628E+07,0.000000E+00,0.000000E+00,2.190696E+03,2.362219E+07,2.399321E+07
02:00:00,0.000000E+00,0.000000E+00,1.676556E+03,1.614990E+07,1.640355E+07,0.000000E+00,0.000000E+00,2.190182E+03,2.361665E+07,2.398758E+07
03:00:00,0.000000E+00,0.000000E+00,1.676732E+03,1.615159E+07,1.640527E+07,0.000000E+00,0.000000E+00,2.189781E+03,2.361232E+07,2.398318E+07
04:00:00,0.000000E+00,0.000000E+00,1.674139E+03,1.612661E+07,1.637990E+07,0.000000E+00,0.000000E+00,2.189443E+03,2.360868E+07,2.397949E+07
05:00:00,0.000000E+00,0.000000E+00,1.673533E+03,1.612077E+07,1.637397E+07,0.000000E+00,0.000000E+00,2.189169E+03,2.360573E+07,2.397648E+07
06:00:00,0.000000E+00,0.000000E+00,1.673265E+03,1.611819E+07,1.637135E+07,0.000000E+00,0.000000E+00,2.190616E+03,2.362133E+07,2.399233E+07
07:00:00,0.000000E+00,0.000000E+00,1.870960E+03,1.802254E+07,1.830561E+07,0.000000E+00,0.000000E+00,2.195231E+03,2.367110E+07,2.404288E+07
08:00:00,0.000000E+00,0.000000E+00,1.880412E+03,1.935997E+07,1.966404E+07,0.000000E+00,0.000000E+00,2.201178E+03,2.373522E+07,2.410801E+07
09:00:00,0.000000E+00,0.000000E+00,2.091717E+03,2.153547E+07,2.187371E+07,0.000000E+00,0.000000E+00,2.206976E+03,2.379774E+07,2.417151E+07
10:00:00,0.000000E+00,0.000000E+00,2.100415E+03,2.264870E+07,2.300442E+07,0.000000E+00,0.000000E+00,2.211776E+03,2.384949E+07,2.422408E+07
11:00:00,0.000000E+00,0.000000E+00,2.100780E+03,2.265264E+07,2.300842E+07,0.000000E+00,0.000000E+00,2.214794E+03,2.388204E+07,2.425714E+07
12:00:00,0.000000E+00,0.000000E+00,2.102409E+03,2.267020E+07,2.302626E+07,0.000000E+00,0.000000E+00,2.216689E+03,2.390247E+07,2.427789E+07
13:00:00,0.000000E+00,0.000000E+00,2.102831E+03,2.267475E+07,2.303088E+07,0.000000E+00,0.000000E+00,2.218642E+03,2.392354E+07,2.429928E+07
14:00:00,0.000000E+00,0.000000E+00,2.103018E+03,2.267677E+07,2.303293E+07,0.000000E+00,0.000000E+00,2.219561E+03,2.393344E+07,2.430934E+07
15:00:00,0.000000E+00,0.000000E+00,2.103124E+03,2.267791E+07,2.303409E+07,0.000000E+00,0.000000E+00,2.219340E+03,2.393107E+07,2.430693E+07
16:00:00,0.000000E+00,0.000000E+00,2.103191E+03,2.267864E+07,2.303483E+07,0.000000E+00,0.000000E+00,2.217969E+03,2.391628E+07,2.429191E+07
17:00:00,0.000000E+00,0.000000E+00,2.103230E+03,2.267905E+07,2.303525E+07,0.000000E+00,0.000000E+00,2.215617E+03,2.389092E+07,2.426615E+07
18:00:00,0.000000E+00,0.000000E+00,2.103241E+03,2.267917E+07,2.303537E+07,0.000000E+00,0.000000E+00,2.212763E+03,2.386014E+07,2.423489E+07
19:00:00,0.000000E+00,0.000000E+00,1.933612E+03,2.085007E+07,2.117754E+07,0.000000E+00,0.000000E+00,2.206848E+03,2.379636E+07,2.417011E+07
20:00:00,0.000000E+00,0.000000E+00,1.928209E+03,2.006227E+07,2.037737E+07,0.000000E+00,0.000000E+00,2.200165E+03,2.372430E+07,2.409692E+07
21:00:00,0.000000E+00,0.000000E+00,1.928301E+03,2.006322E+07,2.037834E+07,0.000000E+00,0.000000E+00,2.195887E+03,2.367817E+07,2.405006E+07
22:00:00,0.000000E+00,0.000000E+00,1.927158E+03,2.005133E+07,2.036626E+07,0.000000E+00,0.000000E+00,2.193605E+03,2.365357E+07,2.402507E+07
23:00:00,0.000000E+00,0.000000E+00,1.926901E+03,2.004866E+07,2.036355E+07,0.000000E+00,0.000000E+00,2.192270E+03,2.363917E+07,2.401045E+07
24:00:00,0.000000E+00,0.000000E+00,1.926792E+03,2.004753E+07,2.036240E+07,0.000000E+00,0.000000E+00,2.191374E+03,2.362950E+07,2.400063E+07
Coinc Peak   ,0.000000E+00,2.219561E+03,0.000000E+00,2.393344E+07
NonCoinc Peak,0.000000E+00,2.219561E+03,0.000000E+00,2.393344E+07
