Time,ZONE:DENVER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE:DENVER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE:DENVER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE:DENVER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE:DENVER ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE:DENVER ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE:DENVER ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:DENVER ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.656439E+07,0.000000E+00,1.685151E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.925431E+01,2.764589E+01,2.963083E+01,2.705231E+01
02:00:00,0.000000E+00,1.656050E+07,0.000000E+00,1.684755E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
03:00:00,0.000000E+00,1.655747E+07,0.000000E+00,1.684447E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
04:00:00,0.000000E+00,1.655491E+07,0.000000E+00,1.684187E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
05:00:00,0.000000E+00,1.655284E+07,0.000000E+00,1.683976E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
06:00:00,0.000000E+00,1.656378E+07,0.000000E+00,1.685089E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
07:00:00,0.000000E+00,1.659868E+07,0.000000E+00,1.688639E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.848620E+01,2.890302E+01,2.963083E+01,2.705231E+01
08:00:00,0.000000E+00,1.664364E+07,0.000000E+00,1.693214E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.914582E+01,2.781965E+01,2.963083E+01,2.705231E+01
09:00:00,0.000000E+00,1.668748E+07,0.000000E+00,1.697674E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.914582E+01,2.781965E+01,2.963083E+01,2.705231E+01
10:00:00,0.000000E+00,1.672377E+07,0.000000E+00,1.701366E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.963083E+01,2.705231E+01,2.963083E+01,2.705231E+01
