Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,48748505913398.766,40158724421980.305,40158724421980.305,40158724421980.305,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,40158526689820.305,40158526689820.305,40158526689820.305,12904670476800.0,12904670476800.0,12904670476800.0,23603081059400.258,23603081059400.258,23603081059400.258,3650775153620.0283,3650775153620.0283,3650775153620.0283,119432957273068.06,38530010186433.77,38530010186433.77,0.0,0.0,0.0,0.0,38530010186433.77,38530010186433.77,38530010186433.77,38530010186433.77,48748505913398.766,48748505913398.766,48748505913398.766,48748505913398.766,0.0,0.0,0.0,0.0,48748505913398.766,48748505913398.766,48748505913398.766,48748505913398.766,24825420703304.453,24825420703304.453,24825420703304.453,24825420703304.453,24825420703304.453,2018508150370.711,2018508150370.711,2018508150370.711,6571273341047.782,6571050664525.701,6571050664525.701,56077526383329.73,24753237859402.016,31324288523927.746,31324288523927.746,222676522.07789975,222676522.07789975,0.0,0.0 
February,45277802311365.97,36008894180256.984,36008894180256.984,36008894180256.984,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,36008714646816.984,36008714646816.984,36008714646816.984,11655831398400.0,11655831398400.0,11655831398400.0,21079363735069.992,21079363735069.992,21079363735069.992,3273519513346.996,3273519513346.996,3273519513346.996,126185599750952.17,34756307701237.277,34756307701237.277,0.0,0.0,0.0,0.0,34756307701237.277,34756307701237.277,34756307701237.277,34756307701237.277,45277802311365.96,45277802311365.96,45277802311365.96,45277802311365.96,0.0,0.0,0.0,0.0,45277802311365.96,45277802311365.96,45277802311365.96,45277802311365.96,28045489995690.176,28045489995690.176,28045489995690.176,28045489995690.176,28045489995690.176,1817654756196.4019,1817654756196.4019,1817654756196.4019,7451253374912.593,7450990248338.905,7450990248338.905,63383802054024.72,27966405902842.906,35417396151181.805,35417396151181.805,263126573.68611678,263126573.68611678,0.0,0.0 
March,50167066357186.51,39622210921574.25,39622210921574.25,39622210921574.25,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,39622005930374.25,39622005930374.25,39622005930374.25,12904670476800.0,12904670476800.0,12904670476800.0,23115334914449.336,23115334914449.336,23115334914449.336,3602000539124.931,3602000539124.931,3602000539124.931,142833376305155.87,38475902378314.695,38475902378314.695,0.0,0.0,0.0,0.0,38475902378314.695,38475902378314.695,38475902378314.695,38475902378314.695,50167066357186.51,50167066357186.51,50167066357186.51,50167066357186.51,0.0,0.0,0.0,0.0,50167066357186.51,50167066357186.51,50167066357186.51,50167066357186.51,31997481200976.793,31997481200976.793,31997481200976.793,31997481200976.793,31997481200976.793,2009251847863.9785,2009251847863.9785,2009251847863.9785,8535603587748.267,8535279378093.22,8535279378093.22,72359992725864.42,31912356673885.57,40447636051978.76,40447636051978.76,324209655.0600333,324209655.0600333,0.0,0.0 
April,50247503709048.73,38160906122621.56,38160906122621.56,38160906122621.56,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,38160724135421.56,38160724135421.56,38160724135421.56,12488390784000.0,12488390784000.0,12488390784000.0,22203176611837.758,22203176611837.758,22203176611837.758,3469156739583.7764,3469156739583.7764,3469156739583.7764,161000068148880.25,37282509693648.2,37282509693648.2,0.0,0.0,0.0,0.0,37282509693648.2,37282509693648.2,37282509693648.2,37282509693648.2,50247503709048.73,50247503709048.73,50247503709048.73,50247503709048.73,0.0,0.0,0.0,0.0,50247503709048.73,50247503709048.73,50247503709048.73,50247503709048.73,37924450721885.31,37924450721885.31,37924450721885.31,37924450721885.31,37924450721885.31,1940948783405.9048,1940948783405.9048,1940948783405.9048,10145648803021.238,10145263820676.271,10145263820676.271,85793107733346.64,37823921956335.17,47969185777011.42,47969185777011.42,384982344.966418,384982344.966418,0.0,0.0 
May,52237707801543.74,39265723480831.805,39265723480831.805,39265723480831.805,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,39265518489631.805,39265518489631.805,39265518489631.805,12904670476800.0,12904670476800.0,12904670476800.0,22791255422865.277,22791255422865.277,22791255422865.277,3569592589966.526,3569592589966.526,3569592589966.526,170431504696201.53,38561370925364.914,38561370925364.914,0.0,0.0,0.0,0.0,38561370925364.914,38561370925364.914,38561370925364.914,38561370925364.914,52237707801543.74,52237707801543.74,52237707801543.74,52237707801543.74,0.0,0.0,0.0,0.0,52237707801543.74,52237707801543.74,52237707801543.74,52237707801543.74,40368703935917.78,40368703935917.78,40368703935917.78,40368703935917.78,40368703935917.78,2007212731624.004,2007212731624.004,2007212731624.004,10964771589087.953,10964329543797.377,10964329543797.377,91501429834918.81,40268550145560.7,51232879689358.07,51232879689358.07,442045290.5789714,442045290.5789714,0.0,0.0 
June,50502994805137.445,37872964135949.18,37872964135949.18,37872964135949.18,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,37872767630669.18,37872767630669.18,37872767630669.18,12488390784000.0,12488390784000.0,12488390784000.0,21941397971153.79,21941397971153.79,21941397971153.79,3442978875515.3794,3442978875515.3794,3442978875515.3794,165242460865343.44,37375481506178.27,37375481506178.27,0.0,0.0,0.0,0.0,37375481506178.27,37375481506178.27,37375481506178.27,37375481506178.27,50502994805137.445,50502994805137.445,50502994805137.445,50502994805137.445,0.0,0.0,0.0,0.0,50502994805137.445,50502994805137.445,50502994805137.445,50502994805137.445,39124358970075.88,39124358970075.88,39124358970075.88,39124358970075.88,39124358970075.88,1942470443427.8364,1942470443427.8364,1942470443427.8364,10687560225760.377,10687129599555.352,10687129599555.352,88742620389089.2,39027745394766.945,49714874994322.27,49714874994322.27,430626205.02828586,430626205.02828586,0.0,0.0 
July,52228708553951.375,39127935319046.6,39127935319046.6,39127935319046.6,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,39127744845926.6,39127744845926.6,39127744845926.6,12904670476800.0,12904670476800.0,12904670476800.0,22666006655860.484,22666006655860.484,22666006655860.484,3557067713266.0527,3557067713266.0527,3557067713266.0527,170834739219204.5,38630525540204.24,38630525540204.24,0.0,0.0,0.0,0.0,38630525540204.24,38630525540204.24,38630525540204.24,38630525540204.24,52228708553951.375,52228708553951.375,52228708553951.375,52228708553951.375,0.0,0.0,0.0,0.0,52228708553951.375,52228708553951.375,52228708553951.375,52228708553951.375,40436965660935.13,40436965660935.13,40436965660935.13,40436965660935.13,40436965660935.13,2007225907794.4626,2007225907794.4626,2007225907794.4626,11093547327110.402,11093102265129.705,11093102265129.705,91767248018065.1,40337072876467.71,51430175141597.375,51430175141597.375,445061980.68639606,445061980.68639606,0.0,0.0 
August,52198216115913.0,39125872334783.02,39125872334783.02,39125872334783.02,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,39125667343583.02,39125667343583.02,39125667343583.02,12904670476800.0,12904670476800.0,12904670476800.0,22664118017366.414,22664118017366.414,22664118017366.414,3556878849416.636,3556878849416.636,3556878849416.636,170749158858733.78,38616154838801.87,38616154838801.87,0.0,0.0,0.0,0.0,38616154838801.87,38616154838801.87,38616154838801.87,38616154838801.87,52198216115913.0,52198216115913.0,52198216115913.0,52198216115913.0,0.0,0.0,0.0,0.0,52198216115913.0,52198216115913.0,52198216115913.0,52198216115913.0,40422666469774.03,40422666469774.03,40422666469774.03,40422666469774.03,40422666469774.03,2007232754072.1687,2007232754072.1687,2007232754072.1687,11065111027057.756,11064666008732.1,11064666008732.1,91710337550157.86,40322835770712.89,51387501779444.984,51387501779444.984,445018325.6483015,445018325.6483015,0.0,0.0 
September,50584613280792.71,37978526401311.21,37978526401311.21,37978526401311.21,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,37978337155071.21,37978337155071.21,37978337155071.21,12488390784000.0,12488390784000.0,12488390784000.0,22037370266064.727,22037370266064.727,22037370266064.727,3452576105006.4717,3452576105006.4717,3452576105006.4717,164922398183075.4,37302447808293.25,37302447808293.25,0.0,0.0,0.0,0.0,37302447808293.25,37302447808293.25,37302447808293.25,37302447808293.25,50584613280792.71,50584613280792.71,50584613280792.71,50584613280792.71,0.0,0.0,0.0,0.0,50584613280792.71,50584613280792.71,50584613280792.71,50584613280792.71,39050085890852.266,39050085890852.266,39050085890852.266,39050085890852.266,39050085890852.266,1942489956356.4702,1942489956356.4702,1942489956356.4702,10663596923124.992,10663168511309.002,10663168511309.002,88569864483929.78,38953347986310.4,49616516497619.39,49616516497619.39,428411816.002521,428411816.002521,0.0,0.0 
October,52326804975255.48,39389180256854.516,39389180256854.516,39389180256854.516,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,39388982524694.516,39388982524694.516,39388982524694.516,12904670476800.0,12904670476800.0,12904670476800.0,22903495454740.453,22903495454740.453,22903495454740.453,3580816593154.047,3580816593154.047,3580816593154.047,170073981498219.25,38481870483324.234,38481870483324.234,0.0,0.0,0.0,0.0,38481870483324.234,38481870483324.234,38481870483324.234,38481870483324.234,52326804975255.47,52326804975255.47,52326804975255.47,52326804975255.47,0.0,0.0,0.0,0.0,52326804975255.47,52326804975255.47,52326804975255.47,52326804975255.47,40287591556531.49,40287591556531.49,40287591556531.49,40287591556531.49,40287591556531.49,2007246476294.9297,2007246476294.9297,2007246476294.9297,10930378242106.053,10929938697486.98,10929938697486.98,91304519458363.31,40187290380438.13,51117229077925.016,51117229077925.016,439544619.0829837,439544619.0829837,0.0,0.0 
