Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.058994E+03,1.872626E+07,1.902038E+07,0.000000E+00,0.000000E+00,2.591677E+03,2.437532E+07,2.475817E+07
02:00:00,0.000000E+00,0.000000E+00,2.047137E+03,1.732227E+07,1.759434E+07,0.000000E+00,0.000000E+00,2.591358E+03,2.437232E+07,2.475512E+07
03:00:00,0.000000E+00,0.000000E+00,2.051773E+03,1.736150E+07,1.763418E+07,0.000000E+00,0.000000E+00,2.591105E+03,2.436995E+07,2.475270E+07
04:00:00,0.000000E+00,0.000000E+00,2.049791E+03,1.734473E+07,1.761715E+07,0.000000E+00,0.000000E+00,2.590899E+03,2.436800E+07,2.475073E+07
05:00:00,0.000000E+00,0.000000E+00,2.049472E+03,1.734203E+07,1.761441E+07,0.000000E+00,0.000000E+00,2.590729E+03,2.436641E+07,2.474911E+07
06:00:00,0.000000E+00,0.000000E+00,2.049269E+03,1.734031E+07,1.761266E+07,0.000000E+00,0.000000E+00,2.590610E+03,2.436529E+07,2.474797E+07
07:00:00,0.000000E+00,0.000000E+00,2.283130E+03,1.931918E+07,1.962261E+07,0.000000E+00,0.000000E+00,2.591121E+03,2.437010E+07,2.475286E+07
08:00:00,0.000000E+00,0.000000E+00,2.292085E+03,2.064122E+07,2.096542E+07,0.000000E+00,0.000000E+00,2.592965E+03,2.438743E+07,2.477047E+07
09:00:00,0.000000E+00,0.000000E+00,2.538160E+03,2.285723E+07,2.321623E+07,0.000000E+00,0.000000E+00,2.595940E+03,2.441542E+07,2.479889E+07
10:00:00,0.000000E+00,0.000000E+00,2.546057E+03,2.394625E+07,2.432236E+07,0.000000E+00,0.000000E+00,2.599276E+03,2.444679E+07,2.483076E+07
11:00:00,0.000000E+00,0.000000E+00,2.543746E+03,2.392452E+07,2.430029E+07,0.000000E+00,0.000000E+00,2.602429E+03,2.447645E+07,2.486088E+07
12:00:00,0.000000E+00,0.000000E+00,2.544994E+03,2.393626E+07,2.431221E+07,0.000000E+00,0.000000E+00,2.605022E+03,2.450083E+07,2.488565E+07
13:00:00,0.000000E+00,0.000000E+00,2.545259E+03,2.393875E+07,2.431474E+07,0.000000E+00,0.000000E+00,2.606836E+03,2.451790E+07,2.490298E+07
14:00:00,0.000000E+00,0.000000E+00,2.545431E+03,2.394036E+07,2.431638E+07,0.000000E+00,0.000000E+00,2.607735E+03,2.452636E+07,2.491157E+07
15:00:00,0.000000E+00,0.000000E+00,2.545553E+03,2.394152E+07,2.431755E+07,0.000000E+00,0.000000E+00,2.607638E+03,2.452544E+07,2.491064E+07
16:00:00,0.000000E+00,0.000000E+00,2.545642E+03,2.394235E+07,2.431839E+07,0.000000E+00,0.000000E+00,2.606525E+03,2.451497E+07,2.490001E+07
17:00:00,0.000000E+00,0.000000E+00,2.545702E+03,2.394292E+07,2.431897E+07,0.000000E+00,0.000000E+00,2.604494E+03,2.449587E+07,2.488061E+07
18:00:00,0.000000E+00,0.000000E+00,2.545732E+03,2.394320E+07,2.431925E+07,0.000000E+00,0.000000E+00,2.601715E+03,2.446973E+07,2.485406E+07
19:00:00,0.000000E+00,0.000000E+00,2.345247E+03,2.205759E+07,2.240403E+07,0.000000E+00,0.000000E+00,2.598530E+03,2.443978E+07,2.482364E+07
20:00:00,0.000000E+00,0.000000E+00,2.340005E+03,2.128202E+07,2.161628E+07,0.000000E+00,0.000000E+00,2.595894E+03,2.441499E+07,2.479845E+07
21:00:00,0.000000E+00,0.000000E+00,2.342082E+03,2.130091E+07,2.163547E+07,0.000000E+00,0.000000E+00,2.594276E+03,2.439977E+07,2.478300E+07
22:00:00,0.000000E+00,0.000000E+00,2.341199E+03,2.129288E+07,2.162731E+07,0.000000E+00,0.000000E+00,2.593278E+03,2.439038E+07,2.477346E+07
23:00:00,0.000000E+00,0.000000E+00,2.341063E+03,2.129165E+07,2.162606E+07,0.000000E+00,0.000000E+00,2.592595E+03,2.438396E+07,2.476694E+07
24:00:00,0.000000E+00,0.000000E+00,2.340978E+03,2.129087E+07,2.162527E+07,0.000000E+00,0.000000E+00,2.592082E+03,2.437913E+07,2.476204E+07
Coinc Peak   ,0.000000E+00,2.607735E+03,0.000000E+00,2.452636E+07
NonCoinc Peak,0.000000E+00,2.607735E+03,0.000000E+00,2.452636E+07
