Time,DATA CENTER ZONE::Des Heat Load [W],DATA CENTER ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DATA CENTER ZONE::Des Heat Mass Flow [kg/s],DATA CENTER ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Heat Load [W],DATA CENTER ZONE::Des Latent Cool Load [W],DATA CENTER ZONE::Des Latent Heat Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Heat Load No DOAS [W],DATA CENTER ZONE::Des Sens Cool Load No DOAS [W],DATA CENTER ZONE::Des Latent Heat Load No DOAS [W],DATA CENTER ZONE::Des Latent Cool Load No DOAS [W],DATA CENTER ZONE::Heating Zone Temperature [C],DATA CENTER ZONE::Heating Zone Relative Humidity [%],DATA CENTER ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],DATA CENTER ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.680652E+07,0.000000E+00,1.993598E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
02:00:00,0.000000E+00,1.680445E+07,0.000000E+00,1.993352E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
03:00:00,0.000000E+00,1.680281E+07,0.000000E+00,1.993158E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
04:00:00,0.000000E+00,1.680147E+07,0.000000E+00,1.992999E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
05:00:00,0.000000E+00,1.680037E+07,0.000000E+00,1.992869E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
06:00:00,0.000000E+00,1.679960E+07,0.000000E+00,1.992777E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
07:00:00,0.000000E+00,1.680292E+07,0.000000E+00,1.993170E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
08:00:00,0.000000E+00,1.681487E+07,0.000000E+00,1.994588E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
09:00:00,0.000000E+00,1.683417E+07,0.000000E+00,1.996877E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
10:00:00,0.000000E+00,1.685580E+07,0.000000E+00,1.999443E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825976E+01,3.557553E+01
