Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.369422E+03,1.936357E+07,1.666318E+07,0.000000E+00,0.000000E+00,2.838430E+03,2.406895E+07,2.084774E+07
02:00:00,0.000000E+00,0.000000E+00,2.357819E+03,1.775244E+07,1.504146E+07,0.000000E+00,0.000000E+00,2.837971E+03,2.406506E+07,2.084437E+07
03:00:00,0.000000E+00,0.000000E+00,2.361083E+03,1.777701E+07,1.506228E+07,0.000000E+00,0.000000E+00,2.837613E+03,2.406202E+07,2.084174E+07
04:00:00,0.000000E+00,0.000000E+00,2.358844E+03,1.776016E+07,1.504800E+07,0.000000E+00,0.000000E+00,2.837325E+03,2.405958E+07,2.083963E+07
05:00:00,0.000000E+00,0.000000E+00,2.358332E+03,1.775630E+07,1.504474E+07,0.000000E+00,0.000000E+00,2.837085E+03,2.405754E+07,2.083786E+07
06:00:00,0.000000E+00,0.000000E+00,2.358064E+03,1.775428E+07,1.504302E+07,0.000000E+00,0.000000E+00,2.836923E+03,2.405617E+07,2.083668E+07
07:00:00,0.000000E+00,0.000000E+00,2.564467E+03,1.930833E+07,1.635975E+07,0.000000E+00,0.000000E+00,2.837966E+03,2.406501E+07,2.084434E+07
08:00:00,0.000000E+00,0.000000E+00,2.573256E+03,2.079901E+07,1.786270E+07,0.000000E+00,0.000000E+00,2.841681E+03,2.409652E+07,2.087162E+07
09:00:00,0.000000E+00,0.000000E+00,2.803979E+03,2.266389E+07,1.946431E+07,0.000000E+00,0.000000E+00,2.847851E+03,2.414883E+07,2.091694E+07
10:00:00,0.000000E+00,0.000000E+00,2.811951E+03,2.384441E+07,2.065326E+07,0.000000E+00,0.000000E+00,2.854808E+03,2.420782E+07,2.096804E+07
11:00:00,0.000000E+00,0.000000E+00,2.810669E+03,2.383355E+07,2.064385E+07,0.000000E+00,0.000000E+00,2.861254E+03,2.426249E+07,2.101538E+07
12:00:00,0.000000E+00,0.000000E+00,2.812093E+03,2.384562E+07,2.065431E+07,0.000000E+00,0.000000E+00,2.866343E+03,2.430564E+07,2.105276E+07
13:00:00,0.000000E+00,0.000000E+00,2.812460E+03,2.384873E+07,2.065700E+07,0.000000E+00,0.000000E+00,2.869672E+03,2.433387E+07,2.107721E+07
14:00:00,0.000000E+00,0.000000E+00,2.812647E+03,2.385031E+07,2.065837E+07,0.000000E+00,0.000000E+00,2.871064E+03,2.434567E+07,2.108744E+07
15:00:00,0.000000E+00,0.000000E+00,2.812759E+03,2.385127E+07,2.065920E+07,0.000000E+00,0.000000E+00,2.870492E+03,2.434082E+07,2.108324E+07
16:00:00,0.000000E+00,0.000000E+00,2.812833E+03,2.385190E+07,2.065974E+07,0.000000E+00,0.000000E+00,2.867969E+03,2.431943E+07,2.106470E+07
17:00:00,0.000000E+00,0.000000E+00,2.812877E+03,2.385226E+07,2.066006E+07,0.000000E+00,0.000000E+00,2.863718E+03,2.428339E+07,2.103348E+07
18:00:00,0.000000E+00,0.000000E+00,2.812891E+03,2.385238E+07,2.066016E+07,0.000000E+00,0.000000E+00,2.858067E+03,2.423546E+07,2.099198E+07
19:00:00,0.000000E+00,0.000000E+00,2.624918E+03,2.225844E+07,1.927954E+07,0.000000E+00,0.000000E+00,2.851645E+03,2.418100E+07,2.094480E+07
20:00:00,0.000000E+00,0.000000E+00,2.619889E+03,2.141046E+07,1.842462E+07,0.000000E+00,0.000000E+00,2.846269E+03,2.413542E+07,2.090532E+07
21:00:00,0.000000E+00,0.000000E+00,2.621297E+03,2.142196E+07,1.843452E+07,0.000000E+00,0.000000E+00,2.842966E+03,2.410741E+07,2.088106E+07
22:00:00,0.000000E+00,0.000000E+00,2.620317E+03,2.141396E+07,1.842763E+07,0.000000E+00,0.000000E+00,2.841043E+03,2.409110E+07,2.086693E+07
23:00:00,0.000000E+00,0.000000E+00,2.620113E+03,2.141229E+07,1.842619E+07,0.000000E+00,0.000000E+00,2.839850E+03,2.408099E+07,2.085818E+07
24:00:00,0.000000E+00,0.000000E+00,2.620004E+03,2.141140E+07,1.842542E+07,0.000000E+00,0.000000E+00,2.839032E+03,2.407406E+07,2.085217E+07
Coinc Peak   ,0.000000E+00,2.871064E+03,0.000000E+00,2.434567E+07
NonCoinc Peak,0.000000E+00,2.871064E+03,0.000000E+00,2.434567E+07
