Time,HYBRID ZONE::Des Heat Load [W],HYBRID ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],HYBRID ZONE::Des Heat Mass Flow [kg/s],HYBRID ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],HYBRID ZONE::Des Latent Heat Load [W],HYBRID ZONE::Des Latent Cool Load [W],HYBRID ZONE::Des Latent Heat Mass Flow [kg/s],HYBRID ZONE::Des Latent Cool Mass Flow [kg/s],HYBRID ZONE::Des Heat Load No DOAS [W],HYBRID ZONE::Des Sens Cool Load No DOAS [W],HYBRID ZONE::Des Latent Heat Load No DOAS [W],HYBRID ZONE::Des Latent Cool Load No DOAS [W],HYBRID ZONE::Heating Zone Temperature [C],HYBRID ZONE::Heating Zone Relative Humidity [%],HYBRID ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],HYBRID ZONE:MIAMI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.880537E+07,0.000000E+00,2.183407E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
02:00:00,0.000000E+00,1.880233E+07,0.000000E+00,2.183055E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
03:00:00,0.000000E+00,1.879995E+07,0.000000E+00,2.182779E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
04:00:00,0.000000E+00,1.879805E+07,0.000000E+00,2.182558E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
05:00:00,0.000000E+00,1.879646E+07,0.000000E+00,2.182373E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
06:00:00,0.000000E+00,1.879539E+07,0.000000E+00,2.182249E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
07:00:00,0.000000E+00,1.880229E+07,0.000000E+00,2.183051E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
08:00:00,0.000000E+00,1.882691E+07,0.000000E+00,2.185908E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
09:00:00,0.000000E+00,1.886778E+07,0.000000E+00,2.190654E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
10:00:00,0.000000E+00,1.891387E+07,0.000000E+00,2.196006E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
11:00:00,0.000000E+00,1.895658E+07,0.000000E+00,2.200965E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
12:00:00,0.000000E+00,1.899030E+07,0.000000E+00,2.204879E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
13:00:00,0.000000E+00,1.901236E+07,0.000000E+00,2.207440E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
14:00:00,0.000000E+00,1.902158E+07,0.000000E+00,2.208511E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
15:00:00,0.000000E+00,1.901779E+07,0.000000E+00,2.208071E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
16:00:00,0.000000E+00,1.900107E+07,0.000000E+00,2.206130E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733867E+01,3.754033E+01
