Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,36751687269627.89,33196551311115.266,33196551311115.266,33196551311115.266,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,33196353578955.266,33196353578955.266,33196353578955.266,12904670476800.0,12904670476800.0,12904670476800.0,17273832776795.719,17273832776795.719,17273832776795.719,3017850325359.5713,3017850325359.5713,3017850325359.5713,43998289158275.75,33716234552214.56,32682896837424.95,161124436565.58658,0.0,161124436565.58658,0.0,33555110115648.984,32682896837424.95,33555110115648.984,32682896837424.95,1033337714789.5978,161124436565.58658,161124436565.58658,872213278224.0101,872213278224.0101,36751687269627.89,36751687269627.89,36751687269627.89,36751687269627.89,0.0,0.0,0.0,0.0,36751687269627.89,36751687269627.89,36751687269627.89,36751687269627.89,3324740575558.97,3324740575558.97,3324740575558.97,3324740575558.97,3324740575558.97,3160559969884.133,1698769563231.9617,1698769563231.9617,1843772979165.581,1843772979165.581,6237.704255185165,4692.528454153447,4692.528454153447,4692.528454153447,6237.704255185165,4692.528454153447,4692.528454153447,4692.528454153447,394575988628.4707,6957314030502.243,3287665728994.4233,3669648301507.8257,3669648301507.8257,12050288972.188717,12050288972.188717,0.0,1545.175801031721,1545.175801031721,1545.175801031721,1545.175801031721,1545.175801031721,1545.175801031721,543127142.879496,543127142.879496,0.0,0.0 
February,32511854486867.34,28859715614288.223,28859715614288.223,28859715614288.223,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,28859536080848.223,28859536080848.223,28859536080848.223,11655831398400.0,11655831398400.0,11655831398400.0,14580110493280.186,14580110493280.186,14580110493280.186,2623594189168.0186,2623594189168.0186,2623594189168.0186,37528788250953.49,29580961401308.227,28534966385869.414,45212082780.30057,0.0,45212082780.30057,0.0,29535749318527.926,28534966385869.414,29535749318527.926,28534966385869.414,1045995015438.8434,45212082780.30057,45212082780.30057,1000782932658.5424,1000782932658.5424,32511854486867.34,32511854486867.34,32511854486867.34,32511854486867.34,0.0,0.0,0.0,0.0,32511854486867.34,32511854486867.34,32511854486867.34,32511854486867.34,2556179565813.4556,2556179565813.4556,2556179565813.4556,2556179565813.4556,2556179565813.4556,3346194775166.0054,1564373151607.2712,1564373151607.2712,2078994388544.956,2078994388544.956,7943.358028441592,6679.288494862391,6679.288494862391,6679.288494862391,7943.358028441592,6679.288494862391,6679.288494862391,6679.288494862391,305944097413.1193,5391647283831.818,2547237259422.804,2844410024409.0186,2844410024409.0186,8298572863.198316,8298572863.198316,0.0,1264.0695335792032,1264.0695335792032,1264.0695335792032,1264.0695335792032,1264.0695335792032,1264.0695335792032,472759563.7085003,472759563.7085003,0.0,0.0 
March,36553277012010.04,32141757131781.66,32141757131781.66,32141757131781.66,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,32141552140581.66,32141552140581.66,32141552140581.66,12904670476800.0,12904670476800.0,12904670476800.0,16314922378274.256,16314922378274.256,16314922378274.256,2921959285507.4253,2921959285507.4253,2921959285507.4253,44445601437248.05,33094398250098.4,31919304582727.617,2758540402.97994,0.0,2758540402.97994,0.0,33091639709695.42,31919304582727.617,33091639709695.42,31919304582727.617,1175093667370.7952,2758540402.97994,2758540402.97994,1172335126967.8152,1172335126967.8152,36553277012010.04,36553277012010.04,36553277012010.04,36553277012010.04,0.0,0.0,0.0,0.0,36553277012010.04,36553277012010.04,36553277012010.04,36553277012010.04,3650154378974.0576,3650154378974.0576,3650154378974.0576,3650154378974.0576,3650154378974.0576,3977266006675.9614,1745474918774.9119,1745474918774.9119,2654028065174.4526,2654028065174.4526,10411.085530079592,8667.449563810012,8667.449563810012,8667.449563810012,10411.085530079592,8667.449563810012,8667.449563810012,8667.449563810012,434253873552.38544,7701048808175.664,3639405915451.1255,4061642892724.5396,4061642892724.5396,11408269234.156116,11408269234.156116,0.0,1743.6359662695868,1743.6359662695868,1743.6359662695868,1743.6359662695868,1743.6359662695868,1743.6359662695868,608627044.8129654,608627044.8129654,0.0,0.0 
April,35433428093644.39,30610911321651.266,30610911321651.266,30610911321651.266,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,30610729334451.266,30610729334451.266,30610729334451.266,12488390784000.0,12488390784000.0,12488390784000.0,15339544974592.063,15339544974592.063,15339544974592.063,2782793575859.203,2782793575859.203,2782793575859.203,48061249905409.38,31882268345759.93,30425749962434.688,8425568443.502043,0.0,8425568443.502043,0.0,31873842777316.437,30425749962434.688,31873842777316.437,30425749962434.688,1456518383325.2773,8425568443.502043,8425568443.502043,1448092814881.775,1448092814881.775,35433428093644.39,35433428093644.39,35433428093644.39,35433428093644.39,0.0,0.0,0.0,0.0,35433428093644.39,35433428093644.39,35433428093644.39,35433428093644.39,5207814949883.705,5207814949883.705,5207814949883.705,5207814949883.705,5207814949883.705,4192331350527.366,1605611451019.412,1605611451019.412,3194970602852.479,3194970602852.479,13539.525120138436,10838.035905247452,10838.035905247452,10838.035905247452,13539.525120138436,10838.035905247452,10838.035905247452,10838.035905247452,630185421465.6832,10971166609765.707,5181457953210.581,5789708656555.124,5789708656555.124,21229234568.57825,21229234568.57825,0.0,2701.4892148909903,2701.4892148909903,2701.4892148909903,2701.4892148909903,2701.4892148909903,2701.4892148909903,705483552.5615045,705483552.5615045,0.0,0.0 
May,39043293653910.305,33086811599163.746,33086811599163.746,33086811599163.746,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,33086606607963.746,33086606607963.746,33086606607963.746,12904670476800.0,12904670476800.0,12904670476800.0,17174062803167.082,17174062803167.082,17174062803167.082,3007873327996.7104,3007873327996.7104,3007873327996.7104,83771261975630.02,34357079463454.36,32930112690875.332,9224266588.290556,0.0,9224266588.290556,0.0,34347855196866.066,32930112690875.332,34347855196866.066,32930112690875.332,1426966772579.0374,9224266588.290556,9224266588.290556,1417742505990.7463,1417742505990.7463,39043293653910.305,39043293653910.305,39043293653910.305,39043293653910.305,0.0,0.0,0.0,0.0,39043293653910.305,39043293653910.305,39043293653910.305,39043293653910.305,15971986630314.959,15971986630314.959,15971986630314.959,15971986630314.959,15971986630314.959,4022181080917.408,1735651601124.4456,1735651601124.4456,4151317374373.0576,4151317374373.0576,18076.239916621245,10097.580108243334,10097.580108243334,10097.580108243334,18076.239916621245,10097.580108243334,10097.580108243334,10097.580108243334,1934300973829.1304,33442195881860.664,15788703993640.264,17653491888220.36,17653491888220.36,68126486736.66383,68126486736.66383,0.0,7978.659808377929,7978.659808377929,7978.659808377929,7978.659808377929,7978.659808377929,7978.659808377929,1386592512.3599637,1386592512.3599637,0.0,0.0 
June,39967431545549.33,33872339813038.55,33872339813038.55,33872339813038.55,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,33872143307758.55,33872143307758.55,33872143307758.55,12488390784000.0,12488390784000.0,12488390784000.0,18304466768507.797,18304466768507.797,18304466768507.797,3079285755250.783,3079285755250.783,3079285755250.783,116181650285142.17,34988778476909.84,33708666368460.11,14438832879.840012,0.0,14438832879.840012,0.0,34974339644030.0,33708666368460.11,34974339644030.0,33708666368460.11,1280112108449.7075,14438832879.840012,14438832879.840012,1265673275569.868,1265673275569.868,39967431545549.33,39967431545549.33,39967431545549.33,39967431545549.33,0.0,0.0,0.0,0.0,39967431545549.33,39967431545549.33,39967431545549.33,39967431545549.33,26251906195034.887,26251906195034.887,26251906195034.887,26251906195034.887,26251906195034.887,2979985382217.125,1805144805152.236,1805144805152.236,4192416372719.825,4192416372719.825,18112.056858463184,5910.871425395245,5910.871425395245,5910.871425395245,18112.056858463184,5910.871425395245,5910.871425395245,5910.871425395245,3115106350293.6064,54940965613197.26,25961694908771.164,28979270704426.094,28979270704426.094,95833542979.36493,95833542979.36493,0.0,12201.185433067938,12201.185433067938,12201.185433067938,12201.185433067938,12201.185433067938,12201.185433067938,1697011659.2969265,1697011659.2969265,0.0,0.0 
July,40883738771619.05,34502768091970.49,34502768091970.49,34502768091970.49,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,34502577618850.49,34502577618850.49,34502577618850.49,12904670476800.0,12904670476800.0,12904670476800.0,18461309176700.445,18461309176700.445,18461309176700.445,3136597965350.044,3136597965350.044,3136597965350.044,130895678997231.39,35771348091127.664,34370213981562.86,13455995340.66255,0.0,13455995340.66255,0.0,35757892095787.0,34370213981562.86,35757892095787.0,34370213981562.86,1401134109564.7598,13455995340.66255,13455995340.66255,1387678114224.0972,1387678114224.0972,40883738771619.05,40883738771619.05,40883738771619.05,40883738771619.05,0.0,0.0,0.0,0.0,40883738771619.05,40883738771619.05,40883738771619.05,40883738771619.05,30802221916985.87,30802221916985.87,30802221916985.87,30802221916985.87,30802221916985.87,2724862734061.41,1836357476123.4468,1836357476123.4468,4431190333191.887,4431190333191.887,19161.48972123336,4831.850927106965,4831.850927106965,4831.850927106965,19161.48972123336,4831.850927106965,4831.850927106965,4831.850927106965,3656107945587.0903,64322108989117.875,30389711956931.938,33932397032185.89,33932397032185.89,111592250100.83664,111592250100.83664,0.0,14329.638794126391,14329.638794126391,14329.638794126391,14329.638794126391,14329.638794126391,14329.638794126391,1830620232.3260183,1830620232.3260183,0.0,0.0 
August,42146706940102.195,35732094972840.305,35732094972840.305,35732094972840.305,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35731889981640.305,35731889981640.305,35731889981640.305,12904670476800.0,12904670476800.0,12904670476800.0,19578865870145.75,19578865870145.75,19578865870145.75,3248353634694.5713,3248353634694.5713,3248353634694.5713,131606262899946.03,36778358263417.31,35517248571069.46,34377353321.786514,0.0,34377353321.786514,0.0,36743980910095.52,35517248571069.46,36743980910095.52,35517248571069.46,1261109692347.8523,34377353321.786514,34377353321.786514,1226732339026.0662,1226732339026.0662,42146706940102.195,42146706940102.195,42146706940102.195,42146706940102.195,0.0,0.0,0.0,0.0,42146706940102.195,42146706940102.195,42146706940102.195,42146706940102.195,30787295921423.48,30787295921423.48,30787295921423.48,30787295921423.48,30787295921423.48,2781051125353.2256,1867285176080.528,1867285176080.528,4434941384815.922,4434941384815.922,18993.69846920554,4942.646846084686,4942.646846084686,4942.646846084686,18993.69846920554,4942.646846084686,4942.646846084686,4942.646846084686,3633560841908.6206,64040608715105.4,30259716639781.1,33780892075324.285,33780892075324.285,110556153414.01268,110556153414.01268,0.0,14051.051623120842,14051.051623120842,14051.051623120842,14051.051623120842,14051.051623120842,14051.051623120842,1829252951.3734562,1829252951.3734562,0.0,0.0 
September,39603032887961.516,33636785819787.723,33636785819787.723,33636785819787.723,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,33636596573547.723,33636596573547.723,33636596573547.723,12488390784000.0,12488390784000.0,12488390784000.0,18090333373770.67,18090333373770.67,18090333373770.67,3057872415777.0664,3057872415777.0664,3057872415777.0664,108399374563911.97,34619184790301.91,33356224672114.016,55279610804.24768,0.0,55279610804.24768,0.0,34563905179497.66,33356224672114.016,34563905179497.66,33356224672114.016,1262960118187.9001,55279610804.24768,55279610804.24768,1207680507383.6526,1207680507383.6526,39603032887961.516,39603032887961.516,39603032887961.516,39603032887961.516,0.0,0.0,0.0,0.0,39603032887961.516,39603032887961.516,39603032887961.516,39603032887961.516,24070439870695.883,24070439870695.883,24070439870695.883,24070439870695.883,24070439870695.883,3120377639727.623,1697095426537.9001,1697095426537.9001,4179950957858.3096,4179950957858.3096,17867.160723105357,6636.862661462173,6636.862661462173,6636.862661462173,17867.160723105357,6636.862661462173,6636.862661462173,6636.862661462173,2845869428446.188,49709749902914.22,23476540579122.848,26233209323791.434,26233209323791.434,87535042750.35864,87535042750.35864,0.0,11230.298061643183,11230.298061643183,11230.298061643183,11230.298061643183,11230.298061643183,11230.298061643183,1665641027.239896,1665641027.239896,0.0,0.0 
October,39072589662531.55,33188096687801.242,33188096687801.242,33188096687801.242,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,33187898955641.242,33187898955641.242,33187898955641.242,12904670476800.0,12904670476800.0,12904670476800.0,17266146755601.145,17266146755601.145,17266146755601.145,3017081723240.1157,3017081723240.1157,3017081723240.1157,85746057287323.75,34198224962776.36,32963554984463.656,13158289001.546421,0.0,13158289001.546421,0.0,34185066673774.824,32963554984463.656,34185066673774.824,32963554984463.656,1234669978312.7012,13158289001.546421,13158289001.546421,1221511689311.155,1221511689311.155,39072589662531.54,39072589662531.54,39072589662531.54,39072589662531.54,0.0,0.0,0.0,0.0,39072589662531.54,39072589662531.54,39072589662531.54,39072589662531.54,16748335522459.814,16748335522459.814,16748335522459.814,16748335522459.814,16748335522459.814,3895067630690.546,1730053287888.4219,1730053287888.4219,4090129101672.0874,4090129101672.0874,17487.39756402552,9565.705396015132,9565.705396015132,9565.705396015132,17487.39756402552,9565.705396015132,9565.705396015132,9565.705396015132,1989425344039.705,34799496802087.586,16437191021608.777,18362305780478.777,18362305780478.777,62923336042.15448,62923336042.15448,0.0,7921.692168010361,7921.692168010361,7921.692168010361,7921.692168010361,7921.692168010361,7921.692168010361,1387249127.5528333,1387249127.5528333,0.0,0.0 
