Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,43057672278641.26,38201231735355.11,38201231735355.11,38201231735355.11,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,38201034003195.11,38201034003195.11,38201034003195.11,12904670476800.0,12904670476800.0,12904670476800.0,21823542253377.34,21823542253377.34,21823542253377.34,3472821273017.7354,3472821273017.7354,3472821273017.7354,114129157062335.19,37760184032727.5,37662475528851.945,29118318189.679577,0.0,29118318189.679577,0.0,37731065714537.836,37662475528851.945,37731065714537.836,37662475528851.945,97708503875.55896,29118318189.679577,29118318189.679577,68590185685.879295,68590185685.879295,43057672278641.25,43057672278641.25,43057672278641.25,43057672278641.25,0.0,0.0,0.0,0.0,43057672278641.25,43057672278641.25,43057672278641.25,43057672278641.25,24589036806811.88,24589036806811.88,24589036806811.88,24589036806811.88,24589036806811.88,1956814526883.8628,1956814526883.8628,1956814526883.8628,2899626016402.3223,2727118303480.499,2727118303480.499,51779936222795.67,24526408959657.61,27253527263138.117,27253527263138.117,170889594814.01715,170889594814.01715,0.0,11023.60975756807,11023.60975756807,11023.60975756807,11023.60975756807,11023.60975756807,11023.60975756807,11023.60975756807,11023.60975756807,1618118107.8008354,1618118107.8008354,0.0,0.0 
February,40688713935070.96,35435299857444.25,35435299857444.25,35435299857444.25,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,35435120324004.25,35435120324004.25,35435120324004.25,11655831398400.0,11655831398400.0,11655831398400.0,20557914350694.734,20557914350694.734,20557914350694.734,3221374574909.479,3221374574909.479,3221374574909.479,123968497770544.5,35054058994465.27,34966064384508.277,22816929011.80079,0.0,22816929011.80079,0.0,35031242065453.484,34966064384508.277,35031242065453.484,34966064384508.277,87994609957.00485,22816929011.80079,22816929011.80079,65177680945.20394,65177680945.20394,40688713935070.96,40688713935070.96,40688713935070.96,40688713935070.96,0.0,0.0,0.0,0.0,40688713935070.96,40688713935070.96,40688713935070.96,40688713935070.96,28620020746872.914,28620020746872.914,28620020746872.914,28620020746872.914,28620020746872.914,1845931507317.2136,1845931507317.2136,1845931507317.2136,3407482570309.5337,3195205538914.059,3195205538914.059,60294418029206.37,28549606245146.15,31744811784060.156,31744811784060.156,210581790399.36993,210581790399.36993,0.0,13390.229769321273,13390.229769321273,13390.229769321273,13390.229769321273,13390.229769321273,13390.229769321273,13390.229769321273,13390.229769321273,1695240996.108553,1695240996.108553,0.0,0.0 
March,46607515856072.18,40469660517107.69,40469660517107.69,40469660517107.69,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,40469455525907.69,40469455525907.69,40469455525907.69,12904670476800.0,12904670476800.0,12904670476800.0,23885743637661.527,23885743637661.527,23885743637661.527,3679041411446.1533,3679041411446.1533,3679041411446.1533,144589579289006.84,40065672252036.85,39973111432578.03,24209892739.791237,0.0,24209892739.791237,0.0,40041462359297.05,39973111432578.03,40041462359297.05,39973111432578.03,92560819458.80206,24209892739.791237,24209892739.791237,68350926719.01064,68350926719.01064,46607515856072.18,46607515856072.18,46607515856072.18,46607515856072.18,0.0,0.0,0.0,0.0,46607515856072.18,46607515856072.18,46607515856072.18,46607515856072.18,33641102886171.27,33641102886171.27,33641102886171.27,33641102886171.27,33641102886171.27,2146076809541.6838,2146076809541.6838,2146076809541.6838,3991778529422.6934,3766416891022.026,3766416891022.026,70882804150798.69,33558193629888.375,37324610520910.39,37324610520910.39,223440882171.9942,223440882171.9942,0.0,15385.23522066742,15385.23522066742,15385.23522066742,15385.23522066742,15385.23522066742,15385.23522066742,15385.23522066742,15385.23522066742,1920756228.676635,1920756228.676635,0.0,0.0 
April,47526152829145.41,40452194938854.25,40452194938854.25,40452194938854.25,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,40452012951654.25,40452012951654.25,40452012951654.25,12488390784000.0,12488390784000.0,12488390784000.0,24286166444776.62,24286166444776.62,24286166444776.62,3677455722877.6543,3677455722877.6543,3677455722877.6543,168257122769345.8,40089777187195.92,40005467294231.555,23969788777.481075,0.0,23969788777.481075,0.0,40065807398418.445,40005467294231.555,40065807398418.445,40005467294231.555,84309892964.39497,23969788777.481075,23969788777.481075,60340104186.91397,60340104186.91397,47526152829145.41,47526152829145.41,47526152829145.41,47526152829145.41,0.0,0.0,0.0,0.0,47526152829145.41,47526152829145.41,47526152829145.41,47526152829145.41,41252724535435.164,41252724535435.164,41252724535435.164,41252724535435.164,41252724535435.164,2190013697309.906,2190013697309.906,2190013697309.906,4883944192981.254,4616770042068.429,4616770042068.429,86914621046714.64,41148925502323.2,45765695544391.586,45765695544391.586,265095996161.75717,265095996161.75717,0.0,19221.325778091756,19221.325778091756,19221.325778091756,19221.325778091756,19221.325778091756,19221.325778091756,19221.325778091756,19221.325778091756,2078154751.0718381,2078154751.0718381,0.0,0.0 
May,49802196542444.65,42249288151765.016,42249288151765.016,42249288151765.016,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,42249083160565.016,42249083160565.016,42249083160565.016,12904670476800.0,12904670476800.0,12904670476800.0,25503586941895.45,25503586941895.45,25503586941895.45,3840825741869.5444,3840825741869.5444,3840825741869.5444,179976568492421.06,41933069997547.29,41828400360927.664,12834259725.928402,0.0,12834259725.928402,0.0,41920235737821.36,41828400360927.664,41920235737821.36,41828400360927.664,104669636619.69908,12834259725.928402,12834259725.928402,91835376893.77072,91835376893.77072,49802196542444.66,49802196542444.66,49802196542444.66,49802196542444.66,0.0,0.0,0.0,0.0,49802196542444.66,49802196542444.66,49802196542444.66,49802196542444.66,44409232562237.24,44409232562237.24,44409232562237.24,44409232562237.24,44409232562237.24,2304827928388.55,2304827928388.55,2304827928388.55,5248080462291.078,5032817169289.886,5032817169289.886,93634265932636.33,44300724381673.29,49333541550963.17,49333541550963.17,213044211628.6263,213044211628.6263,0.0,20301.865865951106,20301.865865951106,20301.865865951106,20301.865865951106,20301.865865951106,20301.865865951106,20301.865865951106,20301.865865951106,2219081372.5689406,2219081372.5689406,0.0,0.0 
June,48526160865866.305,41143094279292.85,41143094279292.85,41143094279292.85,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,41142897774012.85,41142897774012.85,41142897774012.85,12488390784000.0,12488390784000.0,12488390784000.0,24914243556011.695,24914243556011.695,24914243556011.695,3740263434001.169,3740263434001.169,3740263434001.169,175744583264806.2,40941038351717.516,40782272212043.3,2333643493.4189467,0.0,2333643493.4189467,0.0,40938704708224.1,40782272212043.3,40938704708224.1,40782272212043.3,158766139674.19394,2333643493.4189467,2333643493.4189467,156432496180.7749,156432496180.7749,48526160865866.305,48526160865866.305,48526160865866.305,48526160865866.305,0.0,0.0,0.0,0.0,48526160865866.305,48526160865866.305,48526160865866.305,48526160865866.305,43357025044490.37,43357025044490.37,43357025044490.37,43357025044490.37,43357025044490.37,2258977974523.5757,2258977974523.5757,2258977974523.5757,5124088612049.911,4946019696498.928,4946019696498.928,91446519868598.53,43250250086049.73,48196269782548.68,48196269782548.68,175922577187.24423,175922577187.24423,0.0,19591.954740196154,19591.954740196154,19591.954740196154,19591.954740196154,19591.954740196154,19591.954740196154,19591.954740196154,19591.954740196154,2146338363.7502553,2146338363.7502553,0.0,0.0 
July,50163149176210.08,42527628106379.3,42527628106379.3,42527628106379.3,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,42527437633259.3,42527437633259.3,42527437633259.3,12904670476800.0,12904670476800.0,12904670476800.0,25756636462526.59,25756636462526.59,25756636462526.59,3866130693932.661,3866130693932.661,3866130693932.661,181759416149131.2,42341828795292.05,42174962813590.234,2157109474.533293,0.0,2157109474.533293,0.0,42339671685817.53,42174962813590.234,42339671685817.53,42174962813590.234,166865981701.89938,2157109474.533293,2157109474.533293,164708872227.3661,164708872227.3661,50163149176210.08,50163149176210.08,50163149176210.08,50163149176210.08,0.0,0.0,0.0,0.0,50163149176210.08,50163149176210.08,50163149176210.08,50163149176210.08,44838502650260.586,44838502650260.586,44838502650260.586,44838502650260.586,44838502650260.586,2333114497964.3086,2333114497964.3086,2333114497964.3086,5302406571866.442,5122988018783.546,5122988018783.546,94579084703578.83,44728048342397.56,49851036361181.195,49851036361181.195,177200640891.55814,177200640891.55814,0.0,20470.698107219945,20470.698107219945,20470.698107219945,20470.698107219945,20470.698107219945,20470.698107219945,20470.698107219945,20470.698107219945,2217912191.3439794,2217912191.3439794,0.0,0.0 
August,50151443533294.33,42521189512863.664,42521189512863.664,42521189512863.664,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,42520984521663.664,42520984521663.664,42520984521663.664,12904670476800.0,12904670476800.0,12904670476800.0,25750769997439.707,25750769997439.707,25750769997439.707,3865544047423.972,3865544047423.972,3865544047423.972,181654439600500.84,42315010711810.13,42150925313501.09,2212606876.509046,0.0,2212606876.509046,0.0,42312798104933.63,42150925313501.09,42312798104933.63,42150925313501.09,164085398309.07767,2212606876.509046,2212606876.509046,161872791432.56863,161872791432.56863,50151443533294.33,50151443533294.33,50151443533294.33,50151443533294.33,0.0,0.0,0.0,0.0,50151443533294.33,50151443533294.33,50151443533294.33,50151443533294.33,44813087845723.35,44813087845723.35,44813087845723.35,44813087845723.35,44813087845723.35,2332328657066.4355,2332328657066.4355,2332328657066.4355,5297925363364.208,5120871152892.297,5120871152892.297,94526341042967.23,44702734945037.51,49823606097929.81,49823606097929.81,174836356246.27063,174836356246.27063,0.0,20219.855446224497,20219.855446224497,20219.855446224497,20219.855446224497,20219.855446224497,20219.855446224497,20219.855446224497,20219.855446224497,2217854225.6432977,2217854225.6432977,0.0,0.0 
September,48213108921377.08,40904495883380.04,40904495883380.04,40904495883380.04,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,40904306637140.04,40904306637140.04,40904306637140.04,12488390784000.0,12488390784000.0,12488390784000.0,24697342522490.965,24697342522490.965,24697342522490.965,3718573330649.098,3718573330649.098,3718573330649.098,174282495088648.84,40597081988310.17,40496915002904.71,12080264486.721,0.0,12080264486.721,0.0,40585001723823.48,40496915002904.71,40585001723823.48,40496915002904.71,100166985405.48181,12080264486.721,12080264486.721,88086720918.76086,88086720918.76086,48213108921377.08,48213108921377.08,48213108921377.08,48213108921377.08,0.0,0.0,0.0,0.0,48213108921377.08,48213108921377.08,48213108921377.08,48213108921377.08,42996712095391.016,42996712095391.016,42996712095391.016,42996712095391.016,42996712095391.016,2227036924673.1807,2227036924673.1807,2227036924673.1807,5081576113323.754,4905038624782.79,4905038624782.79,90688701004947.81,42891831190082.49,47796869814865.336,47796869814865.336,174389496213.52896,174389496213.52896,0.0,19362.49689834921,19362.49689834921,19362.49689834921,19362.49689834921,19362.49689834921,19362.49689834921,19362.49689834921,19362.49689834921,2147992327.4365845,2147992327.4365845,0.0,0.0 
October,49475069307947.17,41993675263541.9,41993675263541.9,41993675263541.9,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,41993477531381.9,41993477531381.9,41993477531381.9,12904670476800.0,12904670476800.0,12904670476800.0,25271218188092.605,25271218188092.605,25271218188092.605,3817588866489.2617,3817588866489.2617,3817588866489.2617,178507163170503.72,41592892685775.41,41511320392022.375,28020447335.82335,0.0,28020447335.82335,0.0,41564872238439.59,41511320392022.375,41564872238439.59,41511320392022.375,81572293753.06897,28020447335.82335,28020447335.82335,53551846417.24572,53551846417.24572,49475069307947.18,49475069307947.18,49475069307947.18,49475069307947.18,0.0,0.0,0.0,0.0,49475069307947.18,49475069307947.18,49475069307947.18,49475069307947.18,44042074284283.2,44042074284283.2,44042074284283.2,44042074284283.2,44042074284283.2,2271726050433.232,2271726050433.232,2271726050433.232,5209667993972.076,5000902696438.554,5000902696438.554,92872196200445.2,43935646752003.305,48936549448441.84,48936549448441.84,206543870637.75162,206543870637.75162,0.0,19895.273970915183,19895.273970915183,19895.273970915183,19895.273970915183,19895.273970915183,19895.273970915183,19895.273970915183,19895.273970915183,2221426895.7658644,2221426895.7658644,0.0,0.0 
