Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.073421E+03,1.885748E+07,1.915366E+07,0.000000E+00,0.000000E+00,2.588693E+03,2.434726E+07,2.472966E+07
02:00:00,0.000000E+00,0.000000E+00,2.061671E+03,1.744526E+07,1.771926E+07,0.000000E+00,0.000000E+00,2.588275E+03,2.434333E+07,2.472567E+07
03:00:00,0.000000E+00,0.000000E+00,2.064770E+03,1.747148E+07,1.774589E+07,0.000000E+00,0.000000E+00,2.587965E+03,2.434041E+07,2.472270E+07
04:00:00,0.000000E+00,0.000000E+00,2.062467E+03,1.745199E+07,1.772610E+07,0.000000E+00,0.000000E+00,2.587738E+03,2.433827E+07,2.472053E+07
05:00:00,0.000000E+00,0.000000E+00,2.061938E+03,1.744752E+07,1.772155E+07,0.000000E+00,0.000000E+00,2.587460E+03,2.433566E+07,2.471789E+07
06:00:00,0.000000E+00,0.000000E+00,2.061666E+03,1.744521E+07,1.771921E+07,0.000000E+00,0.000000E+00,2.587276E+03,2.433393E+07,2.471612E+07
07:00:00,0.000000E+00,0.000000E+00,2.296087E+03,1.942882E+07,1.973397E+07,0.000000E+00,0.000000E+00,2.588284E+03,2.434341E+07,2.472575E+07
08:00:00,0.000000E+00,0.000000E+00,2.305019E+03,2.075769E+07,2.108372E+07,0.000000E+00,0.000000E+00,2.590849E+03,2.436754E+07,2.475026E+07
09:00:00,0.000000E+00,0.000000E+00,2.552695E+03,2.298812E+07,2.334918E+07,0.000000E+00,0.000000E+00,2.597074E+03,2.442609E+07,2.480973E+07
10:00:00,0.000000E+00,0.000000E+00,2.560931E+03,2.408615E+07,2.446445E+07,0.000000E+00,0.000000E+00,2.604168E+03,2.449280E+07,2.487749E+07
11:00:00,0.000000E+00,0.000000E+00,2.559696E+03,2.407453E+07,2.445265E+07,0.000000E+00,0.000000E+00,2.610795E+03,2.455513E+07,2.494080E+07
12:00:00,0.000000E+00,0.000000E+00,2.561178E+03,2.408847E+07,2.446681E+07,0.000000E+00,0.000000E+00,2.616042E+03,2.460449E+07,2.499093E+07
13:00:00,0.000000E+00,0.000000E+00,2.561558E+03,2.409205E+07,2.447044E+07,0.000000E+00,0.000000E+00,2.619492E+03,2.463693E+07,2.502388E+07
14:00:00,0.000000E+00,0.000000E+00,2.561749E+03,2.409384E+07,2.447226E+07,0.000000E+00,0.000000E+00,2.620966E+03,2.465079E+07,2.503796E+07
15:00:00,0.000000E+00,0.000000E+00,2.561863E+03,2.409491E+07,2.447335E+07,0.000000E+00,0.000000E+00,2.620441E+03,2.464586E+07,2.503295E+07
16:00:00,0.000000E+00,0.000000E+00,2.561938E+03,2.409562E+07,2.447407E+07,0.000000E+00,0.000000E+00,2.617934E+03,2.462228E+07,2.500900E+07
17:00:00,0.000000E+00,0.000000E+00,2.561981E+03,2.409603E+07,2.447449E+07,0.000000E+00,0.000000E+00,2.613684E+03,2.458231E+07,2.496840E+07
18:00:00,0.000000E+00,0.000000E+00,2.561995E+03,2.409616E+07,2.447462E+07,0.000000E+00,0.000000E+00,2.608035E+03,2.452918E+07,2.491444E+07
19:00:00,0.000000E+00,0.000000E+00,2.361236E+03,2.220797E+07,2.255677E+07,0.000000E+00,0.000000E+00,2.601642E+03,2.446905E+07,2.485336E+07
20:00:00,0.000000E+00,0.000000E+00,2.356010E+03,2.142758E+07,2.176413E+07,0.000000E+00,0.000000E+00,2.596329E+03,2.441908E+07,2.480261E+07
21:00:00,0.000000E+00,0.000000E+00,2.357388E+03,2.144011E+07,2.177686E+07,0.000000E+00,0.000000E+00,2.593089E+03,2.438860E+07,2.477165E+07
22:00:00,0.000000E+00,0.000000E+00,2.356359E+03,2.143076E+07,2.176735E+07,0.000000E+00,0.000000E+00,2.591212E+03,2.437095E+07,2.475372E+07
23:00:00,0.000000E+00,0.000000E+00,2.356143E+03,2.142879E+07,2.176535E+07,0.000000E+00,0.000000E+00,2.590049E+03,2.436001E+07,2.474262E+07
24:00:00,0.000000E+00,0.000000E+00,2.356041E+03,2.142787E+07,2.176442E+07,0.000000E+00,0.000000E+00,2.589265E+03,2.435263E+07,2.473512E+07
Coinc Peak   ,0.000000E+00,2.620966E+03,0.000000E+00,2.465079E+07
NonCoinc Peak,0.000000E+00,2.620966E+03,0.000000E+00,2.465079E+07
