Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,25279444492026.64,24004296217804.527,24004296217804.527,24004296217804.527,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,24004098485644.527,24004098485644.527,24004098485644.527,12904670476800.0,12904670476800.0,12904670476800.0,8917237237422.3,8917237237422.3,8917237237422.3,2182190771422.23,2182190771422.23,2182190771422.23,19165191383565.437,19165109931269.37,19165109931269.37,0.0,0.0,0.0,0.0,19165109931269.37,19165109931269.37,19165109931269.37,19165109931269.37,25279444492026.637,25279444492026.637,25279444492026.637,25279444492026.637,0.0,0.0,0.0,0.0,25279444492026.637,25279444492026.637,25279444492026.637,25279444492026.637,36818967.8270932,36818967.8270932,36818967.8270932,36818967.8270932,36818967.8270932,1275142499899.623,1275142499899.623,1275142499899.623,5774322.44025689,5773836.750258445,5773836.750258445,44633328.2384797,19429745.744110674,25203582.494369112,25203582.494369112,485.6899984445824,485.6899984445824,0.0,0.0 
February,22902634009346.215,21751070015371.445,21751070015371.445,21751070015371.445,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,21750890481931.445,21750890481931.445,21750890481931.445,11655831398400.0,11655831398400.0,11655831398400.0,8117705403355.86,8117705403355.86,8117705403355.86,1977353680175.5867,1977353680175.5867,1977353680175.5867,17249451260111.635,17249365438249.848,17249365438249.848,0.0,0.0,0.0,0.0,17249365438249.848,17249365438249.848,17249365438249.848,17249365438249.848,22902634009346.21,22902634009346.21,22902634009346.21,22902634009346.21,0.0,0.0,0.0,0.0,22902634009346.21,22902634009346.21,22902634009346.21,22902634009346.21,38366151.07607616,38366151.07607616,38366151.07607616,38366151.07607616,38366151.07607616,1151557975411.0278,1151557975411.0278,1151557975411.0278,6018563.72401329,6018053.794323852,6018053.794323852,47455710.70299734,20718828.45433675,26736882.24866059,26736882.24866059,509.9296894434645,509.9296894434645,0.0,0.0 
March,27214228332447.996,25803320569998.83,25803320569998.83,25803320569998.83,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,25803115578798.83,25803115578798.83,25803115578798.83,12904670476800.0,12904670476800.0,12904670476800.0,10552707322108.033,10552707322108.033,10552707322108.033,2345737779890.8022,2345737779890.8022,2345737779890.8022,22453714408135.27,21346895636839.53,21346895636839.53,0.0,0.0,0.0,0.0,21346895636839.53,21346895636839.53,21346895636839.53,21346895636839.53,27214228332448.0,27214228332448.0,27214228332448.0,27214228332448.0,0.0,0.0,0.0,0.0,27214228332448.0,27214228332448.0,27214228332448.0,27214228332448.0,338105656159.56384,338105656159.56384,338105656159.56384,338105656159.56384,338105656159.56384,1315447809175.9668,1315447809175.9668,1315447809175.9668,95459953273.24046,95446568322.9412,95446568322.9412,768713115136.1855,336633273406.62225,432079841729.5635,432079841729.5635,13384950.299206708,13384950.299206708,0.0,0.0 
April,28143563481307.594,26025627471215.523,26025627471215.523,26025627471215.523,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,26025445484015.523,26025445484015.523,26025445484015.523,12488390784000.0,12488390784000.0,12488390784000.0,11171105110559.588,11171105110559.588,11171105110559.588,2365949589455.9575,2365949589455.9575,2365949589455.9575,32095687466439.97,22856142517062.004,22856142517062.004,0.0,0.0,0.0,0.0,22856142517062.004,22856142517062.004,22856142517062.004,22856142517062.004,28143563481307.594,28143563481307.594,28143563481307.594,28143563481307.594,0.0,0.0,0.0,0.0,28143563481307.594,28143563481307.594,28143563481307.594,28143563481307.594,2812687129627.1055,2812687129627.1055,2812687129627.1055,2812687129627.1055,2812687129627.1055,1310055048945.5977,1310055048945.5977,1310055048945.5977,807880961146.4684,807800148371.6971,807800148371.6971,6426857819750.823,2809528835689.562,3617328984061.26,3617328984061.26,80812774.77111965,80812774.77111965,0.0,0.0 
May,32785093628174.133,27922954869788.69,27922954869788.69,27922954869788.69,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,27922749878588.69,27922749878588.69,27922749878588.69,12904670476800.0,12904670476800.0,12904670476800.0,12479647594644.23,12479647594644.23,12479647594644.23,2538431807144.426,2538431807144.426,2538431807144.426,66312060647883.93,25790935872746.32,25790935872746.32,0.0,0.0,0.0,0.0,25790935872746.32,25790935872746.32,25790935872746.32,25790935872746.32,32785093628174.133,32785093628174.133,32785093628174.133,32785093628174.133,0.0,0.0,0.0,0.0,32785093628174.133,32785093628174.133,32785093628174.133,32785093628174.133,12332876383191.87,12332876383191.87,12332876383191.87,12332876383191.87,12332876383191.87,1397619152683.2695,1397619152683.2695,1397619152683.2695,3464519605702.187,3464226377292.47,3464226377292.47,28188248391945.67,12362011007326.617,15826237384619.086,15826237384619.086,293228409.7143336,293228409.7143336,0.0,0.0 
June,33984934062498.598,27043385479228.684,27043385479228.684,27043385479228.684,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,27043188973948.684,27043188973948.684,27043188973948.684,12488390784000.0,12488390784000.0,12488390784000.0,12096326465044.273,12096326465044.273,12096326465044.273,2458471724904.427,2458471724904.427,2458471724904.427,90574731387172.19,25914041287020.9,25914041287020.9,0.0,0.0,0.0,0.0,25914041287020.9,25914041287020.9,25914041287020.9,25914041287020.9,33984934062498.598,33984934062498.598,33984934062498.598,33984934062498.598,0.0,0.0,0.0,0.0,33984934062498.598,33984934062498.598,33984934062498.598,33984934062498.598,19677669822647.17,19677669822647.17,19677669822647.17,19677669822647.17,19677669822647.17,1367749670095.1504,1367749670095.1504,1367749670095.1504,5573798913174.789,5573303106552.712,5573303106552.712,44983020277504.195,19704858585475.703,25278161692028.42,25278161692028.42,495806622.0722866,495806622.0722866,0.0,0.0 
July,36922144285566.23,28072790018874.73,28072790018874.73,28072790018874.73,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,28072599545754.73,28072599545754.73,28072599545754.73,12904670476800.0,12904670476800.0,12904670476800.0,12615874564795.184,12615874564795.184,12615874564795.184,2552054504159.516,2552054504159.516,2552054504159.516,112877884514920.78,27417679905253.062,27417679905253.062,0.0,0.0,0.0,0.0,27417679905253.062,27417679905253.062,27417679905253.062,27417679905253.062,36922144285566.23,36922144285566.23,36922144285566.23,36922144285566.23,0.0,0.0,0.0,0.0,36922144285566.23,36922144285566.23,36922144285566.23,36922144285566.23,25963942750967.926,25963942750967.926,25963942750967.926,25963942750967.926,25963942750967.926,1426272656414.535,1426272656414.535,1426272656414.535,7423081610277.039,7422477200204.761,7422477200204.761,59496261858699.79,26036892329247.555,33459369529452.332,33459369529452.332,604410072.2629609,604410072.2629609,0.0,0.0 
August,35926127215178.09,28584919046284.016,28584919046284.016,28584919046284.016,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,28584714055084.016,28584714055084.016,28584714055084.016,12904670476800.0,12904670476800.0,12904670476800.0,13081433209640.021,13081433209640.021,13081433209640.021,2598610368644.006,2598610368644.006,2598610368644.006,96770721476828.89,27847727149742.137,27847727149742.137,0.0,0.0,0.0,0.0,27847727149742.137,27847727149742.137,27847727149742.137,27847727149742.137,35926127215178.09,35926127215178.09,35926127215178.09,35926127215178.09,0.0,0.0,0.0,0.0,35926127215178.09,35926127215178.09,35926127215178.09,35926127215178.09,20899234373668.516,20899234373668.516,20899234373668.516,20899234373668.516,20899234373668.516,1441695592690.3865,1441695592690.3865,1441695592690.3865,5899512576203.669,5899064227204.113,5899064227204.113,48023759953418.19,21062347863107.047,26961412090311.176,26961412090311.176,448348999.54810506,448348999.54810506,0.0,0.0 
September,33051747435048.926,28295036781924.066,28295036781924.066,28295036781924.066,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,28294847535684.066,28294847535684.066,28294847535684.066,12488390784000.0,12488390784000.0,12488390784000.0,13234197884803.652,13234197884803.652,13234197884803.652,2572258866880.3623,2572258866880.3623,2572258866880.3623,66302546963954.7,26772288094344.645,26772288094344.645,0.0,0.0,0.0,0.0,26772288094344.645,26772288094344.645,26772288094344.645,26772288094344.645,33051747435048.926,33051747435048.926,33051747435048.926,33051747435048.926,0.0,0.0,0.0,0.0,33051747435048.926,33051747435048.926,33051747435048.926,33051747435048.926,11988694121684.773,11988694121684.773,11988694121684.773,11988694121684.773,11988694121684.773,1401187750652.4597,1401187750652.4597,1401187750652.4597,3355522902472.478,3355291826497.3223,3355291826497.3223,27541564747925.195,12093136460713.951,15448428287211.262,15448428287211.262,231075975.15606403,231075975.15606403,0.0,0.0 
October,31474320774968.676,29865962209023.598,29865962209023.598,29865962209023.598,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,29865764476863.598,29865764476863.598,29865764476863.598,12904670476800.0,12904670476800.0,12904670476800.0,14246024502166.92,14246024502166.92,14246024502166.92,2715069497896.6855,2715069497896.6855,2715069497896.6855,29103339613926.055,27168783171434.67,27168783171434.67,0.0,0.0,0.0,0.0,27168783171434.67,27168783171434.67,27168783171434.67,27168783171434.67,31474320774968.68,31474320774968.68,31474320774968.68,31474320774968.68,0.0,0.0,0.0,0.0,31474320774968.68,31474320774968.68,31474320774968.68,31474320774968.68,588963107783.9641,588963107783.9641,588963107783.9641,588963107783.9641,588963107783.9641,1447524155162.2288,1447524155162.2288,1447524155162.2288,160834410782.82364,160825055635.19196,160825055635.19196,1345593334707.4236,592384139536.116,753209195171.3083,753209195171.3083,9355147.63162405,9355147.63162405,0.0,0.0 
