Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.678361E+03,1.555870E+07,1.580307E+07,0.000000E+00,0.000000E+00,2.457219E+03,2.356387E+07,2.393397E+07
02:00:00,0.000000E+00,0.000000E+00,1.665665E+03,1.435547E+07,1.458094E+07,0.000000E+00,0.000000E+00,2.456835E+03,2.356019E+07,2.393023E+07
03:00:00,0.000000E+00,0.000000E+00,1.668140E+03,1.437680E+07,1.460260E+07,0.000000E+00,0.000000E+00,2.456529E+03,2.355725E+07,2.392725E+07
04:00:00,0.000000E+00,0.000000E+00,1.665655E+03,1.435539E+07,1.458085E+07,0.000000E+00,0.000000E+00,2.456269E+03,2.355476E+07,2.392472E+07
05:00:00,0.000000E+00,0.000000E+00,1.665090E+03,1.435051E+07,1.457591E+07,0.000000E+00,0.000000E+00,2.456053E+03,2.355269E+07,2.392261E+07
06:00:00,0.000000E+00,0.000000E+00,1.664734E+03,1.434745E+07,1.457279E+07,0.000000E+00,0.000000E+00,2.456836E+03,2.356019E+07,2.393023E+07
07:00:00,0.000000E+00,0.000000E+00,1.910163E+03,1.646267E+07,1.672123E+07,0.000000E+00,0.000000E+00,2.459555E+03,2.358626E+07,2.395671E+07
08:00:00,0.000000E+00,0.000000E+00,1.919998E+03,1.762199E+07,1.789876E+07,0.000000E+00,0.000000E+00,2.463511E+03,2.362420E+07,2.399525E+07
09:00:00,0.000000E+00,0.000000E+00,2.173106E+03,1.994505E+07,2.025831E+07,0.000000E+00,0.000000E+00,2.467716E+03,2.366453E+07,2.403621E+07
10:00:00,0.000000E+00,0.000000E+00,2.181931E+03,2.092395E+07,2.125259E+07,0.000000E+00,0.000000E+00,2.471580E+03,2.370158E+07,2.407385E+07
11:00:00,0.000000E+00,0.000000E+00,2.180918E+03,2.091424E+07,2.124272E+07,0.000000E+00,0.000000E+00,2.474782E+03,2.373229E+07,2.410504E+07
12:00:00,0.000000E+00,0.000000E+00,2.182517E+03,2.092957E+07,2.125830E+07,0.000000E+00,0.000000E+00,2.477133E+03,2.375484E+07,2.412794E+07
13:00:00,0.000000E+00,0.000000E+00,2.182971E+03,2.093392E+07,2.126271E+07,0.000000E+00,0.000000E+00,2.478566E+03,2.376858E+07,2.414190E+07
14:00:00,0.000000E+00,0.000000E+00,2.183262E+03,2.093672E+07,2.126556E+07,0.000000E+00,0.000000E+00,2.479045E+03,2.377317E+07,2.414655E+07
15:00:00,0.000000E+00,0.000000E+00,2.183466E+03,2.093867E+07,2.126754E+07,0.000000E+00,0.000000E+00,2.478522E+03,2.376815E+07,2.414146E+07
16:00:00,0.000000E+00,0.000000E+00,2.183608E+03,2.094003E+07,2.126892E+07,0.000000E+00,0.000000E+00,2.476963E+03,2.375321E+07,2.412628E+07
17:00:00,0.000000E+00,0.000000E+00,2.183702E+03,2.094093E+07,2.126984E+07,0.000000E+00,0.000000E+00,2.474453E+03,2.372914E+07,2.410183E+07
18:00:00,0.000000E+00,0.000000E+00,2.183752E+03,2.094142E+07,2.127033E+07,0.000000E+00,0.000000E+00,2.471107E+03,2.369704E+07,2.406923E+07
19:00:00,0.000000E+00,0.000000E+00,1.979424E+03,1.898198E+07,1.928011E+07,0.000000E+00,0.000000E+00,2.467135E+03,2.365896E+07,2.403055E+07
20:00:00,0.000000E+00,0.000000E+00,1.973782E+03,1.829731E+07,1.858469E+07,0.000000E+00,0.000000E+00,2.463212E+03,2.362134E+07,2.399234E+07
21:00:00,0.000000E+00,0.000000E+00,1.974931E+03,1.830796E+07,1.859551E+07,0.000000E+00,0.000000E+00,2.460552E+03,2.359583E+07,2.396643E+07
22:00:00,0.000000E+00,0.000000E+00,1.973846E+03,1.829791E+07,1.858530E+07,0.000000E+00,0.000000E+00,2.459136E+03,2.358225E+07,2.395264E+07
23:00:00,0.000000E+00,0.000000E+00,1.973610E+03,1.829572E+07,1.858308E+07,0.000000E+00,0.000000E+00,2.458310E+03,2.357433E+07,2.394460E+07
24:00:00,0.000000E+00,0.000000E+00,1.973468E+03,1.829440E+07,1.858174E+07,0.000000E+00,0.000000E+00,2.457708E+03,2.356855E+07,2.393872E+07
Coinc Peak   ,0.000000E+00,2.479045E+03,0.000000E+00,2.377317E+07
NonCoinc Peak,0.000000E+00,2.479045E+03,0.000000E+00,2.377317E+07
