Time,DATA CENTER ZONE:MINNEAPOLIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DATA CENTER ZONE:MINNEAPOLIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DATA CENTER ZONE:MINNEAPOLIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DATA CENTER ZONE:MINNEAPOLIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Heat Load [W],DATA CENTER ZONE::Des Latent Cool Load [W],DATA CENTER ZONE::Des Latent Heat Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Heat Load No DOAS [W],DATA CENTER ZONE::Des Sens Cool Load No DOAS [W],DATA CENTER ZONE::Des Latent Heat Load No DOAS [W],DATA CENTER ZONE::Des Latent Cool Load No DOAS [W],DATA CENTER ZONE:MINNEAPOLIS ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],DATA CENTER ZONE:MINNEAPOLIS ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],DATA CENTER ZONE:MINNEAPOLIS ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],DATA CENTER ZONE:MINNEAPOLIS ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.628864E+07,0.000000E+00,1.890168E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.812536E+01,3.475823E+01,2.844328E+01,3.412155E+01
02:00:00,0.000000E+00,1.628610E+07,0.000000E+00,1.889873E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
03:00:00,0.000000E+00,1.628407E+07,0.000000E+00,1.889638E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
04:00:00,0.000000E+00,1.628235E+07,0.000000E+00,1.889438E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
05:00:00,0.000000E+00,1.628091E+07,0.000000E+00,1.889272E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
06:00:00,0.000000E+00,1.628610E+07,0.000000E+00,1.889874E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
07:00:00,0.000000E+00,1.630412E+07,0.000000E+00,1.891965E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.747679E+01,3.609912E+01,2.844328E+01,3.412155E+01
08:00:00,0.000000E+00,1.633035E+07,0.000000E+00,1.895008E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.803375E+01,3.494417E+01,2.844328E+01,3.412155E+01
09:00:00,0.000000E+00,1.635822E+07,0.000000E+00,1.898243E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.803375E+01,3.494417E+01,2.844328E+01,3.412155E+01
10:00:00,0.000000E+00,1.638384E+07,0.000000E+00,1.901215E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.844328E+01,3.412155E+01,2.844328E+01,3.412155E+01
11:00:00,0.000000E+00,1.640507E+07,0.000000E+00,1.903679E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.844328E+01,3.412155E+01,2.844328E+01,3.412155E+01
12:00:00,0.000000E+00,1.642065E+07,0.000000E+00,1.905487E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.844328E+01,3.412155E+01,2.844328E+01,3.412155E+01
13:00:00,0.000000E+00,1.643015E+07,0.000000E+00,1.906590E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.844328E+01,3.412155E+01,2.844328E+01,3.412155E+01
14:00:00,0.000000E+00,1.643332E+07,0.000000E+00,1.906957E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.844328E+01,3.412155E+01,2.844328E+01,3.412155E+01
