Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.865511E+03,1.558252E+07,1.346173E+07,0.000000E+00,0.000000E+00,2.451706E+03,2.125471E+07,1.847969E+07
02:00:00,0.000000E+00,0.000000E+00,1.852242E+03,1.424559E+07,1.212062E+07,0.000000E+00,0.000000E+00,2.451219E+03,2.125049E+07,1.847602E+07
03:00:00,0.000000E+00,0.000000E+00,1.853207E+03,1.425302E+07,1.212694E+07,0.000000E+00,0.000000E+00,2.450843E+03,2.124723E+07,1.847319E+07
04:00:00,0.000000E+00,0.000000E+00,1.850543E+03,1.423253E+07,1.210951E+07,0.000000E+00,0.000000E+00,2.450541E+03,2.124462E+07,1.847091E+07
05:00:00,0.000000E+00,0.000000E+00,1.849959E+03,1.422804E+07,1.210569E+07,0.000000E+00,0.000000E+00,2.450289E+03,2.124243E+07,1.846901E+07
06:00:00,0.000000E+00,0.000000E+00,1.849702E+03,1.422606E+07,1.210400E+07,0.000000E+00,0.000000E+00,2.451175E+03,2.125011E+07,1.847569E+07
07:00:00,0.000000E+00,0.000000E+00,2.077794E+03,1.598031E+07,1.359658E+07,0.000000E+00,0.000000E+00,2.454407E+03,2.127813E+07,1.850005E+07
08:00:00,0.000000E+00,0.000000E+00,2.088211E+03,1.725032E+07,1.487332E+07,0.000000E+00,0.000000E+00,2.459265E+03,2.132025E+07,1.853667E+07
09:00:00,0.000000E+00,0.000000E+00,2.332161E+03,1.926554E+07,1.661087E+07,0.000000E+00,0.000000E+00,2.464452E+03,2.136521E+07,1.857576E+07
10:00:00,0.000000E+00,0.000000E+00,2.341429E+03,2.029869E+07,1.764848E+07,0.000000E+00,0.000000E+00,2.469059E+03,2.140516E+07,1.861049E+07
11:00:00,0.000000E+00,0.000000E+00,2.341358E+03,2.029807E+07,1.764794E+07,0.000000E+00,0.000000E+00,2.472417E+03,2.143427E+07,1.863580E+07
12:00:00,0.000000E+00,0.000000E+00,2.342999E+03,2.031230E+07,1.766032E+07,0.000000E+00,0.000000E+00,2.473991E+03,2.144791E+07,1.864766E+07
13:00:00,0.000000E+00,0.000000E+00,2.343400E+03,2.031577E+07,1.766333E+07,0.000000E+00,0.000000E+00,2.476034E+03,2.146562E+07,1.866306E+07
14:00:00,0.000000E+00,0.000000E+00,2.343577E+03,2.031731E+07,1.766467E+07,0.000000E+00,0.000000E+00,2.477145E+03,2.147526E+07,1.867144E+07
15:00:00,0.000000E+00,0.000000E+00,2.343677E+03,2.031818E+07,1.766543E+07,0.000000E+00,0.000000E+00,2.477218E+03,2.147589E+07,1.867199E+07
16:00:00,0.000000E+00,0.000000E+00,2.343734E+03,2.031867E+07,1.766586E+07,0.000000E+00,0.000000E+00,2.476221E+03,2.146725E+07,1.866448E+07
17:00:00,0.000000E+00,0.000000E+00,2.343772E+03,2.031899E+07,1.766614E+07,0.000000E+00,0.000000E+00,2.474290E+03,2.145051E+07,1.864992E+07
18:00:00,0.000000E+00,0.000000E+00,2.343782E+03,2.031909E+07,1.766622E+07,0.000000E+00,0.000000E+00,2.471780E+03,2.142875E+07,1.863100E+07
19:00:00,0.000000E+00,0.000000E+00,2.147356E+03,1.861620E+07,1.618566E+07,0.000000E+00,0.000000E+00,2.467606E+03,2.139256E+07,1.859954E+07
20:00:00,0.000000E+00,0.000000E+00,2.141572E+03,1.788845E+07,1.545381E+07,0.000000E+00,0.000000E+00,2.461637E+03,2.134081E+07,1.855455E+07
21:00:00,0.000000E+00,0.000000E+00,2.142019E+03,1.789219E+07,1.545704E+07,0.000000E+00,0.000000E+00,2.457230E+03,2.130260E+07,1.852133E+07
22:00:00,0.000000E+00,0.000000E+00,2.140868E+03,1.788257E+07,1.544874E+07,0.000000E+00,0.000000E+00,2.454694E+03,2.128062E+07,1.850221E+07
23:00:00,0.000000E+00,0.000000E+00,2.140624E+03,1.788053E+07,1.544697E+07,0.000000E+00,0.000000E+00,2.453268E+03,2.126826E+07,1.849147E+07
24:00:00,0.000000E+00,0.000000E+00,2.140521E+03,1.787967E+07,1.544623E+07,0.000000E+00,0.000000E+00,2.452356E+03,2.126035E+07,1.848459E+07
Coinc Peak   ,0.000000E+00,2.477218E+03,0.000000E+00,2.147589E+07
NonCoinc Peak,0.000000E+00,2.477218E+03,0.000000E+00,2.147589E+07
