Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,22733643598000.33,21416408395763.1,21416408395763.1,21416408395763.1,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,21416210663603.1,21416210663603.1,21416210663603.1,12904670476800.0,12904670476800.0,12904670476800.0,6564611944657.358,6564611944657.358,6564611944657.358,1946928242145.7356,1946928242145.7356,1946928242145.7356,21258096664891.348,21258096664891.348,19962033097333.4,1296063567557.9873,0.0,1296063567557.9873,0.0,19962033097333.4,19962033097333.4,19962033097333.4,19962033097333.4,1296063567557.9873,1296063567557.9873,1296063567557.9873,0.0,0.0,22733643598000.33,22733643598000.33,22733643598000.33,22733643598000.33,0.0,0.0,0.0,0.0,22733643598000.33,22733643598000.33,22733643598000.33,22733643598000.33,0.0,0.0,0.0,0.0,0.0,1298079026237.1887,1298079026237.1887,1298079026237.1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19156176000.0,0.0,0.0,0.0,0.0,19156176000.0,0.0,19156176000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,20416121245659.203,19230926020421.652,19230926020421.652,19230926020421.652,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,19230746486981.652,19230746486981.652,19230746486981.652,11655831398400.0,11655831398400.0,11655831398400.0,5826665407946.946,5826665407946.946,5826665407946.946,1748249680634.6943,1748249680634.6943,1748249680634.6943,19254975107317.555,19254975107317.555,17965125659279.47,1289849448038.0771,0.0,1289849448038.0771,0.0,17965125659279.47,17965125659279.47,17965125659279.47,17965125659279.47,1289849448038.0771,1289849448038.0771,1289849448038.0771,0.0,0.0,20416121245659.203,20416121245659.203,20416121245659.203,20416121245659.203,0.0,0.0,0.0,0.0,20416121245659.203,20416121245659.203,20416121245659.203,20416121245659.203,0.0,0.0,0.0,0.0,0.0,1174902393237.5547,1174902393237.5547,1174902393237.5547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10292832000.0,0.0,0.0,0.0,0.0,10292832000.0,0.0,10292832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
March,23727587815743.03,22398115147215.063,22398115147215.063,22398115147215.063,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,22397910156015.063,22397910156015.063,22397910156015.063,12904670476800.0,12904670476800.0,12904670476800.0,7457066028668.238,7457066028668.238,7457066028668.238,2036173650546.8215,2036173650546.8215,2036173650546.8215,22277408943894.008,22277408943894.008,21168655281245.0,1108753662649.0195,0.0,1108753662649.0195,0.0,21168655281245.0,21168655281245.0,21168655281245.0,21168655281245.0,1108753662649.0195,1108753662649.0195,1108753662649.0195,0.0,0.0,23727587815743.03,23727587815743.03,23727587815743.03,23727587815743.03,0.0,0.0,0.0,0.0,23727587815743.03,23727587815743.03,23727587815743.03,23727587815743.03,0.0,0.0,0.0,0.0,0.0,1324595334528.0203,1316047361765.689,1316047361765.689,8547972762.331726,8547972762.331726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4877334000.0,0.0,0.0,0.0,0.0,4877334000.0,0.0,4877334000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
April,25934143242017.895,24349614419615.113,24349614419615.113,24349614419615.113,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,24349432432415.113,24349432432415.113,24349432432415.113,12488390784000.0,12488390784000.0,12488390784000.0,9647456881831.926,9647456881831.926,9647456881831.926,2213584766583.196,2213584766583.196,2213584766583.196,26773703905315.145,24036100398498.418,23391010195042.254,629640409501.5703,0.0,629640409501.5703,0.0,23406459988996.88,23391010195042.254,23406459988996.88,23391010195042.254,645090203456.2086,629640409501.5703,629640409501.5703,15449793954.638418,15449793954.638418,25934143242017.895,25934143242017.895,25934143242017.895,25934143242017.895,0.0,0.0,0.0,0.0,25934143242017.895,25934143242017.895,25934143242017.895,25934143242017.895,887747408761.6218,887747408761.6218,887747408761.6218,887747408761.6218,887747408761.6218,1474646675554.413,1349629333905.312,1349629333905.312,227714770915.86255,227714770915.86255,1132.6362566198316,761.3162986993308,761.3162986993308,761.3162986993308,1132.6362566198316,761.3162986993308,761.3162986993308,761.3162986993308,109882146848.37611,1849856098055.11,873579334394.1748,976276763660.9357,976276763660.9357,7128725400.120512,5134181400.120513,1994544000.0,371.3199579205008,371.3199579205008,371.3199579205008,371.3199579205008,371.3199579205008,371.3199579205008,55992181.49466682,55992181.49466682,0.0,0.0 
May,33311265045366.21,30721983329052.227,30721983329052.227,30721983329052.227,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30721778337852.227,30721778337852.227,30721778337852.227,12904670476800.0,12904670476800.0,12904670476800.0,15024218921247.506,15024218921247.506,15024218921247.506,2792888939804.745,2792888939804.745,2792888939804.745,36854319276322.24,30498004845108.098,29889675744811.617,560183271677.7871,0.0,560183271677.7871,0.0,29937821573430.332,29889675744811.617,29937821573430.332,29889675744811.617,608329100296.4996,560183271677.7871,560183271677.7871,48145828618.71226,48145828618.71226,33311265045366.215,33311265045366.215,33311265045366.215,33311265045366.215,0.0,0.0,0.0,0.0,33311265045366.215,33311265045366.215,33311265045366.215,33311265045366.215,2059501193892.0781,2059501193892.0781,2059501193892.0781,2059501193892.0781,2059501193892.0781,2338662207602.3027,1585363791921.8225,1585363791921.8225,991852502449.7675,991852502449.7675,3740.6335277362145,2677.1710597536903,2677.1710597536903,2677.1710597536903,3740.6335277362145,2677.1710597536903,2677.1710597536903,2677.1710597536903,250619508711.67316,4296813237322.0405,2029129575276.3784,2267683662045.662,2267683662045.662,11875606853.838224,11822794853.838224,52812000.0,1063.462467982523,1063.462467982523,1063.462467982523,1063.462467982523,1063.462467982523,1063.462467982523,189815088.55187753,189815088.55187753,0.0,0.0 
June,33239695515149.99,30032321633992.254,30032321633992.254,30032321633992.254,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,30032125128712.254,30032125128712.254,30032125128712.254,12488390784000.0,12488390784000.0,12488390784000.0,14813541151192.951,14813541151192.951,14813541151192.951,2730193193519.297,2730193193519.297,2730193193519.297,39053570295266.26,29905069015913.137,29407399786336.375,213882456722.1162,0.0,213882456722.1162,0.0,29691186559191.066,29407399786336.375,29691186559191.066,29407399786336.375,497669229576.7434,213882456722.1162,213882456722.1162,283786772854.62756,283786772854.62756,33239695515149.99,33239695515149.99,33239695515149.99,33239695515149.99,0.0,0.0,0.0,0.0,33239695515149.99,33239695515149.99,33239695515149.99,33239695515149.99,2943341367419.04,2943341367419.04,2943341367419.04,2943341367419.04,2943341367419.04,2846275659382.626,1528796461388.252,1528796461388.252,1660513202048.7466,1660513202048.7466,7328.166582832822,5774.537057031842,5774.537057031842,5774.537057031842,7328.166582832822,5774.537057031842,5774.537057031842,5774.537057031842,361098221775.087,6205159911934.093,2931062953939.8584,3274096957994.2354,3274096957994.2354,17779201050.050774,17779201050.050774,0.0,1553.6295258009764,1553.6295258009764,1553.6295258009764,1553.6295258009764,1553.6295258009764,1553.6295258009764,285016670.65927947,285016670.65927947,0.0,0.0 
July,35860720878322.7,31440427403974.895,31440427403974.895,31440427403974.895,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,31440236930854.895,31440236930854.895,31440236930854.895,12904670476800.0,12904670476800.0,12904670476800.0,15677363096704.437,15677363096704.437,15677363096704.437,2858203357350.444,2858203357350.444,2858203357350.444,63055892272974.78,31544119703150.08,30916533384033.164,133523112262.47842,0.0,133523112262.47842,0.0,31410596590887.605,30916533384033.164,31410596590887.605,30916533384033.164,627586319116.9254,133523112262.47842,133523112262.47842,494063206854.4459,494063206854.4459,35860720878322.695,35860720878322.695,35860720878322.695,35860720878322.695,0.0,0.0,0.0,0.0,35860720878322.695,35860720878322.695,35860720878322.695,35860720878322.695,10198789357683.736,10198789357683.736,10198789357683.736,10198789357683.736,10198789357683.736,3159927853187.1343,1561421954631.0952,1561421954631.0952,2811524799987.3437,2811524799987.3437,12708.98387966665,7681.358602647693,7681.358602647693,7681.358602647693,12708.98387966665,7681.358602647693,7681.358602647693,7681.358602647693,1260365621160.671,21312983212141.047,10049982155354.855,11263001056786.184,11263001056786.184,46557728337.52305,46557728337.52305,0.0,5027.625277018952,5027.625277018952,5027.625277018952,5027.625277018952,5027.625277018952,5027.625277018952,788991391.8213869,788991391.8213869,0.0,0.0 
August,35134906343805.97,31464834560920.082,31464834560920.082,31464834560920.082,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,31464629569720.082,31464629569720.082,31464629569720.082,12904670476800.0,12904670476800.0,12904670476800.0,15699538222945.537,15699538222945.537,15699538222945.537,2860420869974.551,2860420869974.551,2860420869974.551,50365177400947.516,31435821041219.49,30970722303277.63,73202110587.16905,0.0,73202110587.16905,0.0,31362618930632.33,30970722303277.63,31362618930632.33,30970722303277.63,465098737941.8918,73202110587.16905,73202110587.16905,391896627354.72253,391896627354.72253,35134906343805.97,35134906343805.97,35134906343805.97,35134906343805.97,0.0,0.0,0.0,0.0,35134906343805.97,35134906343805.97,35134906343805.97,35134906343805.97,6117109454996.421,6117109454996.421,6117109454996.421,6117109454996.421,6117109454996.421,2928339828222.0225,1601243620870.0193,1601243620870.0193,2042851447134.7422,2042851447134.7422,7833.09886975582,4981.165120280514,4981.165120280514,4981.165120280514,7833.09886975582,4981.165120280514,4981.165120280514,4981.165120280514,741731954663.8727,12812246904731.582,6048245832474.419,6764001072257.161,6764001072257.161,25349187882.56118,25349187882.56118,0.0,2851.933749475304,2851.933749475304,2851.933749475304,2851.933749475304,2851.933749475304,2851.933749475304,627526998.5680875,627526998.5680875,0.0,0.0 
September,33268874280518.35,30794938581042.555,30794938581042.555,30794938581042.555,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,30794749334802.555,30794749334802.555,30794749334802.555,12488390784000.0,12488390784000.0,12488390784000.0,15506835884002.273,15506835884002.273,15506835884002.273,2799522666800.2236,2799522666800.2236,2799522666800.2236,34769400619854.184,30480822513945.805,29994053063858.703,317094267472.7677,0.0,317094267472.7677,0.0,30163728246473.043,29994053063858.703,30163728246473.043,29994053063858.703,486769450087.10284,317094267472.7677,317094267472.7677,169675182614.33505,169675182614.33505,33268874280518.348,33268874280518.348,33268874280518.348,33268874280518.348,0.0,0.0,0.0,0.0,33268874280518.348,33268874280518.348,33268874280518.348,33268874280518.348,1392402070382.8623,1392402070382.8623,1392402070382.8623,1392402070382.8623,1392402070382.8623,2306638944540.9224,1520213354406.4014,1520213354406.4014,947045605884.9467,947045605884.9467,3963.9552664331486,3287.917950759053,3287.917950759053,3287.917950759053,3963.9552664331486,3287.917950759053,3287.917950759053,3287.917950759053,167296754934.9378,2896176035525.533,1367778009887.553,1528398025637.9814,1528398025637.9814,6491708156.290488,6395480156.290488,96228000.0,676.0373156740973,676.0373156740973,676.0373156740973,676.0373156740973,676.0373156740973,676.0373156740973,185031028.21895465,185031028.21895465,0.0,0.0 
October,28619296328418.156,27156937987453.953,27156937987453.953,27156937987453.953,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,27156740255293.953,27156740255293.953,27156740255293.953,12904670476800.0,12904670476800.0,12904670476800.0,11783275209830.88,11783275209830.88,11783275209830.88,2468794568663.09,2468794568663.09,2468794568663.09,26647185073874.168,26647185073874.168,26288359168683.895,301808178174.256,0.0,301808178174.256,0.0,26345376895699.94,26288359168683.895,26345376895699.94,26288359168683.895,358825905190.2991,301808178174.256,301808178174.256,57017727016.04306,57017727016.04306,28619296328418.156,28619296328418.156,28619296328418.156,28619296328418.156,0.0,0.0,0.0,0.0,28619296328418.156,28619296328418.156,28619296328418.156,28619296328418.156,0.0,0.0,0.0,0.0,0.0,1461849660964.178,1432466004593.6633,1432466004593.6633,29383656370.51531,29383656370.51531,51.303077799998015,51.303077799998015,51.303077799998015,51.303077799998015,51.303077799998015,51.303077799998015,51.303077799998015,51.303077799998015,508680000.0,0.0,0.0,0.0,0.0,508680000.0,0.0,508680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
