Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,22638186871196.996,21287923456641.05,21287923456641.05,21287923456641.05,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,21287725724481.05,21287725724481.05,21287725724481.05,12904670476800.0,12904670476800.0,12904670476800.0,6447807454546.407,6447807454546.407,6447807454546.407,1935247793134.641,1935247793134.641,1935247793134.641,21364903655201.004,21120965889039.477,19837399423683.574,1283566465355.9417,0.0,1283566465355.9417,0.0,19837399423683.574,19837399423683.574,19837399423683.574,19837399423683.574,1283566465355.9417,1283566465355.9417,1283566465355.9417,0.0,0.0,22638186871196.996,22638186871196.996,22638186871196.996,22638186871196.996,0.0,0.0,0.0,0.0,22638186871196.996,22638186871196.996,22638186871196.996,22638186871196.996,78283907597.84665,78283907597.84665,78283907597.84665,78283907597.84665,78283907597.84665,1320535069022.541,1320535069022.541,1320535069022.541,29728345533.39009,9358170558.050909,9358170558.050909,165653858563.667,78147844002.80803,87506014560.8589,87506014560.8589,19156176000.0,0.0,19156176000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213998975.3391902,1213998975.3391902,0.0,0.0 
February,20348028494366.9,19131837024503.52,19131837024503.52,19131837024503.52,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,19131657491063.52,19131657491063.52,19131657491063.52,11655831398400.0,11655831398400.0,11655831398400.0,5736584502566.845,5736584502566.845,5736584502566.845,1739241590096.686,1739241590096.686,1739241590096.686,19377156800470.254,19151163328203.16,17870441066262.098,1280722261941.0933,0.0,1280722261941.0933,0.0,17870441066262.098,17870441066262.098,17870441066262.098,17870441066262.098,1280722261941.0933,1280722261941.0933,1280722261941.0933,0.0,0.0,20348028494366.9,20348028494366.9,20348028494366.9,20348028494366.9,0.0,0.0,0.0,0.0,20348028494366.9,20348028494366.9,20348028494366.9,20348028494366.9,72533540517.25117,72533540517.25117,72533540517.25117,72533540517.25117,72533540517.25117,1196259617565.1677,1196259617565.1677,1196259617565.1677,19931852298.220142,8580485030.51305,8580485030.51305,153459931749.82968,72439723359.65828,81020208390.17131,81020208390.17131,10254762000.0,0.0,10254762000.0,17.26956915956363,17.26956915956363,17.26956915956363,17.26956915956363,17.26956915956363,17.26956915956363,17.26956915956363,17.26956915956363,1096605267.7071114,1096605267.7071114,0.0,0.0 
March,22999072447972.22,21560324312466.51,21560324312466.51,21560324312466.51,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,21560119321266.51,21560119321266.51,21560119321266.51,12904670476800.0,12904670476800.0,12904670476800.0,6695437997078.661,6695437997078.661,6695437997078.661,1960010847387.8682,1960010847387.8682,1960010847387.8682,24296698506696.03,21328601626334.723,20347961161167.84,980640465166.8972,0.0,980640465166.8972,0.0,20347961161167.84,20347961161167.84,20347961161167.84,20347961161167.84,980640465166.8972,980640465166.8972,980640465166.8972,0.0,0.0,22999072447972.22,22999072447972.22,22999072447972.22,22999072447972.22,0.0,0.0,0.0,0.0,22999072447972.22,22999072447972.22,22999072447972.22,22999072447972.22,951818835696.0992,951818835696.0992,951818835696.0992,951818835696.0992,951818835696.0992,1317981097859.3608,1317981097859.3608,1317981097859.3608,120767037646.33118,112349606865.5059,112349606865.5059,2016278044665.1997,951964218899.8466,1064313825765.3527,1064313825765.3527,7143745023.28454,2290387023.2845397,4853358000.0,577.6417553439762,577.6417553439762,577.6417553439762,577.6417553439762,577.6417553439762,577.6417553439762,577.6417553439762,577.6417553439762,1273685757.5407124,1273685757.5407124,0.0,0.0 
April,23826574791616.94,22102851806001.242,22102851806001.242,22102851806001.242,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,22102669818801.242,22102669818801.242,22102669818801.242,12488390784000.0,12488390784000.0,12488390784000.0,7604945414910.242,7604945414910.242,7604945414910.242,2009333619891.022,2009333619891.022,2009333619891.022,32717152633902.785,21535077009501.75,21185765819883.656,332254595511.1946,0.0,332254595511.1946,0.0,21202822413990.59,21185765819883.656,21202822413990.59,21185765819883.656,349311189618.1284,332254595511.1946,332254595511.1946,17056594106.933949,17056594106.933949,23826574791616.938,23826574791616.938,23826574791616.938,23826574791616.938,0.0,0.0,0.0,0.0,23826574791616.938,23826574791616.938,23826574791616.938,23826574791616.938,3587625054158.6377,3587625054158.6377,3587625054158.6377,3587625054158.6377,3587625054158.6377,1280371849060.7036,1280371849060.7036,1280371849060.7036,443351136554.9722,423737707958.16736,423737707958.16736,7594450570242.395,3585356431142.1143,4009094139100.2817,4009094139100.2817,18258175384.51477,16280479384.514778,1977696000.0,2104.976010206807,2104.976010206807,2104.976010206807,2104.976010206807,2104.976010206807,2104.976010206807,2104.976010206807,2104.976010206807,1355253212.2901447,1355253212.2901447,0.0,0.0 
May,29143213932462.855,26072859951867.82,26072859951867.82,26072859951867.82,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,26072654960667.82,26072654960667.82,26072654960667.82,12904670476800.0,12904670476800.0,12904670476800.0,10797743123807.139,10797743123807.139,10797743123807.139,2370241360060.712,2370241360060.712,2370241360060.712,68256570897460.71,25613550167168.094,25428591352233.24,111610852897.99615,0.0,111610852897.99615,0.0,25501939314270.113,25428591352233.24,25501939314270.113,25428591352233.24,184958814934.86545,111610852897.99615,111610852897.99615,73347962036.86911,73347962036.86911,29143213932462.855,29143213932462.855,29143213932462.855,29143213932462.855,0.0,0.0,0.0,0.0,29143213932462.855,29143213932462.855,29143213932462.855,29143213932462.855,13695884630390.871,13695884630390.871,13695884630390.871,13695884630390.871,13695884630390.871,1396332059530.7327,1396332059530.7327,1396332059530.7327,1674021921064.2803,1583811742724.1274,1583811742724.1274,28947136099901.766,13681662178588.822,15265473921312.928,15265473921312.928,88327322308.04124,88274510308.04124,52812000.0,7538.4576332959305,7538.4576332959305,7538.4576332959305,7538.4576332959305,7538.4576332959305,7538.4576332959305,7538.4576332959305,7538.4576332959305,1882856032.1120865,1882856032.1120865,0.0,0.0 
June,33977132939942.53,29776694021233.312,29776694021233.312,29776694021233.312,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,29776497515953.313,29776497515953.313,29776497515953.313,12488390784000.0,12488390784000.0,12488390784000.0,14581152412321.186,14581152412321.186,14581152412321.186,2706954319632.115,2706954319632.115,2706954319632.115,98465839095086.3,29418299161230.57,29292347705477.703,54400580684.13779,0.0,54400580684.13779,0.0,29363898580546.445,29292347705477.703,29363898580546.445,29292347705477.703,125951455752.88925,54400580684.13779,54400580684.13779,71550875068.7515,71550875068.7515,33977132939942.53,33977132939942.53,33977132939942.53,33977132939942.53,0.0,0.0,0.0,0.0,33977132939942.53,33977132939942.53,33977132939942.53,33977132939942.53,22198653064208.793,22198653064208.793,22198653064208.793,22198653064208.793,22198653064208.793,1508681733747.3462,1508681733747.3462,1508681733747.3462,2691757184961.854,2517836740961.072,2517836740961.072,46848886869646.84,22165525064342.883,24683361805303.973,24683361805303.973,172076502392.17288,172076502392.17288,0.0,11969.742094505329,11969.742094505329,11969.742094505329,11969.742094505329,11969.742094505329,11969.742094505329,11969.742094505329,11969.742094505329,1843941608.6077662,1843941608.6077662,0.0,0.0 
July,38817741998036.47,33434089022357.137,33434089022357.137,33434089022357.137,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,33433898549237.137,33433898549237.137,33433898549237.137,12904670476800.0,12904670476800.0,12904670476800.0,17489782749779.191,17489782749779.191,17489782749779.191,3039445322657.916,3039445322657.916,3039445322657.916,129816251797421.87,33120148633542.402,32988316800051.53,33362111178.993328,0.0,33362111178.993328,0.0,33086786522363.4,32988316800051.53,33086786522363.4,32988316800051.53,131831833490.88136,33362111178.993328,33362111178.993328,98469722311.88791,98469722311.88791,38817741998036.47,38817741998036.47,38817741998036.47,38817741998036.47,0.0,0.0,0.0,0.0,38817741998036.47,38817741998036.47,38817741998036.47,38817741998036.47,31100179979617.72,31100179979617.72,31100179979617.72,31100179979617.72,31100179979617.72,1681284681227.2893,1681284681227.2893,1681284681227.2893,3702368294452.095,3518011160302.339,3518011160302.339,65595923184261.82,31038956011979.75,34556967172282.027,34556967172282.027,182338083699.03354,182338083699.03354,0.0,15198.062627861831,15198.062627861831,15198.062627861831,15198.062627861831,15198.062627861831,15198.062627861831,15198.062627861831,15198.062627861831,2019050450.72067,2019050450.72067,0.0,0.0 
August,38095461585503.25,33543408004003.957,33543408004003.957,33543408004003.957,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,33543203012803.957,33543203012803.957,33543203012803.957,12904670476800.0,12904670476800.0,12904670476800.0,17589150443930.832,17589150443930.832,17589150443930.832,3049382092073.0835,3049382092073.0835,3049382092073.0835,108208954588852.69,33176972354162.406,33051807728672.46,35138853435.927376,0.0,35138853435.927376,0.0,33141833500726.492,33051807728672.46,33141833500726.492,33051807728672.46,125164625489.94861,35138853435.927376,35138853435.927376,90025772054.02121,90025772054.02121,38095461585503.24,38095461585503.24,38095461585503.24,38095461585503.24,0.0,0.0,0.0,0.0,38095461585503.24,38095461585503.24,38095461585503.24,38095461585503.24,24141355136892.113,24141355136892.113,24141355136892.113,24141355136892.113,24141355136892.113,1680151222569.1062,1680151222569.1062,1680151222569.1062,2871902358930.1953,2708915184779.323,2708915184779.323,50890627097797.99,24090855956509.332,26799771141288.707,26799771141288.707,161256230025.6287,161256230025.6287,0.0,11521.898309042623,11521.898309042623,11521.898309042623,11521.898309042623,11521.898309042623,11521.898309042623,11521.898309042623,11521.898309042623,1730944125.247186,1730944125.247186,0.0,0.0 
September,31538383750938.797,28521843733445.125,28521843733445.125,28521843733445.125,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,28521654487205.125,28521654487205.125,28521654487205.125,12488390784000.0,12488390784000.0,12488390784000.0,13440386022550.104,13440386022550.104,13440386022550.104,2592877680655.011,2592877680655.011,2592877680655.011,68355973613081.75,28083741190000.2,27935129041439.906,60189061018.47802,0.0,60189061018.47802,0.0,28023552128981.742,27935129041439.906,28023552128981.742,27935129041439.906,148612148560.32263,60189061018.47802,60189061018.47802,88423087541.8446,88423087541.8446,31538383750938.797,31538383750938.797,31538383750938.797,31538383750938.797,0.0,0.0,0.0,0.0,31538383750938.797,31538383750938.797,31538383750938.797,31538383750938.797,12945161282643.102,12945161282643.102,12945161282643.102,12945161282643.102,12945161282643.102,1450930462170.917,1450930462170.917,1450930462170.917,1565609555322.742,1474067604046.9333,1474067604046.9333,27327071140438.484,12926501768195.764,14400569372242.705,14400569372242.705,90043990798.8568,89947924798.85677,96066000.0,6596.2941683109475,6596.2941683109475,6596.2941683109475,6596.2941683109475,6596.2941683109475,6596.2941683109475,6596.2941683109475,6596.2941683109475,1497960476.9476762,1497960476.9476762,0.0,0.0 
October,25699619307729.72,24145107247089.254,24145107247089.254,24145107247089.254,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,24144909514929.254,24144909514929.254,24144909514929.254,12904670476800.0,12904670476800.0,12904670476800.0,9045247264044.77,9045247264044.77,9045247264044.77,2194991774084.4788,2194991774084.4788,2194991774084.4788,28897827354538.96,23535429027079.824,23329174897417.24,87742014464.5156,0.0,87742014464.5156,0.0,23447687012615.324,23329174897417.24,23447687012615.324,23329174897417.24,206254129662.62112,87742014464.5156,87742014464.5156,118512115198.10529,118512115198.10529,25699619307729.72,25699619307729.72,25699619307729.72,25699619307729.72,0.0,0.0,0.0,0.0,25699619307729.72,25699619307729.72,25699619307729.72,25699619307729.72,1720308824547.6838,1720308824547.6838,1720308824547.6838,1720308824547.6838,1720308824547.6838,1343710682969.6204,1343710682969.6204,1343710682969.6204,210801377670.8641,201582849089.4786,201582849089.4786,3642089502911.428,1720253326910.975,1921836176000.453,1921836176000.453,8067823868.474759,7564165868.474759,503658000.0,1173.2583233646199,1173.2583233646199,1173.2583233646199,1173.2583233646199,1173.2583233646199,1173.2583233646199,1173.2583233646199,1173.2583233646199,1150704712.910499,1150704712.910499,0.0,0.0 
