Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.904743E+03,1.765731E+07,1.793464E+07,0.000000E+00,0.000000E+00,2.501271E+03,2.398631E+07,2.436304E+07
02:00:00,0.000000E+00,0.000000E+00,1.891354E+03,1.630056E+07,1.655658E+07,0.000000E+00,0.000000E+00,2.500791E+03,2.398171E+07,2.435837E+07
03:00:00,0.000000E+00,0.000000E+00,1.892270E+03,1.630846E+07,1.656460E+07,0.000000E+00,0.000000E+00,2.500428E+03,2.397823E+07,2.435484E+07
04:00:00,0.000000E+00,0.000000E+00,1.889584E+03,1.628531E+07,1.654109E+07,0.000000E+00,0.000000E+00,2.500125E+03,2.397532E+07,2.435188E+07
05:00:00,0.000000E+00,0.000000E+00,1.888996E+03,1.628024E+07,1.653594E+07,0.000000E+00,0.000000E+00,2.499868E+03,2.397285E+07,2.434937E+07
06:00:00,0.000000E+00,0.000000E+00,1.888738E+03,1.627801E+07,1.653368E+07,0.000000E+00,0.000000E+00,2.500800E+03,2.398179E+07,2.435845E+07
07:00:00,0.000000E+00,0.000000E+00,2.121981E+03,1.828821E+07,1.857545E+07,0.000000E+00,0.000000E+00,2.504177E+03,2.401417E+07,2.439135E+07
08:00:00,0.000000E+00,0.000000E+00,2.132466E+03,1.957204E+07,1.987945E+07,0.000000E+00,0.000000E+00,2.509255E+03,2.406288E+07,2.444081E+07
09:00:00,0.000000E+00,0.000000E+00,2.378792E+03,2.183286E+07,2.217577E+07,0.000000E+00,0.000000E+00,2.514711E+03,2.411519E+07,2.449395E+07
10:00:00,0.000000E+00,0.000000E+00,2.388288E+03,2.290285E+07,2.326256E+07,0.000000E+00,0.000000E+00,2.519644E+03,2.416250E+07,2.454200E+07
11:00:00,0.000000E+00,0.000000E+00,2.388233E+03,2.290232E+07,2.326203E+07,0.000000E+00,0.000000E+00,2.523513E+03,2.419960E+07,2.457968E+07
12:00:00,0.000000E+00,0.000000E+00,2.389917E+03,2.291847E+07,2.327843E+07,0.000000E+00,0.000000E+00,2.525807E+03,2.422161E+07,2.460203E+07
13:00:00,0.000000E+00,0.000000E+00,2.390326E+03,2.292239E+07,2.328241E+07,0.000000E+00,0.000000E+00,2.527097E+03,2.423397E+07,2.461460E+07
14:00:00,0.000000E+00,0.000000E+00,2.390507E+03,2.292412E+07,2.328417E+07,0.000000E+00,0.000000E+00,2.528159E+03,2.424416E+07,2.462494E+07
15:00:00,0.000000E+00,0.000000E+00,2.390609E+03,2.292510E+07,2.328516E+07,0.000000E+00,0.000000E+00,2.528221E+03,2.424475E+07,2.462554E+07
16:00:00,0.000000E+00,0.000000E+00,2.390666E+03,2.292565E+07,2.328573E+07,0.000000E+00,0.000000E+00,2.527244E+03,2.423538E+07,2.461603E+07
17:00:00,0.000000E+00,0.000000E+00,2.390705E+03,2.292602E+07,2.328610E+07,0.000000E+00,0.000000E+00,2.525415E+03,2.421785E+07,2.459822E+07
18:00:00,0.000000E+00,0.000000E+00,2.390715E+03,2.292612E+07,2.328620E+07,0.000000E+00,0.000000E+00,2.522694E+03,2.419175E+07,2.457171E+07
19:00:00,0.000000E+00,0.000000E+00,2.192600E+03,2.102626E+07,2.135650E+07,0.000000E+00,0.000000E+00,2.516792E+03,2.413515E+07,2.451423E+07
20:00:00,0.000000E+00,0.000000E+00,2.186617E+03,2.027033E+07,2.058870E+07,0.000000E+00,0.000000E+00,2.510955E+03,2.407917E+07,2.445737E+07
21:00:00,0.000000E+00,0.000000E+00,2.187054E+03,2.027439E+07,2.059282E+07,0.000000E+00,0.000000E+00,2.506634E+03,2.403774E+07,2.441528E+07
22:00:00,0.000000E+00,0.000000E+00,2.185865E+03,2.026336E+07,2.058162E+07,0.000000E+00,0.000000E+00,2.504167E+03,2.401408E+07,2.439125E+07
23:00:00,0.000000E+00,0.000000E+00,2.185613E+03,2.026102E+07,2.057925E+07,0.000000E+00,0.000000E+00,2.502791E+03,2.400088E+07,2.437785E+07
24:00:00,0.000000E+00,0.000000E+00,2.185507E+03,2.026004E+07,2.057825E+07,0.000000E+00,0.000000E+00,2.501907E+03,2.399241E+07,2.436924E+07
Coinc Peak   ,0.000000E+00,2.528221E+03,0.000000E+00,2.424475E+07
NonCoinc Peak,0.000000E+00,2.528221E+03,0.000000E+00,2.424475E+07
