Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,29643946351281.16,26728498696089.08,26728498696089.08,26728498696089.08,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,26728300963929.08,26728300963929.08,26728300963929.08,12904670476800.0,12904670476800.0,12904670476800.0,11393784944953.746,11393784944953.746,11393784944953.746,2429845542175.372,2429845542175.372,2429845542175.372,43043245014388.945,25739812599365.95,25739812599365.95,0.0,0.0,0.0,0.0,25739812599365.95,25739812599365.95,25739812599365.95,25739812599365.95,29643946351281.16,29643946351281.16,29643946351281.16,29643946351281.16,0.0,0.0,0.0,0.0,29643946351281.16,29643946351281.16,29643946351281.16,29643946351281.16,5274204536342.344,5274204536342.344,5274204536342.344,5274204536342.344,5274204536342.344,1422335393085.8938,1422335393085.8938,1422335393085.8938,1493112262106.156,1492944728676.901,1492944728676.901,12029227878680.727,5268141575001.905,6761086303678.807,6761086303678.807,167533429.2572217,167533429.2572217,0.0,0.0 
February,28608388915682.883,24845959702629.72,24845959702629.72,24845959702629.72,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,24845780169189.72,24845780169189.72,24845780169189.72,11655831398400.0,11655831398400.0,11655831398400.0,10931241482681.574,10931241482681.574,10931241482681.574,2258707288108.1553,2258707288108.1553,2258707288108.1553,52452020797911.805,24226523348510.824,24226523348510.824,0.0,0.0,0.0,0.0,24226523348510.824,24226523348510.824,24226523348510.824,24226523348510.824,28608388915682.883,28608388915682.883,28608388915682.883,28608388915682.883,0.0,0.0,0.0,0.0,28608388915682.883,28608388915682.883,28608388915682.883,28608388915682.883,8595348449491.757,8595348449491.757,8595348449491.757,8595348449491.757,8595348449491.757,1305491446887.0815,1305491446887.0815,1305491446887.0815,2456937766166.075,2456689584356.8433,2456689584356.8433,19630148999909.223,8586729707776.188,11043419292133.035,11043419292133.035,248181809.22922376,248181809.22922376,0.0,0.0 
March,33356232640369.977,28372120538898.387,28372120538898.387,28372120538898.387,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,28371915547698.387,28371915547698.387,28371915547698.387,12904670476800.0,12904670476800.0,12904670476800.0,12887980021107.629,12887980021107.629,12887980021107.629,2579265049790.765,2579265049790.765,2579265049790.765,69065054552451.14,27944633965073.613,27944633965073.613,0.0,0.0,0.0,0.0,27944633965073.613,27944633965073.613,27944633965073.613,27944633965073.613,33356232640369.977,33356232640369.977,33356232640369.977,33356232640369.977,0.0,0.0,0.0,0.0,33356232640369.977,33356232640369.977,33356232640369.977,33356232640369.977,12548785900437.896,12548785900437.896,12548785900437.896,12548785900437.896,12548785900437.896,1475520942019.6438,1475520942019.6438,1475520942019.6438,3508591159451.9395,3508315022752.066,3508315022752.066,28571634686939.6,12531659832093.762,16039974854845.826,16039974854845.826,276136699.8684124,276136699.8684124,0.0,0.0 
April,35943390436155.375,28151855230481.113,28151855230481.113,28151855230481.113,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,28151673243281.113,28151673243281.113,28151673243281.113,12488390784000.0,12488390784000.0,12488390784000.0,13104039437164.63,13104039437164.63,13104039437164.63,2559243022116.461,2559243022116.461,2559243022116.461,101463242930941.45,27984937635257.094,27984937635257.094,0.0,0.0,0.0,0.0,27984937635257.094,27984937635257.094,27984937635257.094,27984937635257.094,35943390436155.38,35943390436155.38,35943390436155.38,35943390436155.38,0.0,0.0,0.0,0.0,35943390436155.38,35943390436155.38,35943390436155.38,35943390436155.38,22401398907145.875,22401398907145.875,22401398907145.875,22401398907145.875,22401398907145.875,1458619858207.502,1458619858207.502,1458619858207.502,6332915347466.788,6332508930505.068,6332508930505.068,51076906388538.41,22372198729016.664,28704707659521.72,28704707659521.72,406416961.71721876,406416961.71721876,0.0,0.0 
May,39671115109474.12,29756880023787.586,29756880023787.586,29756880023787.586,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,29756675032587.586,29756675032587.586,29756675032587.586,12904670476800.0,12904670476800.0,12904670476800.0,14146852280097.795,14146852280097.795,14146852280097.795,2705152275689.784,2705152275689.784,2705152275689.784,124522254708727.11,29791514412557.594,29791514412557.594,0.0,0.0,0.0,0.0,29791514412557.594,29791514412557.594,29791514412557.594,29791514412557.594,39671115109474.12,39671115109474.12,39671115109474.12,39671115109474.12,0.0,0.0,0.0,0.0,39671115109474.12,39671115109474.12,39671115109474.12,39671115109474.12,28809469275186.1,28809469275186.1,28809469275186.1,28809469275186.1,28809469275186.1,1534194038161.2546,1534194038161.2546,1534194038161.2546,8380041047525.211,8379450186919.21,8379450186919.21,65921271020983.51,28770910417032.145,37150360603951.33,37150360603951.33,590860605.9875325,590860605.9875325,0.0,0.0 
June,39048552000850.09,28512126277167.043,28512126277167.043,28512126277167.043,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,28511929771887.043,28511929771887.043,28511929771887.043,12488390784000.0,12488390784000.0,12488390784000.0,13431545372260.955,13431545372260.955,13431545372260.955,2591993615626.095,2591993615626.095,2591993615626.095,128844847288101.84,28882485514241.93,28882485514241.93,0.0,0.0,0.0,0.0,28882485514241.93,28882485514241.93,28882485514241.93,28882485514241.93,39048552000850.09,39048552000850.09,39048552000850.09,39048552000850.09,0.0,0.0,0.0,0.0,39048552000850.09,39048552000850.09,39048552000850.09,39048552000850.09,30220139098478.316,30220139098478.316,30220139098478.316,30220139098478.316,30220139098478.316,1485441020291.809,1485441020291.809,1485441020291.809,9050984703391.262,9050513828509.805,9050513828509.805,69742222675381.56,30345854423435.937,39396368251945.73,39396368251945.73,470874881.46600264,470874881.46600264,0.0,0.0 
July,40408643310599.11,29253332854195.04,29253332854195.04,29253332854195.04,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,29253142381075.04,29253142381075.04,29253142381075.04,12904670476800.0,12904670476800.0,12904670476800.0,13689095324177.297,13689095324177.297,13689095324177.297,2659376580097.7236,2659376580097.7236,2659376580097.7236,134313494524480.56,30022212572693.23,30022212572693.23,0.0,0.0,0.0,0.0,30022212572693.23,30022212572693.23,30022212572693.23,30022212572693.23,40408643310599.1,40408643310599.1,40408643310599.1,40408643310599.1,0.0,0.0,0.0,0.0,40408643310599.1,40408643310599.1,40408643310599.1,40408643310599.1,31404298270343.266,31404298270343.266,31404298270343.266,31404298270343.266,31404298270343.266,1534955972819.3765,1534955972819.3765,1534955972819.3765,9620354483584.664,9619843816719.98,9619843816719.98,72886983681444.14,31633569932362.09,41253413749082.13,41253413749082.13,510666864.6733169,510666864.6733169,0.0,0.0 
August,40227546472805.15,29369762279208.437,29369762279208.437,29369762279208.437,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,29369557288008.437,29369557288008.437,29369557288008.437,12904670476800.0,12904670476800.0,12904670476800.0,13794927057753.102,13794927057753.102,13794927057753.102,2669959753455.309,2669959753455.309,2669959753455.309,133267382695733.77,29924987243496.594,29924987243496.594,0.0,0.0,0.0,0.0,29924987243496.594,29924987243496.594,29924987243496.594,29924987243496.594,40227546472805.16,40227546472805.16,40227546472805.16,40227546472805.16,0.0,0.0,0.0,0.0,40227546472805.16,40227546472805.16,40227546472805.16,40227546472805.16,31306177352849.734,31306177352849.734,31306177352849.734,31306177352849.734,31306177352849.734,1534956305176.092,1534956305176.092,1534956305176.092,9322827888420.643,9322333317606.947,9322333317606.947,72036218099387.44,31356942390890.273,40679275708497.19,40679275708497.19,494570813.6856205,494570813.6856205,0.0,0.0 
September,38731863536039.08,28595944415542.2,28595944415542.2,28595944415542.2,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,28595755169302.2,28595755169302.2,28595755169302.2,12488390784000.0,12488390784000.0,12488390784000.0,13507750279001.988,13507750279001.988,13507750279001.988,2599614106300.1953,2599614106300.1953,2599614106300.1953,127676185504763.23,28772150213409.953,28772150213409.953,0.0,0.0,0.0,0.0,28772150213409.953,28772150213409.953,28772150213409.953,28772150213409.953,38731863536039.08,38731863536039.08,38731863536039.08,38731863536039.08,0.0,0.0,0.0,0.0,38731863536039.08,38731863536039.08,38731863536039.08,38731863536039.08,30108433102126.05,30108433102126.05,30108433102126.05,30108433102126.05,30108433102126.05,1485441533795.4949,1485441533795.4949,1485441533795.4949,8650477586701.432,8650019723582.798,8650019723582.798,68795602189227.13,30072791232822.152,38722810956404.96,38722810956404.96,457863118.623953,457863118.623953,0.0,0.0 
October,39105835326306.27,29903428992282.043,29903428992282.043,29903428992282.043,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,29903231260122.043,29903231260122.043,29903231260122.043,12904670476800.0,12904670476800.0,12904670476800.0,14280085214220.027,14280085214220.027,14280085214220.027,2718475569102.001,2718475569102.001,2718475569102.001,120023867966261.84,29775458854684.31,29775458854684.31,0.0,0.0,0.0,0.0,29775458854684.31,29775458854684.31,29775458854684.31,29775458854684.31,39105835326306.27,39105835326306.27,39105835326306.27,39105835326306.27,0.0,0.0,0.0,0.0,39105835326306.27,39105835326306.27,39105835326306.27,39105835326306.27,27551873488489.715,27551873488489.715,27551873488489.715,27551873488489.715,27551873488489.715,1534777349485.537,1534777349485.537,1534777349485.537,7667628984538.74,7667219985083.946,7667219985083.946,62696535623087.83,27514657819001.934,35181877804085.855,35181877804085.855,408999454.7972344,408999454.7972344,0.0,0.0 
