Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.931385E+03,1.802264E+07,1.830571E+07,0.000000E+00,0.000000E+00,2.524153E+03,2.436845E+07,2.475118E+07
02:00:00,0.000000E+00,0.000000E+00,1.919162E+03,1.664538E+07,1.690681E+07,0.000000E+00,0.000000E+00,2.523738E+03,2.436444E+07,2.474711E+07
03:00:00,0.000000E+00,0.000000E+00,1.923062E+03,1.667920E+07,1.694117E+07,0.000000E+00,0.000000E+00,2.523409E+03,2.436127E+07,2.474389E+07
04:00:00,0.000000E+00,0.000000E+00,1.920829E+03,1.665983E+07,1.692149E+07,0.000000E+00,0.000000E+00,2.523141E+03,2.435867E+07,2.474125E+07
05:00:00,0.000000E+00,0.000000E+00,1.920397E+03,1.665608E+07,1.691769E+07,0.000000E+00,0.000000E+00,2.522921E+03,2.435655E+07,2.473910E+07
06:00:00,0.000000E+00,0.000000E+00,1.920124E+03,1.665372E+07,1.691528E+07,0.000000E+00,0.000000E+00,2.522770E+03,2.435509E+07,2.473762E+07
07:00:00,0.000000E+00,0.000000E+00,2.147970E+03,1.862988E+07,1.892249E+07,0.000000E+00,0.000000E+00,2.523705E+03,2.436412E+07,2.474679E+07
08:00:00,0.000000E+00,0.000000E+00,2.157353E+03,1.993068E+07,2.024372E+07,0.000000E+00,0.000000E+00,2.526197E+03,2.438819E+07,2.477123E+07
09:00:00,0.000000E+00,0.000000E+00,2.397118E+03,2.214575E+07,2.249358E+07,0.000000E+00,0.000000E+00,2.529631E+03,2.442134E+07,2.480490E+07
10:00:00,0.000000E+00,0.000000E+00,2.405462E+03,2.322259E+07,2.358733E+07,0.000000E+00,0.000000E+00,2.533270E+03,2.445646E+07,2.484058E+07
11:00:00,0.000000E+00,0.000000E+00,2.403599E+03,2.320461E+07,2.356907E+07,0.000000E+00,0.000000E+00,2.536624E+03,2.448885E+07,2.487347E+07
12:00:00,0.000000E+00,0.000000E+00,2.405015E+03,2.321828E+07,2.358295E+07,0.000000E+00,0.000000E+00,2.539362E+03,2.451528E+07,2.490032E+07
13:00:00,0.000000E+00,0.000000E+00,2.405364E+03,2.322164E+07,2.358637E+07,0.000000E+00,0.000000E+00,2.541303E+03,2.453402E+07,2.491935E+07
14:00:00,0.000000E+00,0.000000E+00,2.405589E+03,2.322382E+07,2.358858E+07,0.000000E+00,0.000000E+00,2.542329E+03,2.454392E+07,2.492941E+07
15:00:00,0.000000E+00,0.000000E+00,2.405748E+03,2.322536E+07,2.359014E+07,0.000000E+00,0.000000E+00,2.542360E+03,2.454422E+07,2.492971E+07
16:00:00,0.000000E+00,0.000000E+00,2.405862E+03,2.322645E+07,2.359125E+07,0.000000E+00,0.000000E+00,2.541361E+03,2.453457E+07,2.491992E+07
17:00:00,0.000000E+00,0.000000E+00,2.405938E+03,2.322719E+07,2.359200E+07,0.000000E+00,0.000000E+00,2.539411E+03,2.451576E+07,2.490080E+07
18:00:00,0.000000E+00,0.000000E+00,2.405978E+03,2.322757E+07,2.359239E+07,0.000000E+00,0.000000E+00,2.536631E+03,2.448891E+07,2.487353E+07
19:00:00,0.000000E+00,0.000000E+00,2.211070E+03,2.134591E+07,2.168117E+07,0.000000E+00,0.000000E+00,2.533227E+03,2.445605E+07,2.484016E+07
20:00:00,0.000000E+00,0.000000E+00,2.205642E+03,2.058186E+07,2.090512E+07,0.000000E+00,0.000000E+00,2.529889E+03,2.442382E+07,2.480743E+07
21:00:00,0.000000E+00,0.000000E+00,2.207410E+03,2.059835E+07,2.092187E+07,0.000000E+00,0.000000E+00,2.527635E+03,2.440206E+07,2.478532E+07
22:00:00,0.000000E+00,0.000000E+00,2.206428E+03,2.058920E+07,2.091257E+07,0.000000E+00,0.000000E+00,2.526260E+03,2.438879E+07,2.477184E+07
23:00:00,0.000000E+00,0.000000E+00,2.206248E+03,2.058751E+07,2.091086E+07,0.000000E+00,0.000000E+00,2.525352E+03,2.438002E+07,2.476294E+07
24:00:00,0.000000E+00,0.000000E+00,2.206135E+03,2.058646E+07,2.090979E+07,0.000000E+00,0.000000E+00,2.524680E+03,2.437354E+07,2.475636E+07
Coinc Peak   ,0.000000E+00,2.542360E+03,0.000000E+00,2.454422E+07
NonCoinc Peak,0.000000E+00,2.542360E+03,0.000000E+00,2.454422E+07
