Time,DATA CENTER ZONE::Des Heat Load [W],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DATA CENTER ZONE::Des Heat Mass Flow [kg/s],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Heat Load [W],DATA CENTER ZONE::Des Latent Cool Load [W],DATA CENTER ZONE::Des Latent Heat Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Heat Load No DOAS [W],DATA CENTER ZONE::Des Sens Cool Load No DOAS [W],DATA CENTER ZONE::Des Latent Heat Load No DOAS [W],DATA CENTER ZONE::Des Latent Cool Load No DOAS [W],DATA CENTER ZONE::Heating Zone Temperature [C],DATA CENTER ZONE::Heating Zone Relative Humidity [%],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.685946E+07,0.000000E+00,1.941656E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
02:00:00,0.000000E+00,1.685669E+07,0.000000E+00,1.941337E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
03:00:00,0.000000E+00,1.685450E+07,0.000000E+00,1.941084E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
04:00:00,0.000000E+00,1.685270E+07,0.000000E+00,1.940877E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
05:00:00,0.000000E+00,1.685123E+07,0.000000E+00,1.940708E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
06:00:00,0.000000E+00,1.685022E+07,0.000000E+00,1.940592E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
07:00:00,0.000000E+00,1.685647E+07,0.000000E+00,1.941312E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
08:00:00,0.000000E+00,1.687312E+07,0.000000E+00,1.943229E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
09:00:00,0.000000E+00,1.689606E+07,0.000000E+00,1.945870E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
10:00:00,0.000000E+00,1.692036E+07,0.000000E+00,1.948669E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
