Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.945715E+03,1.637535E+07,1.416530E+07,0.000000E+00,0.000000E+00,2.468259E+03,2.156187E+07,1.877068E+07
02:00:00,0.000000E+00,0.000000E+00,1.933402E+03,1.497915E+07,1.276279E+07,0.000000E+00,0.000000E+00,2.467729E+03,2.155724E+07,1.876665E+07
03:00:00,0.000000E+00,0.000000E+00,1.935804E+03,1.499776E+07,1.277865E+07,0.000000E+00,0.000000E+00,2.467326E+03,2.155372E+07,1.876359E+07
04:00:00,0.000000E+00,0.000000E+00,1.933327E+03,1.497857E+07,1.276230E+07,0.000000E+00,0.000000E+00,2.466994E+03,2.155082E+07,1.876106E+07
05:00:00,0.000000E+00,0.000000E+00,1.932769E+03,1.497425E+07,1.275861E+07,0.000000E+00,0.000000E+00,2.466717E+03,2.154840E+07,1.875896E+07
06:00:00,0.000000E+00,0.000000E+00,1.932485E+03,1.497205E+07,1.275674E+07,0.000000E+00,0.000000E+00,2.466538E+03,2.154684E+07,1.875759E+07
07:00:00,0.000000E+00,0.000000E+00,2.154040E+03,1.668856E+07,1.421927E+07,0.000000E+00,0.000000E+00,2.468234E+03,2.156165E+07,1.877049E+07
08:00:00,0.000000E+00,0.000000E+00,2.163576E+03,1.800755E+07,1.554688E+07,0.000000E+00,0.000000E+00,2.472853E+03,2.160200E+07,1.880562E+07
09:00:00,0.000000E+00,0.000000E+00,2.401453E+03,1.998740E+07,1.725620E+07,0.000000E+00,0.000000E+00,2.479458E+03,2.165970E+07,1.885585E+07
10:00:00,0.000000E+00,0.000000E+00,2.410039E+03,2.105328E+07,1.832793E+07,0.000000E+00,0.000000E+00,2.486496E+03,2.172118E+07,1.890937E+07
11:00:00,0.000000E+00,0.000000E+00,2.409197E+03,2.104593E+07,1.832153E+07,0.000000E+00,0.000000E+00,2.492858E+03,2.177676E+07,1.895775E+07
12:00:00,0.000000E+00,0.000000E+00,2.410749E+03,2.105948E+07,1.833333E+07,0.000000E+00,0.000000E+00,2.497854E+03,2.182040E+07,1.899575E+07
13:00:00,0.000000E+00,0.000000E+00,2.411146E+03,2.106295E+07,1.833635E+07,0.000000E+00,0.000000E+00,2.501176E+03,2.184942E+07,1.902101E+07
14:00:00,0.000000E+00,0.000000E+00,2.411335E+03,2.106461E+07,1.833779E+07,0.000000E+00,0.000000E+00,2.502670E+03,2.186248E+07,1.903238E+07
15:00:00,0.000000E+00,0.000000E+00,2.411446E+03,2.106557E+07,1.833863E+07,0.000000E+00,0.000000E+00,2.502306E+03,2.185930E+07,1.902960E+07
16:00:00,0.000000E+00,0.000000E+00,2.411517E+03,2.106619E+07,1.833917E+07,0.000000E+00,0.000000E+00,2.500069E+03,2.183976E+07,1.901259E+07
17:00:00,0.000000E+00,0.000000E+00,2.411558E+03,2.106655E+07,1.833948E+07,0.000000E+00,0.000000E+00,2.496142E+03,2.180545E+07,1.898273E+07
18:00:00,0.000000E+00,0.000000E+00,2.411570E+03,2.106665E+07,1.833957E+07,0.000000E+00,0.000000E+00,2.490765E+03,2.175848E+07,1.894184E+07
19:00:00,0.000000E+00,0.000000E+00,2.218941E+03,1.938391E+07,1.687466E+07,0.000000E+00,0.000000E+00,2.484314E+03,2.170212E+07,1.889278E+07
20:00:00,0.000000E+00,0.000000E+00,2.213586E+03,1.862978E+07,1.611547E+07,0.000000E+00,0.000000E+00,2.478048E+03,2.164738E+07,1.884512E+07
21:00:00,0.000000E+00,0.000000E+00,2.214643E+03,1.863866E+07,1.612316E+07,0.000000E+00,0.000000E+00,2.473837E+03,2.161060E+07,1.881310E+07
22:00:00,0.000000E+00,0.000000E+00,2.213573E+03,1.862967E+07,1.611537E+07,0.000000E+00,0.000000E+00,2.471390E+03,2.158923E+07,1.879450E+07
23:00:00,0.000000E+00,0.000000E+00,2.213344E+03,1.862774E+07,1.611370E+07,0.000000E+00,0.000000E+00,2.469932E+03,2.157649E+07,1.878340E+07
24:00:00,0.000000E+00,0.000000E+00,2.213238E+03,1.862685E+07,1.611294E+07,0.000000E+00,0.000000E+00,2.468962E+03,2.156801E+07,1.877603E+07
Coinc Peak   ,0.000000E+00,2.502670E+03,0.000000E+00,2.186248E+07
NonCoinc Peak,0.000000E+00,2.502670E+03,0.000000E+00,2.186248E+07
