Time,HYBRID ZONE::Des Heat Load [W],HYBRID ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],HYBRID ZONE::Des Heat Mass Flow [kg/s],HYBRID ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],HYBRID ZONE::Des Latent Heat Load [W],HYBRID ZONE::Des Latent Cool Load [W],HYBRID ZONE::Des Latent Heat Mass Flow [kg/s],HYBRID ZONE::Des Latent Cool Mass Flow [kg/s],HYBRID ZONE::Des Heat Load No DOAS [W],HYBRID ZONE::Des Sens Cool Load No DOAS [W],HYBRID ZONE::Des Latent Heat Load No DOAS [W],HYBRID ZONE::Des Latent Cool Load No DOAS [W],HYBRID ZONE::Heating Zone Temperature [C],HYBRID ZONE::Heating Zone Relative Humidity [%],HYBRID ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],HYBRID ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.684656E+07,0.000000E+00,1.898661E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
02:00:00,0.000000E+00,1.684294E+07,0.000000E+00,1.898253E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
03:00:00,0.000000E+00,1.684019E+07,0.000000E+00,1.897943E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
04:00:00,0.000000E+00,1.683793E+07,0.000000E+00,1.897688E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
05:00:00,0.000000E+00,1.683604E+07,0.000000E+00,1.897475E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
06:00:00,0.000000E+00,1.683481E+07,0.000000E+00,1.897337E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
07:00:00,0.000000E+00,1.684639E+07,0.000000E+00,1.898642E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
08:00:00,0.000000E+00,1.687791E+07,0.000000E+00,1.902194E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
09:00:00,0.000000E+00,1.692300E+07,0.000000E+00,1.907275E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
10:00:00,0.000000E+00,1.697103E+07,0.000000E+00,1.912689E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
11:00:00,0.000000E+00,1.701445E+07,0.000000E+00,1.917583E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.759342E+01,3.694549E+01
