Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,33934940341116.46,32016323352433.1,32016323352433.1,32016323352433.1,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,32016125620273.1,32016125620273.1,32016125620273.1,12904670476800.0,12904670476800.0,12904670476800.0,16200898268902.834,16200898268902.834,16200898268902.834,2910556874570.282,2910556874570.282,2910556874570.282,31586675877474.125,31586675877474.125,31368562317680.57,99608893377.84415,0.0,99608893377.84415,0.0,31487066984096.29,31368562317680.57,31487066984096.29,31368562317680.57,218113559793.54633,99608893377.84415,99608893377.84415,118504666415.70226,118504666415.70226,33934940341116.46,33934940341116.46,33934940341116.46,33934940341116.46,0.0,0.0,0.0,0.0,33934940341116.46,33934940341116.46,33934940341116.46,33934940341116.46,0.0,0.0,0.0,0.0,0.0,1918588638683.357,1683645804139.5298,1683645804139.5298,234942834543.82584,234942834543.82584,764.3909233060707,764.3909233060707,764.3909233060707,764.3909233060707,764.3909233060707,764.3909233060707,764.3909233060707,764.3909233060707,28350000.0,0.0,0.0,0.0,0.0,28350000.0,0.0,28350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,31144511959251.176,29026299807628.55,29026299807628.55,29026299807628.55,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,29026120274188.55,29026120274188.55,29026120274188.55,11655831398400.0,11655831398400.0,11655831398400.0,14731550669044.125,14731550669044.125,14731550669044.125,2638738206744.4087,2638738206744.4087,2638738206744.4087,31272911816034.04,28842762596341.98,28548768791556.312,48287097171.108795,0.0,48287097171.108795,0.0,28794475499170.86,28548768791556.312,28794475499170.86,28548768791556.312,293993804785.6996,48287097171.108795,48287097171.108795,245706707614.59076,245706707614.59076,31144511959251.176,31144511959251.176,31144511959251.176,31144511959251.176,0.0,0.0,0.0,0.0,31144511959251.176,31144511959251.176,31144511959251.176,31144511959251.176,787428347624.8386,787428347624.8386,787428347624.8386,787428347624.8386,787428347624.8386,2021207190082.4878,1551863607979.8562,1551863607979.8562,558689849638.0012,558689849638.0012,2891.413178432037,2433.8886346499976,2433.8886346499976,2433.8886346499976,2891.413178432037,2433.8886346499976,2433.8886346499976,2433.8886346499976,97004961540.13942,1642720872067.2234,776687302265.9271,866033569801.2965,866033569801.2965,7617550991.180273,7591954991.180273,25596000.0,457.52454378203936,457.52454378203936,457.52454378203936,457.52454378203936,457.52454378203936,457.52454378203936,41143013.589849874,41143013.589849874,0.0,0.0 
March,34340091093899.21,31736441067229.48,31736441067229.48,31736441067229.48,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,31736236076029.48,31736236076029.48,31736236076029.48,12904670476800.0,12904670476800.0,12904670476800.0,15946453228681.352,15946453228681.352,15946453228681.352,2885112370548.1304,2885112370548.1304,2885112370548.1304,32119947601926.61,31950521151104.918,31347852793053.8,26205593030.03738,0.0,26205593030.03738,0.0,31924315558074.902,31347852793053.8,31924315558074.902,31347852793053.8,602668358051.1746,26205593030.03738,26205593030.03738,576462765021.1371,576462765021.1371,34340091093899.21,34340091093899.21,34340091093899.21,34340091093899.21,0.0,0.0,0.0,0.0,34340091093899.21,34340091093899.21,34340091093899.21,34340091093899.21,54539834563.51368,54539834563.51368,54539834563.51368,54539834563.51368,54539834563.51368,2596948759110.6006,1827248376261.6833,1827248376261.6833,775723160479.8456,775723160479.8456,3954.728376837224,3917.8647017322396,3917.8647017322396,3917.8647017322396,3954.728376837224,3917.8647017322396,3917.8647017322396,3917.8647017322396,6701267559.172557,114886616258.17178,54431919313.62027,60454696944.55152,60454696944.55152,675773136.8512992,675773136.8512992,0.0,36.86367510498396,36.86367510498396,36.86367510498396,36.86367510498396,36.86367510498396,36.86367510498396,2716791.390009395,2716791.390009395,0.0,0.0 
April,32275247286856.06,28849685231124.16,28849685231124.16,28849685231124.16,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,28849503243924.16,28849503243924.16,28849503243924.16,12488390784000.0,12488390784000.0,12488390784000.0,13738430346840.113,13738430346840.113,13738430346840.113,2622682113084.016,2622682113084.016,2622682113084.016,45007318284980.87,29874330007289.203,28628055337000.535,24491231591.644844,0.0,24491231591.644844,0.0,29849838775697.56,28628055337000.535,29849838775697.56,28628055337000.535,1246274670288.6753,24491231591.644844,24491231591.644844,1221783438697.03,1221783438697.03,32275247286856.06,32275247286856.06,32275247286856.06,32275247286856.06,0.0,0.0,0.0,0.0,32275247286856.06,32275247286856.06,32275247286856.06,32275247286856.06,4949295239715.6455,4949295239715.6455,4949295239715.6455,4949295239715.6455,4949295239715.6455,2808970247445.8413,1738356612865.6262,1738356612865.6262,1625291928761.803,1625291928761.803,12410.347778849171,8671.02857545016,8671.02857545016,8671.02857545016,12410.347778849171,8671.02857545016,8671.02857545016,8671.02857545016,616591808286.0599,10183693037975.973,4814507371897.193,5369185666078.78,5369185666078.78,61644577749.55583,61644091749.55583,485999.99999999837,3739.319203399011,3739.319203399011,3739.319203399011,3739.319203399011,3739.319203399011,3739.319203399011,268936354.9183249,268936354.9183249,0.0,0.0 
May,34562974561403.33,30108006244580.277,30108006244580.277,30108006244580.277,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,30107801253380.277,30107801253380.277,30107801253380.277,12904670476800.0,12904670476800.0,12904670476800.0,14466057935363.893,14466057935363.893,14466057935363.893,2737072841216.39,2737072841216.39,2737072841216.39,62661667238917.13,31589959187816.914,29920968423459.316,29713681283.258324,0.0,29713681283.258324,0.0,31560245506533.65,29920968423459.316,31560245506533.65,29920968423459.316,1668990764357.607,29713681283.258324,29713681283.258324,1639277083074.3489,1639277083074.3489,34562974561403.33,34562974561403.33,34562974561403.33,34562974561403.33,0.0,0.0,0.0,0.0,34562974561403.33,34562974561403.33,34562974561403.33,34562974561403.33,10108482840500.055,10108482840500.055,10108482840500.055,10108482840500.055,10108482840500.055,3197888087554.0693,1807838659751.8574,1807838659751.8574,2529056401568.915,2529056401568.915,17080.670657212515,9239.785076844104,9239.785076844104,9239.785076844104,17080.670657212515,9239.785076844104,9239.785076844104,9239.785076844104,1257080229268.991,20963225210600.168,9912109118416.736,11051116092183.432,11051116092183.432,117515826872.03694,117515826872.03694,0.0,7840.885580368428,7840.885580368428,7840.885580368428,7840.885580368428,7840.885580368428,7840.885580368428,557428630.2623316,557428630.2623316,0.0,0.0 
June,36119329882028.09,31032931726132.28,31032931726132.28,31032931726132.28,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,31032735220852.28,31032735220852.28,31032735220852.28,12488390784000.0,12488390784000.0,12488390784000.0,15723186689502.096,15723186689502.096,15723186689502.096,2821157747350.21,2821157747350.21,2821157747350.21,90630623691988.14,32795541276569.25,30808125869399.297,115526887896.49803,0.0,115526887896.49803,0.0,32680014388672.758,30808125869399.297,32680014388672.758,30808125869399.297,1987415407169.954,115526887896.49803,115526887896.49803,1871888519273.4565,1871888519273.4565,36119329882028.09,36119329882028.09,36119329882028.09,36119329882028.09,0.0,0.0,0.0,0.0,36119329882028.09,36119329882028.09,36119329882028.09,36119329882028.09,18745735152565.445,18745735152565.445,18745735152565.445,18745735152565.445,18745735152565.445,2782650246490.428,1614991736576.5745,1614991736576.5745,3304131348892.2095,3304131348892.2095,22821.675452031974,8751.671438045865,8751.671438045865,8751.671438045865,22821.675452031974,8751.671438045865,8751.671438045865,8751.671438045865,2303747909405.3486,39089347262853.51,18476437211937.582,20612910050915.92,20612910050915.92,166221674831.73718,166221674831.73718,0.0,14070.004013986116,14070.004013986116,14070.004013986116,14070.004013986116,14070.004013986116,14070.004013986116,1053395595.2798022,1053395595.2798022,0.0,0.0 
July,39075371478753.19,33747397788646.08,33747397788646.08,33747397788646.08,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,33747207315526.08,33747207315526.08,33747207315526.08,12904670476800.0,12904670476800.0,12904670476800.0,17774608900950.95,17774608900950.95,17774608900950.95,3067927937775.0947,3067927937775.0947,3067927937775.0947,97049011769912.86,35783879162599.43,33426987729936.918,168440429208.6659,0.0,168440429208.6659,0.0,35615438733390.766,33426987729936.918,35615438733390.766,33426987729936.918,2356891432662.5107,168440429208.6659,168440429208.6659,2188451003453.8496,2188451003453.8496,39075371478753.19,39075371478753.19,39075371478753.19,39075371478753.19,0.0,0.0,0.0,0.0,39075371478753.19,39075371478753.19,39075371478753.19,39075371478753.19,19740108952044.5,19740108952044.5,19740108952044.5,19740108952044.5,19740108952044.5,2934281336814.036,1587275264828.4385,1587275264828.4385,3633585936550.637,3633585936550.637,21430.891076960153,8416.525780124717,8416.525780124717,8416.525780124717,21430.891076960153,8416.525780124717,8416.525780124717,8416.525780124717,2393692353293.106,41525023655268.74,19619221895351.875,21905801759916.895,21905801759916.895,105964936392.64377,105964936392.64377,0.0,13014.36529683545,13014.36529683545,13014.36529683545,13014.36529683545,13014.36529683545,13014.36529683545,1147552335.4349034,1147552335.4349034,0.0,0.0 
August,38985186572888.07,33354908371966.53,33354908371966.53,33354908371966.53,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,33354703380766.53,33354703380766.53,33354703380766.53,12904670476800.0,12904670476800.0,12904670476800.0,17417787142078.607,17417787142078.607,17417787142078.607,3032245761887.862,3032245761887.862,3032245761887.862,104353086960035.47,35088263520229.227,33147277947724.76,85448216696.41786,0.0,85448216696.41786,0.0,35002815303532.805,33147277947724.76,35002815303532.805,33147277947724.76,1940985572504.442,85448216696.41786,85448216696.41786,1855537355808.0237,1855537355808.0237,38985186572888.07,38985186572888.07,38985186572888.07,38985186572888.07,0.0,0.0,0.0,0.0,38985186572888.07,38985186572888.07,38985186572888.07,38985186572888.07,22361998377516.08,22361998377516.08,22361998377516.08,22361998377516.08,22361998377516.08,2919188921842.2134,1732449043452.6404,1732449043452.6404,3760129176400.688,3760129176400.688,22248.35873820239,7810.2375985996405,7810.2375985996405,7810.2375985996405,22248.35873820239,7810.2375985996405,7810.2375985996405,7810.2375985996405,2711089279079.4717,46902825062290.23,22164717882139.547,24738107180150.676,24738107180150.676,136468784329.83157,136468784329.83157,0.0,14438.121139602776,14438.121139602776,14438.121139602776,14438.121139602776,14438.121139602776,14438.121139602776,1231196738.5613482,1231196738.5613482,0.0,0.0 
September,34143802064776.914,29672733328044.57,29672733328044.57,29672733328044.57,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,29672544081804.57,29672544081804.57,29672544081804.57,12488390784000.0,12488390784000.0,12488390784000.0,14486649290367.781,14486649290367.781,14486649290367.781,2697504007436.78,2697504007436.78,2697504007436.78,59913224302174.375,31337108294322.2,29327721811116.402,91758520476.675,0.0,91758520476.675,0.0,31245349773845.523,29327721811116.402,31245349773845.523,29327721811116.402,2009386483205.8467,91758520476.675,91758520476.675,1917627962729.1716,1917627962729.1716,34143802064776.914,34143802064776.914,34143802064776.914,34143802064776.914,0.0,0.0,0.0,0.0,34143802064776.914,34143802064776.914,34143802064776.914,34143802064776.914,9275010251595.797,9275010251595.797,9275010251595.797,9275010251595.797,9275010251595.797,3332933955432.1133,1474064456512.2861,1474064456512.2861,2917947309448.5806,2917947309448.5806,17300.786076484266,10630.168928261153,10630.168928261153,10630.168928261153,17300.786076484266,10630.168928261153,10630.168928261153,10630.168928261153,1138134781300.27,19301105756256.26,9121013972863.758,10180091783392.494,10180091783392.494,78461750399.21933,78461750399.21933,0.0,6670.617148223115,6670.617148223115,6670.617148223115,6670.617148223115,6670.617148223115,6670.617148223115,595220372.3216344,595220372.3216344,0.0,0.0 
October,34492586536451.008,30375278996425.97,30375278996425.97,30375278996425.97,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,30375081264265.97,30375081264265.97,30375081264265.97,12904670476800.0,12904670476800.0,12904670476800.0,14709039763441.799,14709039763441.799,14709039763441.799,2761371024024.1816,2761371024024.1816,2761371024024.1816,51992512074562.45,31607775975523.242,30036284933275.504,88345778283.19257,0.0,88345778283.19257,0.0,31519430197240.04,30036284933275.504,31519430197240.04,30036284933275.504,1571491042247.7744,88345778283.19257,88345778283.19257,1483145263964.5823,1483145263964.5823,34492586536451.008,34492586536451.008,34492586536451.008,34492586536451.008,0.0,0.0,0.0,0.0,34492586536451.008,34492586536451.008,34492586536451.008,34492586536451.008,6577830327527.602,6577830327527.602,6577830327527.602,6577830327527.602,6577830327527.602,3287370489970.4927,1700530812575.8816,1700530812575.8816,2355166280951.964,2355166280951.964,13645.590595981064,9106.723163131981,9106.723163131981,9106.723163131981,13645.590595981064,9106.723163131981,9106.723163131981,9106.723163131981,829937050054.573,13806905771511.518,6519289583977.09,7287616187534.435,7287616187534.435,61177657421.26543,61177657421.26543,0.0,4538.867432849081,4538.867432849081,4538.867432849081,4538.867432849081,4538.867432849081,4538.867432849081,432789075.9639058,432789075.9639058,0.0,0.0 
