Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,32610941279994.965,30555767670624.48,30555767670624.48,30555767670624.48,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,30555569938464.48,30555569938464.48,30555569938464.48,12904670476800.0,12904670476800.0,12904670476800.0,14873120376349.535,14873120376349.535,14873120376349.535,2777779085314.9497,2777779085314.9497,2777779085314.9497,42003157198932.8,30123597147681.523,29958237408048.195,32774381538.93448,0.0,32774381538.93448,0.0,30090822766142.598,29958237408048.195,30090822766142.598,29958237408048.195,165359739633.31577,32774381538.93448,32774381538.93448,132585358094.3814,132585358094.3814,32610941279994.97,32610941279994.97,32610941279994.97,32610941279994.97,0.0,0.0,0.0,0.0,32610941279994.97,32610941279994.97,32610941279994.97,32610941279994.97,3824260985743.7197,3824260985743.7197,3824260985743.7197,3824260985743.7197,3824260985743.7197,1565237016450.3245,1565237016450.3245,1565237016450.3245,489936592920.16595,421456987711.75616,421456987711.75616,8055299065507.58,3816921038897.914,4238378026609.668,4238378026609.668,67461452958.34355,67433102958.34355,28350000.0,2981.9521475402316,2981.9521475402316,2981.9521475402316,2981.9521475402316,2981.9521475402316,2981.9521475402316,2981.9521475402316,2981.9521475402316,1018152250.0661873,1018152250.0661873,0.0,0.0 
February,32252068235194.77,29630892308527.957,29630892308527.957,29630892308527.957,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,29630712775087.957,29630712775087.957,29630712775087.957,11655831398400.0,11655831398400.0,11655831398400.0,15281180215316.334,15281180215316.334,15281180215316.334,2693701161371.6313,2693701161371.6313,2693701161371.6313,57169138687890.4,29286729509400.203,29146615713373.984,24212097626.530262,0.0,24212097626.530262,0.0,29262517411773.695,29146615713373.984,29262517411773.695,29146615713373.984,140113796026.27454,24212097626.530262,24212097626.530262,115901698399.74428,115901698399.74428,32252068235194.766,32252068235194.766,32252068235194.766,32252068235194.766,0.0,0.0,0.0,0.0,32252068235194.766,32252068235194.766,32252068235194.766,32252068235194.766,8972227833180.111,8972227833180.111,8972227833180.111,8972227833180.111,8972227833180.111,1507705068909.292,1507705068909.292,1507705068909.292,1113470857757.5168,996314394306.2285,996314394306.2285,18910181345310.05,8956933475501.912,9953247869808.137,9953247869808.137,116023644051.89957,115998048051.89957,25596000.0,6114.459945496834,6114.459945496834,6114.459945496834,6114.459945496834,6114.459945496834,6114.459945496834,6114.459945496834,6114.459945496834,1132819399.3887687,1132819399.3887687,0.0,0.0 
March,39201157604064.35,35548415518651.37,35548415518651.37,35548415518651.37,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35548210527451.37,35548210527451.37,35548210527451.37,12904670476800.0,12904670476800.0,12904670476800.0,19411884548155.816,19411884548155.816,19411884548155.816,3231655502495.5815,3231655502495.5815,3231655502495.5815,80400401879322.31,35171555102086.94,35044968227579.945,27494155904.21114,0.0,27494155904.21114,0.0,35144060946182.74,35044968227579.945,35144060946182.74,35044968227579.945,126586874506.96681,27494155904.21114,27494155904.21114,99092718602.75563,99092718602.75563,39201157604064.35,39201157604064.35,39201157604064.35,39201157604064.35,0.0,0.0,0.0,0.0,39201157604064.35,39201157604064.35,39201157604064.35,39201157604064.35,14566802970833.727,14566802970833.727,14566802970833.727,14566802970833.727,14566802970833.727,1818256088169.4626,1818256088169.4626,1818256088169.4626,1834485997243.4941,1606418510696.7952,1606418510696.7952,30662043806401.715,14527812647852.46,16134231158549.236,16134231158549.236,226768131128.91238,226768131128.91238,0.0,10326.977533477777,10326.977533477777,10326.977533477777,10326.977533477777,10326.977533477777,10326.977533477777,10326.977533477777,10326.977533477777,1299355417.7863977,1299355417.7863977,0.0,0.0 
April,42519272590724.04,36893496602086.48,36893496602086.48,36893496602086.48,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,36893314614886.48,36893314614886.48,36893314614886.48,12488390784000.0,12488390784000.0,12488390784000.0,21050986138624.07,21050986138624.07,21050986138624.07,3353937692262.4067,3353937692262.4067,3353937692262.4067,127011026261227.73,36580766039363.336,36470683403440.76,25429306356.090477,0.0,25429306356.090477,0.0,36555336733007.24,36470683403440.76,36555336733007.24,36470683403440.76,110082635922.59584,25429306356.090477,25429306356.090477,84653329566.50537,84653329566.50537,42519272590724.03,42519272590724.03,42519272590724.03,42519272590724.03,0.0,0.0,0.0,0.0,42519272590724.03,42519272590724.03,42519272590724.03,42519272590724.03,29116552495382.51,29116552495382.51,29116552495382.51,29116552495382.51,29116552495382.51,1939683703312.4614,1939683703312.4614,1939683703312.4614,3686092285325.059,3267478160788.7256,3267478160788.7256,61313707726482.055,29023114782846.613,32290592943635.355,32290592943635.355,416936337692.9943,416935851692.9943,485999.99999999837,21855.47612898394,21855.47612898394,21855.47612898394,21855.47612898394,21855.47612898394,21855.47612898394,21855.47612898394,21855.47612898394,1677786843.3313575,1677786843.3313575,0.0,0.0 
May,47768340807089.33,40654463646609.37,40654463646609.37,40654463646609.37,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,40654258655409.37,40654258655409.37,40654258655409.37,12904670476800.0,12904670476800.0,12904670476800.0,24053746482663.07,24053746482663.07,24053746482663.07,3695841695946.3076,3695841695946.3076,3695841695946.3076,162804563952499.63,40353061347909.66,40252137882976.01,25586773629.663033,0.0,25586773629.663033,0.0,40327474574280.016,40252137882976.01,40327474574280.016,40252137882976.01,100923464933.69348,25586773629.663033,25586773629.663033,75336691304.03047,75336691304.03047,47768340807089.33,47768340807089.33,47768340807089.33,47768340807089.33,0.0,0.0,0.0,0.0,47768340807089.33,47768340807089.33,47768340807089.33,47768340807089.33,39408891732033.98,39408891732033.98,39408891732033.98,39408891732033.98,39408891732033.98,2198517164949.2825,2198517164949.2825,2198517164949.2825,4915359995530.671,4427111924802.23,4427111924802.23,83042610872555.83,39307749473876.79,43734861398679.03,43734861398679.03,486159950601.9878,486159950601.9878,0.0,28058.98552539836,28058.98552539836,28058.98552539836,28058.98552539836,28058.98552539836,28058.98552539836,28058.98552539836,28058.98552539836,2088120126.4550173,2088120126.4550173,0.0,0.0 
June,48405602568052.59,40838819667275.375,40838819667275.375,40838819667275.375,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,40838623161995.375,40838623161995.375,40838623161995.375,12488390784000.0,12488390784000.0,12488390784000.0,24637630272359.44,24637630272359.44,24637630272359.44,3712602105635.944,3712602105635.944,3712602105635.944,174500717568902.3,40659934935548.01,40539893675337.53,10072810071.103985,0.0,10072810071.103985,0.0,40649862125476.89,40539893675337.53,40649862125476.89,40539893675337.53,120041260210.48543,10072810071.103985,10072810071.103985,109968450139.38142,109968450139.38142,48405602568052.59,48405602568052.59,48405602568052.59,48405602568052.59,0.0,0.0,0.0,0.0,48405602568052.59,48405602568052.59,48405602568052.59,48405602568052.59,43075103148688.92,43075103148688.92,43075103148688.92,43075103148688.92,43075103148688.92,2271787405352.711,2271787405352.711,2271787405352.711,5294995495424.451,4926895077102.061,4926895077102.061,90765679484664.9,42919392203781.5,47846287280883.58,47846287280883.58,366167844738.6964,366167844738.6964,0.0,30955.2238123103,30955.2238123103,30955.2238123103,30955.2238123103,30955.2238123103,30955.2238123103,30955.2238123103,30955.2238123103,1932573583.695766,1932573583.695766,0.0,0.0 
July,50680048276087.66,42869881479340.58,42869881479340.58,42869881479340.58,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,42869691006220.58,42869691006220.58,42869691006220.58,12904670476800.0,12904670476800.0,12904670476800.0,26067775892491.414,26067775892491.414,26067775892491.414,3897244636929.1406,3897244636929.1406,3897244636929.1406,183965617637859.4,42898207841086.69,42614858720748.83,162468885.28690338,0.0,162468885.28690338,0.0,42898045372201.41,42614858720748.83,42898045372201.41,42614858720748.83,283349120337.90674,162468885.28690338,162468885.28690338,283186651452.6199,283186651452.6199,50680048276087.66,50680048276087.66,50680048276087.66,50680048276087.66,0.0,0.0,0.0,0.0,50680048276087.66,50680048276087.66,50680048276087.66,50680048276087.66,45418557620569.81,45418557620569.81,45418557620569.81,45418557620569.81,45418557620569.81,2405297340246.0557,2405297340246.0557,2405297340246.0557,5404869456501.084,5144206057781.41,5144206057781.41,95648852176202.7,45252323059210.484,50396529116991.97,50396529116991.97,258669356430.0236,258669356430.0236,0.0,29414.06797222193,29414.06797222193,29414.06797222193,29414.06797222193,29414.06797222193,29414.06797222193,29414.06797222193,29414.06797222193,1994042289.6469827,1994042289.6469827,0.0,0.0 
August,50291085666160.07,42547884480415.086,42547884480415.086,42547884480415.086,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,42547679489215.086,42547679489215.086,42547679489215.086,12904670476800.0,12904670476800.0,12904670476800.0,25775038149759.17,25775038149759.17,25775038149759.17,3867970862655.9194,3867970862655.9194,3867970862655.9194,182051543982902.44,42425036298312.516,42244872697184.14,1072471827.0283878,0.0,1072471827.0283878,0.0,42423963826485.49,42244872697184.14,42423963826485.49,42244872697184.14,180163601128.4281,1072471827.0283878,1072471827.0283878,179091129301.3997,179091129301.3997,50291085666160.086,50291085666160.086,50291085666160.086,50291085666160.086,0.0,0.0,0.0,0.0,50291085666160.086,50291085666160.086,50291085666160.086,50291085666160.086,44953567817116.3,44953567817116.3,44953567817116.3,44953567817116.3,44953567817116.3,2372268673186.341,2372268673186.341,2372268673186.341,5370932512558.644,5092039341303.058,5092039341303.058,94672939867473.6,44790450263085.23,49882489604388.36,49882489604388.36,276897866523.166,276897866523.166,0.0,28425.20499071022,28425.20499071022,28425.20499071022,28425.20499071022,28425.20499071022,28425.20499071022,28425.20499071022,28425.20499071022,1995304732.4245489,1995304732.4245489,0.0,0.0 
September,48201676429162.43,40710469965233.23,40710469965233.23,40710469965233.23,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,40710280718993.23,40710280718993.23,40710280718993.23,12488390784000.0,12488390784000.0,12488390784000.0,24520955324175.668,24520955324175.668,24520955324175.668,3700934610817.57,3700934610817.57,3700934610817.57,173366085906788.94,40395727534591.34,40310745475485.12,25400021109.230766,0.0,25400021109.230766,0.0,40370327513482.07,40310745475485.12,40370327513482.07,40310745475485.12,84982059106.17952,25400021109.230766,25400021109.230766,59582037996.94882,59582037996.94882,48201676429162.42,48201676429162.42,48201676429162.42,48201676429162.42,0.0,0.0,0.0,0.0,48201676429162.42,48201676429162.42,48201676429162.42,48201676429162.42,42796926905976.69,42796926905976.69,42796926905976.69,42796926905976.69,42796926905976.69,2239076680698.599,2239076680698.599,2239076680698.599,5252129783230.576,4886921007364.872,4886921007364.872,90173431466220.73,42643255229427.96,47530176236792.87,47530176236792.87,363276117842.73,363276117842.73,0.0,27753.357535225194,27753.357535225194,27753.357535225194,27753.357535225194,27753.357535225194,27753.357535225194,27753.357535225194,27753.357535225194,1932658022.9703689,1932658022.9703689,0.0,0.0 
October,46662462364049.87,39990669255663.26,39990669255663.26,39990669255663.26,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,39990471523503.26,39990471523503.26,39990471523503.26,12904670476800.0,12904670476800.0,12904670476800.0,23450303635475.664,23450303635475.664,23450303635475.664,3635497411227.5635,3635497411227.5635,3635497411227.5635,154247764464561.66,39577100837546.21,39483341505172.53,40187432583.76283,0.0,40187432583.76283,0.0,39536913404962.45,39483341505172.53,39536913404962.45,39483341505172.53,93759332373.64343,40187432583.76283,40187432583.76283,53571899789.880714,53571899789.880714,46662462364049.86,46662462364049.86,46662462364049.86,46662462364049.86,0.0,0.0,0.0,0.0,46662462364049.86,46662462364049.86,46662462364049.86,46662462364049.86,36916595941247.27,36916595941247.27,36916595941247.27,36916595941247.27,36916595941247.27,2115610619107.2024,2115610619107.2024,2115610619107.2024,4556182489279.419,4166337904637.2114,4166337904637.2114,77754067685768.44,36793864890565.61,40960202795202.805,40960202795202.805,387957242700.35065,387957242700.35065,0.0,23077.716285736817,23077.716285736817,23077.716285736817,23077.716285736817,23077.716285736817,23077.716285736817,23077.716285736817,23077.716285736817,1887341941.854519,1887341941.854519,0.0,0.0 
