Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.987422E+03,1.854555E+07,1.883683E+07,0.000000E+00,0.000000E+00,2.518656E+03,2.431538E+07,2.469728E+07
02:00:00,0.000000E+00,0.000000E+00,1.974969E+03,1.712940E+07,1.739844E+07,0.000000E+00,0.000000E+00,2.518118E+03,2.431019E+07,2.469201E+07
03:00:00,0.000000E+00,0.000000E+00,1.977282E+03,1.714947E+07,1.741882E+07,0.000000E+00,0.000000E+00,2.517702E+03,2.430617E+07,2.468792E+07
04:00:00,0.000000E+00,0.000000E+00,1.974770E+03,1.712768E+07,1.739669E+07,0.000000E+00,0.000000E+00,2.517369E+03,2.430295E+07,2.468466E+07
05:00:00,0.000000E+00,0.000000E+00,1.974205E+03,1.712277E+07,1.739171E+07,0.000000E+00,0.000000E+00,2.517092E+03,2.430028E+07,2.468195E+07
06:00:00,0.000000E+00,0.000000E+00,1.973919E+03,1.712030E+07,1.738919E+07,0.000000E+00,0.000000E+00,2.516909E+03,2.429851E+07,2.468015E+07
07:00:00,0.000000E+00,0.000000E+00,2.200290E+03,1.908367E+07,1.938340E+07,0.000000E+00,0.000000E+00,2.518453E+03,2.431342E+07,2.469529E+07
08:00:00,0.000000E+00,0.000000E+00,2.209924E+03,2.041637E+07,2.073703E+07,0.000000E+00,0.000000E+00,2.522875E+03,2.435611E+07,2.473865E+07
09:00:00,0.000000E+00,0.000000E+00,2.449931E+03,2.263367E+07,2.298916E+07,0.000000E+00,0.000000E+00,2.529462E+03,2.441970E+07,2.480324E+07
10:00:00,0.000000E+00,0.000000E+00,2.458757E+03,2.373711E+07,2.410993E+07,0.000000E+00,0.000000E+00,2.536598E+03,2.448860E+07,2.487322E+07
11:00:00,0.000000E+00,0.000000E+00,2.457937E+03,2.372919E+07,2.410188E+07,0.000000E+00,0.000000E+00,2.543106E+03,2.455143E+07,2.493704E+07
12:00:00,0.000000E+00,0.000000E+00,2.459535E+03,2.374462E+07,2.411756E+07,0.000000E+00,0.000000E+00,2.548235E+03,2.460094E+07,2.498732E+07
13:00:00,0.000000E+00,0.000000E+00,2.459942E+03,2.374855E+07,2.412155E+07,0.000000E+00,0.000000E+00,2.551651E+03,2.463391E+07,2.502082E+07
14:00:00,0.000000E+00,0.000000E+00,2.460135E+03,2.375041E+07,2.412344E+07,0.000000E+00,0.000000E+00,2.553204E+03,2.464891E+07,2.503605E+07
15:00:00,0.000000E+00,0.000000E+00,2.460247E+03,2.375149E+07,2.412453E+07,0.000000E+00,0.000000E+00,2.552869E+03,2.464567E+07,2.503276E+07
16:00:00,0.000000E+00,0.000000E+00,2.460319E+03,2.375219E+07,2.412524E+07,0.000000E+00,0.000000E+00,2.550633E+03,2.462409E+07,2.501084E+07
17:00:00,0.000000E+00,0.000000E+00,2.460360E+03,2.375259E+07,2.412565E+07,0.000000E+00,0.000000E+00,2.546686E+03,2.458598E+07,2.497213E+07
18:00:00,0.000000E+00,0.000000E+00,2.460372E+03,2.375270E+07,2.412576E+07,0.000000E+00,0.000000E+00,2.541271E+03,2.453370E+07,2.491903E+07
19:00:00,0.000000E+00,0.000000E+00,2.266270E+03,2.187881E+07,2.222245E+07,0.000000E+00,0.000000E+00,2.534791E+03,2.447115E+07,2.485550E+07
20:00:00,0.000000E+00,0.000000E+00,2.260718E+03,2.109579E+07,2.142713E+07,0.000000E+00,0.000000E+00,2.528506E+03,2.441047E+07,2.479387E+07
21:00:00,0.000000E+00,0.000000E+00,2.261763E+03,2.110555E+07,2.143703E+07,0.000000E+00,0.000000E+00,2.524297E+03,2.436983E+07,2.475259E+07
22:00:00,0.000000E+00,0.000000E+00,2.260652E+03,2.109518E+07,2.142650E+07,0.000000E+00,0.000000E+00,2.521844E+03,2.434616E+07,2.472854E+07
23:00:00,0.000000E+00,0.000000E+00,2.260414E+03,2.109296E+07,2.142425E+07,0.000000E+00,0.000000E+00,2.520358E+03,2.433181E+07,2.471397E+07
24:00:00,0.000000E+00,0.000000E+00,2.260305E+03,2.109194E+07,2.142321E+07,0.000000E+00,0.000000E+00,2.519370E+03,2.432227E+07,2.470428E+07
Coinc Peak   ,0.000000E+00,2.553204E+03,0.000000E+00,2.464891E+07
NonCoinc Peak,0.000000E+00,2.553204E+03,0.000000E+00,2.464891E+07
