Time,ZONE::Des Heat Load [W],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE::Heating Zone Temperature [C],ZONE::Heating Zone Relative Humidity [%],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.682275E+07,0.000000E+00,1.937428E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
02:00:00,0.000000E+00,1.681916E+07,0.000000E+00,1.937014E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
03:00:00,0.000000E+00,1.681638E+07,0.000000E+00,1.936694E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
04:00:00,0.000000E+00,1.681415E+07,0.000000E+00,1.936437E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
05:00:00,0.000000E+00,1.681230E+07,0.000000E+00,1.936225E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
06:00:00,0.000000E+00,1.681108E+07,0.000000E+00,1.936084E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
07:00:00,0.000000E+00,1.682139E+07,0.000000E+00,1.937271E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
08:00:00,0.000000E+00,1.685093E+07,0.000000E+00,1.940673E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
09:00:00,0.000000E+00,1.689492E+07,0.000000E+00,1.945740E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
10:00:00,0.000000E+00,1.694259E+07,0.000000E+00,1.951229E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
