Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:DATA CENTER ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:DATA CENTER ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:DATA CENTER ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:DATA CENTER ZONE [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,42581393579886.95,39808557901240.28,39808557901240.28,39808557901240.28,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,39808360169080.28,39808360169080.28,39808360169080.28,12904670476800.0,12904670476800.0,12904670476800.0,23284747858727.52,23284747858727.52,23284747858727.52,3618941833552.747,3618941833552.747,3618941833552.747,47175965369552.06,36621879214998.766,36621879214998.766,0.0,0.0,0.0,0.0,36621879214998.766,36621879214998.766,36621879214998.766,36621879214998.766,42581393579886.95,42581393579886.95,42581393579886.95,42581393579886.95,0.0,0.0,0.0,0.0,42581393579886.95,42581393579886.95,42581393579886.95,42581393579886.95,3238664212016.304,3238664212016.304,3238664212016.304,3238664212016.304,3238664212016.304,1914971208828.3481,1914971208828.3481,1914971208828.3481,857864469818.3971,857841352888.9307,857841352888.9307,7315421942537.089,3228790294824.0806,4086631647713.011,4086631647713.011,23116929.465801444,23116929.465801444,0.0,0.0 
February,38384782926260.22,35802774550595.695,35802774550595.695,35802774550595.695,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,35802595017155.695,35802595017155.695,35802595017155.695,11655831398400.0,11655831398400.0,11655831398400.0,20891982253559.72,20891982253559.72,20891982253559.72,3254781365195.9727,3254781365195.9727,3254781365195.9727,43582393170178.97,32973957016716.516,32973957016716.516,0.0,0.0,0.0,0.0,32973957016716.516,32973957016716.516,32973957016716.516,32973957016716.516,38384782926260.22,38384782926260.22,38384782926260.22,38384782926260.22,0.0,0.0,0.0,0.0,38384782926260.22,38384782926260.22,38384782926260.22,38384782926260.22,3256537892106.401,3256537892106.401,3256537892106.401,3256537892106.401,3256537892106.401,1719689011349.6978,1719689011349.6978,1719689011349.6978,862319364314.8181,862293932141.5543,862293932141.5543,7351898261356.056,3244802164607.239,4107096096748.799,4107096096748.799,25432173.26490805,25432173.26490805,0.0,0.0 
March,42094849174666.74,39322536147046.89,39322536147046.89,39322536147046.89,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,39322331155846.89,39322331155846.89,39322331155846.89,12904670476800.0,12904670476800.0,12904670476800.0,22842903301242.656,22842903301242.656,22842903301242.656,3574757377804.2627,3574757377804.2627,3574757377804.2627,47052796464301.45,36467825776682.29,36467825776682.29,0.0,0.0,0.0,0.0,36467825776682.29,36467825776682.29,36467825776682.29,36467825776682.29,42094849174666.74,42094849174666.74,42094849174666.74,42094849174666.74,0.0,0.0,0.0,0.0,42094849174666.74,42094849174666.74,42094849174666.74,42094849174666.74,3239905163798.2734,3239905163798.2734,3239905163798.2734,3239905163798.2734,3239905163798.2734,1896761610839.13,1896761610839.13,1896761610839.13,875551416780.7031,875511442353.8563,875511442353.8563,7345065523820.896,3234777040733.529,4110288483087.383,4110288483087.383,39974426.84763302,39974426.84763302,0.0,0.0 
April,42062622172925.664,37749844446333.516,37749844446333.516,37749844446333.516,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,37749662459133.516,37749662459133.516,37749662459133.516,12488390784000.0,12488390784000.0,12488390784000.0,21829484178848.63,21829484178848.63,21829484178848.63,3431787496284.863,3431787496284.863,3431787496284.863,65669777171589.734,35268195304567.836,35268195304567.836,0.0,0.0,0.0,0.0,35268195304567.836,35268195304567.836,35268195304567.836,35268195304567.836,42062622172925.66,42062622172925.66,42062622172925.66,42062622172925.66,0.0,0.0,0.0,0.0,42062622172925.66,42062622172925.66,42062622172925.66,42062622172925.66,9322250576686.682,9322250576686.682,9322250576686.682,9322250576686.682,9322250576686.682,1827912815418.4329,1827912815418.4329,1827912815418.4329,2484864911173.7886,2484769162443.4424,2484769162443.4424,21079331290335.195,9297281063945.871,11782050226389.328,11782050226389.328,95748730.34558836,95748730.34558836,0.0,0.0 
May,42623087833142.39,38749757814224.13,38749757814224.13,38749757814224.13,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,38749552823024.13,38749552823024.13,38749552823024.13,12904670476800.0,12904670476800.0,12904670476800.0,22322195725949.168,22322195725949.168,22322195725949.168,3522686620274.9204,3522686620274.9204,3522686620274.9204,60944807474072.375,36432593679990.22,36432593679990.22,0.0,0.0,0.0,0.0,36432593679990.22,36432593679990.22,36432593679990.22,36432593679990.22,42623087833142.39,42623087833142.39,42623087833142.39,42623087833142.39,0.0,0.0,0.0,0.0,42623087833142.39,42623087833142.39,42623087833142.39,42623087833142.39,7520045300621.79,7520045300621.79,7520045300621.79,7520045300621.79,7520045300621.79,1881332279057.735,1881332279057.735,1881332279057.735,1991997739860.4993,1991920757338.5906,1991920757338.5906,16992168493460.385,7500123868060.893,9492044625399.482,9492044625399.482,76982521.90738007,76982521.90738007,0.0,0.0 
June,45176807748113.95,37275966285571.01,37275966285571.01,37275966285571.01,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,37275769780291.01,37275769780291.01,37275769780291.01,12488390784000.0,12488390784000.0,12488390784000.0,21398672652628.16,21398672652628.16,21398672652628.16,3388706343662.811,3388706343662.811,3388706343662.811,110360870008763.31,35285585331827.484,35285585331827.484,0.0,0.0,0.0,0.0,35285585331827.484,35285585331827.484,35285585331827.484,35285585331827.484,45176807748113.95,45176807748113.95,45176807748113.95,45176807748113.95,0.0,0.0,0.0,0.0,45176807748113.95,45176807748113.95,45176807748113.95,45176807748113.95,23039502771685.844,23039502771685.844,23039502771685.844,23039502771685.844,23039502771685.844,1815292630988.7314,1815292630988.7314,1815292630988.7314,6085548831554.228,6085327990165.2295,6085327990165.2295,52035781905249.945,22975226957542.32,29060554947707.586,29060554947707.586,220841388.99571577,220841388.99571577,0.0,0.0 
July,50035832286477.914,38323314555056.016,38323314555056.016,38323314555056.016,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,38323124081936.016,38323124081936.016,38323124081936.016,12904670476800.0,12904670476800.0,12904670476800.0,21934533234050.97,21934533234050.97,21934533234050.97,3483920371085.092,3483920371085.092,3483920371085.092,158133643847528.3,36501022856747.805,36501022856747.805,0.0,0.0,0.0,0.0,36501022856747.805,36501022856747.805,36501022856747.805,36501022856747.805,50035832286477.914,50035832286477.914,50035832286477.914,50035832286477.914,0.0,0.0,0.0,0.0,50035832286477.914,50035832286477.914,50035832286477.914,50035832286477.914,37335715347084.734,37335715347084.734,37335715347084.734,37335715347084.734,37335715347084.734,1873329789126.789,1873329789126.789,1873329789126.789,9839187942295.15,9838842122952.512,9838842122952.512,84296905643695.94,37229031760371.7,47067873883324.17,47067873883324.17,345819342.6255502,345819342.6255502,0.0,0.0 
August,49974792004275.92,38164949253926.18,38164949253926.18,38164949253926.18,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,38164744262726.18,38164744262726.18,38164744262726.18,12904670476800.0,12904670476800.0,12904670476800.0,21790551580223.777,21790551580223.777,21790551580223.777,3469522205702.383,3469522205702.383,3469522205702.383,159225771829859.06,36559640386662.664,36559640386662.664,0.0,0.0,0.0,0.0,36559640386662.664,36559640386662.664,36559640386662.664,36559640386662.664,49974792004275.93,49974792004275.93,49974792004275.93,49974792004275.93,0.0,0.0,0.0,0.0,49974792004275.93,49974792004275.93,49974792004275.93,49974792004275.93,37648253622042.58,37648253622042.58,37648253622042.58,37648253622042.58,37648253622042.58,1872969735317.8718,1872969735317.8718,1872969735317.8718,9936873015031.861,9936526311759.018,9936526311759.018,85017877821153.66,37540675754697.305,47477202066456.305,47477202066456.305,346703272.8205337,346703272.8205337,0.0,0.0 
September,48349356188517.27,37078862005858.54,37078862005858.54,37078862005858.54,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,37078672759618.54,37078672759618.54,37078672759618.54,12488390784000.0,12488390784000.0,12488390784000.0,21219493542925.926,21219493542925.926,21219493542925.926,3370788432692.5913,3370788432692.5913,3370788432692.5913,151998434140766.78,35295415133976.29,35295415133976.29,0.0,0.0,0.0,0.0,35295415133976.29,35295415133976.29,35295415133976.29,35295415133976.29,48349356188517.27,48349356188517.27,48349356188517.27,48349356188517.27,0.0,0.0,0.0,0.0,48349356188517.27,48349356188517.27,48349356188517.27,48349356188517.27,35816430185164.63,35816430185164.63,35816430185164.63,35816430185164.63,35816430185164.63,1812777747737.7156,1812777747737.7156,1812777747737.7156,9457716434921.057,9457383069701.527,9457383069701.527,80886588821625.88,35714602875962.17,45171985945663.64,45171985945663.64,333365219.5384435,333365219.5384435,0.0,0.0 
October,46846796126010.086,38466904911979.16,38466904911979.16,38466904911979.16,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,38466707179819.16,38466707179819.16,38466707179819.16,12904670476800.0,12904670476800.0,12904670476800.0,22065063323035.574,22065063323035.574,22065063323035.574,3496973379983.556,3496973379983.556,3496973379983.556,116630171462548.75,36359206939152.28,36359206939152.28,0.0,0.0,0.0,0.0,36359206939152.28,36359206939152.28,36359206939152.28,36359206939152.28,46846796126010.08,46846796126010.08,46846796126010.08,46846796126010.08,0.0,0.0,0.0,0.0,46846796126010.08,46846796126010.08,46846796126010.08,46846796126010.08,24634186860941.324,24634186860941.324,24634186860941.324,24634186860941.324,24634186860941.324,1873270361680.089,1873270361680.089,1873270361680.089,6506620852350.902,6506382158670.902,6506382158670.902,55636777662455.25,24565197751892.184,31071579910563.094,31071579910563.094,238693680.0043664,238693680.0043664,0.0,0.0 
