Time,DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Heat Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DATA CENTER AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],DATA CENTER AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,1.968741E+03,1.789566E+07,1.817673E+07,0.000000E+00,0.000000E+00,2.534476E+03,2.382410E+07,2.419829E+07
02:00:00,0.000000E+00,0.000000E+00,1.956573E+03,1.654727E+07,1.680716E+07,0.000000E+00,0.000000E+00,2.534131E+03,2.382086E+07,2.419500E+07
03:00:00,0.000000E+00,0.000000E+00,1.960317E+03,1.657893E+07,1.683932E+07,0.000000E+00,0.000000E+00,2.533855E+03,2.381827E+07,2.419237E+07
04:00:00,0.000000E+00,0.000000E+00,1.958069E+03,1.655992E+07,1.682001E+07,0.000000E+00,0.000000E+00,2.533622E+03,2.381607E+07,2.419013E+07
05:00:00,0.000000E+00,0.000000E+00,1.957624E+03,1.655615E+07,1.681619E+07,0.000000E+00,0.000000E+00,2.533427E+03,2.381424E+07,2.418828E+07
06:00:00,0.000000E+00,0.000000E+00,1.957343E+03,1.655378E+07,1.681378E+07,0.000000E+00,0.000000E+00,2.533780E+03,2.381756E+07,2.419164E+07
07:00:00,0.000000E+00,0.000000E+00,2.195080E+03,1.856438E+07,1.885596E+07,0.000000E+00,0.000000E+00,2.537433E+03,2.385191E+07,2.422653E+07
08:00:00,0.000000E+00,0.000000E+00,2.204450E+03,1.984125E+07,2.015288E+07,0.000000E+00,0.000000E+00,2.542591E+03,2.390039E+07,2.427577E+07
09:00:00,0.000000E+00,0.000000E+00,2.453887E+03,2.208632E+07,2.243321E+07,0.000000E+00,0.000000E+00,2.547711E+03,2.394852E+07,2.432466E+07
10:00:00,0.000000E+00,0.000000E+00,2.462233E+03,2.314502E+07,2.350854E+07,0.000000E+00,0.000000E+00,2.552091E+03,2.398969E+07,2.436648E+07
11:00:00,0.000000E+00,0.000000E+00,2.460456E+03,2.312832E+07,2.349158E+07,0.000000E+00,0.000000E+00,2.555461E+03,2.402137E+07,2.439865E+07
12:00:00,0.000000E+00,0.000000E+00,2.461885E+03,2.314175E+07,2.350522E+07,0.000000E+00,0.000000E+00,2.557719E+03,2.404259E+07,2.442021E+07
13:00:00,0.000000E+00,0.000000E+00,2.462244E+03,2.314512E+07,2.350864E+07,0.000000E+00,0.000000E+00,2.558861E+03,2.405333E+07,2.443111E+07
14:00:00,0.000000E+00,0.000000E+00,2.462475E+03,2.314729E+07,2.351085E+07,0.000000E+00,0.000000E+00,2.558877E+03,2.405348E+07,2.443126E+07
15:00:00,0.000000E+00,0.000000E+00,2.462638E+03,2.314883E+07,2.351241E+07,0.000000E+00,0.000000E+00,2.557701E+03,2.404242E+07,2.442004E+07
16:00:00,0.000000E+00,0.000000E+00,2.462754E+03,2.314992E+07,2.351352E+07,0.000000E+00,0.000000E+00,2.555250E+03,2.401938E+07,2.439663E+07
17:00:00,0.000000E+00,0.000000E+00,2.462832E+03,2.315065E+07,2.351426E+07,0.000000E+00,0.000000E+00,2.551521E+03,2.398433E+07,2.436103E+07
18:00:00,0.000000E+00,0.000000E+00,2.462872E+03,2.315103E+07,2.351465E+07,0.000000E+00,0.000000E+00,2.546635E+03,2.393840E+07,2.431438E+07
19:00:00,0.000000E+00,0.000000E+00,2.260328E+03,2.124711E+07,2.158082E+07,0.000000E+00,0.000000E+00,2.541547E+03,2.389058E+07,2.426581E+07
20:00:00,0.000000E+00,0.000000E+00,2.254922E+03,2.049702E+07,2.081895E+07,0.000000E+00,0.000000E+00,2.538472E+03,2.386167E+07,2.423644E+07
21:00:00,0.000000E+00,0.000000E+00,2.256629E+03,2.051254E+07,2.083471E+07,0.000000E+00,0.000000E+00,2.536994E+03,2.384777E+07,2.422233E+07
22:00:00,0.000000E+00,0.000000E+00,2.255643E+03,2.050357E+07,2.082560E+07,0.000000E+00,0.000000E+00,2.536095E+03,2.383933E+07,2.421375E+07
23:00:00,0.000000E+00,0.000000E+00,2.255458E+03,2.050188E+07,2.082389E+07,0.000000E+00,0.000000E+00,2.535439E+03,2.383316E+07,2.420749E+07
24:00:00,0.000000E+00,0.000000E+00,2.255341E+03,2.050083E+07,2.082282E+07,0.000000E+00,0.000000E+00,2.534913E+03,2.382821E+07,2.420246E+07
Coinc Peak   ,0.000000E+00,2.558877E+03,0.000000E+00,2.405348E+07
NonCoinc Peak,0.000000E+00,2.558877E+03,0.000000E+00,2.405348E+07
