Time,DATA CENTER ZONE::Des Heat Load [W],DATA CENTER ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DATA CENTER ZONE::Des Heat Mass Flow [kg/s],DATA CENTER ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Heat Load [W],DATA CENTER ZONE::Des Latent Cool Load [W],DATA CENTER ZONE::Des Latent Heat Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Heat Load No DOAS [W],DATA CENTER ZONE::Des Sens Cool Load No DOAS [W],DATA CENTER ZONE::Des Latent Heat Load No DOAS [W],DATA CENTER ZONE::Des Latent Cool Load No DOAS [W],DATA CENTER ZONE::Heating Zone Temperature [C],DATA CENTER ZONE::Heating Zone Relative Humidity [%],DATA CENTER ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],DATA CENTER ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.642525E+07,0.000000E+00,1.949597E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
02:00:00,0.000000E+00,1.642301E+07,0.000000E+00,1.949332E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
03:00:00,0.000000E+00,1.642123E+07,0.000000E+00,1.949119E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
04:00:00,0.000000E+00,1.641971E+07,0.000000E+00,1.948940E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
05:00:00,0.000000E+00,1.641845E+07,0.000000E+00,1.948790E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
06:00:00,0.000000E+00,1.642073E+07,0.000000E+00,1.949061E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
07:00:00,0.000000E+00,1.644441E+07,0.000000E+00,1.951872E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
08:00:00,0.000000E+00,1.647784E+07,0.000000E+00,1.955839E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
09:00:00,0.000000E+00,1.651102E+07,0.000000E+00,1.959778E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
10:00:00,0.000000E+00,1.653941E+07,0.000000E+00,1.963147E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
11:00:00,0.000000E+00,1.656125E+07,0.000000E+00,1.965739E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
12:00:00,0.000000E+00,1.657588E+07,0.000000E+00,1.967476E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
