Time,HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],HYBRID ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,3.425651E+03,2.797785E+07,2.407343E+07,0.000000E+00,0.000000E+00,3.781302E+03,3.204390E+07,2.775235E+07
02:00:00,0.000000E+00,0.000000E+00,3.413388E+03,2.568438E+07,2.175948E+07,0.000000E+00,0.000000E+00,3.780849E+03,3.204005E+07,2.774902E+07
03:00:00,0.000000E+00,0.000000E+00,3.415699E+03,2.570176E+07,2.177420E+07,0.000000E+00,0.000000E+00,3.780494E+03,3.203704E+07,2.774642E+07
04:00:00,0.000000E+00,0.000000E+00,3.413227E+03,2.568316E+07,2.175845E+07,0.000000E+00,0.000000E+00,3.780209E+03,3.203463E+07,2.774432E+07
05:00:00,0.000000E+00,0.000000E+00,3.412670E+03,2.567898E+07,2.175490E+07,0.000000E+00,0.000000E+00,3.779970E+03,3.203261E+07,2.774257E+07
06:00:00,0.000000E+00,0.000000E+00,3.412404E+03,2.567697E+07,2.175320E+07,0.000000E+00,0.000000E+00,3.780355E+03,3.203587E+07,2.774540E+07
07:00:00,0.000000E+00,0.000000E+00,3.545074E+03,2.667526E+07,2.259894E+07,0.000000E+00,0.000000E+00,3.784674E+03,3.207247E+07,2.777710E+07
08:00:00,0.000000E+00,0.000000E+00,3.554591E+03,2.871300E+07,2.465662E+07,0.000000E+00,0.000000E+00,3.790956E+03,3.212570E+07,2.782320E+07
09:00:00,0.000000E+00,0.000000E+00,3.739191E+03,3.020414E+07,2.593710E+07,0.000000E+00,0.000000E+00,3.796906E+03,3.217612E+07,2.786687E+07
10:00:00,0.000000E+00,0.000000E+00,3.747745E+03,3.175952E+07,2.750606E+07,0.000000E+00,0.000000E+00,3.799548E+03,3.219851E+07,2.788626E+07
11:00:00,0.000000E+00,0.000000E+00,3.746947E+03,3.175275E+07,2.750020E+07,0.000000E+00,0.000000E+00,3.804022E+03,3.223642E+07,2.791909E+07
12:00:00,0.000000E+00,0.000000E+00,3.748498E+03,3.176590E+07,2.751159E+07,0.000000E+00,0.000000E+00,3.807234E+03,3.226365E+07,2.794267E+07
13:00:00,0.000000E+00,0.000000E+00,3.748895E+03,3.176927E+07,2.751450E+07,0.000000E+00,0.000000E+00,3.809280E+03,3.228098E+07,2.795769E+07
14:00:00,0.000000E+00,0.000000E+00,3.749084E+03,3.177087E+07,2.751589E+07,0.000000E+00,0.000000E+00,3.810338E+03,3.228996E+07,2.796546E+07
15:00:00,0.000000E+00,0.000000E+00,3.749193E+03,3.177179E+07,2.751669E+07,0.000000E+00,0.000000E+00,3.809456E+03,3.228247E+07,2.795898E+07
16:00:00,0.000000E+00,0.000000E+00,3.749264E+03,3.177239E+07,2.751721E+07,0.000000E+00,0.000000E+00,3.806913E+03,3.226093E+07,2.794032E+07
17:00:00,0.000000E+00,0.000000E+00,3.749305E+03,3.177274E+07,2.751751E+07,0.000000E+00,0.000000E+00,3.803472E+03,3.223177E+07,2.791506E+07
18:00:00,0.000000E+00,0.000000E+00,3.749316E+03,3.177283E+07,2.751759E+07,0.000000E+00,0.000000E+00,3.799649E+03,3.219937E+07,2.788700E+07
19:00:00,0.000000E+00,0.000000E+00,3.597240E+03,3.048409E+07,2.640145E+07,0.000000E+00,0.000000E+00,3.795929E+03,3.216785E+07,2.785970E+07
20:00:00,0.000000E+00,0.000000E+00,3.591901E+03,2.933565E+07,2.524173E+07,0.000000E+00,0.000000E+00,3.788963E+03,3.210881E+07,2.780857E+07
21:00:00,0.000000E+00,0.000000E+00,3.592932E+03,2.934407E+07,2.524898E+07,0.000000E+00,0.000000E+00,3.785713E+03,3.208128E+07,2.778472E+07
22:00:00,0.000000E+00,0.000000E+00,3.591863E+03,2.933533E+07,2.524146E+07,0.000000E+00,0.000000E+00,3.783846E+03,3.206545E+07,2.777102E+07
23:00:00,0.000000E+00,0.000000E+00,3.591629E+03,2.933342E+07,2.523982E+07,0.000000E+00,0.000000E+00,3.782691E+03,3.205567E+07,2.776254E+07
24:00:00,0.000000E+00,0.000000E+00,3.591523E+03,2.933255E+07,2.523907E+07,0.000000E+00,0.000000E+00,3.781895E+03,3.204891E+07,2.775670E+07
Coinc Peak   ,0.000000E+00,3.810338E+03,0.000000E+00,3.228996E+07
NonCoinc Peak,0.000000E+00,3.810338E+03,0.000000E+00,3.228996E+07
