Time,HYBRID ZONE::Des Heat Load [W],HYBRID ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],HYBRID ZONE::Des Heat Mass Flow [kg/s],HYBRID ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],HYBRID ZONE::Des Latent Heat Load [W],HYBRID ZONE::Des Latent Cool Load [W],HYBRID ZONE::Des Latent Heat Mass Flow [kg/s],HYBRID ZONE::Des Latent Cool Mass Flow [kg/s],HYBRID ZONE::Des Heat Load No DOAS [W],HYBRID ZONE::Des Sens Cool Load No DOAS [W],HYBRID ZONE::Des Latent Heat Load No DOAS [W],HYBRID ZONE::Des Latent Cool Load No DOAS [W],HYBRID ZONE::Heating Zone Temperature [C],HYBRID ZONE::Heating Zone Relative Humidity [%],HYBRID ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],HYBRID ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,2.503629E+07,0.000000E+00,2.908694E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
02:00:00,0.000000E+00,2.503329E+07,0.000000E+00,2.908346E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
03:00:00,0.000000E+00,2.503094E+07,0.000000E+00,2.908072E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
04:00:00,0.000000E+00,2.502905E+07,0.000000E+00,2.907853E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
05:00:00,0.000000E+00,2.502747E+07,0.000000E+00,2.907669E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
06:00:00,0.000000E+00,2.503002E+07,0.000000E+00,2.907966E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
07:00:00,0.000000E+00,2.505862E+07,0.000000E+00,2.911288E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
08:00:00,0.000000E+00,2.510021E+07,0.000000E+00,2.916120E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
09:00:00,0.000000E+00,2.513961E+07,0.000000E+00,2.920697E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
10:00:00,0.000000E+00,2.515710E+07,0.000000E+00,2.922729E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
11:00:00,0.000000E+00,2.518672E+07,0.000000E+00,2.926170E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
12:00:00,0.000000E+00,2.520799E+07,0.000000E+00,2.928642E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
13:00:00,0.000000E+00,2.522153E+07,0.000000E+00,2.930215E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
14:00:00,0.000000E+00,2.522854E+07,0.000000E+00,2.931030E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
15:00:00,0.000000E+00,2.522270E+07,0.000000E+00,2.930350E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
16:00:00,0.000000E+00,2.520587E+07,0.000000E+00,2.928395E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
17:00:00,0.000000E+00,2.518308E+07,0.000000E+00,2.925748E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
18:00:00,0.000000E+00,2.515777E+07,0.000000E+00,2.922807E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
19:00:00,0.000000E+00,2.513314E+07,0.000000E+00,2.919945E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
20:00:00,0.000000E+00,2.508702E+07,0.000000E+00,2.914587E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
21:00:00,0.000000E+00,2.506550E+07,0.000000E+00,2.912087E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
22:00:00,0.000000E+00,2.505313E+07,0.000000E+00,2.910650E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
23:00:00,0.000000E+00,2.504549E+07,0.000000E+00,2.909763E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
24:00:00,0.000000E+00,2.504022E+07,0.000000E+00,2.909150E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.733333E+01,3.755207E+01
Peak,0.000000E+00,2.522854E+07,0.000000E+00,2.931030E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,,,,

Peak Vol Flow (m3/s),,,0.000000E+00,2.434940E+03,,,0.000000E+00,0.000000E+00,,,,,,,,
