Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:HYBRID ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:HYBRID ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:HYBRID ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID ZONE [J](Monthly),EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:HYBRID PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:HVAC [m3](Monthly),Cooling:Water [m3](Monthly),General:Cooling:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:HVAC [m3](Monthly),Cooling:MainsWater [m3](Monthly),General:Cooling:MainsWater [m3](Monthly),Electricity:Plant [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,33860657497387.883,31561727974450.39,31561727974450.39,31561727974450.39,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,31561530242290.39,31561530242290.39,31561530242290.39,12904670476800.0,12904670476800.0,12904670476800.0,15787629743464.008,15787629743464.008,15787629743464.008,2869230022026.3984,2869230022026.3984,2869230022026.3984,31171995606579.652,31171995606579.652,30850819997818.563,226767592789.62457,0.0,226767592789.62457,0.0,30945228013790.03,30850819997818.563,30945228013790.03,30850819997818.563,321175608761.12134,226767592789.62457,226767592789.62457,94408015971.49648,94408015971.49648,33860657497387.883,33860657497387.883,33860657497387.883,33860657497387.883,0.0,0.0,0.0,0.0,33860657497387.883,33860657497387.883,33860657497387.883,33860657497387.883,0.0,0.0,0.0,0.0,0.0,2298929522937.4453,2046062906952.6182,2046062906952.6182,252866615984.82574,252866615984.82574,740.6287677644838,740.6287677644838,740.6287677644838,740.6287677644838,740.6287677644838,740.6287677644838,740.6287677644838,740.6287677644838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
February,30930234749249.145,28844792934811.367,28844792934811.367,28844792934811.367,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,28844613401371.367,28844613401371.367,28844613401371.367,11655831398400.0,11655831398400.0,11655831398400.0,14566544421028.514,14566544421028.514,14566544421028.514,2622237581942.849,2622237581942.849,2622237581942.849,28477100275069.66,28477100275069.66,28234617592854.937,193065313869.42346,0.0,193065313869.42346,0.0,28284034961200.24,28234617592854.937,28284034961200.24,28234617592854.937,242482682214.73795,193065313869.42346,193065313869.42346,49417368345.31438,49417368345.31438,30930234749249.145,30930234749249.145,30930234749249.145,30930234749249.145,0.0,0.0,0.0,0.0,30930234749249.145,30930234749249.145,30930234749249.145,30930234749249.145,0.0,0.0,0.0,0.0,0.0,2085441814437.7947,1846135868710.8284,1846135868710.8284,239305945726.9644,239305945726.9644,419.8773970797818,419.8773970797818,419.8773970797818,419.8773970797818,419.8773970797818,419.8773970797818,419.8773970797818,419.8773970797818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
March,33882081233020.637,31603998249101.527,31603998249101.527,31603998249101.527,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,31603793257901.527,31603793257901.527,31603793257901.527,12904670476800.0,12904670476800.0,12904670476800.0,15826050666746.826,15826050666746.826,15826050666746.826,2873072114354.6807,2873072114354.6807,2873072114354.6807,31221790375568.906,31202418433280.57,31009012982200.223,117523625531.85176,0.0,117523625531.85176,0.0,31084894807748.723,31009012982200.223,31084894807748.723,31009012982200.223,193405451080.31506,117523625531.85176,117523625531.85176,75881825548.46323,75881825548.46323,33882081233020.63,33882081233020.63,33882081233020.63,33882081233020.63,0.0,0.0,0.0,0.0,33882081233020.63,33882081233020.63,33882081233020.63,33882081233020.63,8704944833.37813,8704944833.37813,8704944833.37813,8704944833.37813,8704944833.37813,2277486530458.2285,2032596563330.9688,2032596563330.9688,245483249252.23553,245483249252.23553,543.8087489855812,543.8087489855812,543.8087489855812,543.8087489855812,543.8087489855812,543.8087489855812,543.8087489855812,543.8087489855812,596453460.9087827,10666997454.955093,5036857664.989884,5630139789.965209,5630139789.965209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3171335.933458566,3171335.933458566,0.0,0.0 
April,34113747133627.516,31454497424230.742,31454497424230.742,31454497424230.742,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,31454315437030.742,31454315437030.742,31454315437030.742,12488390784000.0,12488390784000.0,12488390784000.0,16106441431482.52,16106441431482.52,16106441431482.52,2859483221548.254,2859483221548.254,2859483221548.254,31882682215496.246,31257069420776.23,30868377615919.336,215539676805.18402,0.0,215539676805.18402,0.0,31041529743971.06,30868377615919.336,31041529743971.06,30868377615919.336,388691804856.874,215539676805.18402,215539676805.18402,173152128051.68967,173152128051.68967,34113747133627.516,34113747133627.516,34113747133627.516,34113747133627.516,0.0,0.0,0.0,0.0,34113747133627.516,34113747133627.516,34113747133627.516,34113747133627.516,200844013929.89413,200844013929.89413,200844013929.89413,200844013929.89413,200844013929.89413,2634280550854.9043,1987355298906.3433,1987355298906.3433,670410339350.9146,670410339350.9146,1777.2832487869525,1654.5532988630118,1654.5532988630118,1654.5532988630118,1777.2832487869525,1654.5532988630118,1654.5532988630118,1654.5532988630118,24969158541.849327,424768780790.1266,200641846693.88702,224126934096.2395,224126934096.2395,1438305803.9950266,1438305803.9950266,0.0,122.72994992394051,122.72994992394051,122.72994992394051,122.72994992394051,122.72994992394051,122.72994992394051,45765335.50179381,45765335.50179381,0.0,0.0 
May,35572637196331.0,32881153740973.125,32881153740973.125,32881153740973.125,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,32880948749773.125,32880948749773.125,32880948749773.125,12904670476800.0,12904670476800.0,12904670476800.0,16987101113902.813,16987101113902.813,16987101113902.813,2989177159070.2813,2989177159070.2813,2989177159070.2813,34433942191665.652,32622355669449.535,32364993145771.8,135901072989.94855,0.0,135901072989.94855,0.0,32486454596459.594,32364993145771.8,32486454596459.594,32364993145771.8,257362523677.7536,135901072989.94855,135901072989.94855,121461450687.80524,121461450687.80524,35572637196331.0,35572637196331.0,35572637196331.0,35572637196331.0,0.0,0.0,0.0,0.0,35572637196331.0,35572637196331.0,35572637196331.0,35572637196331.0,582256933477.8469,582256933477.8469,582256933477.8469,582256933477.8469,582256933477.8469,2621408701547.9243,2059039297089.5571,2059039297089.5571,630465240892.12,630465240892.12,577.2983327023452,245.2636137661632,245.2636137661632,245.2636137661632,577.2983327023452,245.2636137661632,245.2636137661632,245.2636137661632,70074753809.9362,1229329588738.276,580616876152.2615,648712712586.0142,648712712586.0142,1817353142.882238,1817353142.882238,0.0,332.03471893618195,332.03471893618195,332.03471893618195,332.03471893618195,332.03471893618195,332.03471893618195,161564233.30136693,161564233.30136693,0.0,0.0 
June,38355644632549.72,34529869418858.47,34529869418858.47,34529869418858.47,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,34529672913578.47,34529672913578.47,34529672913578.47,12488390784000.0,12488390784000.0,12488390784000.0,18902220955616.78,18902220955616.78,18902220955616.78,3139061173961.675,3139061173961.675,3139061173961.675,40024822928158.38,34794681310216.945,33819517070262.867,581471156123.7842,0.0,581471156123.7842,0.0,34213210154093.15,33819517070262.867,34213210154093.15,33819517070262.867,975164239954.1252,581471156123.7842,581471156123.7842,393693083830.3409,393693083830.3409,38355644632549.73,38355644632549.73,38355644632549.73,38355644632549.73,0.0,0.0,0.0,0.0,38355644632549.73,38355644632549.73,38355644632549.73,38355644632549.73,1681370068461.113,1681370068461.113,1681370068461.113,1681370068461.113,1681370068461.113,3626069301562.353,2109659516139.1477,2109659516139.1477,1712172605133.3882,1712172605133.3882,2712.1110679158946,1719.6512586148133,1719.6512586148133,1719.6512586148133,2712.1110679158946,1719.6512586148133,1719.6512586148133,1719.6512586148133,199705912128.92154,3548771549480.327,1676504364885.0706,1872267184595.2595,1872267184595.2595,3409596376.329149,3409596376.329149,0.0,992.4598093010826,992.4598093010826,992.4598093010826,992.4598093010826,992.4598093010826,992.4598093010826,533496042.4015333,533496042.4015333,0.0,0.0 
July,39651366816873.19,34391515565300.65,34391515565300.65,34391515565300.65,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,34391325092180.65,34391325092180.65,34391325092180.65,12904670476800.0,12904670476800.0,12904670476800.0,18360170516091.484,18360170516091.484,18360170516091.484,3126484099289.152,3126484099289.152,3126484099289.152,50114284129272.266,34976115532513.98,33757831755404.633,558455728558.0355,0.0,558455728558.0355,0.0,34417659803955.94,33757831755404.633,34417659803955.94,33757831755404.633,1218283777109.3416,558455728558.0355,558455728558.0355,659828048551.3076,659828048551.3076,39651366816873.19,39651366816873.19,39651366816873.19,39651366816873.19,0.0,0.0,0.0,0.0,39651366816873.19,39651366816873.19,39651366816873.19,39651366816873.19,4866236081611.301,4866236081611.301,4866236081611.301,4866236081611.301,4866236081611.301,4683712739544.462,2167788611468.3044,2167788611468.3044,3078235740042.2275,3078235740042.2275,7021.935860600851,4474.437180375108,4474.437180375108,4474.437180375108,7021.935860600851,4474.437180375108,4474.437180375108,4474.437180375108,576138512028.0541,10271932515146.982,4854810451590.45,5417122063556.521,5417122063556.521,12555155238.666477,12555155238.666477,0.0,2547.4986802257404,2547.4986802257404,2547.4986802257404,2547.4986802257404,2547.4986802257404,2547.4986802257404,1271744823.323914,1271744823.323914,0.0,0.0 
August,37064754339407.41,31243229490460.785,31243229490460.785,31243229490460.785,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,31243024499260.785,31243024499260.785,31243024499260.785,12904670476800.0,12904670476800.0,12904670476800.0,15498079067982.506,15498079067982.506,15498079067982.506,2840274954478.25,2840274954478.25,2840274954478.25,48950303217817.734,31568258111828.324,30951264103957.527,4625253035.252568,0.0,4625253035.252568,0.0,31563632858793.074,30951264103957.527,31563632858793.074,30951264103957.527,616994007870.7927,4625253035.252568,4625253035.252568,612368754835.5403,612368754835.5403,37064754339407.41,37064754339407.41,37064754339407.41,37064754339407.41,0.0,0.0,0.0,0.0,37064754339407.41,37064754339407.41,37064754339407.41,37064754339407.41,5588259813129.367,5588259813129.367,5588259813129.367,5588259813129.367,5588259813129.367,5161880985285.704,1991836658889.1787,1991836658889.1787,3816864174282.1094,3816864174282.1094,10114.605102502477,7223.4433459276715,7223.4433459276715,7223.4433459276715,10114.605102502477,7223.4433459276715,7223.4433459276715,7223.4433459276715,659643863660.9246,11793785292860.068,5573482722487.246,6220302570372.82,6220302570372.82,11368508713.487461,11368508713.487461,0.0,2891.1617565748097,2891.1617565748097,2891.1617565748097,2891.1617565748097,2891.1617565748097,2891.1617565748097,1455507061.8669136,1455507061.8669136,0.0,0.0 
September,36018948859839.98,30646822966903.07,30646822966903.07,30646822966903.07,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,30646633720663.07,30646633720663.07,30646633720663.07,12488390784000.0,12488390784000.0,12488390784000.0,15372185325693.725,15372185325693.725,15372185325693.725,2786057610969.369,2786057610969.369,2786057610969.369,47554808948307.54,30848877402801.723,30188405550425.617,111532695945.68182,0.0,111532695945.68182,0.0,30737344706856.027,30188405550425.617,30737344706856.027,30188405550425.617,660471852376.1068,111532695945.68182,111532695945.68182,548939156430.4251,548939156430.4251,36018948859839.98,36018948859839.98,36018948859839.98,36018948859839.98,0.0,0.0,0.0,0.0,36018948859839.98,36018948859839.98,36018948859839.98,36018948859839.98,5369393717968.751,5369393717968.751,5369393717968.751,5369393717968.751,5369393717968.751,4736033411656.054,1926554176821.4834,1926554176821.4834,3431380943114.8174,3431380943114.8174,8505.682135207968,5586.142390882513,5586.142390882513,5586.142390882513,8505.682135207968,5586.142390882513,5586.142390882513,5586.142390882513,636092481280.8184,11336537827537.143,5357318059628.452,5979219767908.694,5979219767908.694,12832105514.647758,12832105514.647758,0.0,2919.5397443254565,2919.5397443254565,2919.5397443254565,2919.5397443254565,2919.5397443254565,2919.5397443254565,1358667485.9295425,1358667485.9295425,0.0,0.0 
October,45116830897429.82,41242069683436.664,41242069683436.664,41242069683436.664,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,41241871951276.664,41241871951276.664,41241871951276.664,12904670476800.0,12904670476800.0,12904670476800.0,24587940387996.99,24587940387996.99,24587940387996.99,3749261086479.701,3749261086479.701,3749261086479.701,45938200046754.99,41851180368996.055,39960562769899.664,1389944722492.8035,0.0,1389944722492.8035,0.0,40461235646503.25,39960562769899.664,40461235646503.25,39960562769899.664,1890617599096.3777,1389944722492.8035,1389944722492.8035,500672876603.5742,500672876603.5742,45116830897429.82,45116830897429.82,45116830897429.82,45116830897429.82,0.0,0.0,0.0,0.0,45116830897429.82,45116830897429.82,45116830897429.82,45116830897429.82,1313020417950.8335,1313020417950.8335,1313020417950.8335,1313020417950.8335,1313020417950.8335,3718211941434.2935,2481794324511.6387,2481794324511.6387,1389658303124.541,1389658303124.541,2386.3744199432917,1663.1650181036432,1663.1650181036432,1663.1650181036432,2386.3744199432917,1663.1650181036432,1663.1650181036432,1663.1650181036432,156549272558.84662,2773999259808.132,1310379286803.1213,1463619973005.0107,1463619973005.0107,2935770916.2628245,2935770916.2628245,0.0,723.209401839647,723.209401839647,723.209401839647,723.209401839647,723.209401839647,723.209401839647,372815440.69527984,372815440.69527984,0.0,0.0 
