Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:Zone:ZONE [J](Monthly),Electricity:SpaceType:GENERAL [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorLights:Electricity:Zone:ZONE [J](Monthly),InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),GeneralLights:InteriorLights:Electricity [J](Monthly),GeneralLights:InteriorLights:Electricity:Zone:ZONE [J](Monthly),GeneralLights:InteriorLights:Electricity:SpaceType:GENERAL [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-CPU:InteriorEquipment:Electricity [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-CPU:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-Fans:InteriorEquipment:Electricity [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-Fans:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),ITE-UPS:InteriorEquipment:Electricity [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:Zone:ZONE [J](Monthly),ITE-UPS:InteriorEquipment:Electricity:SpaceType:GENERAL [J](Monthly),EnergyTransfer:Facility [J](Monthly),EnergyTransfer:Building [J](Monthly),EnergyTransfer:Zone:ZONE [J](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:ZONE [J](Monthly),General:Heating:EnergyTransfer [J](Monthly),General:Heating:EnergyTransfer:Zone:ZONE [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),General:Cooling:EnergyTransfer [J](Monthly),General:Cooling:EnergyTransfer:Zone:ZONE [J](Monthly),EnergyTransfer:Zone:PLENUM [J](Monthly),Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Heating:EnergyTransfer:Zone:PLENUM [J](Monthly),Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),General:Cooling:EnergyTransfer:Zone:PLENUM [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricityPurchased:Plant [J](Monthly),Cogeneration:ElectricityPurchased [J](Monthly),General:Cogeneration:ElectricityPurchased [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricitySurplusSold:Plant [J](Monthly),Cogeneration:ElectricitySurplusSold [J](Monthly),General:Cogeneration:ElectricitySurplusSold [J](Monthly),ElectricityNet:Facility [J](Monthly),ElectricityNet:Plant [J](Monthly),Cogeneration:ElectricityNet [J](Monthly),General:Cogeneration:ElectricityNet [J](Monthly),EnergyTransfer:HVAC [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),PlantLoopCoolingDemand:Facility [J](Monthly),PlantLoopCoolingDemand:HVAC [J](Monthly),CoolingCoils:PlantLoopCoolingDemand [J](Monthly),Electricity:HVAC [J](Monthly),Fans:Electricity [J](Monthly),General:Fans:Electricity [J](Monthly),Electricity:Plant [J](Monthly),Cooling:Electricity [J](Monthly),General:Cooling:Electricity [J](Monthly),EnergyTransfer:Plant [J](Monthly),Chillers:EnergyTransfer [J](Monthly),HeatRejection:EnergyTransfer [J](Monthly),General:HeatRejection:EnergyTransfer [J](Monthly),HeatRejection:Electricity [J](Monthly),General:HeatRejection:Electricity [J](Monthly),BasinHeater:HeatRejection:Electricity [J](Monthly),Water:Facility [m3](Monthly),Water:Plant [m3](Monthly),HeatRejection:Water [m3](Monthly),General:HeatRejection:Water [m3](Monthly),MainsWater:Facility [m3](Monthly),MainsWater:Plant [m3](Monthly),HeatRejection:MainsWater [m3](Monthly),General:HeatRejection:MainsWater [m3](Monthly),Pumps:Electricity [J](Monthly),General:Pumps:Electricity [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),CarbonEquivalentEmissions:Carbon Equivalent [kg](Monthly) 
January,30163649663554.953,28286275082947.875,28286275082947.875,28286275082947.875,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,28286077350787.875,28286077350787.875,28286077350787.875,12904670476800.0,12904670476800.0,12904670476800.0,12809945296643.523,12809945296643.523,12809945296643.523,2571461577344.356,2571461577344.356,2571461577344.356,38430412799309.76,27870145045829.695,27692709029890.062,38315332818.515884,0.0,38315332818.515884,0.0,27831829713011.176,27692709029890.062,27831829713011.176,27692709029890.062,177436015939.6752,38315332818.515884,38315332818.515884,139120683121.15942,139120683121.15942,30163649663554.953,30163649663554.953,30163649663554.953,30163649663554.953,0.0,0.0,0.0,0.0,30163649663554.953,30163649663554.953,30163649663554.953,30163649663554.953,3395737239658.3154,3395737239658.3154,3395737239658.3154,3395737239658.3154,3395737239658.3154,1452926098404.812,1452926098404.812,1452926098404.812,424448482202.2497,383562436331.1943,383562436331.1943,7164530513821.779,3390484038745.29,3774046475076.4844,3774046475076.4844,39663960189.77514,39663960189.77514,0.0,2478.06804741677,2478.06804741677,2478.06804741677,2478.06804741677,2478.06804741677,2478.06804741677,2478.06804741677,2478.06804741677,1222085681.2807207,1222085681.2807207,0.0,0.0 
February,27531513998202.004,25715872627944.496,25715872627944.496,25715872627944.496,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,179533440.0,25715693094504.496,25715693094504.496,25715693094504.496,11655831398400.0,11655831398400.0,11655831398400.0,11722071414785.943,11722071414785.943,11722071414785.943,2337790281318.594,2337790281318.594,2337790281318.594,37801982207429.97,25356066587477.85,25202502323419.13,36182034435.08029,0.0,36182034435.08029,0.0,25319884553042.797,25202502323419.13,25319884553042.797,25202502323419.13,153564264058.75537,36182034435.08029,36182034435.08029,117382229623.67514,117382229623.67514,27531513998202.004,27531513998202.004,27531513998202.004,27531513998202.004,0.0,0.0,0.0,0.0,27531513998202.004,27531513998202.004,27531513998202.004,27531513998202.004,4000075091202.1797,4000075091202.1797,4000075091202.1797,4000075091202.1797,4000075091202.1797,1318047240610.4001,1318047240610.4001,1318047240610.4001,497594129647.07526,456262514375.3598,456262514375.3598,8445840528749.897,3994789007187.2676,4451051521562.628,4451051521562.628,40145140209.39913,40145140209.39913,0.0,2632.0268276412135,2632.0268276412135,2632.0268276412135,2632.0268276412135,2632.0268276412135,2632.0268276412135,2632.0268276412135,2632.0268276412135,1186475062.3158207,1186475062.3158207,0.0,0.0 
March,31521862686475.81,29596850952159.895,29596850952159.895,29596850952159.895,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,29596645960959.895,29596645960959.895,29596645960959.895,12904670476800.0,12904670476800.0,12904670476800.0,14001371305890.803,14001371305890.803,14001371305890.803,2690604178269.08,2690604178269.08,2690604178269.08,39974711286469.77,29230087448756.016,29066568297172.63,36728494854.28106,0.0,36728494854.28106,0.0,29193358953901.727,29066568297172.63,29193358953901.727,29066568297172.63,163519151583.39297,36728494854.28106,36728494854.28106,126790656729.11191,126790656729.11191,31521862686475.805,31521862686475.805,31521862686475.805,31521862686475.805,0.0,0.0,0.0,0.0,31521862686475.805,31521862686475.805,31521862686475.805,31521862686475.805,3453100310161.9067,3453100310161.9067,3453100310161.9067,3453100310161.9067,3453100310161.9067,1500918078925.973,1500918078925.973,1500918078925.973,424093655389.9562,393624676813.60925,393624676813.60925,7291523527551.825,3448949425369.109,3842574102182.716,3842574102182.716,29279556819.96034,29279556819.96034,0.0,2051.4999319119515,2051.4999319119515,2051.4999319119515,2051.4999319119515,2051.4999319119515,2051.4999319119515,2051.4999319119515,2051.4999319119515,1189421756.3862588,1189421756.3862588,0.0,0.0 
April,32617445872829.035,30069302315557.96,30069302315557.96,30069302315557.96,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,181987200.0,30069120328357.96,30069120328357.96,30069120328357.96,12488390784000.0,12488390784000.0,12488390784000.0,14847173150870.855,14847173150870.855,14847173150870.855,2733556393487.087,2733556393487.087,2733556393487.087,55889079214869.195,29736154760963.3,29596509399441.19,37134007890.35813,0.0,37134007890.35813,0.0,29699020753072.93,29596509399441.19,29699020753072.93,29596509399441.19,139645361522.11868,37134007890.35813,37134007890.35813,102511353631.76054,102511353631.76054,32617445872829.035,32617445872829.035,32617445872829.035,32617445872829.035,0.0,0.0,0.0,0.0,32617445872829.035,32617445872829.035,32617445872829.035,32617445872829.035,8410656666054.676,8410656666054.676,8410656666054.676,8410656666054.676,8410656666054.676,1509384503011.836,1509384503011.836,1509384503011.836,1038759054259.2494,945950205024.4641,945950205024.4641,17742267787851.277,8398158791413.403,9344108996437.87,9344108996437.87,91567748453.80461,91567748453.80461,0.0,4938.918505796866,4938.918505796866,4938.918505796866,4938.918505796866,4938.918505796866,4938.918505796866,4938.918505796866,4938.918505796866,1241100780.9802854,1241100780.9802854,0.0,0.0 
May,34395087540726.746,31937677239004.914,31937677239004.914,31937677239004.914,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,31937472247804.914,31937472247804.914,31937472247804.914,12904670476800.0,12904670476800.0,12904670476800.0,16129395203022.615,16129395203022.615,16129395203022.615,2903406567982.2617,2903406567982.2617,2903406567982.2617,53637743132188.695,31620177918821.723,31473461160807.33,30256996436.15116,0.0,30256996436.15116,0.0,31589920922385.566,31473461160807.33,31589920922385.566,31473461160807.33,146716758014.3866,30256996436.15116,30256996436.15116,116459761578.23557,116459761578.23557,34395087540726.742,34395087540726.742,34395087540726.742,34395087540726.742,0.0,0.0,0.0,0.0,34395087540726.742,34395087540726.742,34395087540726.742,34395087540726.742,7081200099389.204,7081200099389.204,7081200099389.204,7081200099389.204,7081200099389.204,1596106640427.2036,1596106640427.2036,1596106640427.2036,861303661294.6737,796957986013.5962,796957986013.5962,14936365113977.81,7069703563982.109,7866661549995.706,7866661549995.706,63139431371.06661,63139431371.06661,0.0,3347.3086799298803,3347.3086799298803,3347.3086799298803,3347.3086799298803,3347.3086799298803,3347.3086799298803,3347.3086799298803,3347.3086799298803,1206243910.0100303,1206243910.0100303,0.0,0.0 
June,36433091602485.87,32268677806098.11,32268677806098.11,32268677806098.11,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,196505280.0,32268481300818.11,32268481300818.11,32268481300818.11,12488390784000.0,12488390784000.0,12488390784000.0,16846592216743.762,16846592216743.762,16846592216743.762,2933498300074.3735,2933498300074.3735,2933498300074.3735,98361041328403.08,31974421407812.914,31846572116147.926,30506239284.153168,0.0,30506239284.153168,0.0,31943915168528.742,31846572116147.926,31943915168528.742,31846572116147.926,127849291664.93993,30506239284.153168,30506239284.153168,97343052380.78679,97343052380.78679,36433091602485.86,36433091602485.86,36433091602485.86,36433091602485.86,0.0,0.0,0.0,0.0,36433091602485.86,36433091602485.86,36433091602485.86,36433091602485.86,21361858775242.184,21361858775242.184,21361858775242.184,21361858775242.184,21361858775242.184,1609350778906.6519,1609350778906.6519,1609350778906.6519,2555063017481.0347,2387552254323.863,2387552254323.863,45024761145348.11,21318604445512.086,23706156699835.937,23706156699835.937,165882222356.1243,165882222356.1243,0.0,9602.92295585875,9602.92295585875,9602.92295585875,9602.92295585875,9602.92295585875,9602.92295585875,9602.92295585875,9602.92295585875,1628540801.0472934,1628540801.0472934,0.0,0.0 
July,40720179463423.65,34777611195409.133,34777611195409.133,34777611195409.133,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,190473120.0,34777420722289.133,34777420722289.133,34777420722289.133,12904670476800.0,12904670476800.0,12904670476800.0,18711166543462.83,18711166543462.83,18711166543462.83,3161583702026.285,3161583702026.285,3161583702026.285,145372026180581.8,34462865511784.473,34346399817212.617,33162461298.04816,0.0,33162461298.04816,0.0,34429703050486.418,34346399817212.617,34429703050486.418,34346399817212.617,116465694571.8031,33162461298.04816,33162461298.04816,83303233273.75496,83303233273.75496,40720179463423.65,40720179463423.65,40720179463423.65,40720179463423.65,0.0,0.0,0.0,0.0,40720179463423.65,40720179463423.65,40720179463423.65,40720179463423.65,35702631265047.555,35702631265047.555,35702631265047.555,35702631265047.555,35702631265047.555,1739482992980.8486,1739482992980.8486,1739482992980.8486,4203085275033.6646,3965021016452.273,3965021016452.273,75206529403749.81,35620754193648.805,39585775210101.13,39585775210101.13,235941849423.4016,235941849423.4016,0.0,15164.669165691677,15164.669165691677,15164.669165691677,15164.669165691677,15164.669165691677,15164.669165691677,15164.669165691677,15164.669165691677,2122409157.987733,2122409157.987733,0.0,0.0 
August,42159876419066.125,35995849459087.016,35995849459087.016,35995849459087.016,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,204991200.0,35995644467887.016,35995644467887.016,35995644467887.016,12904670476800.0,12904670476800.0,12904670476800.0,19818642675824.57,19818642675824.57,19818642675824.57,3272331315262.4556,3272331315262.4556,3272331315262.4556,151082061173046.6,35676099770743.43,35566640279895.25,31966814676.048008,0.0,31966814676.048008,0.0,35644132956067.39,35566640279895.25,35644132956067.39,35566640279895.25,109459490848.1599,31966814676.048008,31966814676.048008,77492676172.11188,77492676172.11188,42159876419066.125,42159876419066.125,42159876419066.125,42159876419066.125,0.0,0.0,0.0,0.0,42159876419066.125,42159876419066.125,42159876419066.125,42159876419066.125,37153680961868.54,37153680961868.54,37153680961868.54,37153680961868.54,37153680961868.54,1810752647500.3367,1810752647500.3367,1810752647500.3367,4353274312478.7246,4124738963939.0376,4124738963939.0376,78252280440434.73,37063770738247.85,41188509702186.81,41188509702186.81,226426463711.83734,226426463711.83734,0.0,16308.82363276549,16308.82363276549,16308.82363276549,16308.82363276549,16308.82363276549,16308.82363276549,16308.82363276549,16308.82363276549,2108884827.8464649,2108884827.8464649,0.0,0.0 
September,39648873940212.13,33908569511355.566,33908569511355.566,33908569511355.566,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,189246240.0,33908380265115.566,33908380265115.566,33908380265115.566,12488390784000.0,12488390784000.0,12488390784000.0,18337409457014.17,18337409457014.17,18337409457014.17,3082580024101.419,3082580024101.419,3082580024101.419,140626048071134.86,33557553768112.926,33451702183409.246,37740455012.16438,0.0,37740455012.16438,0.0,33519813313100.77,33451702183409.246,33519813313100.77,33451702183409.246,105851584703.75014,37740455012.16438,37740455012.16438,68111129691.58588,68111129691.58588,39648873940212.125,39648873940212.125,39648873940212.125,39648873940212.125,0.0,0.0,0.0,0.0,39648873940212.125,39648873940212.125,39648873940212.125,39648873940212.125,34465701374422.195,34465701374422.195,34465701374422.195,34465701374422.195,34465701374422.195,1689995311617.3298,1689995311617.3298,1689995311617.3298,4050309117239.2188,3830991506560.3394,3830991506560.3394,72602792928599.56,34385900711019.664,38216892217580.01,38216892217580.01,217285330557.0838,217285330557.0838,0.0,15117.68588561753,15117.68588561753,15117.68588561753,15117.68588561753,15117.68588561753,15117.68588561753,15117.68588561753,15117.68588561753,2032280121.796785,2032280121.796785,0.0,0.0 
October,38011874426817.92,33577008893695.594,33577008893695.594,33577008893695.594,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,197732160.0,33576811161535.594,33576811161535.594,33576811161535.594,12904670476800.0,12904670476800.0,12904670476800.0,17619703306414.145,17619703306414.145,17619703306414.145,3052437378321.4146,3052437378321.4146,3052437378321.4146,104705829245787.87,33177819811616.586,33056752693212.32,37034285815.877144,0.0,37034285815.877144,0.0,33140785525800.69,33056752693212.32,33140785525800.69,33056752693212.32,121067118404.27524,37034285815.877144,37034285815.877144,84032832588.3981,84032832588.3981,38011874426817.92,38011874426817.92,38011874426817.92,38011874426817.92,0.0,0.0,0.0,0.0,38011874426817.92,38011874426817.92,38011874426817.92,38011874426817.92,23017719500044.824,23017719500044.824,23017719500044.824,23017719500044.824,23017719500044.824,1668931469636.9656,1668931469636.9656,1668931469636.9656,2765934063485.386,2567021589196.1475,2567021589196.1475,48510289934126.375,22971634172465.13,25538655761661.26,25538655761661.26,197196431745.8781,197196431745.8781,0.0,10510.74669964925,10510.74669964925,10510.74669964925,10510.74669964925,10510.74669964925,10510.74669964925,10510.74669964925,10510.74669964925,1716042543.3592992,1716042543.3592992,0.0,0.0 
