Time,ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.041170E+03,1.855403E+07,1.884545E+07,0.000000E+00,0.000000E+00,2.564958E+03,2.411064E+07,2.448932E+07
02:00:00,0.000000E+00,0.000000E+00,2.028774E+03,1.715789E+07,1.742737E+07,0.000000E+00,0.000000E+00,2.564512E+03,2.410645E+07,2.448507E+07
03:00:00,0.000000E+00,0.000000E+00,2.030999E+03,1.717670E+07,1.744648E+07,0.000000E+00,0.000000E+00,2.564171E+03,2.410324E+07,2.448181E+07
04:00:00,0.000000E+00,0.000000E+00,2.028494E+03,1.715552E+07,1.742497E+07,0.000000E+00,0.000000E+00,2.563885E+03,2.410055E+07,2.447908E+07
05:00:00,0.000000E+00,0.000000E+00,2.027932E+03,1.715076E+07,1.742014E+07,0.000000E+00,0.000000E+00,2.563642E+03,2.409827E+07,2.447676E+07
06:00:00,0.000000E+00,0.000000E+00,2.027664E+03,1.714850E+07,1.741784E+07,0.000000E+00,0.000000E+00,2.564055E+03,2.410215E+07,2.448071E+07
07:00:00,0.000000E+00,0.000000E+00,2.263040E+03,1.913914E+07,1.943974E+07,0.000000E+00,0.000000E+00,2.568600E+03,2.414487E+07,2.452409E+07
08:00:00,0.000000E+00,0.000000E+00,2.272650E+03,2.045509E+07,2.077636E+07,0.000000E+00,0.000000E+00,2.575248E+03,2.420736E+07,2.458757E+07
09:00:00,0.000000E+00,0.000000E+00,2.521692E+03,2.269661E+07,2.305308E+07,0.000000E+00,0.000000E+00,2.581742E+03,2.426841E+07,2.464957E+07
10:00:00,0.000000E+00,0.000000E+00,2.530481E+03,2.378655E+07,2.416015E+07,0.000000E+00,0.000000E+00,2.586358E+03,2.431180E+07,2.469364E+07
11:00:00,0.000000E+00,0.000000E+00,2.529703E+03,2.377924E+07,2.415272E+07,0.000000E+00,0.000000E+00,2.588993E+03,2.433656E+07,2.471880E+07
12:00:00,0.000000E+00,0.000000E+00,2.531301E+03,2.379426E+07,2.416798E+07,0.000000E+00,0.000000E+00,2.592420E+03,2.436879E+07,2.475153E+07
13:00:00,0.000000E+00,0.000000E+00,2.531707E+03,2.379808E+07,2.417186E+07,0.000000E+00,0.000000E+00,2.594522E+03,2.438854E+07,2.477159E+07
14:00:00,0.000000E+00,0.000000E+00,2.531899E+03,2.379988E+07,2.417369E+07,0.000000E+00,0.000000E+00,2.595178E+03,2.439470E+07,2.477785E+07
15:00:00,0.000000E+00,0.000000E+00,2.532010E+03,2.380092E+07,2.417475E+07,0.000000E+00,0.000000E+00,2.594467E+03,2.438803E+07,2.477107E+07
16:00:00,0.000000E+00,0.000000E+00,2.532082E+03,2.380160E+07,2.417543E+07,0.000000E+00,0.000000E+00,2.592376E+03,2.436837E+07,2.475110E+07
17:00:00,0.000000E+00,0.000000E+00,2.532122E+03,2.380198E+07,2.417582E+07,0.000000E+00,0.000000E+00,2.588946E+03,2.433612E+07,2.471835E+07
18:00:00,0.000000E+00,0.000000E+00,2.532133E+03,2.380209E+07,2.417593E+07,0.000000E+00,0.000000E+00,2.584706E+03,2.429627E+07,2.467787E+07
19:00:00,0.000000E+00,0.000000E+00,2.330852E+03,2.191004E+07,2.225416E+07,0.000000E+00,0.000000E+00,2.578863E+03,2.424134E+07,2.462208E+07
20:00:00,0.000000E+00,0.000000E+00,2.325319E+03,2.113691E+07,2.146889E+07,0.000000E+00,0.000000E+00,2.572448E+03,2.418104E+07,2.456084E+07
21:00:00,0.000000E+00,0.000000E+00,2.326327E+03,2.114608E+07,2.147821E+07,0.000000E+00,0.000000E+00,2.569211E+03,2.415061E+07,2.452993E+07
22:00:00,0.000000E+00,0.000000E+00,2.325219E+03,2.113601E+07,2.146798E+07,0.000000E+00,0.000000E+00,2.567412E+03,2.413370E+07,2.451275E+07
23:00:00,0.000000E+00,0.000000E+00,2.324982E+03,2.113385E+07,2.146579E+07,0.000000E+00,0.000000E+00,2.566305E+03,2.412330E+07,2.450218E+07
24:00:00,0.000000E+00,0.000000E+00,2.324874E+03,2.113287E+07,2.146479E+07,0.000000E+00,0.000000E+00,2.565536E+03,2.411607E+07,2.449484E+07
Coinc Peak   ,0.000000E+00,2.595178E+03,0.000000E+00,2.439470E+07
NonCoinc Peak,0.000000E+00,2.595178E+03,0.000000E+00,2.439470E+07
