Time,ZONE::Des Heat Load [W],ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE::Heating Zone Temperature [C],ZONE::Heating Zone Relative Humidity [%],ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:SAN DIEGO ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,0.000000E+00,1.662279E+07,0.000000E+00,1.973045E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
02:00:00,0.000000E+00,1.661991E+07,0.000000E+00,1.972702E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
03:00:00,0.000000E+00,1.661770E+07,0.000000E+00,1.972440E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
04:00:00,0.000000E+00,1.661584E+07,0.000000E+00,1.972220E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
05:00:00,0.000000E+00,1.661427E+07,0.000000E+00,1.972032E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
06:00:00,0.000000E+00,1.661694E+07,0.000000E+00,1.972350E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
07:00:00,0.000000E+00,1.664639E+07,0.000000E+00,1.975846E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
08:00:00,0.000000E+00,1.668948E+07,0.000000E+00,1.980960E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
09:00:00,0.000000E+00,1.673157E+07,0.000000E+00,1.985955E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
10:00:00,0.000000E+00,1.676148E+07,0.000000E+00,1.989506E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
11:00:00,0.000000E+00,1.677855E+07,0.000000E+00,1.991533E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
12:00:00,0.000000E+00,1.680077E+07,0.000000E+00,1.994170E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
13:00:00,0.000000E+00,1.681439E+07,0.000000E+00,1.995786E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
14:00:00,0.000000E+00,1.681864E+07,0.000000E+00,1.996291E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
15:00:00,0.000000E+00,1.681404E+07,0.000000E+00,1.995744E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
16:00:00,0.000000E+00,1.680048E+07,0.000000E+00,1.994135E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
17:00:00,0.000000E+00,1.677825E+07,0.000000E+00,1.991497E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
18:00:00,0.000000E+00,1.675078E+07,0.000000E+00,1.988235E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
19:00:00,0.000000E+00,1.671291E+07,0.000000E+00,1.983741E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
20:00:00,0.000000E+00,1.667133E+07,0.000000E+00,1.978806E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
21:00:00,0.000000E+00,1.665035E+07,0.000000E+00,1.976316E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.825456E+01,3.558628E+01
